Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
2.3155,9.5365,1.8797,0.5444,3.2975,2.9911,1 
2.9379,9.7124,2.1392,1.4952,2.7258,-0.2539,1 
2.1114,12.2678,1.4697,2.1279,1.8272,3.1632,1 
1.9376,8.8587,1.2336,0.8458,3.3191,1.8534,1 
1.1409,8.595,3.4322,4.6194,1.669,1.8627,1 
2.3163,12.0559,1.7416,3.4505,2.7888,2.2511,1 
2.2866,10.7074,2.811,2.0252,0.2627,2.1304,1 
2.0368,10.7605,1.8693,-0.1268,2.4888,3.0635,1 
1.7141,10.5743,3.2684,3.627,1.7802,0.3394,1 
0.5499,10.5472,1.7707,1.7442,1.629,1.7785,1 
-0.3079,9.6266,3.2144,0.6107,1.8858,0.5156,1 
1.0823,8.594,1.3139,2.5703,2.02,2.3726,1 
2.5724,9.8142,0.8643,2.2576,1.1221,1.356,1 
2.7002,9.9717,1.7033,0.883,0.9067,2.9806,1 
3.1368,11.4075,2.1205,0.0617,1.7256,3.0819,1 
4.41,9.5895,0.9564,3.2126,2.6388,1.6518,1 
0.1834,9.268,1.2993,2.6488,1.6298,3.9019,1 
2.2242,9.1697,1.9196,3.1854,1.6472,0.5464,1 
1.6617,10.1587,1.4624,0.8416,-1.1072,1.6299,1 
2.4612,10.5451,3.6017,1.1249,2.3873,2.9602,1 
1.8104,9.0102,1.744,2.3566,2.688,2.5222,1 
2.6527,10.964,1.3934,2.4387,1.4263,2.215,1 
3.134,10.9847,1.3612,0.0619,3.9882,1.3872,1 
2.5773,8.55,2.1476,1.9467,1.2407,2.3799,1 
1.471,9.907,1.5689,1.8563,1.1341,2.4976,1 
2.3934,10.0835,2.1217,0.5344,3.072,1.4211,1 
2.4305,10.3403,2.6364,3.0365,0.766,-0.7464,1 
-0.3337,11.1948,1.9133,2.3706,2.8385,1.2829,1 
2.0315,10.7605,1.9134,2.4963,1.9483,1.6746,1 
0.6274,9.8665,1.7948,1.9468,3.3464,1.6575,1 
2.9943,8.9515,1.7784,0.3838,2.4065,0.6958,1 
4.0737,11.8152,2.1603,1.5577,3.6342,1.7987,1 
2.745,9.6087,2.1801,1.3773,3.0132,0.5326,1 
1.8879,9.5493,1.6503,2.8734,0.6658,3.2894,1 
1.5617,9.9343,2.0872,2.1307,3.1006,1.6707,1 
2.1212,9.9075,3.853,3.9076,3.3156,2.2346,1 
3.9765,7.8515,1.6882,2.1105,3.5961,1.3516,1 
2.6411,8.3714,2.1499,2.3995,3.5147,3.3055,1 
2.134,10.4203,4.3182,1.7826,0.3895,0.9543,1 
1.2126,11.5522,1.3757,1.9924,3.957,3.4454,1 
2.2627,8.1263,1.4599,1.5811,0.6884,2.0511,1 
3.1689,9.9549,2.1408,0.5706,0.8025,2.4844,1 
1.736,10.8364,1.8147,3.0984,1.2536,0.2518,1 
2.6334,10.3818,2.8024,-0.0071,2.6005,3.5457,1 
2.5203,9.2744,2.2466,2.3241,2.3531,1.7833,1 
1.4079,11.0988,1.9912,1.411,2.4582,2.085,1 
0.8301,10.7155,1.8282,3.2903,2.2088,1.122,1 
0.389,10.2583,1.523,2.6687,3.3312,2.0133,1 
1.9791,8.4667,1.2838,0.0413,2.5494,0.478,1 
2.4871,9.968,0.9423,0.6402,2.7985,1.7703,1 
1.7486,10.1859,0.8608,3.9537,2.4585,2.4294,1 
1.9094,9.0261,3.0304,2.2805,2.3672,2.7842,1 
1.1874,11.0517,1.8683,3.2904,2.6682,1.5017,1 
2.9349,10.312,2.1248,2.377,3.1017,2.3901,1 
3.3777,11.6566,3.2343,2.8716,1.7343,3.7542,1 
1.5212,10.4557,1.7622,2.9646,2.8326,2.937,1 
1.9295,11.2908,2.6243,2.1054,1.5327,2.9096,1 
1.8493,10.629,1.9127,1.592,2.2388,3.2395,1 
-0.0616,10.4757,2.753,2.1547,1.663,1.8341,1 
-0.2012,10.1122,1.2758,1.7547,2.7352,1.5344,1 
2.8606,9.6226,2.0762,0.9688,3.1279,2.315,1 
1.5475,10.8249,2.4023,0.3842,3.0689,2.5285,1 
2.8033,10.4735,1.6721,1.9522,2.1117,3.2768,1 
2.6557,12.8003,0.6717,2.2623,2.0611,0.4466,1 
1.0727,9.4073,0.5958,2.4429,1.1064,1.662,1 
1.2046,10.5907,1.4323,2.3319,1.8702,2.0695,1 
1.8539,9.1296,3.5103,2.1469,4.0162,1.3184,1 
2.1352,9.0884,3.4919,1.3819,2.5806,2.7703,1 
2.0295,9.3425,1.8729,1.4484,2.8365,1.3325,1 
3.3346,11.9132,1.8224,0.6418,0.709,1.6669,1 
2.0734,9.5844,0.4102,2.2974,2.0242,2.3154,1 
1.9636,10.9524,1.8741,0.347,1.1003,1.8875,1 
3.2788,9.2257,1.3305,3.0884,0.0541,1.8683,1 
3.0068,9.5428,3.1897,1.4014,2.7969,3.6419,1 
4.58,8.8025,1.2684,1.3257,2.173,1.482,1 
3.0035,10.0729,0.3556,0.2341,1.0583,2.421,1 
1.4209,11.6038,0.8058,2.965,2.8948,1.5669,1 
3.0685,11.1717,-0.2252,2.5931,1.2012,2.0109,1 
4.4847,10.0725,1.8108,4.1753,3.5763,0.6645,1 
1.8655,10.2584,1.9802,0.9441,1.8956,1.5404,1 
2.6176,12.2467,1.226,1.5459,0.6563,2.701,1 
1.6318,9.9918,3.2913,3.0996,1.83,0.2325,1 
0.0838,11.3303,2.224,1.6361,2.1307,2.4813,1 
3.2736,10.2998,3.5236,2.1764,3.1124,2.9341,1 
0.5167,9.0817,-0.0686,1.2464,3.1295,2.468,1 
3.3193,10.5765,2.2725,1.7374,1.056,2.4903,1 
