Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Class
-0.4565,1.9749,0.5806,1.2339,2.1749,0.8478,1.2626,1 
-1.1416,1.7647,2.1782,3.0739,1.2465,1.1388,1.8383,1 
-0.0386,1.6705,2.5365,2.6579,1.9467,2.2338,2.3223,1 
-0.9167,0.7211,1.5968,1.1298,1.0883,3.0023,2.993,1 
0.1229,-0.8981,2.1541,1.2779,1.7449,1.5158,2.4964,1 
0.2831,-0.4825,2.2807,1.2885,2.4699,4.1716,0.6328,1 
-1.1658,1.6345,1.0928,0.5223,1.8449,1.9387,3.3697,1 
-1.1979,-1.2778,3.5352,2.9633,1.818,0.9665,1.7487,1 
-0.5584,-0.5601,0.6895,3.4909,0.9466,3.8699,4.3313,1 
-1.1512,0.3866,1.3568,2.386,3.7813,3.5977,0.6794,1 
1.4756,0.6517,2.4751,3.2244,0.238,1.7878,1.4727,1 
-1.3141,1.4555,2.3823,1.4318,1.0025,2.4394,2.0624,1 
0.2721,-0.0835,2.4895,0.8901,2.1337,3.8982,3.8592,1 
-0.3975,1.9138,2.3851,1.7658,2.0694,2.3256,1.627,1 
0.1225,-0.1771,2.5174,2.0064,3.3132,4.4292,2.1676,1 
0.0186,-1.0987,1.6804,2.1014,2.1663,1.9285,3.0501,1 
-0.4297,1.6832,1.239,2.3403,0.7659,3.4943,2.8645,1 
-0.4527,-1.4487,2.2295,1.8213,1.4433,0.7447,3.4141,1 
1.8246,1.0165,2.0041,2.7529,1.8551,-0.0569,2.1514,1 
0.4481,-2.2544,-0.1272,2.0071,1.39,2.1827,4.7913,1 
-1.2492,0.9974,4.8401,1.8481,2.1599,1.048,2.6062,1 
0.282,-0.1018,1.5527,0.7603,2.6591,2.2053,3.4248,1 
0.5779,1.2975,2.1317,2.3277,2.2313,2.4062,1.0158,1 
-0.0007,-0.6188,2.8023,-0.29,2.1184,3.619,2.7732,1 
0.7795,-0.5959,0.6551,1.5771,2.9733,3.3816,1.6529,1 
-0.2613,-0.5671,1.1559,1.765,-0.0914,3.157,2.6842,1 
-0.7929,0.983,1.9715,1.9148,2.5213,2.501,2.9712,1 
-0.6459,1.9774,0.9621,0.2037,1.6026,3.09,1.5139,1 
0.0951,1.1309,0.4684,2.7071,2.2447,2.5578,1.4887,1 
1.2145,-0.3905,2.0178,3.2013,2.4912,1.5544,1.6645,1 
-0.9126,0.8153,0.8955,1.6164,1.2595,2.8008,3.0648,1 
-1.2612,-1.3646,3.1264,3.166,1.6774,1.8987,2.0506,1 
-0.9543,-1.5926,1.2653,2.6741,1.6367,1.4465,3.3462,1 
