Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Class
1.1625,0.6295,2.0776,2.2242,1.3019,1.2616,1.6749,1 
-0.0244,0.3906,1.4221,1.8333,4.0081,1.1919,2.0841,1 
-0.0438,-0.6959,1.2205,1.1912,2.9317,0.875,2.6675,1 
-2.1174,-0.7374,1.8497,0.9032,-0.6035,2.9081,3.408,1 
0.2109,-0.9175,2.3283,0.8728,1.7367,3.5565,1.3539,1 
-1.3114,-1.3728,1.8856,1.1876,1.6045,3.1214,1.506,1 
0.8925,-0.5245,1.2805,2.7487,1.9088,1.1628,2.5319,1 
-0.2396,0.621,2.2292,0.6631,0.7228,3.3492,1.2874,1 
-0.309,1.041,2.4484,1.2731,2.5083,3.2417,-0.0702,1 
-0.789,0.8853,1.9349,0.5835,0.7244,1.3895,1.9813,1 
1.796,0.8917,0.5597,2.0099,3.7982,1.5611,1.5424,1 
-1.6446,0.5061,1.786,2.6339,1.0265,3.6934,2.9319,1 
0.6386,-0.6381,2.9924,2.1118,0.8407,1.4901,2.7115,1 
1.1367,2.7248,1.8816,3.9815,1.292,1.1716,1.0956,1 
-0.2505,0.2289,0.9601,0.6251,1.4993,0.1923,2.0766,1 
1.5157,-0.6988,3.7086,2.4067,4.1483,3.1348,3.0143,1 
-0.7992,-0.4392,0.4939,1.0618,2.4569,2.0546,2.0961,1 
-0.6753,0.104,0.7381,1.4352,2.5822,3.6892,1.9261,1 
-0.2522,-0.7922,1.5722,1.6575,2.7952,2.3312,0.1242,1 
-0.9783,-1.1699,0.9711,3.5294,1.5684,1.7234,2.8833,1 
1.0751,0.1357,0.9076,2.5201,1.3273,1.4627,2.1574,1 
0.6925,-1.5628,3.5462,2.3013,1.8353,2.4581,2.6284,1 
0.3698,0.4131,2.3908,1.9879,1.1775,1.8056,1.6988,1 
0.8388,-0.6696,2.9379,2.1129,1.0954,2.5134,1.4731,1 
1.1405,-0.5103,2.0496,1.5405,4.0625,2.5039,2.3764,1 
-0.3041,1.1793,1.1308,1.938,1.338,1.8226,3.08,1 
0.5193,-0.0669,0.4957,1.8336,3.0861,-0.3244,1.2131,1 
-0.8536,0.979,1.2665,1.4715,0.7354,1.1993,1.1104,1 
0.3022,1.3807,1.4977,2.0161,2.3406,2.0833,2.9723,1 
-0.2792,1.2573,2.3305,2.2211,1.8909,3.5521,0.8967,1 
1.0252,-1.406,1.947,1.2632,4.6153,2.956,1.2132,1 
1.368,-0.6407,2.6939,2.2048,2.112,1.0557,3.4269,1 
0.7111,0.801,2.8214,2.6222,2.9597,2.0479,1.9191,1 
0.3277,0.1666,1.878,2.0944,1.3727,3.8778,0.4008,1 
-1.5733,-1.0311,2.523,2.7913,3.0597,3.0271,1.2734,1 
-0.7905,1.243,3.3652,1.1678,2.8878,1.8597,1.8238,1 
