Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Class
-0.4144,-0.552,0.3072,1.2652,1.7197,3.0197,3.2871,1 
-1.6703,0.9037,2.3876,3.0477,-0.5969,1.5245,2.9912,1 
1.9823,-0.333,3.6813,2.3634,2.0098,2.1463,0.6132,1 
-0.7285,0.5503,2.5913,0.9796,3.2977,3.2227,4.2928,1 
-0.6835,1.5705,0.6902,1.47,1.3215,0.5758,2.2112,1 
0.0041,0.336,3.1891,1.4641,0.9502,3.2484,3.1571,1 
0.3885,0.5741,3.632,2.7148,1.8019,1.6206,1.0469,1 
-0.2567,-0.0976,1.9575,1.6953,1.0459,2.3314,1.9994,1 
0.5447,-0.4648,1.2913,2.3405,0.991,-0.2125,2.2532,1 
-1.371,1.9858,1.1374,0.7143,2.7654,2.0892,1.2913,1 
0.4669,-1.8172,0.9222,3.0283,1.9235,3.0222,2.5343,1 
1.0978,0.7345,1.8921,1.3208,-1.0623,1.3731,2.5554,1 
-0.3137,-1.0873,0.5483,2.1281,0.786,2.3869,2.0272,1 
-1.8873,0.8158,4.322,2.6974,0.2104,-0.175,2.1607,1 
1.6989,0.0448,0.0858,2.5087,1.9829,2.4315,0.5792,1 
1.0487,0.1259,2.0527,0.5207,1.877,2.4085,3.395,1 
-1.7343,0.1012,3.041,2.6749,1.5166,2.3123,3.5628,1 
1.1757,-0.6444,2.7206,1.3791,0.5676,2.142,1.7697,1 
0.4918,0.3391,1.7838,2.1953,1.8446,1.5603,2.3882,1 
-0.0975,0.9832,0.8868,2.4475,2.5498,2.1337,1.5117,1 
-0.0761,0.545,2.4014,1.3246,0.3363,0.7859,1.2477,1 
-0.7156,-0.2684,2.8297,2.0669,2.3524,0.4009,2.1739,1 
-0.1743,-1.2867,3.279,0.8765,2.9679,3.5758,2.4601,1 
-0.488,-1.8323,4.3279,1.2674,4.8393,1.1771,1.3756,1 
-1.9412,-0.71,3.3448,2.5736,2.8636,1.4496,2.7554,1 
-1.7898,-0.317,2.5469,-0.7527,1.6806,0.7206,2.0394,1 
0.1715,0.3863,2.1181,0.4344,1.3988,1.2707,2.0446,1 
-1.0426,-1.042,0.4656,0.9503,2.3215,1.1814,3.0011,1 
0.8987,-0.9324,1.5823,2.388,0.5458,3.1375,4.1176,1 
1.1561,0.5975,1.9553,1.5914,1.4514,2.7389,3.4918,1 
-0.9483,0.2648,2.128,2.7553,1.6725,1.241,1.3207,1 
-0.379,0.1782,4.6275,2.2666,3.3299,1.4117,2.9566,1 
-0.1761,-0.4786,1.9496,0.2469,1.8682,2.3918,0.8703,1 
0.7674,-0.3042,0.9995,1.6973,1.2865,1.8992,1.453,1 
0.3716,1.6339,3.5557,2.729,1.2103,1.4363,1.1994,1 
-0.077,0.0435,1.8066,0.947,1.5541,2.2263,2.7915,1 
-1.0955,0.0639,4.0715,1.6334,-2.2049,2.4523,2.4912,1 
0.4629,-0.1787,3.0306,3.4308,2.4864,0.1973,0.8429,1 
-2.3619,0.1087,0.1495,0.7482,3.3472,2.0874,3.0261,1 
0.0326,0.0692,1.5558,0.8302,1.4766,0.5159,3.059,1 
1.1457,-1.024,3.2906,1.7158,1.3905,1.3415,1.2964,1 
-0.2909,-0.2859,1.804,2.3867,1.2996,2.1821,1.0827,1 
-0.6937,-0.775,2.6955,3.842,1.6661,2.6656,0.3091,1 
