Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Class
-0.9869,0.8669,2.8651,3.4683,1.4477,2.1326,-0.5876,1 
0.1767,-0.3235,3.9437,2.7003,2.1377,-0.1366,2.9238,1 
0.1865,1.273,0.6258,1.5459,0.256,1.0343,1.5709,1 
-0.1378,0.0764,2.8874,4.162,1.9795,0.9874,1.8396,1 
-0.5502,-1.4406,1.0621,1.6109,1.8463,1.7785,1.6017,1 
0.7172,-0.759,1.3326,1.8888,0.3085,1.7573,2.8234,1 
0.6606,1.0841,1.9342,1.6354,0.8069,1.7679,1.1109,1 
2.0094,-0.403,2.1073,2.1633,0.7229,1.674,2.2149,1 
0.0368,-1.2429,1.2089,-0.0184,2.509,1.7205,2.5745,1 
-1.0422,-0.18,2.1017,3.3915,2.5847,3.8256,3.9619,1 
0.6477,1.3262,3.0764,0.8214,1.7928,1.7948,1.9126,1 
0.6875,0.2504,1.2241,3.3738,1.5254,1.7814,2.1676,1 
-1.3489,0.1879,1.6492,3.0696,3.7189,3.6403,-0.4628,1 
0.5359,-0.5159,-0.077,2.238,1.9229,2.2302,2.7894,1 
1.2366,-2.4412,2.9663,1.375,3.2431,3.797,2.1421,1 
-1.1263,0.508,1.861,3.1723,1.3905,2.6192,1.7325,1 
-0.5157,1.0142,0.9451,2.9765,3.1193,2.2239,0.7432,1 
0.1439,1.1965,2.3755,0.6117,1.0968,1.9549,1.0838,1 
-1.1669,-0.2438,0.6263,2.4685,4.9179,2.0894,2.6564,1 
0.4594,0.3037,1.2403,1.2831,1.8715,0.3514,1.8562,1 
-0.7187,0.2269,1.1278,2.1132,3.7277,1.6202,1.1349,1 
-1.2869,1.5936,1.7201,1.5863,1.1122,1.5662,1.038,1 
0.7208,-0.9154,2.4266,3.3957,1.2309,2.3231,2.1439,1 
-1.2263,-0.4017,1.7864,4.136,1.7194,2.1097,2.1644,1 
0.296,0.193,3.0129,1.4215,2.9872,1.6186,0.9599,1 
-1.578,-1.7253,3.5803,2.0309,1.7194,2.0894,3.5093,1 
0.528,0.682,2.1703,2.4355,1.6851,3.6514,4.3433,1 
2.1478,-1.3994,2.035,3.6363,2.9477,2.2127,2.7781,1 
-0.8099,0.2343,2.852,1.2592,0.6448,0.3318,2.7921,1 
-1.9536,-1.029,1.0046,2.3499,2.5728,2.2533,2.2746,1 
-0.5715,0.9624,1.9396,1.5185,3.5057,0.2004,3.5338,1 
-0.721,-0.834,1.1066,1.6562,3.2194,2.8753,1.9697,1 
-0.2348,-0.0505,2.6914,3.8614,2.2186,0.7732,3.9452,1 
0.0344,-0.9963,0.8145,0.3052,3.0109,1.1952,1.1294,1 
-0.3891,1.6205,2.3898,3.4298,1.6714,2.2139,2.2583,1 
0.995,-0.0819,1.7588,1.2682,2.5243,1.1584,0.4931,1 
1.9261,-0.1288,2.7779,2.2471,0.9671,1.8261,2.495,1 
-1.6057,-0.3126,4.148,2.5685,1.5259,1.2886,2.009,1 
-0.4711,-0.1681,3.0498,0.2912,4.2981,1.6231,2.4207,1 
0.2944,1.6097,1.9235,2.5258,0.6913,0.2109,1.0595,1 
1.6885,-0.2412,0.7892,2.6124,1.8776,0.5467,-0.333,1 
0.98,-1.2105,1.1773,2.1466,1.1549,0.0101,2.866,1 
-0.3472,1.3771,0.9255,2.9396,3.7415,0.853,1.7445,1 
-1.4637,-0.349,1.4824,2.9359,2.7817,1.0744,1.7933,1 
0.5622,0.4606,0.4687,2.0681,2.7357,1.467,2.08,1 
-0.1712,0.6027,1.4007,2.0795,1.6054,2.3834,3.7424,1 
2.7593,-0.0233,1.1414,0.9416,1.9308,3.2216,1.0099,1 
-0.2285,0.5621,0.7849,2.504,1.4863,3.6787,3.7866,1 
-0.2518,-0.2114,1.8359,1.9333,3.4399,2.0354,2.0744,1 
-1.0143,-0.4561,1.0874,1.0164,0.6946,2.1427,1.8168,1 
-1.7435,-0.4067,1.0507,1.464,2.9194,1.7491,1.2204,1 
-0.8428,1.4476,1.554,0.0965,1.1188,1.077,2.1761,1 
-1.2005,0.6626,1.3844,1.0548,0.9424,2.3926,2.1536,1 
-0.8116,-0.5703,0.5692,0.8011,1.829,2.8868,-0.4909,1 
0.4169,-1.1244,3.097,4.0829,2.1002,2.1419,3.8874,1 
-0.8026,0.3888,1.3462,3.4957,1.9063,2.5138,3.0413,1 
0.6838,-1.0585,1.2083,4.7469,1.8741,1.4535,2.167,1 
-0.6444,0.464,2.9108,1.2011,3.6035,2.4985,2.5461,1 
1.0421,1.4115,-0.1791,-0.0767,2.3281,4.274,1.3313,1 
-1.5323,-0.6258,1.1948,1.1782,2.5427,3.315,1.23,1 
0.4083,-0.0094,3.0069,3.9655,2.6403,1.4686,1.6963,1 
-0.7454,1.0161,1.0341,2.6977,1.9256,1.8734,2.8616,1 
-2.2008,-0.815,3.2285,1.9475,0.413,0.691,1.3028,1 
0.8753,0.0924,1.7508,2.2068,2.3162,0.9191,0.6654,1 
-0.3249,0.01,2.2704,0.2924,3.3121,0.1184,1.7561,1 
-0.7827,-0.5333,3.0702,0.9434,2.5201,1.9137,1.6461,1 
0.4352,-0.5779,2.1337,1.8298,1.0037,2.0166,1.7841,1 
0.4792,0.3131,1.5156,2.0625,3.6462,1.9578,2.556,1 
0.0575,-0.0587,2.7848,3.2158,1.5823,1.2707,1.9284,1 
3.5123,-0.8039,0.6963,0.8183,1.7886,2.6366,1.5788,1 
-0.4095,0.5718,2.1211,3.1017,1.8851,1.7172,0.596,1 
2.9027,0.7536,2.07,4.0018,0.5156,0.6961,1.5095,1 
-1.6217,-0.1917,3.5055,1.9426,3.6469,2.9904,2.0386,1 
-0.6879,-0.1819,1.9082,2.6637,2.105,1.5161,0.8959,1 
1.8687,0.2124,1.0657,0.6546,1.6262,2.0702,2.9404,1 
-1.1264,0.472,3.1245,2.9874,2.2384,4.2041,2.0891,1 
1.1227,-1.4288,2.9463,2.1544,2.529,1.2914,2.8085,1 
0.4624,0.0107,3.5768,2.9017,1.41,1.8365,0.9025,1 
0.2501,1.3643,2.2101,1.1549,1.9604,2.1059,0.4123,1 
-0.1657,-0.5942,0.6115,2.8162,1.4476,1.2663,1.7868,1 
0.7321,1.0845,-0.1577,3.181,1.3068,1.9596,2.275,1 
