Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Class
1.4276,0.0808,2.1915,2.6085,1.4179,3.7513,1.804,1 
0.7159,-3.126,1.5586,1.7546,0.411,2.8446,1.7705,1 
-0.7897,-0.1918,0.4457,2.6651,1.2028,1.0956,1.8428,1 
-0.9448,1.082,2.2967,2.0524,1.5955,0.9505,1.3089,1 
-1.3025,-0.5812,2.9856,1.8404,1.3838,1.4512,2.8085,1 
1.1116,-0.4886,2.0618,2.3472,1.1554,1.7613,1.3133,1 
0.3545,-0.2379,1.2647,2.1467,1.6082,1.4098,1.5089,1 
1.2438,0.1838,1.2966,2.2547,0.8061,2.8066,2.5428,1 
-0.2728,-2.7197,3.3698,-0.6375,2.0709,1.8584,1.6762,1 
-0.7689,0.7107,0.8429,1.1348,2.1381,1.1596,3.0863,1 
0.8051,1.9883,3.1684,1.5377,1.1804,2.7485,3.9093,1 
0.6532,0.3853,1.8473,3.6595,2.6652,1.3245,2.7723,1 
-1.2654,-0.5229,1.89,3.1329,2.1272,2.5887,2.4523,1 
-1.4835,-0.141,0.815,1.7334,0.4959,3.6456,1.7024,1 
0.4433,0.3954,2.7849,3.9998,0.8055,2.2413,2.2984,1 
0.6574,-0.1613,3.3625,1.3128,2.5836,3.8993,1.184,1 
0.8751,-1.0453,1.6215,2.2085,1.6288,2.7984,2.0458,1 
0.6952,0.6341,4.0238,1.2646,1.0325,1.1813,1.5973,1 
0.2099,-0.245,2.9519,3.2244,1.8561,2.1714,1.9485,1 
0.1239,-1.6078,1.3432,2.5827,2.0994,3.1983,2.1295,1 
0.2303,1.6229,2.8572,1.0855,1.5807,1.5585,2.3288,1 
-0.0735,-0.2949,2.4915,1.5327,3.7937,1.8125,1.7444,1 
-0.8774,-0.2473,2.1032,2.4034,2.4787,1.8082,3.4187,1 
0.774,0.5422,1.4545,1.4294,0.9912,2.2877,2.3619,1 
0.5077,2.0798,2.3118,1.3158,1.6941,1.0795,1.85,1 
0.6541,-1.7294,1.2781,1.1952,1.2705,3.4781,0.8159,1 
-0.6648,-0.3546,2.1911,1.4943,0.9799,2.7094,2.1804,1 
0.0825,-0.1586,1.4291,0.8207,2.0245,2.0834,2.5642,1 
1.5846,-0.6401,2.3886,1.7022,1.6603,3.2033,2.3607,1 
-0.0564,-0.9282,0.4512,0.3686,1.9818,3.7068,1.361,1 
1.0415,-1.4337,2.4337,2.8049,1.664,2.8346,1.3775,1 
-0.2197,1.0202,3.7937,3.8997,0.9387,2.6641,2.5012,1 
0.8404,-0.5585,1.8834,3.1472,1.3196,1.3651,2.7758,1 
-1.9965,-0.302,1.6253,1.4063,3.0247,2.5992,0.4929,1 
-1.2669,-0.4441,2.0961,0.4544,3.487,1.7685,2.9066,1 
1.4787,-0.1062,1.8493,3.7799,0.6624,1.7756,1.0506,1 
-0.7768,-0.0248,1.4408,1.5439,2.2281,2.5538,0.1406,1 
0.3843,-1.4852,1.8168,2.7104,0.8089,1.4764,2.1911,1 
-1.3689,2.4374,2.4508,0.5782,1.3749,1.7765,1.9479,1 
1.0039,0.3766,1.5664,2.1141,1.5758,0.5308,3.4299,1 
-0.9545,-0.2709,2.203,3.7792,0.0749,2.3359,1.7969,1 
-1.657,0.6617,3.5289,2.1546,3.2284,2.9074,2.5553,1 
-1.3358,-0.4862,2.2131,1.5532,2.8876,2.898,3.6714,1 
0.1045,1.2452,0.5434,2.3981,1.2912,3.5709,2.4757,1 
1.0674,0.183,2.8905,1.7799,2.5005,1.516,2.1482,1 
0.2713,0.4529,1.7533,2.7361,1.6528,0.3767,2.3513,1 
0.8811,1.4116,2.8652,2.2567,2.7086,1.8594,3.2794,1 
0.9749,-0.6008,0.5264,3.5483,1.4411,2.1723,0.8786,1 
-0.2389,0.6429,1.4984,3.5812,2.35,1.9852,3.3315,1 
-0.2162,-2.3447,2.9582,2.135,2.333,3.1668,2.8971,1 
0.5715,-1.1854,3.1972,2.8871,2.6278,3.3402,1.4487,1 
-0.9287,0.5782,2.569,2.1493,-0.3191,1.6474,2.0993,1 
-1.3683,0.565,1.9205,1.1298,2.372,1.7942,2.2722,1 
0.4983,-1.3689,2.5371,2.0598,3.0613,0.9129,2.6016,1 
0.3114,-1.5077,3.2304,2.9187,2.5811,1.7968,2.9252,1 
0.1088,-0.5744,0.8324,2.4132,1.9247,0.011,0.3435,1 
0.1083,-0.7723,0.6334,2.9785,4.4011,3.1045,2.0449,1 
0.3833,-1.6442,1.5383,2.241,2.3218,2.7594,1.5198,1 
1.8493,-0.5001,2.1914,0.7265,1.7856,4.2021,4.5762,1 
0.919,0.6135,2.1851,1.5966,3.4636,2.2168,2.0556,1 
0.1799,-0.6407,1.0163,2.6383,1.9815,-0.1114,1.6811,1 
-0.205,-1.7007,1.9783,4.9682,2.3431,1.8329,0.2911,1 
0.5456,0.2963,2.6729,1.6349,3.4608,2.619,3.438,1 
0.3446,1.3026,0.6847,1.1958,2.7814,1.4851,1.6591,1 
-1.6646,-0.3116,1.147,1.8311,2.2043,2.7306,1.8208,1 
1.1627,-1.6461,2.6855,3.7218,0.265,2.111,2.2831,1 
-0.624,-0.7763,2.3586,2.732,2.2142,1.7084,2.4228,1 
-0.0276,2.5388,3.0821,2.6362,2.5167,2.6492,1.6056,1 
0.7525,2.7281,2.3142,1.6841,2.3099,2.7658,3.1804,1 
-1.2107,-0.9463,0.69,1.0124,1.0577,1.1095,3.5217,1 
-0.2801,-0.4367,2.0767,1.0942,2.3594,1.7437,1.7132,1 
0.9148,-0.9567,2.1682,2.4497,3.5156,1.6722,1.2778,1 
-0.0381,-0.694,1.7974,4.0295,1.5536,1.8164,1.369,1 
1.9084,-0.4905,1.6058,2.6152,0.9072,1.2929,2.1599,1 
0.0719,0.5198,2.6478,-0.8878,2.6624,1.5212,2.0926,1 
0.7693,2.2041,3.5176,2.8622,1.9816,1.931,1.4573,1 
-0.0488,-0.3895,0.56,2.5241,1.3542,3.8172,1.2694,1 
0.2154,0.9942,3.2166,3.4681,1.7032,2.8908,3.1669,1 
-0.4058,0.0453,2.1844,3.5452,2.4669,0.8453,0.442,1 
-0.939,1.5767,1.267,3.5016,2.6659,0.0827,3.0976,1 
-0.4396,-0.3484,1.2552,2.2083,1.7588,2.1337,2.0594,1 
-1.8418,-0.5586,3.7817,1.9279,1.9739,0.8586,1.1333,1 
-1.4712,0.7208,0.5689,-1.3586,1.8406,3.6333,-0.6266,1 
-1.1773,1.1226,1.1794,1.2251,3.5097,3.3915,2.3957,1 
2.3061,0.1605,0.8388,2.1308,2.3669,-0.0814,1.1528,1 
0.067,0.0449,2.4987,2.6463,3.4754,2.4713,0.925,1 
1.5939,1.2385,1.5875,1.0008,2.3143,1.0841,0.6695,1 
-0.1438,-1.3443,2.9987,-0.3118,1.9789,1.3447,2.8324,1 
-0.5222,-0.0755,2.9504,-0.1811,2.608,2.2446,1.7968,1 
-0.9706,1.5329,0.902,3.8257,0.2984,2.3711,3.9299,1 
0.45,0.2153,1.0152,4.3781,2.7289,1.2464,2.3872,1 
-2.3064,-1.9233,2.1663,4.1063,3.173,1.7456,3.8064,1 
0.9076,1.641,1.2952,1.0081,1.7478,2.0375,1.4895,1 
-0.2893,-0.4798,3.837,3.069,1.8215,-0.0162,0.8893,1 
