Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Class
4.243,-1.7395,0.2661,2.2192,0.8981,2.5081,0.0953,1 
5.1651,2.2812,2.7465,4.341,1.3106,3.412,2.3072,1 
4.0039,0.9355,1.647,2.3353,2.2231,2.9238,2.2675,1 
4.685,0.2769,3.4623,2.1989,3.241,1.6766,-0.0556,1 
5.6718,0.8754,0.7043,2.8493,3.8469,3.3398,2.6497,1 
2.8145,-0.3897,1.9141,3.0338,1.8445,1.2436,0.751,1 
5.1137,0.1431,2.2816,2.5985,3.639,1.0994,2.3707,1 
5.5592,0.5918,1.839,1.438,1.8492,-0.2679,2.2192,1 
4.4798,0.3082,0.6396,0.9757,2.9266,2.6823,2.2104,1 
4.3997,0.6956,3.3744,3.0143,1.9227,1.8184,3.4222,1 
5.0182,1.8507,2.1163,0.6815,0.9744,2.9319,2.5831,1 
5.9041,1.6385,2.4476,0.6677,2.1252,2.73,1.3898,1 
6.6028,0.9422,2.6664,1.7466,1.2113,1.3669,0.48,1 
2.5316,0.0594,1.2213,2.0209,0.6347,1.0679,1.3197,1 
3.9602,0.1175,3.0727,1.6257,1.7057,4.123,1.3443,1 
4.3253,0.0711,0.7768,2.6964,2.487,1.864,2.959,1 
4.353,-0.1532,0.5745,1.2043,2.3469,1.1477,1.5435,1 
4.5949,-0.8814,3.6552,4.1053,1.1131,1.0896,2.196,1 
5.1201,0.4542,-0.1596,1.956,2.1975,3.3039,2.4166,1 
4.7092,-0.5133,0.8873,1.3376,2.0733,2.2059,1.8918,1 
5.0946,1.1188,1.8034,2.8485,2.7745,2.1304,2.9392,1 
6.2989,-0.3213,0.3356,1.6439,3.083,1.4034,0.8263,1 
5.5616,1.7465,2.5009,2.5418,2.0598,1.163,1.6202,1 
6.1623,0.316,3.494,2.8148,3.0473,2.2243,1.3113,1 
2.9085,1.4855,1.4768,2.1974,2.7012,0.7302,0.4772,1 
2.9182,-2.172,4.1483,1.778,2.7775,1.0145,0.1805,1 
4.8111,-0.2996,1.3861,2.7493,1.8842,1.8678,2.758,1 
4.9844,0.9151,2.2922,2.3375,2.5423,1.8323,1.4536,1 
4.273,0.2446,0.9407,2.3824,0.1959,3.0875,2.2185,1 
4.7611,0.6322,0.201,-1.2345,0.5661,2.6917,2.8136,1 
