Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Class
1.6093,9.7828,1.9475,2.862,1.3795,1.7653,2.154,1 
1.2505,9.5583,3.2519,2.8063,1.8422,1.3678,1.6743,1 
1.8739,10.2864,1.9093,2.4295,2.7926,3.2266,1.8103,1 
2.6654,11.3936,2.4964,2.0168,2.8486,2.2473,3.0526,1 
3.7302,11.2348,1.8946,2.1157,-0.0046,1.6485,2.5939,1 
2.2699,9.7917,3.3638,0.5989,2.6779,2.2239,1.7211,1 
3.2694,10.693,0.7758,1.4707,1.3022,1.5665,2.4931,1 
1.2816,9.8804,3.457,2.2201,1.082,1.7487,0.6475,1 
3.0449,11.3674,1.871,0.2276,0.2039,-0.3968,3.6153,1 
0.6643,10.8891,2.213,3.4284,1.5243,0.3839,1.5789,1 
0.5749,10.5022,3.0052,1.8684,0.3741,4.7821,1.5003,1 
2.7567,9.7213,1.9066,3.6951,0.9128,3.1375,3.7384,1 
0.8492,9.8285,3.8939,1.2219,2.9758,2.3823,2.3135,1 
-0.4143,9.2433,2.4299,2.7566,3.7401,3.2818,1.2111,1 
3.915,11.7549,3.2406,1.7321,2.8141,2.9548,2.6766,1 
3.3696,9.2761,1.3882,1.3185,2.0498,1.4632,1.5939,1 
2.7301,10.6391,2.0024,1.0887,2.6847,0.6044,1.1442,1 
1.4655,7.3333,2.5144,1.0597,1.9809,2.3946,1.2861,1 
2.3386,9.946,1.6755,0.9468,1.6646,-0.7151,0.4364,1 
2.3089,12.5149,1.4113,1.8309,1.8998,0.9194,3.3671,1 
0.4452,10.7357,2.8587,1.6661,2.2602,3.0448,0.4503,1 
2.7174,8.7335,3.4241,2.3837,1.7215,2.2496,2.5038,1 
0.6498,8.8802,2.7182,1.7766,0.4039,2.7706,-0.1102,1 
2.3679,10.2207,-0.0639,1.344,2.4045,1.7981,1.6163,1 
2.0956,9.0394,1.6631,1.1064,0.8213,1.9833,3.0411,1 
1.9711,10.265,2.2883,3.8051,2.0046,0.4618,3.0392,1 
