Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Class
1.4259,9.4489,2.1201,0.8194,0.28,1.7144,2.1133,1 
3.3292,9.1155,2.3125,1.9943,2.9428,2.7272,1.7297,1 
1.9818,11.5777,4.5562,1.3577,1.7246,2.7683,1.4665,1 
2.4178,10.5578,3.3143,1.2164,1.5447,2.8916,4.0773,1 
1.6647,9.1063,2.5823,1.7802,1.0716,-0.3802,2.1555,1 
3.6793,8.6749,1.9842,2.4603,0.8764,2.3112,1.289,1 
2.0721,9.9851,1.2933,3.9124,-0.7266,2.4487,1.7991,1 
2.381,10.7001,2.2381,2.0937,2.9046,1.6525,3.0044,1 
2.5419,8.6597,3.0424,3.1301,1.8227,2.3555,2.399,1 
3.0805,10.5298,0.9366,2.3942,1.8949,1.3822,2.8987,1 
3.4678,10.0687,-0.1007,0.9651,-1.3115,0.6528,1.982,1 
3.0077,10.2622,1.5641,3.3647,1.5124,0.1959,0.6432,1 
0.6667,10.9561,4.3317,2.8971,1.5275,2.289,2.8783,1 
1.7354,10.087,1.2374,3.1558,2.328,2.7601,1.506,1 
1.484,10.77,3.3788,3.576,3.2027,0.2543,1.59,1 
0.7814,10.7434,1.3148,1.1629,2.6748,0.9556,2.2433,1 
2.3652,9.6496,1.7356,1.7032,2.3001,3.3833,0.062,1 
2.5037,10.5736,1.5947,2.4489,3.3392,2.032,0.5101,1 
2.6654,8.0133,1.8426,2.7792,3.0179,1.8624,2.8177,1 
1.6864,12.5236,3.4811,3.0702,2.5079,1.4551,2.0522,1 
0.8497,10.6072,1.7666,-0.3255,0.4184,2.7921,1.9595,1 
2.0568,6.9231,1.8519,3.0955,1.4885,2.0237,1.0511,1 
3.0522,8.6761,2.1855,1.3523,0.4149,0.3038,2.706,1 
2.1837,8.8105,2.9795,2.0335,2.3383,1.6569,2.0539,1 
2.8131,10.8899,1.2765,1.9332,3.7899,-0.742,0.1593,1 
3.6695,10.5584,2.4319,2.7254,0.661,1.0001,2.252,1 
2.7215,10.3162,2.342,2.3578,2.7052,0.451,-0.3391,1 
