Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
-0.7227,0.3096,1.9415,2.4644,-0.0059,1.2433,2.6753,2.1414,1 
-0.0025,-1.0981,3.7947,2.9251,1.2319,1.5819,2.1413,0.9149,1 
1.0663,-1.8449,1.0246,1.2801,1.1065,4.1831,1.5451,2.0439,1 
-1.1389,0.158,1.3775,2.3157,2.9413,3.2095,2.2584,3.8254,1 
0.5543,1.2275,1.5609,2.5927,1.6534,2.0958,1.499,2.4967,1 
-1.4842,0.7178,2.7202,1.4774,2.8793,0.4166,1.2797,2.8758,1 
0.7067,-0.463,3.6837,0.4556,1.0207,1.569,2.7488,1.4461,1 
1.0067,1.2449,2.879,1.626,1.5637,3.5385,1.8417,2.0176,1 
0.5593,-0.5348,1.5557,0.7892,3.0515,0.8661,1.671,2.3056,1 
-0.8135,-0.3738,1.4,1.6626,1.0058,2.2739,0.4893,1.8473,1 
0.56,-0.7036,2.3971,3.1448,3.0397,2.3284,3.2909,2.5597,1 
1.4291,0.3388,0.6219,0.7432,1.5318,1.8495,0.4521,2.6079,1 
0.7354,1.39,2.4415,2.1247,3.2093,2.6192,2.5686,4.1122,1 
0.1497,0.8142,1.0401,2.9523,4.516,3.0061,0.8095,3.2856,1 
0.1403,-2.2928,2.4855,2.0205,0.9155,1.5405,1.958,0.6588,1 
-0.1891,0.6674,2.3634,3.1811,1.8939,2.0584,0.6079,1.2871,1 
0.0361,0.9745,2.5972,3.0777,1.4443,2.0428,1.9823,3.3618,1 
-0.4324,0.5723,-0.071,0.2051,1.395,2.7253,2.5493,2.2683,1 
-0.432,0.2256,1.98,3.0657,2.3664,2.3222,1.2247,0.9435,1 
-1.0301,3.5464,3.6618,1.632,1.9692,3.6393,0.4462,2.4836,1 
-0.999,-1.3707,2.4959,-1.1498,1.2024,1.7101,2.2184,2.4731,1 
-0.2743,0.088,1.5813,0.5,-0.1471,2.3955,3.0102,2.4015,1 
1.1858,-1.6954,2.6283,2.0349,1.3661,2.0667,3.1394,1.0257,1 
-1.0242,0.6788,2.5485,0.6786,3.0511,0.7742,1.0633,2.2346,1 
-0.479,0.352,1.3368,2.5528,2.4309,1.518,5.3725,1.8415,1 
1.1018,0.6854,2.1138,0.0789,2.2979,1.0804,2.1623,1.1343,1 
1.0265,-0.6229,0.5221,2.0281,1.9159,1.799,2.9156,1.4261,1 
0.2164,0.131,0.8038,2.1378,2.1777,3.2259,2.4799,0.2716,1 
0.2935,-0.6732,2.6912,3.2961,1.06,2.1072,1.7641,2.991,1 
-2.0711,-0.2467,3.1523,0.9179,2.5226,0.7118,2.1876,3.294,1 
0.615,0.1775,1.1117,-0.1514,1.4448,0.4223,3.0903,1.9307,1 
-0.4587,0.5733,0.9301,2.931,3.6416,3.3882,3.6349,1.0248,1 
-0.7676,1.1641,2.6372,2.1068,1.6507,2.9178,3.4798,1.0792,1 
1.3622,1.6129,2.0162,3.3414,3.089,2.642,0.4987,2.2844,1 
-0.0495,1.8445,1.8165,1.6852,1.0102,1.9802,3.0481,1.9429,1 
0.6795,-0.16,1.6917,1.7705,2.4651,2.4962,0.2228,2.1984,1 
-0.2146,0.2179,1.7776,1.8754,0.4765,1.7878,2.2691,1.7957,1 
0.7703,0.8722,3.2038,1.2577,3.5531,4.12,2.4747,2.2346,1 
-0.1339,0.1189,2.0076,2.5606,0.6701,2.1383,2.6736,2.3289,1 
-1.9721,0.5389,1.1517,1.4489,2.9907,1.0443,2.3988,2.1013,1 
1.3848,1.3896,1.5121,2.9065,3.1127,1.9867,2.9593,1.8846,1 
1.0139,0.9043,2.4046,0.861,1.449,1.5171,2.4687,2.0082,1 
-0.0481,0.7414,3.0128,2.1229,3.0906,2.1781,0.9693,2.0941,1 
-0.5538,-0.5746,2.5269,1.6071,0.2639,2.5112,1.5512,3.839,1 
0.1072,-1.6113,1.8717,1.7421,2.3917,2.2458,1.7981,1.3534,1 
0.7955,0.401,0.4057,2.5077,1.0301,0.8987,1.521,1.3299,1 
-0.1273,0.8385,3.1226,0.9174,2.7761,0.1702,2.1354,1.9728,1 
0.3862,1.1446,2.5685,1.3356,2.2036,1.1611,2.6853,1.7405,1 
0.1856,-0.2572,2.3741,2.4253,1.7329,1.2122,2.0186,2.0575,1 
0.0377,2.1618,2.4046,-0.0534,1.6702,1.352,2.7183,2.5483,1 
0.6179,-0.8996,1.7213,1.5805,1.5543,1.6058,2.6748,3.9451,1 
0.2901,-1.6314,2.4697,2.4111,2.2778,1.5212,3.6227,0.8172,1 
-0.1191,0.2484,2.1517,1.6485,1.3507,0.4224,1.4594,1.3018,1 
1.7584,-1.5411,2.6117,0.9858,1.0767,3.9903,0.4435,1.2043,1 
1.816,-0.2396,2.3434,1.4576,3.1198,1.9467,2.1927,1.9366,1 
1.0374,1.2251,4.2203,3.114,2.3147,1.3087,2.9508,2.3932,1 
0.6507,1.1795,3.3439,0.7333,2.54,2.2919,0.9447,0.6716,1 
0.0695,-0.704,1.0659,0.9504,1.2879,1.6099,0.9005,-0.8126,1 
1.7243,0.6458,1.6637,1.4048,0.1591,1.4077,3.7018,2.7839,1 
0.1165,1.2835,1.5257,1.3337,3.5527,0.4658,2.4643,2.2091,1 
1.3102,-2.039,3.2567,1.4298,2.8463,1.0003,0.0625,3.4023,1 
-0.2615,0.3324,0.3775,2.8086,1.4616,2.7361,2.1395,2.097,1 
-0.7759,-1.5492,2.271,2.4736,2.0487,1.9099,2.1293,2.2029,1 
-0.2589,0.7675,3.5871,1.7349,-0.8394,0.9066,0.778,2.1783,1 
0.7292,-0.4806,2.6109,2.3384,0.8541,1.9378,2.3198,-0.6173,1 
-0.6951,0.3106,2.1683,0.4726,2.3662,1.4228,1.0247,2.1542,1 
2.2997,1.1202,-1.4715,0.8724,1.4745,3.6358,2.1367,2.1814,1 
-0.431,-0.0719,3.2241,3.3652,1.5773,2.0235,1.9164,1.9715,1 
-0.1396,-0.6555,1.4188,2.4364,3.1765,1.384,4.7284,3.6098,1 
0.2289,0.5072,1.4066,2.9923,0.5573,2.5543,2.2794,0.8621,1 
-0.5048,-1.1955,2.556,3.3704,1.0747,2.1236,1.8959,0.6235,1 
0.3901,1.7769,1.3252,1.8346,2.1274,1.8523,2.8167,1.4722,1 
-0.9247,0.5961,0.7257,2.3466,1.7438,3.4648,3.1608,2.3964,1 
0.8906,-0.7187,0.7118,2.028,1.1511,1.7742,2.3429,1.4219,1 
0.8959,-0.7732,2.5071,1.7003,1.3336,3.0555,1.8463,3.3573,1 
-2.2215,-1.3456,3.7853,4.3316,3.0165,2.3114,0.3015,0.7595,1 
0.7868,0.1891,3.2347,0.7512,3.8897,1.1451,2.619,-0.3184,1 
1.1235,0.8502,1.2882,3.5936,2.3263,2.3067,1.2345,1.7345,1 
-0.914,-0.0555,2.6,1.3527,1.7256,2.2757,1.6612,3.2668,1 
0.882,0.7207,3.7303,1.7031,2.87,1.7695,-0.0531,2.4668,1 
1.3241,0.9189,1.1902,2.4143,0.758,3.6688,0.5122,1.5424,1 
-0.2575,1.4215,2.3309,1.4059,1.7594,1.4317,0.9552,2.2534,1 
1.0115,0.5914,2.9068,1.8792,1.321,1.1898,0.9425,1.7767,1 
-0.3056,-2.1712,1.517,4.4505,1.5613,1.2158,4.1484,3.3842,1 
0.9245,0.3881,2.5042,4.802,1.8541,2.0033,0.8891,0.7525,1 
-0.1578,-0.1932,0.1526,2.4374,2.128,1.1268,1.8481,1.4009,1 
-1.5675,-0.2093,2.266,0.3736,1.4987,2.1152,2.6911,2.5191,1 
-2.1504,-1.1999,2.9618,2.9613,1.5545,1.011,1.7563,3.0061,1 
0.5161,-0.6106,3.3361,2.7001,1.947,1.8493,1.3301,1.2034,1 
-0.0409,-0.3611,1.7286,-0.1468,0.9184,0.4474,3.6841,3.0994,1 
-1.2805,-0.0553,0.1934,0.799,2.4845,3.7045,1.7353,0.8469,1 
0.8142,-1.0126,3.07,1.6048,2.2854,1.564,1.2714,-0.7212,1 
-1.1498,-2.4424,2.3518,3.3014,1.8501,1.5828,2.8108,1.4148,1 
1.1382,-1.0517,1.5732,1.9571,1.2167,2.9128,2.7175,1.8521,1 
0.8482,-2.6486,2.9617,1.9301,3.4181,1.0862,1.9907,0.0018,1 
0.5462,-0.3126,0.465,0.8102,1.3058,1.9258,2.582,1.102,1 
-0.3867,1.6719,2.7304,2.3076,2.7873,1.1186,2.1959,1.7257,1 
-2.0848,-0.3341,3.5539,1.1917,2.5639,1.3118,3.6221,1.8798,1 
-0.4612,-0.434,2.917,1.9197,1.8684,2.636,2.8617,2.2975,1 
0.2669,1.1181,3.3148,2.627,1.9847,2.0254,0.8836,2.6652,1 
0.5193,-1.6093,0.149,2.2413,0.7928,2.2644,0.2096,2.2425,1 
-0.5781,0.7772,1.0382,2.2759,-0.0081,2.5086,0.9557,1.8403,1 
-0.7387,-1.6359,2.4086,0.5676,2.0839,2.7593,1.2993,2.6171,1 
-0.1646,-1.2565,2.5584,2.0031,3.2989,4.3253,3.4487,0.6217,1 
0.7843,0.9005,2.392,0.5241,3.2549,1.0524,1.8656,2.6164,1 
-0.5138,-0.6807,2.4747,2.5773,2.6863,-0.4044,0.0789,1.6556,1 
0.1971,-2.6666,3.1089,0.4675,1.7988,3.7506,1.5022,1.6793,1 
-0.6447,-0.2838,2.2737,1.5264,2.2521,2.3885,-0.2898,3.8868,1 
-0.0358,-0.9146,1.3935,2.9562,2.2225,1.6365,1.9719,1.3403,1 
-2.077,0.6013,1.475,2.5481,2.1464,3.7181,1.594,3.1834,1 
0.7503,-2.6401,0.9435,3.4489,2.1329,2.4786,2.6478,3.0211,1 
2.2398,-3.2899,1.1417,2.9884,2.4761,-0.1098,1.892,1.1884,1 
0.2859,-0.5835,2.3436,1.6437,1.8887,0.3668,0.3731,0.3273,1 
-0.2262,-2.1183,4.3402,2.8415,3.3904,1.965,2.3007,2.9376,1 
0.5028,0.5581,3.106,2.3222,2.6887,2.6036,2.1554,2.0601,1 
-0.1509,0.2514,0.7009,3.2894,0.6858,2.953,1.8012,3.9721,1 
1.4532,-0.6766,1.5961,2.0189,2.8369,0.6244,2.0358,1.6141,1 
1.5036,-3.1031,1.3412,3.2014,2.2326,2.0544,0.2143,1.4969,1 
0.3313,-0.3781,3.0544,0.1773,1.684,2.2,2.2936,0.2625,1 
0.7253,1.1533,1.8606,-0.111,0.5229,1.1474,1.4749,2.4205,1 
1.192,-0.135,1.5128,1.3276,2.915,0.9437,1.9989,1.6933,1 
-1.3148,-0.6591,1.0279,4.5179,2.089,0.8228,1.9946,1.785,1 
0.5918,0.9454,2.1067,3.28,-0.8372,1.1568,2.2944,2.5225,1 
0.8128,-1.7789,3.1626,2.0014,1.5802,3.212,0.2146,2.6183,1 
0.4079,-0.5446,1.555,1.8619,2.0756,1.0568,2.4642,1.4675,1 
0.2294,-0.7742,1.2942,1.3375,3.5729,3.0425,1.4154,2.4779,1 
-0.5636,-0.4917,2.5715,0.9681,2.7086,2.8899,0.0611,1.455,1 
1.9381,0.941,0.9807,1.1383,1.7313,1.8986,0.7443,2.4098,1 
-0.8299,0.5069,1.0874,3.5782,1.3263,2.4398,3.6969,1.0609,1 
0.3063,-1.3794,1.7239,2.7962,2.1651,0.7737,3.3826,3.313,1 
0.9862,0.6065,0.2117,0.7263,-0.4524,1.5933,1.9091,1.2591,1 
0.7366,0.0743,2.0054,4.9495,1.6403,3.2129,1.2629,2.631,1 
0.8088,-0.8747,0.4549,1.8313,2.0376,1.4778,1.4387,2.4166,1 
-1.1188,1.1719,1.1908,1.4222,2.5053,3.5185,2.3413,0.6619,1 
1.7748,-0.8124,2.7699,1.971,1.1614,2.4957,2.2346,3.2417,1 
-0.2499,0.9287,1.6972,0.5464,1.2028,1.9806,4.0262,2.6716,1 
0.198,0.5517,4.4058,0.5194,0.7078,2.304,-0.397,2.7163,1 
0.5012,0.3909,1.4902,1.5867,2.6544,2.3824,2.4974,2.0469,1 
-1.2071,-0.0396,1.7044,1.0322,1.9276,0.8229,1.9382,2.4043,1 
0.5112,-0.9968,0.389,2.616,2.1436,2.5436,2.967,4.2952,1 
2.073,1.98,2.0054,0.7039,1.0282,0.9457,1.6031,0.6839,1 
0.3108,-0.2698,2.1067,0.4022,2.8935,2.3165,1.3292,2.0229,1 
-0.5499,-0.2721,-0.0082,1.0803,2.8177,3.69,1.8167,0.4124,1 
-1.0171,0.8425,1.1718,3.3034,1.5235,0.852,2.0578,4.6113,1 
0.5454,-0.9656,3.3136,2.5502,1.8281,1.7642,2.656,0.9789,1 
-0.8307,-1.2502,3.917,3.3624,1.5118,1.1646,3.3666,1.5395,1 
0.8247,-0.2319,2.8375,2.2085,3.1294,1.9953,2.5647,2.5871,1 
1.7351,-0.053,1.982,1.2356,0.9308,2.2632,1.385,4.5615,1 
-0.7823,-0.5399,2.7442,2.3251,1.6968,2.7846,0.141,2.3443,1 
-0.2092,-0.9473,3.3198,1.5607,0.8186,1.8421,1.8451,2.6095,1 
2.2236,0.3053,2.8062,0.7616,0.0625,2.9152,0.9664,3.1914,1 
-0.9053,0.1277,1.5125,1.9234,1.82,1.9895,1.2095,1.3495,1 
-0.6231,1.4095,0.8323,0.5307,1.2837,1.8161,1.7213,3.5144,1 
-0.133,-0.2706,0.9349,1.7242,1.6028,2.5899,2.4866,0.5353,1 
1.1686,-0.5197,1.9408,4.8745,3.1671,1.6279,1.8726,0.5946,1 
-0.6231,-1.1865,0.4028,3.2037,2.0097,1.1682,2.0731,-0.2703,1 
0.8964,0.1279,1.9018,2.789,2.012,0.7511,2.7083,2.4086,1 
-1.5212,0.4551,0.9346,1.9258,1.296,3.1711,3.0574,1.4685,1 
-0.3275,-0.5172,2.781,2.0465,3.1241,2.0495,3.5306,2.8927,1 
0.907,-2.205,1.5638,0.3511,0.8756,3.6799,0.4777,2.6529,1 
-1.811,-1.2978,0.7288,0.6318,1.7153,1.0053,2.3886,1.779,1 
1.5305,1.0417,2.6272,2.641,1.9037,1.7303,2.219,0.1659,1 
0.3873,-0.7275,3.8245,2.2761,3.5058,2.3327,0.7689,3.9563,1 
1.1074,0.3657,2.1735,3.2576,1.7378,1.7866,0.0883,-0.23,1 
1.0244,-1.0483,2.673,-0.0772,2.3065,4.06,2.4396,1.3555,1 
0.052,-0.2578,1.184,2.9609,1.8672,1.931,0.9678,1.243,1 
-1.3532,0.3558,1.5789,3.0329,1.0836,2.8702,1.2019,1.006,1 
0.7056,0.0469,3.1386,-0.2217,1.7138,1.6549,3.48,2.3802,1 
-1.5443,1.6512,2.9848,2.1207,1.9234,-0.0049,1.2859,2.8298,1 
-0.6636,1.5161,1.4609,1.1888,3.5866,2.2314,-0.8523,2.6614,1 
-1.052,-0.8877,2.323,1.956,1.1146,1.0963,1.706,1.5494,1 
1.217,0.0048,1.357,1.4161,3.3518,4.9005,3.8877,1.6154,1 
-0.9417,0.4385,2.3255,0.1487,3.0952,1.4244,2.7259,4.5297,1 
0.4895,0.8592,1.4359,2.1674,0.1594,3.1377,2.241,-0.1606,1 
-1.5035,0.5146,3.3744,4.6972,1.4223,2.2635,1.7853,3.1034,1 
-0.9448,1.6402,1.3287,2.1952,2.0363,1.341,2.8318,1.321,1 
-2.8037,0.7161,3.3144,1.4572,0.7455,2.1936,3.0069,2.8501,1 
-0.929,-1.7675,4.0054,2.2448,1.9876,2.3373,1.222,2.209,1 
0.6279,0.2349,1.9987,2.5904,0.6946,0.7465,0.5075,1.3771,1 
-0.2873,0.1561,1.8739,0.7103,1.5182,2.4046,1.7004,1.0453,1 
2.7637,-0.2665,1.2306,2.9741,2.7562,3.8107,0.9625,2.5414,1 
1.908,-1.7583,1.8396,2.6342,1.5363,1.8869,1.571,2.3297,1 
-0.2907,-3.4578,2.6532,3.4336,1.928,1.2979,0.5365,1.841,1 
0.8223,0.5845,0.849,2.5041,2.2447,1.016,2.5606,2.3701,1 
-0.7162,0.5755,3.4232,2.932,3.3124,0.5101,1.527,2.5648,1 
-1.2758,0.6548,1.5505,1.3211,3.2044,2.1143,2.338,2.3164,1 
1.3641,0.3624,2.5885,0.1499,1.442,1.6465,2.4803,0.6656,1 
0.1501,0.2511,2.6112,2.1654,2.8466,2.2073,1.1745,1.3783,1 
-1.0808,1.1906,1.4899,3.6025,1.1515,1.056,1.8653,2.9406,1 
-1.2107,-0.9554,2.4631,2.0149,3.1079,1.5722,2.1895,2.1569,1 
-0.6807,0.8783,1.8301,-0.8766,1.8328,3.1595,3.5736,0.3018,1 
0.7582,0.4899,2.2953,0.9801,3.4495,1.8072,2.9533,1.6963,1 
-0.5086,-1.3362,2.4837,3.0658,0.6372,1.0166,3.2326,3.4231,1 
1.9824,-2.0071,0.3659,-0.1466,1.7693,1.7222,0.9242,2.0704,1 
-0.6085,2.0839,1.3673,2.1917,3.0986,2.2354,2.1018,4.0212,1 
-0.3855,1.7856,0.9237,2.0837,1.5903,2.2216,2.3249,3.2791,1 
-0.5482,1.8597,0.1272,1.5831,1.6055,0.4598,1.0662,0.7489,1 
1.1787,0.1451,3.1721,2.1197,2.1103,1.3745,1.6963,0.32,1 
-1.6239,-0.6875,3.306,0.5205,1.7805,3.7117,3.358,3.2751,1 
1.6057,-0.4542,-0.1649,2.5015,2.8858,1.8463,0.1614,0.1992,1 
-0.0181,-0.4214,1.8458,2.5972,1.6865,1.1135,1.9953,5.0484,1 
-1.2348,-1.1642,1.8218,1.3644,2.8301,2.0391,1.7313,3.5831,1 
0.3331,-0.9612,1.6892,1.5089,2.8852,2.2521,3.5258,3.2527,1 
1.2299,-0.9044,1.6781,2.4062,1.1219,1.8082,1.2976,2.5888,1 
-0.4851,-0.1311,2.3632,2.5436,4.3347,1.8586,0.8609,2.3511,1 
0.7802,-0.4389,0.8864,1.0401,2.5008,2.6443,1.9782,1.8923,1 
