Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
0.2389,-1.0292,2.0881,1.8799,2.0524,1.3104,1.3561,1.3102,1 
-1.2257,1.4552,4.0186,0.5231,3.1948,1.6738,2.037,1.7535,1 
-0.2164,-0.575,1.7471,3.9558,2.0675,2.8739,2.0351,1.598,1 
0.9375,0.1439,1.938,1.1042,1.0987,0.9955,2.5312,2.3121,1 
-0.0114,-0.3781,3.538,0.2575,1.2703,1.6874,1.8348,2.0092,1 
2.968,-1.0384,2.0257,2.6393,1.5939,1.3719,2.7131,2.9468,1 
1.1204,-0.4002,1.9774,1.8098,3.688,1.1927,-0.3726,1.8167,1 
0.6564,-1.1442,2.5544,2.3382,3.1162,1.25,1.2091,2.28,1 
0.6687,0.4678,4.0088,0.76,2.3765,-0.0073,2.1364,0.6695,1 
-0.0959,-1.1355,1.8,1.0824,3.471,3.0302,2.9112,1.1896,1 
1.4278,-1.0161,4.3515,2.7545,3.0742,1.4851,3.8117,2.7588,1 
-0.2142,-0.4777,1.0078,3.1935,3.5809,2.2841,2.9374,2.8347,1 
-0.9184,1.8001,3.4662,2.2806,2.1827,1.5075,2.5296,-1.0264,1 
-0.7909,-0.7308,2.0503,1.4132,1.6545,2.787,2.6175,3.1058,1 
1.1773,-0.2101,1.6997,3.6407,2.0385,1.5425,1.717,2.9915,1 
0.2496,-1.4974,2.162,1.4815,1.3369,1.7627,1.6683,1.6562,1 
1.7939,2.4872,0.496,1.7099,2.6246,1.4284,2.9661,1.4298,1 
0.7437,-2.086,1.3022,2.6856,1.639,1.0929,0.8446,2.0055,1 
0.6156,0.3552,2.1135,2.7533,0.6084,3.4273,3.9538,1.7146,1 
0.4997,0.045,2.2108,0.6647,0.8402,1.9111,2.6817,2.5751,1 
-0.9442,-0.4814,1.1149,0.863,0.8741,2.2322,2.6368,1.9709,1 
0.3144,0.3933,1.7643,0.9496,4.0644,0.9383,4.4146,3.4317,1 
-0.7603,-1.0009,2.9559,2.9303,1.0751,1.6011,1.8101,2.0626,1 
0.5457,1.1371,0.8254,2.8428,1.4891,1.087,3.3843,2.0692,1 
-0.1801,-1.8103,0.0134,1.0049,1.1314,0.0086,1.3024,2.6061,1 
0.4523,-0.5532,0.1439,-0.0733,1.9763,-0.141,1.6835,2.1467,1 
1.13,0.6262,2.8354,0.4643,2.2788,1.2363,1.8638,2.595,1 
1.0117,0.6504,0.8644,1.7023,1.1239,2.265,3.8725,2.77,1 
2.2653,-2.4268,2.1468,2.338,2.0198,1.6615,1.6619,1.185,1 
-0.1447,-0.1428,2.9367,0.324,0.9743,2.1985,1.3638,2.2399,1 
-0.1882,0.6438,2.5239,1.7506,2.4792,-0.2857,2.0558,1.8398,1 
-1.4899,0.0,2.3574,2.624,1.439,3.7741,2.4081,3.0408,1 
1.5621,1.1447,1.8712,0.2761,2.0241,2.0933,2.3659,1.0643,1 
1.6208,0.675,1.9561,1.5692,1.7045,3.8857,2.0297,1.8311,1 
-1.819,1.7339,1.3834,0.3686,2.8455,0.5942,2.779,2.5227,1 
-0.2121,0.3399,1.2474,0.6236,1.5565,1.2258,1.3221,2.4399,1 
-0.8312,-1.7003,1.901,0.6398,0.9266,2.2822,1.1581,2.8112,1 
-0.4294,0.8529,2.6524,1.6127,1.9369,2.4545,4.5687,2.4669,1 
-1.4127,1.775,1.9112,0.7726,3.1872,0.327,4.1647,-0.3625,1 
-1.1127,-0.0276,2.988,1.4839,2.1868,4.5146,2.1763,2.8377,1 
-0.4385,0.1028,0.9959,2.6135,3.0126,3.1474,2.0834,1.5141,1 
0.6372,0.7766,0.0957,2.0482,1.0896,0.638,1.9555,2.351,1 
0.7513,-1.4034,3.0206,1.2007,2.6699,0.0832,2.4228,2.2168,1 
0.2025,-0.8385,0.4773,1.3535,1.8747,2.4085,0.9014,2.8203,1 
1.1744,-1.0875,1.7335,2.1347,1.9379,3.85,0.5849,3.0577,1 
0.3142,-1.9205,2.4936,0.4474,0.7272,1.9947,1.7027,0.406,1 
0.3316,2.6894,2.5173,2.0666,3.1274,2.694,0.8172,1.3393,1 
-0.7714,0.5434,3.0763,2.2344,2.4562,1.9633,1.6357,1.9145,1 
1.7732,1.3294,1.6224,2.7643,0.58,3.838,2.9558,2.3228,1 
0.7114,-0.3525,1.6977,2.2732,3.2351,1.0649,1.2563,1.3533,1 
0.3287,0.0447,2.4271,1.6747,3.1009,1.9504,2.8425,2.6929,1 
-0.9553,-1.7645,3.4784,2.4309,3.103,1.7184,2.3105,1.948,1 
-0.7966,-1.2818,3.4917,1.9743,1.2406,0.3367,1.2669,1.2002,1 
-1.1812,1.3284,0.9749,1.9472,1.6321,2.4732,4.1547,2.6471,1 
-0.7421,-0.6798,1.5336,1.0906,1.2488,1.5856,2.5256,1.5338,1 
0.7577,-0.4993,2.7677,1.4683,0.6192,1.5803,3.1282,2.666,1 
0.8713,0.5653,2.2635,3.4496,0.935,1.5469,1.8365,2.522,1 
1.1144,1.1135,2.0007,2.9655,0.7266,2.0507,0.6696,-0.3971,1 
-1.2144,0.0043,0.3849,0.8586,1.3477,3.1085,2.6604,1.1531,1 
-0.1745,0.9779,2.0422,2.1457,1.1303,3.3048,2.0935,0.6403,1 
-0.6214,1.3059,0.6811,3.9422,2.9323,2.8204,0.482,2.235,1 
0.6954,0.4682,2.7416,2.9043,2.0742,2.037,1.4782,0.1867,1 
0.1159,2.1166,1.2789,3.2675,2.7082,1.5826,2.6141,2.0235,1 
-0.4658,-0.9984,1.5507,2.5226,2.217,1.6879,1.7648,2.6255,1 
-0.4412,-1.7654,3.1866,1.3993,2.2671,0.9648,1.2586,2.7689,1 
0.3046,-1.3275,1.4953,3.2103,2.5753,1.8652,2.243,0.7384,1 
-0.4687,1.4018,1.2549,2.9976,1.2576,1.418,1.4535,0.9024,1 
-0.2731,0.7963,0.6094,3.4894,2.0368,1.7737,1.0682,2.1735,1 
-2.1536,0.6939,2.3582,0.2149,2.058,3.5103,2.2416,2.928,1 
0.1596,0.3004,3.0352,2.6972,2.2609,1.7461,0.9083,0.2947,1 
-0.6139,0.979,3.4722,2.0668,2.8853,1.7926,2.5464,1.388,1 
-0.8528,0.2916,4.6229,2.3769,3.4829,2.1883,-0.1082,1.6753,1 
-1.0533,-0.6523,0.1166,1.6262,1.2871,3.0824,1.3252,1.5238,1 
1.9652,2.0141,1.874,0.7055,1.9571,3.5577,3.7906,4.1092,1 
0.5231,-1.255,2.743,1.2896,2.296,1.267,4.1815,2.1578,1 
-0.192,-0.194,1.9439,0.3561,3.0067,2.8094,1.6058,0.2266,1 
1.1142,0.9428,1.5204,0.3981,1.5579,1.1689,6.4938,2.3604,1 
1.2405,-1.4492,2.3367,2.8393,3.0984,3.6895,2.758,2.0876,1 
0.0747,0.2699,2.6595,0.5165,3.3911,1.6819,1.5936,2.5439,1 
-0.3959,-1.2571,-0.3322,2.0371,1.9118,2.7467,1.2811,0.7777,1 
-1.0907,-0.4982,3.2714,2.7182,3.6026,1.23,1.0133,2.0357,1 
-0.3188,-0.1221,2.7175,0.6495,0.6043,0.9883,0.849,1.8796,1 
-3.1666,0.0959,2.9128,0.5222,2.6742,1.9264,3.0484,1.2052,1 
1.6828,-2.1437,1.0314,2.0094,4.4985,3.1809,2.4734,4.0255,1 
1.6186,1.0517,2.5636,3.7405,2.1009,1.2114,3.3171,2.3451,1 
-0.8893,0.4282,1.2451,3.252,2.2635,0.9588,1.3091,1.438,1 
-0.7722,0.9515,1.2847,0.6791,3.2768,-0.4528,1.3092,2.5171,1 
0.3242,0.0324,0.4668,0.4449,2.398,3.288,1.5818,2.968,1 
-0.9908,1.4833,0.0543,3.4092,1.8629,1.6993,2.98,1.7052,1 
0.7483,-0.7006,2.1211,1.7678,2.271,2.7736,2.38,2.1491,1 
-0.6271,0.212,2.3958,1.6438,0.1307,1.749,3.1935,4.2047,1 
0.9895,-0.4257,1.6273,3.4185,1.7977,1.1898,1.7431,1.6904,1 
-0.0284,0.6624,2.2749,3.5177,1.2604,1.4661,2.3738,1.2542,1 
0.7477,1.8569,2.724,1.9898,3.0983,1.18,0.8062,1.4858,1 
-0.168,0.2306,2.8961,4.2498,1.7112,1.8957,3.7149,2.3179,1 
0.469,1.2985,1.6761,2.801,3.1269,0.7326,2.352,2.6692,1 
0.8071,-0.5711,1.3923,2.6611,1.5651,2.2109,0.8926,0.9284,1 
0.2285,1.3405,2.6225,4.2038,2.1521,1.5307,2.4573,0.6599,1 
0.8278,-0.1623,0.2536,2.7831,0.6129,3.8807,1.5802,1.0799,1 
-1.017,0.3881,2.525,0.9097,1.4599,1.9956,0.7345,2.4338,1 
0.9156,0.1211,2.5268,1.5668,2.2236,3.9817,1.8506,1.363,1 
0.5242,-0.2404,2.496,1.8063,2.1023,1.4429,1.6481,1.272,1 
-0.8538,1.6738,1.3425,0.4845,1.5623,2.1829,1.6385,2.2624,1 
0.378,-1.5968,2.6621,2.4874,1.1687,1.8335,1.9342,1.5458,1 
-0.6643,-1.3469,1.4337,2.8906,2.363,3.0565,3.3092,1.4409,1 
-0.6569,0.3118,4.5147,1.6207,2.512,1.045,3.4287,2.5588,1 
-0.8784,-2.4756,2.061,0.6466,2.8736,2.69,2.874,2.6871,1 
-1.6044,0.6641,1.1534,2.2383,0.6695,1.7019,3.4258,0.5644,1 
-1.9867,0.8466,0.6684,3.1671,3.6397,0.4421,0.8534,3.0608,1 
-0.0143,0.5858,2.665,0.2162,1.7479,0.7955,0.6297,1.0295,1 
-0.9171,-0.1599,3.2718,1.9722,3.6297,-0.027,1.212,2.5651,1 
-1.1725,1.1247,3.4834,3.5412,3.6612,2.5474,1.2877,1.1293,1 
-0.6866,0.9522,1.4768,1.2507,0.616,1.2717,1.0103,2.3102,1 
-0.9231,-1.1527,0.4992,2.8136,2.0744,1.57,1.5332,1.4786,1 
-1.7842,0.6918,1.4821,-0.622,2.1459,2.4895,0.792,2.3229,1 
