Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
1.953,0.697,0.8329,1.7996,1.5816,0.7777,2.1347,0.9269,1 
0.8025,0.5455,3.0018,4.2707,3.527,2.092,2.3306,2.4155,1 
1.41,0.1275,2.3697,2.938,-0.297,1.3839,0.3169,0.4518,1 
0.2783,0.8574,2.6865,0.9251,3.1074,3.3918,1.0136,2.0424,1 
0.097,0.6763,2.4528,2.1177,1.575,2.434,1.8674,3.8398,1 
0.3692,-0.5548,1.2549,3.3195,0.3267,3.4393,2.0974,2.7136,1 
-1.1685,-3.1515,1.8687,2.8405,2.1845,2.9528,1.7166,3.8066,1 
0.2966,0.2816,2.4631,1.657,-0.0992,1.4745,1.7464,1.2519,1 
0.0114,1.5759,1.9555,2.2224,3.221,1.6534,1.1625,2.0506,1 
-0.4738,3.2796,3.1627,2.3093,2.3282,2.8017,1.5015,1.1565,1 
-0.7206,-0.7894,2.3279,2.6594,1.5447,2.0457,2.9158,1.0599,1 
-0.7898,-0.3314,1.5222,2.296,1.6675,3.2846,0.8163,1.268,1 
-0.9262,0.6185,1.4356,1.7435,2.2222,2.3253,2.34,0.6689,1 
-0.6129,0.4075,0.4461,2.2787,2.2537,1.5444,0.6014,2.7096,1 
0.6359,-0.6326,3.6912,1.1711,1.2259,3.5818,0.5134,1.96,1 
-1.5642,1.864,0.7419,1.4899,1.6233,2.5666,0.0533,0.8647,1 
-0.5953,0.78,1.1793,4.6319,0.7496,1.9658,0.8104,4.0369,1 
-0.6772,-0.0835,0.9363,0.3871,0.2766,1.8108,0.7152,3.6947,1 
1.5123,0.8885,4.1905,3.6492,2.4681,1.639,2.8363,3.153,1 
1.733,-0.3275,2.8696,0.4887,2.2321,2.7462,2.1727,1.5172,1 
-1.617,-0.7428,1.3846,2.4278,3.489,2.3416,2.7518,3.5425,1 
1.0611,0.3642,1.3362,-0.3422,2.8254,0.6892,1.0277,2.6419,1 
0.2676,0.8849,1.7931,1.5146,2.892,0.3046,2.0613,2.8894,1 
-0.3137,1.0189,2.5231,4.2147,3.6156,3.576,0.873,2.4894,1 
-0.1257,1.0057,0.3342,3.7138,2.5362,1.8619,2.9905,3.9425,1 
-0.2516,1.1588,3.6448,1.0213,1.3424,2.2766,0.8253,3.3811,1 
0.6347,0.3464,2.3423,3.3917,2.1021,2.6283,2.241,1.9995,1 
-1.2231,-1.9528,-0.4659,0.9791,2.3178,1.3086,2.6675,1.7044,1 
0.6417,0.7712,0.6179,1.815,-0.3063,1.5913,1.9475,2.2918,1 
-1.8944,0.8319,2.5572,1.2676,1.7188,0.5984,0.5512,3.7736,1 
0.4107,0.9807,2.2318,1.8741,1.9252,2.3086,1.9071,1.2821,1 
0.53,-1.2677,1.3075,0.8831,3.3968,3.1664,1.3714,1.8857,1 
1.1239,-0.7942,-0.521,2.0043,1.1563,2.8174,2.2396,0.9184,1 
-0.3169,-1.3569,1.5231,2.5915,1.5585,0.9132,1.0687,3.205,1 
-2.0011,1.6376,0.0068,1.6939,2.1486,0.2867,0.5213,1.9899,1 
-0.7404,-0.4811,-0.247,2.1942,2.9597,1.2965,2.1971,2.6879,1 
0.6373,-0.2632,1.5831,1.2059,3.488,0.7907,1.9052,2.8024,1 
-0.5088,-0.5277,0.8438,1.4545,1.1413,0.0041,1.3827,1.1748,1 
1.5266,-1.8622,1.3611,1.5058,-0.2219,2.3593,1.9285,2.4501,1 
0.0331,-1.0358,3.9536,1.427,2.1274,2.295,2.0732,1.622,1 
0.8249,-0.86,1.4291,3.3207,1.5761,1.7809,2.4383,2.0609,1 
0.927,0.5669,2.2498,3.4283,2.6827,2.0487,2.3453,1.8126,1 
0.0916,-1.0222,0.689,2.2025,3.1137,1.4071,2.2482,2.7498,1 
-0.1196,-0.5082,1.3956,2.0043,3.4323,2.3512,2.3801,1.2493,1 
1.5738,-0.5992,1.0913,2.6433,1.689,1.7829,1.8394,2.1906,1 
1.0772,0.2749,2.7827,1.9554,2.3287,2.7627,1.1877,4.7008,1 
-0.1395,-1.3213,2.6927,2.5084,2.1039,2.1489,2.6482,1.3564,1 
1.1005,0.0095,1.8783,2.3187,1.4645,2.9823,1.4588,2.4128,1 
