Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
0.5675,-0.0275,1.9436,3.3467,1.9602,0.7411,1.7264,1.5181,1 
-1.0976,0.6622,2.9876,4.2132,2.5461,1.2917,3.1409,2.6562,1 
-0.9873,-0.4871,1.928,2.0727,1.5195,0.2829,2.6658,1.9299,1 
-0.8127,3.1734,1.0486,3.3564,2.562,1.3828,2.1885,1.6727,1 
0.407,1.3212,1.8951,2.1221,0.9276,2.083,1.5516,2.8677,1 
-0.169,1.9946,2.2941,2.2312,1.0709,2.4569,2.5852,3.1716,1 
0.648,-2.2044,2.716,2.0686,2.2556,1.9219,1.6799,2.0437,1 
1.1546,-1.8105,0.4221,2.6161,2.4013,1.4286,1.4439,1.6097,1 
-1.1821,-0.5279,0.9207,4.2876,2.517,3.5211,1.3576,2.0114,1 
-0.3097,1.4602,1.3728,2.5647,1.6042,3.1441,2.0973,2.1077,1 
0.3387,0.8815,2.216,2.0415,3.2309,0.6219,2.2673,3.0658,1 
-0.308,-2.1121,1.2513,2.8806,3.646,0.0829,2.5074,0.8591,1 
-1.1393,-0.2933,1.8003,-0.1361,1.8729,2.4123,0.661,3.9395,1 
0.8531,-0.7967,2.5369,1.3163,3.7233,1.7599,3.488,0.0851,1 
-1.887,0.8981,2.3694,1.4703,2.1951,2.0469,2.7926,3.4667,1 
-0.2627,-0.5449,1.0023,3.1241,0.1197,1.3172,1.9507,0.7524,1 
-0.0065,1.2759,2.6004,4.0856,0.7817,1.68,-0.9185,1.1289,1 
0.6456,0.4926,1.5578,2.1424,4.3064,3.3692,1.9588,1.4363,1 
0.8628,-0.4912,0.0243,1.6661,0.5112,1.9771,3.1777,0.9656,1 
-2.5269,1.2467,2.8604,1.389,3.6151,2.4455,1.3993,1.1321,1 
-1.0631,-0.6539,2.0084,2.003,1.9083,2.3968,0.7729,1.5768,1 
0.5476,-0.5705,1.5452,3.7069,3.2223,2.2586,2.2955,3.0909,1 
0.075,-0.9217,1.8381,0.8122,3.1738,1.5103,1.2995,1.3774,1 
0.4876,-0.0831,0.6867,2.1987,-0.269,-0.2811,3.4084,3.044,1 
0.5273,-0.8059,0.9822,1.0314,-0.6941,1.3581,-1.1648,2.6287,1 
0.8744,-1.8836,2.7924,3.6815,1.7266,-1.3523,1.7173,3.2266,1 
2.622,-0.6048,0.2294,0.6417,2.7094,2.2305,2.2651,1.8303,1 
-1.1438,0.0107,2.2016,2.0538,1.2228,3.7998,0.3882,3.2073,1 
1.4448,-0.5684,3.0962,1.3898,1.1776,3.6187,1.715,2.2325,1 
3.3923,-0.6238,1.5358,2.6315,2.864,0.3264,0.7704,3.3722,1 
-0.2304,-0.8673,2.4385,2.1641,3.2881,1.8241,0.678,3.3862,1 
-0.3425,-0.0405,3.4211,2.529,2.1447,1.9932,1.3476,1.6583,1 
1.6454,0.3039,3.0888,3.6593,1.4664,2.8045,2.5683,0.5673,1 
-0.4244,2.2573,2.2592,4.2509,3.5445,1.5203,1.4611,4.0582,1 
0.037,0.1167,2.4557,4.0498,0.4286,0.7655,1.7575,1.8727,1 
0.1802,-0.4563,-0.2933,3.3599,2.0415,1.1971,1.3613,2.9768,1 
0.8969,-0.5326,2.9874,0.2122,2.2358,1.754,2.7071,3.0663,1 
1.2862,-0.6506,3.6113,2.5306,-0.1211,1.5405,2.456,3.7447,1 
-0.4429,0.3248,2.2148,2.5929,2.7962,1.1605,-0.4441,1.1869,1 
-1.0182,-0.8621,2.9709,1.6516,1.6772,1.1325,0.5497,2.7404,1 
-0.1127,2.2795,1.7918,2.5105,2.3842,2.311,2.3183,2.2292,1 
1.3411,0.2224,2.9097,3.3131,2.6958,1.8595,0.7557,1.9133,1 
1.5086,0.2223,1.7207,0.788,1.7765,2.0246,-1.0049,2.3092,1 
-0.8553,-0.8248,2.4305,2.999,1.0617,0.3652,2.6443,0.6422,1 
0.334,-1.1215,1.4399,1.5476,0.1387,1.274,1.862,1.6309,1 
-0.9713,1.5003,3.6446,1.5252,1.9562,1.1608,1.8853,0.8935,1 
-0.9996,-0.8069,3.9674,3.2835,1.9876,3.3274,2.8646,2.2464,1 
-0.7949,0.1263,-0.0752,3.2794,2.3898,2.6789,2.7309,1.6185,1 
0.8149,0.1359,-0.4398,2.2493,1.9028,2.4146,2.7982,1.0422,1 
0.8337,0.146,2.3583,2.345,1.5189,0.8238,0.6561,0.6629,1 
1.3084,0.1323,3.2766,3.3523,2.3848,-0.0379,1.9842,1.4227,1 
1.7312,0.787,3.2187,2.7677,2.7257,1.2912,0.86,2.8648,1 
0.0988,-0.2267,2.9261,0.5931,3.3546,2.5434,2.7757,1.1143,1 
-0.6429,-0.8473,0.9219,0.6096,0.9797,2.0107,0.0398,3.9113,1 
0.6508,-0.148,3.7305,1.6575,1.4688,0.5943,1.0847,0.9307,1 
0.4885,-1.9614,1.9827,0.2953,1.8355,3.9055,3.9726,3.7448,1 
-0.0034,1.1215,2.2913,0.9381,1.514,1.7989,1.9865,2.3175,1 
0.042,1.444,0.7494,0.7978,2.5031,2.9797,2.6915,3.5878,1 
0.286,0.4666,2.4741,1.5407,1.3921,1.8514,-0.2879,2.3967,1 
-1.7047,-0.1421,2.1247,-0.0026,0.7682,2.3979,3.5023,0.3037,1 
0.3045,-0.4796,1.0944,1.942,2.981,3.9186,1.2461,2.7951,1 
-0.6476,1.7955,2.5616,3.9944,2.3197,2.9316,2.299,-0.3189,1 
-1.0582,-0.4479,1.5677,1.695,1.8819,2.2638,1.8435,0.5586,1 
-0.8264,-1.7732,2.2822,3.592,2.3038,1.7957,1.7789,1.34,1 
-0.3587,1.2799,2.872,1.2614,3.9238,2.5794,2.5826,2.2594,1 
-1.3353,0.9737,2.926,2.7293,1.5064,0.0479,2.6578,0.0302,1 
0.9394,-0.9007,1.6848,1.0495,2.7145,1.5102,2.1747,2.2245,1 
-1.2318,-0.9789,3.3237,1.3526,1.8877,1.8277,2.1777,2.9856,1 
-1.1126,-0.5936,2.5497,3.1951,1.6616,0.9952,1.1351,0.7948,1 
0.7766,-0.3574,3.4988,3.089,2.3262,0.1655,3.7501,2.7869,1 
-0.1957,-1.455,1.3282,0.2795,1.591,1.4487,2.7196,2.5071,1 
0.449,-0.356,2.7625,1.327,2.5999,2.1674,1.2034,1.591,1 
0.8108,-1.4704,2.5767,1.7994,0.1258,1.2153,0.9468,2.5567,1 
-1.2381,-0.2704,1.6675,1.1424,2.202,1.19,2.8416,-0.3339,1 
0.7935,-0.6916,0.6746,2.8037,2.5635,2.0423,1.1335,-0.1067,1 
-1.1376,0.2915,2.847,3.9945,2.099,2.5494,2.8375,1.7298,1 
-0.0451,0.5302,2.1468,3.1284,2.0048,2.5658,1.8947,1.9077,1 
0.3329,1.4025,2.4326,0.7007,1.1291,0.74,-0.4279,1.261,1 
-2.5288,0.2459,1.928,1.8331,1.0588,1.6662,2.1421,1.9525,1 
-0.491,0.0187,2.5447,2.5948,2.6194,3.1362,-0.1881,2.0318,1 
0.8082,-0.2555,2.7048,1.8966,1.5914,2.6913,2.2543,2.3877,1 
0.3819,-1.0927,-0.0722,1.6535,1.3207,3.2201,1.2235,1.5273,1 
-1.0344,-0.7966,2.8402,1.0786,2.5542,1.773,0.3512,1.8471,1 
0.1875,-0.0747,1.1258,2.426,2.1653,1.83,2.1348,0.2973,1 
1.5865,1.4411,2.2736,3.486,2.6097,1.851,2.0468,2.1715,1 
-2.2894,-0.3266,2.8955,2.0113,2.4727,2.7177,0.7944,3.069,1 
-0.0459,-0.0283,3.2596,2.3938,-0.2532,1.03,2.4472,2.4392,1 
-1.6276,-1.7108,1.96,2.9728,2.5345,0.6975,0.6025,1.6701,1 
-0.3604,0.1327,1.4426,1.7437,1.2698,3.2302,2.827,1.5008,1 
0.5548,-2.0769,1.5368,2.5344,3.0273,3.4409,-0.0571,2.8774,1 
0.7508,-0.2116,0.6156,1.4776,2.3445,1.7377,2.5011,1.6787,1 
0.1984,1.3648,2.3669,2.359,1.2502,2.686,2.7415,2.8064,1 
1.1406,-0.9191,1.4902,1.9608,3.0134,1.6766,2.4054,1.9776,1 
0.7181,0.894,1.2392,1.4429,1.6917,2.2242,2.0339,1.9295,1 
-1.0182,0.9973,0.3284,1.5374,1.3766,3.6761,2.0981,0.604,1 
-0.7605,-1.0037,2.3428,2.503,2.6617,1.6064,1.7165,2.9618,1 
0.3288,-1.2088,0.7093,2.2517,2.4694,3.1646,2.1537,0.2492,1 
-0.2397,0.7469,1.0145,3.3203,2.0326,2.4103,1.412,1.5248,1 
-0.4548,-1.1286,0.2565,1.5992,2.8957,1.9619,1.6614,0.9304,1 
-0.0167,1.4438,1.5846,1.5633,2.6865,1.2184,1.5857,5.0189,1 
0.3154,-0.514,2.589,1.3824,2.5734,1.0321,1.4147,3.4271,1 
1.5241,-0.4591,0.9664,3.3604,1.5649,1.1276,3.4627,1.3634,1 
1.5142,-0.8326,0.5316,3.1517,2.5767,2.5995,2.3474,3.1925,1 
0.8456,1.442,1.4045,1.5086,1.8091,2.2937,0.8422,1.8876,1 
-1.0673,2.5323,1.2016,2.4414,1.6056,1.8298,0.3898,2.0774,1 
-0.1945,0.3689,1.7283,2.1382,3.7517,2.0065,1.122,2.3358,1 
-0.4091,-0.5782,3.741,4.8025,0.0102,1.2299,2.7151,3.0922,1 
0.0799,-0.9274,3.0981,0.9549,2.1675,5.2391,2.4558,2.4064,1 
1.0696,-0.4709,2.1919,2.058,2.4204,1.5737,-0.2043,3.0187,1 
-0.1072,0.0595,0.9333,1.8436,2.4117,1.4034,2.2332,1.1364,1 
2.1587,1.6506,3.2224,2.7816,2.4051,2.8231,0.5397,1.3523,1 
-1.07,0.5156,0.4799,2.5352,2.1336,3.394,1.2693,2.4365,1 
-2.4403,0.9582,3.1402,0.9037,1.8102,1.1703,1.2213,1.154,1 
-1.0244,0.0714,2.8041,1.6232,1.1072,2.1747,1.0846,5.342,1 
-1.375,-1.5878,0.9695,2.9583,3.2496,1.9216,2.5967,3.7356,1 
-1.5101,-1.1968,3.0833,2.8459,1.7178,-0.5724,3.1692,3.6709,1 
0.6749,-1.2089,2.485,1.6628,2.7245,0.4148,1.2141,1.6947,1 
0.8375,-1.9725,2.1656,2.6556,1.701,0.9361,1.8537,0.1436,1 
-0.41,0.046,3.009,2.9924,1.0331,1.6262,2.2213,2.9811,1 
0.6049,-0.2427,2.6253,2.6762,1.7594,3.9218,1.9175,2.4506,1 
-0.5761,-0.0729,2.0167,0.7635,1.3985,1.1851,3.1333,1.9317,1 
-0.3382,0.5813,0.1469,1.6511,4.0843,1.2476,1.1594,2.1838,1 
1.5975,1.5627,2.649,1.8365,2.2166,1.9788,1.8292,1.6663,1 
1.3217,-0.6376,0.8897,2.3583,2.3652,1.8959,2.9321,1.7346,1 
1.2462,0.4807,2.0038,2.6421,0.9689,1.788,1.2158,2.9838,1 
1.6465,0.2563,3.6029,1.2823,2.5023,2.8162,2.3595,2.3764,1 
-0.0332,-1.6013,2.3021,2.3168,2.9777,1.2528,3.4149,1.8051,1 
-0.1668,-1.2608,3.714,1.8607,3.1717,1.9483,0.5104,1.9297,1 
