Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
0.0366,1.4832,2.5052,0.6747,1.4486,1.2568,0.3966,1.6569,1 
0.3747,0.5121,1.386,0.5449,2.2582,1.6947,0.3166,3.5704,1 
-0.6787,1.3445,2.1814,2.3783,2.632,4.1675,2.9668,0.8896,1 
1.9233,0.3844,1.2368,1.348,2.9692,2.5389,1.8872,3.2248,1 
-2.1908,2.1705,2.9403,2.4385,1.0375,2.8931,-0.2598,4.1444,1 
1.6128,-0.648,0.5899,1.9648,3.0717,1.8345,2.4654,1.049,1 
-0.4968,-0.4679,1.4848,2.7476,1.1765,1.4776,2.2387,1.889,1 
0.8164,0.2441,3.3483,2.9229,3.1057,2.3338,2.6179,3.2762,1 
-0.1356,0.8624,2.8093,2.4532,0.7201,1.2318,3.3893,1.8352,1 
-1.9147,-0.6391,0.1941,2.7601,1.3018,3.3479,0.6123,2.092,1 
-0.7095,-0.1367,0.6637,1.2535,1.1252,0.2697,2.0669,1.5705,1 
-1.0841,0.6709,1.322,1.7149,1.5057,2.7115,3.8322,0.3148,1 
-1.5318,-1.8596,3.1872,1.7066,3.116,4.2184,2.3476,0.8277,1 
0.8449,0.3795,0.839,2.5433,1.6661,2.4907,1.4274,0.8768,1 
-0.7654,-1.2409,1.1413,2.1755,2.7079,0.5925,3.0215,2.0045,1 
0.6421,0.7567,1.648,2.9928,1.0061,0.386,1.6498,2.8031,1 
0.3608,-1.3652,0.4874,0.733,2.9749,1.5386,1.1802,2.0674,1 
-0.4784,0.9512,1.9153,0.6336,1.1483,1.94,3.0025,2.6414,1 
0.9587,2.5314,3.4612,3.75,1.1108,2.9698,2.9492,2.4052,1 
1.1318,0.7531,2.0012,1.4948,2.4819,0.695,2.1754,2.1918,1 
-0.8166,2.416,1.8644,1.7547,1.8402,1.155,3.193,1.7157,1 
0.5833,0.4066,2.7678,0.6832,2.919,3.1293,3.1132,0.7315,1 
-0.0866,0.7896,3.7127,2.5294,-0.9681,1.942,2.3089,1.5079,1 
-0.0094,-1.1439,0.2509,3.7739,1.0067,1.8632,1.8271,1.2752,1 
-0.771,-0.9004,2.1255,1.7304,1.8694,1.8589,2.3744,1.2363,1 
1.9435,1.0129,3.3285,2.5446,2.1647,2.826,-0.3262,3.3458,1 
-0.0394,-0.5647,2.758,2.354,2.1185,3.9534,1.4664,2.2188,1 
-0.5659,-0.709,1.0751,2.5912,3.9001,0.9484,0.8981,2.5657,1 
1.1157,0.1267,2.8803,-0.1657,0.258,0.8071,2.6137,2.5209,1 
-0.3492,-1.8552,0.9919,3.0448,1.4817,2.7432,1.8212,1.3938,1 
0.7119,1.8367,2.5782,0.3011,1.462,-0.1525,3.4177,1.3643,1 
-1.0652,1.3446,3.5874,1.4586,1.8081,1.444,2.9008,1.333,1 
-0.1913,0.1744,1.3027,1.0069,1.0278,0.7281,1.3727,0.045,1 
-0.5184,0.3092,3.825,2.717,2.2743,2.2212,1.2942,0.7806,1 
-0.9538,0.2235,1.1036,1.8511,0.7164,2.4014,1.1398,1.9042,1 
1.1425,-0.0765,2.0583,2.4071,2.5142,3.8638,3.6473,1.2721,1 
0.3051,0.3872,1.9668,1.3979,1.9326,1.9871,1.3779,1.3248,1 
-1.2125,-2.5562,1.8058,2.7552,2.552,1.7102,1.5093,2.6077,1 
-0.8042,-0.5796,1.741,0.5033,-0.0986,1.3017,2.2036,1.888,1 
-1.1396,0.6293,3.2379,2.0941,2.3278,2.278,1.7572,0.3519,1 
-0.0483,1.3687,1.4883,1.8437,2.0511,1.5079,2.5037,0.051,1 
0.3855,-0.0932,3.3391,1.72,3.1079,0.513,1.5733,0.7907,1 
3.5048,0.9158,3.0693,1.4502,1.9445,3.3195,2.7498,2.6608,1 
-0.9016,-0.4917,0.7651,1.0778,1.3668,2.5146,2.4709,2.9483,1 
