Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
4.6924,-1.9605,0.5449,1.2724,3.2999,3.7998,3.3309,0.9558,1 
6.4592,0.3115,3.3803,2.0645,1.5312,0.0472,0.6671,3.0767,1 
7.004,-0.1126,2.7611,0.5666,2.2029,0.9788,3.673,2.5048,1 
3.2527,0.2604,1.6229,2.024,0.51,1.6716,2.4862,2.0843,1 
4.319,0.1354,2.8542,2.7443,1.4849,2.1071,-0.0852,1.9904,1 
4.9352,-1.0372,1.7515,1.8162,2.7729,2.3028,1.8192,1.7867,1 
5.5236,0.2215,0.3995,2.5096,1.8524,1.8838,1.2064,2.5717,1 
4.0185,-0.7935,2.555,2.7662,0.3913,2.8954,3.5245,2.3224,1 
6.0226,0.0454,3.7463,2.6197,0.399,2.1763,3.8286,2.5181,1 
4.5721,2.7744,2.6845,2.6785,-0.6309,2.0105,2.0067,1.7009,1 
5.4182,-0.1797,1.6024,3.03,3.0476,1.4335,1.8497,3.3517,1 
6.1245,0.2073,3.7698,0.979,2.6261,2.0587,1.3358,2.2279,1 
5.0495,1.5027,0.5358,2.5727,1.8233,2.5708,2.7519,0.509,1 
5.3077,0.7245,2.4074,1.5867,2.6244,1.8034,2.5181,2.4926,1 
4.5102,-0.5921,0.7523,3.6349,1.349,0.0474,1.1682,1.1306,1 
4.8942,-0.3432,2.7846,1.8154,2.5391,2.2959,0.5684,2.6503,1 
4.9508,-1.6122,2.3294,2.2276,-0.271,2.0576,3.8601,1.9304,1 
5.6976,-0.6367,2.8425,4.1377,2.8099,1.7049,3.2066,0.5357,1 
5.1976,-1.5149,3.0116,2.4133,1.7428,2.4527,2.3641,2.093,1 
6.1477,-2.1425,2.3939,0.105,1.3747,2.0106,1.8443,1.6929,1 
3.299,0.735,0.8851,0.9353,3.5661,4.513,3.8387,2.0134,1 
4.6269,-0.1697,2.2358,1.3739,1.4575,1.1127,2.1466,1.8601,1 
4.6519,-1.9451,2.0768,2.8855,0.6308,1.3934,2.0804,0.8395,1 
4.8671,-0.0476,1.5994,-0.7575,0.1339,1.9948,2.1556,3.7766,1 
4.8649,-0.3627,2.3536,2.2942,1.867,2.9097,1.6664,2.5997,1 
7.5422,-1.5535,3.5608,2.2988,2.9818,1.8639,1.3294,2.2918,1 
4.6942,-1.0235,0.541,0.1842,2.4889,3.0812,2.2013,4.0213,1 
6.5199,-0.4751,0.3672,1.5255,1.5123,3.5025,3.6333,1.901,1 
5.8921,-2.5515,2.0206,1.4278,1.9906,2.0515,2.1181,1.2673,1 
4.541,-1.7621,1.0203,2.2141,2.9206,1.5058,3.1119,1.2487,1 
3.356,-0.691,2.7147,1.7013,3.2202,0.3328,1.6473,2.5315,1 
5.078,-1.558,2.3838,1.7963,3.8033,2.075,3.8462,3.6208,1 
4.5612,-0.5704,0.495,0.1487,2.126,1.4543,3.059,2.865,1 
5.1604,-0.3511,2.6941,2.5156,4.1007,2.6333,2.9886,2.1574,1 
4.8505,0.7641,3.4272,0.6584,1.5412,3.1618,1.3103,3.1728,1 
4.6464,-0.0244,1.2199,1.8962,2.5205,0.4126,1.9732,0.2497,1 
5.3143,1.1843,1.4342,4.8327,2.2115,0.8333,1.763,3.2996,1 
3.7444,1.3949,2.1839,2.9378,2.2245,3.4269,2.385,2.8723,1 
5.562,2.1422,1.5285,2.8933,1.4517,0.4279,1.0456,2.1139,1 
2.5339,0.548,2.5405,0.5687,3.1852,2.1217,2.5136,3.551,1 
6.0929,-0.6275,2.7303,2.3477,2.7136,-0.0691,1.8103,2.8242,1 
4.5205,-1.2032,0.9943,3.3309,2.2667,2.4104,-0.44,1.9548,1 
5.7598,-1.5892,0.583,2.7701,2.6417,5.2221,4.0568,3.344,1 
5.7188,0.4169,1.2342,1.8928,-0.473,2.1158,1.2176,3.49,1 
5.0685,0.0089,4.159,3.1802,1.8369,1.468,1.563,2.583,1 
4.6671,0.2973,2.8149,2.2968,0.4464,4.5825,2.4723,0.6431,1 
5.3382,1.2186,2.5295,3.9099,4.0938,1.9636,1.2791,2.397,1 
6.2174,-0.9259,0.3797,0.5143,2.4899,1.8492,2.6107,0.6096,1 
5.4661,0.9312,1.3286,3.3895,3.1483,1.625,0.7409,2.0924,1 
3.7959,-1.3293,2.1353,1.5582,0.8995,1.4099,2.0914,2.6143,1 
6.2722,-1.9226,1.6877,2.1044,2.2759,1.3941,1.9356,2.7592,1 
6.2322,0.3843,0.6588,3.4499,2.3206,2.8239,1.0265,1.1999,1 
4.5006,1.1509,0.2949,1.3369,2.3339,1.3902,2.6248,2.7326,1 
6.4168,1.1426,0.0322,1.8257,3.0741,2.7875,1.9906,1.9027,1 
5.4997,0.9294,0.5552,1.7038,2.9015,0.3809,2.2318,1.1277,1 
5.0381,-0.1462,3.3029,1.8072,1.2485,2.6542,1.9486,2.2689,1 
4.8081,-1.0368,2.8294,2.2328,1.1185,3.619,1.5808,1.1229,1 
4.7902,-0.2655,1.8132,1.9908,1.6915,2.415,2.4813,1.8835,1 
5.6986,-0.9395,-0.0203,2.2627,1.7473,2.4213,1.5934,1.7848,1 
4.1136,-1.3688,0.9297,1.0786,2.618,3.2094,1.103,0.7887,1 
4.8014,-0.6691,2.7357,1.0432,3.2914,1.8058,0.9601,5.2157,1 
5.6711,0.3034,2.2587,1.2529,1.1834,-0.3383,0.1802,0.9124,1 
3.9624,1.1381,0.6647,2.8616,0.8378,-0.2482,1.4892,1.3782,1 
4.4786,-2.427,3.7481,2.8213,1.9041,1.0374,2.6623,0.4042,1 
6.4176,-0.0883,3.4296,2.445,1.9891,4.0306,1.0846,2.7223,1 
4.1989,-0.4668,0.987,3.416,2.2357,2.1285,1.2734,2.2857,1 
7.2966,-0.5469,0.6353,2.9364,0.4772,1.899,2.9845,2.4152,1 
4.6566,0.5523,1.7848,4.1254,1.8978,3.6385,2.5452,1.1082,1 
5.3131,-0.6375,0.3137,0.6485,1.627,1.482,1.8092,1.7943,1 
