Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
3.0549,8.6367,1.6546,1.1505,3.5366,1.4598,1.8122,2.5731,1 
3.9542,8.5378,1.4514,1.7493,0.5284,3.3503,0.3045,3.445,1 
1.8739,9.9738,2.8011,2.4873,2.5005,1.9454,2.0825,2.0908,1 
2.0181,10.5309,2.0055,1.4407,1.9064,3.0718,1.3527,0.9713,1 
1.327,12.6061,1.3567,-0.2777,2.6804,1.3575,3.3768,2.1905,1 
1.3523,8.2726,0.9925,2.4758,0.9581,2.4273,0.6799,2.5507,1 
2.959,10.0979,0.2901,-0.2099,1.0546,1.8777,0.6104,4.29,1 
3.5333,10.6725,4.1188,3.5529,2.8958,2.192,2.9071,1.2802,1 
2.4643,9.2225,1.5258,3.6341,2.737,-0.1862,3.0378,2.1692,1 
2.1067,10.568,1.6581,0.5216,2.7082,3.9357,2.2671,0.7298,1 
2.0963,11.9124,3.0609,2.6791,0.8604,1.3322,3.0846,1.915,1 
2.2751,9.7336,0.9431,2.7144,2.3776,1.5501,1.012,2.4751,1 
3.6405,9.6898,1.2863,2.2408,-0.2414,2.5931,1.0852,1.592,1 
-0.7233,10.8343,2.8516,1.325,2.6756,1.774,1.822,2.4147,1 
2.5,9.7284,1.7392,3.507,2.3472,1.8226,3.3233,2.3876,1 
1.8373,10.8846,3.3977,0.6838,1.2295,2.3678,2.4401,1.7159,1 
-1.2278,9.5664,3.2176,2.0693,2.4531,2.6234,2.9142,1.2043,1 
2.9411,10.1552,0.9116,1.2953,2.4945,1.7437,3.8754,1.863,1 
2.2248,8.7434,0.3405,4.162,2.7606,0.634,1.9758,2.0304,1 
1.9145,7.4854,2.7217,0.5677,3.2703,2.741,2.2728,2.8828,1 
1.0472,10.5105,3.2176,1.934,2.8087,2.6111,0.526,3.7257,1 
2.0808,11.4857,1.7842,3.0781,0.6476,2.062,2.6155,1.8435,1 
1.5029,9.4356,2.2841,0.8733,2.2007,2.5656,0.8789,2.4454,1 
2.7032,11.526,1.7165,3.7639,1.5031,2.5624,4.7186,0.9375,1 
2.0177,10.1288,1.61,2.5117,0.4139,0.2558,2.8933,2.2987,1 
1.9367,8.5477,1.5904,0.3573,1.799,0.2748,1.583,0.7967,1 
2.7391,10.1646,2.7529,1.5114,1.0065,1.3664,1.4868,2.058,1 
2.6939,10.7971,0.6069,2.8903,2.0683,2.1233,2.5983,3.1816,1 
1.9929,10.6876,2.3872,2.7759,1.8628,2.6023,3.0688,2.6297,1 
1.456,11.5502,0.8946,3.9548,0.5019,1.9965,2.3019,1.4461,1 
3.0393,11.1045,1.5598,1.3419,2.7325,1.8379,1.3905,1.6145,1 
1.1546,8.9874,1.6978,3.0414,3.9891,0.6922,1.3058,2.9561,1 
1.0087,9.2788,1.8801,1.3021,2.6849,1.5571,4.0266,3.4211,1 
2.3508,10.4346,3.3344,3.0348,1.87,3.2324,0.3614,2.0196,1 
2.4533,10.8732,4.0446,3.0065,2.8607,0.9918,2.5997,0.5648,1 
1.9859,9.7672,-1.5981,1.4106,0.1835,3.1615,1.9201,1.8536,1 
2.6313,11.5168,1.1215,1.0666,3.0445,2.8334,2.1598,3.1599,1 
1.2587,9.3715,1.3827,0.7795,2.2798,2.1425,-1.1415,3.0953,1 
4.0458,11.5695,1.2157,0.4355,0.364,3.1258,1.8825,1.1265,1 
3.5228,10.4375,3.1317,2.3514,1.8206,0.8798,1.7756,2.0807,1 
2.1248,12.2047,1.3035,4.2787,0.2556,1.4592,2.8767,4.0172,1 
1.5504,9.8335,2.5103,0.2027,2.1143,0.019,1.864,3.3608,1 
1.6209,10.1179,2.3339,2.9919,2.2037,3.8002,1.3561,1.9469,1 
0.7467,9.5166,2.5228,1.8573,2.5216,0.9753,2.4748,3.8446,1 
0.8919,8.469,1.4659,1.2954,1.0785,2.8913,2.3182,2.1512,1 
1.9024,10.373,0.235,1.96,1.9667,1.5746,2.3136,2.8664,1 
1.4598,9.5146,0.5751,-0.3804,1.7018,2.333,2.3442,1.7574,1 
1.8627,10.7563,1.1763,1.6218,1.4166,3.5486,1.8341,2.2174,1 
2.7917,10.876,1.31,2.2759,2.2247,2.2788,1.954,1.9191,1 
0.6402,7.2697,3.1014,0.3492,1.4717,3.2487,1.2338,1.6518,1 
2.1802,9.1537,1.2823,1.5745,1.8096,1.7847,1.2936,1.3117,1 
1.2706,9.8763,1.0873,1.6691,0.1377,3.3011,1.9001,3.378,1 
2.6667,10.314,2.1746,1.322,1.987,0.7574,1.3369,1.0559,1 
0.9479,10.9148,3.0447,1.9892,1.742,0.8509,2.2925,-0.6448,1 
1.8845,9.0626,2.6162,3.5844,2.1471,3.1909,2.326,1.9078,1 
3.2802,11.1392,2.7576,1.7176,0.8069,2.0877,1.6105,1.6663,1 
4.152,9.1011,1.3087,2.5323,2.1378,2.489,0.7455,3.0714,1 
1.598,10.3249,2.7665,3.5225,1.7379,1.8799,3.8156,2.7127,1 
2.6553,8.4313,4.0502,2.5365,1.6832,2.3494,1.6501,3.5159,1 
0.1532,10.7118,3.1363,1.983,1.4644,0.8049,0.83,4.4896,1 
2.5782,9.0324,1.632,0.5148,0.9832,0.693,3.2268,2.7069,1 
2.1627,9.014,1.6316,1.6729,2.2537,1.5846,3.936,2.3314,1 
1.8015,9.9994,1.4698,2.653,3.7439,0.7897,1.2973,1.3642,1 
2.2574,8.3445,2.7443,1.7049,2.4685,2.5623,1.5231,2.8834,1 
