Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
3.0316,9.2036,3.1184,1.2452,2.7052,3.0329,2.9318,1.9869,1 
3.7184,10.2095,0.9272,2.1433,1.7675,2.5761,2.1738,1.9701,1 
0.1406,10.0449,2.1722,1.8447,0.664,2.1649,2.1136,0.508,1 
-0.6425,10.8411,1.3214,2.0656,2.7013,3.2146,1.7702,1.1846,1 
3.0938,9.1772,4.3747,2.1714,2.1539,0.6703,1.6666,2.6191,1 
2.0788,11.8938,1.5322,2.3727,2.0299,1.9157,2.476,1.7095,1 
0.9485,10.1057,2.2277,1.0157,-0.5665,1.4452,-0.0992,1.5918,1 
0.5782,10.1153,1.7482,1.77,1.6914,2.1774,-0.4749,3.2889,1 
2.2308,8.4372,0.9454,1.1647,2.4808,0.8116,2.9443,3.2852,1 
2.6887,10.5766,1.6567,4.5453,1.6423,1.2274,1.1114,3.7136,1 
1.061,10.9752,3.1388,2.2097,2.4607,0.1228,2.0785,3.1412,1 
1.6429,9.827,0.7495,3.1364,2.2755,2.2397,3.8765,1.1038,1 
3.2612,11.5914,2.4679,2.41,1.7799,1.7134,1.7127,1.5395,1 
2.3908,10.3443,1.7405,0.318,2.4457,2.462,2.8951,1.1887,1 
2.7315,9.63,1.9533,2.0861,1.5315,2.5682,2.3115,-0.5363,1 
2.6097,9.5336,2.1359,2.6185,2.9567,2.88,2.8765,2.6799,1 
1.4623,9.9155,1.4427,1.1453,3.547,0.5096,1.2323,1.0688,1 
3.24,8.975,2.6443,1.7278,1.2838,2.0287,1.6304,3.0489,1 
2.6358,9.7057,2.8523,2.9411,2.9764,1.1177,1.0467,1.6243,1 
-0.1701,9.4118,2.3746,1.6708,1.4443,2.5843,2.9484,0.467,1 
1.3798,8.7139,1.6188,1.5697,1.236,1.8269,1.5245,0.706,1 
-0.1203,8.6247,2.9379,0.6391,1.6641,3.1374,1.2233,4.2104,1 
