Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
0.5229,0.0525,1.835,1.382,3.2634,2.8215,1.2185,2.1962,0.8443,1 
-1.7075,-1.1397,2.3251,1.28,1.6883,2.9119,2.927,0.3168,2.7777,1 
0.0466,-0.1753,2.8935,2.3099,2.4933,0.6526,1.958,1.8125,2.4496,1 
0.7656,-0.5814,2.5204,1.857,1.668,0.2893,2.3891,2.5037,2.0112,1 
-0.6349,0.6583,2.1686,1.6143,2.0828,3.1487,1.8299,0.6925,2.3055,1 
-0.2253,-1.7857,1.3382,1.7434,3.024,3.4451,3.1759,3.0588,3.0509,1 
-2.0031,2.5496,0.0986,2.625,2.1839,1.8463,2.5904,2.526,3.7676,1 
-0.5518,-1.9308,1.9362,2.5327,1.785,1.2051,2.7009,1.2732,0.8858,1 
0.3794,0.9058,3.4325,1.1726,1.6045,2.7071,2.29,2.2011,2.6524,1 
-0.3921,0.5933,0.0586,3.1019,1.369,2.5901,0.8297,3.6122,1.247,1 
0.1811,-1.0127,0.5463,3.4947,3.68,0.4071,0.6132,1.8876,3.4078,1 
-1.5471,1.0457,2.888,1.7105,2.0218,1.4071,3.2821,0.2896,2.7825,1 
-1.5829,-1.6029,1.3973,3.2235,0.044,2.7864,1.6925,3.0411,2.1001,1 
1.0906,0.6375,2.3947,1.5646,3.5413,1.0654,1.8611,2.733,1.1572,1 
1.0687,-1.6168,1.6429,2.1309,2.0084,1.2212,2.5821,0.8945,2.1743,1 
0.0803,1.092,2.0209,0.7889,3.27,0.937,0.5919,2.5057,2.0528,1 
0.4567,-1.4816,1.9475,2.5919,1.5702,4.0701,1.5971,3.1491,2.6623,1 
0.8625,0.2598,2.7678,-0.4092,1.9029,0.733,2.7086,1.9831,3.684,1 
-0.0694,0.6733,1.8887,0.981,1.7979,2.5761,1.2872,2.2685,1.9227,1 
2.0627,-1.0872,2.0871,1.7339,1.1675,0.1244,1.9929,2.1993,3.1005,1 
-2.2098,0.182,1.2369,2.8897,2.8382,4.6169,1.0807,3.2276,2.927,1 
0.4038,0.3266,2.2953,3.4598,2.9167,0.9913,2.6825,3.0637,3.0453,1 
-0.0368,1.1538,1.7306,2.7889,-0.0681,1.5114,2.7084,1.3026,3.3765,1 
1.2853,0.3786,0.8775,1.6101,3.1738,1.8399,2.5088,3.2309,2.2067,1 
0.6459,1.3572,2.9055,0.755,2.9957,2.3616,2.3054,1.5138,2.3178,1 
-0.1389,-0.9109,1.6595,3.1188,0.8608,0.4348,0.5144,2.7167,3.049,1 
2.8707,1.5504,2.8297,2.4205,2.5702,2.8221,1.3163,1.9254,2.2923,1 
1.562,1.1714,3.0759,2.1206,1.9629,1.9999,1.524,2.6074,2.5881,1 
0.3008,-0.871,3.0545,0.3328,1.2224,1.6874,2.6558,2.2278,1.5274,1 
-0.7653,1.7034,0.5721,1.6202,1.0715,1.7379,2.3786,2.7246,2.2112,1 
0.3572,-0.6203,2.8508,0.7163,3.1732,2.3884,1.6388,1.5948,3.8509,1 
-0.0922,-0.7419,1.1886,3.8301,2.1791,2.6544,4.3865,1.3533,1.307,1 
-0.3522,1.2651,-0.1829,1.1632,0.3473,2.3093,0.8242,2.9067,-0.0278,1 
1.9075,0.4017,2.3328,2.7567,4.6086,2.7964,1.4269,3.0088,2.3762,1 
0.6987,1.1604,2.2386,3.1627,1.1971,2.0635,4.8756,3.6952,2.0901,1 
-0.4675,1.034,1.117,2.5604,2.6343,1.7327,0.9686,1.4935,3.2785,1 
0.7298,0.624,2.6344,1.7935,2.1957,1.5884,2.8716,2.32,1.3207,1 
0.0064,0.3158,2.9287,-0.542,3.1134,4.109,2.5335,2.3505,1.105,1 
1.1566,-1.111,3.219,2.1556,2.5127,1.6361,2.5093,1.6894,1.7583,1 
-0.6469,-1.7474,3.7468,2.1741,2.0353,0.673,1.1107,5.2566,3.0229,1 
-0.0835,0.6811,1.1898,0.2213,0.5218,2.3441,2.96,2.2979,0.9169,1 
0.9332,-1.2772,2.8884,1.8071,2.2654,1.2544,2.5354,3.4096,2.4565,1 
0.2336,0.4139,1.6315,0.617,3.8553,2.3663,2.1594,2.4076,2.9887,1 
0.4789,0.3179,2.5231,1.3432,2.0868,2.0032,1.7784,-0.1396,1.6642,1 
0.9048,-0.0074,2.6676,1.0174,2.0795,3.3901,3.4107,2.2533,3.0944,1 
-0.2023,0.2772,2.7982,3.7226,1.1462,1.5808,2.8322,1.8471,2.173,1 
-0.4112,0.5455,1.636,2.618,2.4559,1.9417,2.5101,2.4706,3.4547,1 
-0.2696,-1.7777,1.3958,0.4536,1.2961,2.3101,1.547,2.1186,2.6287,1 
0.3986,0.7204,2.3004,1.2528,2.6368,1.421,1.9976,2.0962,4.2354,1 
0.3283,-0.2168,1.1,1.5818,2.2957,2.6436,2.4787,2.6543,2.8478,1 
2.9406,-0.1146,1.2816,1.6718,2.5965,2.855,1.0639,1.6939,0.8985,1 
-0.9488,-0.8391,1.2642,1.0617,3.1028,0.4023,0.7132,2.5641,3.894,1 
-0.7521,-2.7431,1.5288,3.1019,1.4348,2.0772,2.6111,1.7059,1.3126,1 
0.649,0.7955,1.8034,0.2917,0.329,1.5029,0.4578,1.7955,1.5219,1 
-0.8487,-0.0417,2.007,-0.4418,1.3496,1.1764,1.8537,0.8066,2.2036,1 
1.0821,0.0351,0.7446,0.5495,1.4835,0.8872,0.4906,2.5614,0.7774,1 
-0.4945,-0.4799,2.8787,2.2881,1.6692,2.3364,3.075,1.6371,2.3121,1 
-0.8047,0.0464,0.5319,1.3453,1.4093,1.9594,0.4421,2.7546,2.3351,1 
-0.1278,2.0998,1.4704,1.9378,2.9753,2.3471,2.5601,0.849,2.9182,1 
0.0421,-0.0831,2.929,2.8616,2.3231,0.9191,2.0556,2.7896,3.6009,1 
-0.221,-1.5746,0.581,1.226,2.2714,1.1932,2.661,2.157,0.9913,1 
-0.1654,-0.2276,1.7084,2.133,0.9089,2.5829,2.4354,3.7348,1.3369,1 
-0.9498,-0.4403,3.6827,2.0617,1.2995,1.7439,2.7573,3.1098,0.8085,1 
-1.2229,0.6982,0.8666,1.6504,2.4752,1.1568,2.805,3.3386,0.7886,1 
-0.4548,0.144,2.6102,1.6855,2.4448,2.9775,1.5421,1.7568,1.1798,1 
-0.6263,1.647,1.6437,2.4721,1.6153,1.5932,1.7555,1.0977,2.0538,1 
-3.7761,-2.018,2.2871,0.7776,1.3823,0.3587,3.0433,2.6664,1.1238,1 
2.7408,0.4239,0.3575,3.6981,0.8942,1.5511,1.4285,2.0712,3.5122,1 
0.1407,0.728,1.5809,1.2658,2.1989,0.9188,3.0442,-0.2705,2.7111,1 
-0.0758,0.1256,2.4976,1.5505,2.4698,2.8811,0.3864,2.06,3.7171,1 
-0.5728,0.2264,2.0988,1.2048,2.0965,1.9856,0.6772,3.3076,1.189,1 
-0.7111,0.6832,2.6219,1.8791,2.7232,3.5479,3.6098,2.556,3.029,1 
0.8128,-0.6661,0.6065,3.347,-0.038,1.3828,2.3803,2.055,-0.0067,1 
-0.1606,0.8269,2.0826,3.387,2.2,2.1391,2.1908,1.9094,-1.4447,1 
0.3655,0.0308,1.5283,2.2213,0.3793,1.9305,1.7971,2.3687,1.775,1 
1.137,0.7563,0.2179,1.7157,2.7929,2.0396,2.0698,3.3539,1.7968,1 
-1.0288,0.5301,1.165,3.3361,2.3371,3.1333,3.013,2.7709,1.9209,1 
-0.3451,0.3307,0.8753,3.4377,2.232,1.0449,2.702,1.1064,3.228,1 
0.1462,1.7541,2.5251,2.3741,1.8241,1.8929,3.626,2.0996,1.2801,1 
-1.6845,0.4376,0.7631,1.6078,2.0353,3.4561,3.1388,4.3231,2.6243,1 
-1.1179,-1.1869,2.5582,2.3545,1.936,2.7273,0.1014,1.3621,1.075,1 
-0.9894,1.1851,1.9804,-0.126,2.1092,-0.1717,1.2969,3.7698,0.96,1 
-1.313,1.2857,2.913,3.9147,2.8796,1.4713,1.9374,2.7157,1.4935,1 
0.1958,-0.7148,2.5044,0.7189,0.9019,2.6569,2.7035,1.369,2.8181,1 
0.729,-0.1819,2.3802,3.061,2.2159,4.0496,1.7623,2.1438,2.1622,1 
0.6293,-0.7959,2.4791,1.9882,0.6187,1.7689,1.4483,2.1049,0.8665,1 
0.5448,-0.3411,0.6576,1.7262,2.3807,2.4223,2.7992,1.5863,2.8032,1 
0.4006,0.3504,1.6906,3.108,1.6687,0.8393,1.6031,1.561,2.5904,1 
-0.1484,-1.6944,3.391,1.7242,1.9178,3.0062,2.4324,1.5513,2.3024,1 
-0.2345,-0.2974,1.5999,2.4094,2.0973,3.1351,1.4308,3.522,1.661,1 
0.6704,0.2293,1.1533,2.6841,1.9097,1.7439,1.9477,1.3956,1.4629,1 
0.0666,0.1754,1.587,2.3239,3.2246,-0.0444,2.1564,1.6518,1.7468,1 
0.6892,2.1461,3.1355,3.9681,3.0105,2.1097,0.8789,1.6925,2.972,1 
0.0867,0.7364,1.5341,2.6108,2.3826,2.1635,1.2468,2.5741,3.1786,1 
-0.5772,-0.2095,0.9635,-0.0304,1.7716,0.6532,1.4262,0.9078,0.9617,1 
1.0539,-1.5054,1.7608,3.203,2.3457,1.6734,0.1966,1.1299,2.373,1 
0.2732,-0.0904,2.2645,0.3226,2.0759,2.5902,2.1052,1.9605,2.8704,1 
1.0881,1.1912,2.6404,2.3031,3.173,0.4896,2.1021,1.772,1.2308,1 
0.298,1.7698,0.5913,1.2462,1.9012,3.2298,2.3471,1.9505,3.3151,1 
-0.3456,-0.7957,1.3316,2.0653,1.511,1.8979,2.1073,1.5011,4.4988,1 
-1.1101,-0.3605,3.1421,2.5691,2.8004,1.9835,1.3306,1.1924,0.5485,1 
0.3034,-1.1397,0.7121,1.9198,1.6994,2.5626,1.3669,1.07,3.5533,1 
0.0277,-0.0728,0.8174,2.3519,1.7398,0.8656,1.9677,3.2422,2.8418,1 
-0.1259,0.0236,3.9573,1.2904,0.5138,3.8201,2.1651,1.3288,4.0783,1 
2.069,-0.9198,2.116,2.3128,2.2545,1.6819,2.414,3.1123,0.7015,1 
0.6483,1.1844,1.8358,3.248,3.1406,2.7243,2.5435,2.7795,1.3065,1 
-0.5657,2.8272,2.2954,3.9862,2.4952,2.1564,3.3186,2.7449,2.5293,1 
-0.6592,1.5977,1.8695,1.8394,2.8768,0.2721,1.0175,2.0302,1.9608,1 
-0.1022,1.1716,2.7938,1.8096,1.1927,1.0905,1.1941,2.1833,1.5632,1 
0.5266,-0.6687,1.0192,0.9718,2.5673,0.4238,-0.503,2.8005,2.8462,1 
-0.0895,0.6453,2.6044,1.7753,1.6678,2.3934,2.3673,1.4268,1.1244,1 
0.1176,-0.6854,2.8987,2.3322,0.899,1.229,1.7027,0.3584,0.9601,1 
