Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
0.9776,-0.9033,1.5142,3.855,3.3447,2.8665,1.8349,2.8387,1.4595,1 
0.1162,0.1738,2.3423,2.6883,3.4588,3.246,-0.4676,2.0366,1.6385,1 
0.3742,1.7846,3.5271,0.5982,1.9546,3.6031,2.3174,2.8619,1.9475,1 
2.6938,-0.1077,3.3656,2.8895,1.7079,2.3469,2.0312,1.7708,1.5858,1 
-0.8899,1.8932,3.6473,1.8388,1.9329,1.2933,3.2533,1.6571,3.5345,1 
0.3154,2.2248,2.5531,3.1546,2.12,1.9993,4.1974,1.0771,1.7407,1 
-0.4959,-1.351,3.4338,3.7156,0.9864,1.1513,2.3022,2.6156,3.0658,1 
0.5109,-1.6929,1.5828,1.317,1.7248,3.1213,2.9095,2.2008,-0.5507,1 
-0.5292,-1.9025,2.6976,2.1555,2.1267,0.6652,3.3239,1.5592,2.5173,1 
0.6925,0.3758,2.4661,1.5175,2.0426,2.6945,3.3565,1.4085,1.8983,1 
-1.6731,-0.288,2.8698,2.0048,3.3086,1.3099,2.4684,1.4298,3.3361,1 
-0.8788,1.3283,2.0853,2.3313,1.7639,2.8091,2.468,-0.0016,3.5758,1 
0.2351,-0.7084,2.0684,1.8237,1.0357,2.3053,4.0137,0.7428,3.51,1 
-1.5858,1.3919,-0.2628,0.9416,1.3185,1.2624,1.9546,2.4698,3.1854,1 
0.7069,-0.7368,3.1754,1.3572,1.292,1.7262,1.7475,2.6609,2.2368,1 
0.8828,-0.3133,0.7677,2.0195,3.717,2.2942,0.6922,2.2532,1.9193,1 
1.1314,-0.3203,0.7392,0.6469,2.7603,2.0439,0.511,0.0197,1.1092,1 
-0.2016,-1.0184,1.6578,2.0015,2.968,3.0472,2.2706,2.2817,1.1508,1 
2.1415,0.732,3.2614,1.045,-0.5471,3.1112,3.6051,1.199,1.3964,1 
-0.4448,0.9198,2.4011,1.0218,1.2925,2.1027,3.3833,3.7261,2.2422,1 
0.5688,2.5703,0.37,3.3584,0.8049,2.9885,0.5084,4.1558,2.115,1 
-0.6818,-0.895,1.2005,2.8442,1.7956,1.4826,2.7698,1.6813,1.4441,1 
0.3703,-0.2774,1.0616,1.908,2.031,0.9501,1.0575,1.6763,2.2619,1 
-0.6601,0.6514,2.4984,1.8945,1.4059,2.8595,2.5276,2.8265,2.1761,1 
-1.0536,1.0928,3.8342,2.2015,2.2703,3.6626,1.9119,1.9105,1.1592,1 
0.0409,1.0361,1.856,2.7867,1.869,0.4083,1.5533,2.3593,2.5193,1 
1.6794,1.2229,1.7046,2.683,2.3904,1.217,1.7862,3.2209,2.3084,1 
-0.5588,-0.4766,1.851,3.86,2.0212,2.1347,2.1583,2.605,2.6243,1 
0.9394,-0.0827,1.1416,1.3743,0.329,3.159,0.4029,2.1229,1.3351,1 
2.5801,-0.0692,1.9811,2.6663,2.9113,3.0826,1.7566,2.3554,4.9062,1 
2.0933,-0.9872,3.0372,1.7662,1.9831,1.4085,0.7685,2.8584,1.251,1 
0.013,-1.2366,3.4774,2.0591,1.7699,2.9945,2.488,2.2063,2.2005,1 
-0.0334,-0.0572,1.6026,2.2989,-0.0917,2.3357,2.2471,1.0558,1.2912,1 
-0.2026,-1.4572,1.2435,2.3583,3.5763,2.3574,4.1818,1.0549,2.1302,1 
-0.6336,0.1047,0.2383,0.751,2.4292,-0.4212,3.0772,0.1785,3.9984,1 
-1.1972,-0.3537,1.5848,2.1811,1.3767,2.3915,1.3517,3.085,2.7736,1 
1.0426,0.2435,1.0202,0.7269,3.0615,1.8315,2.0703,1.5587,2.8034,1 
-0.0502,-2.5708,0.8106,-0.0938,1.0559,1.6906,0.2554,2.2176,0.8477,1 
-0.7972,-1.0494,1.7956,1.6031,0.6129,0.2917,1.2944,2.0089,0.6386,1 
-1.3773,-1.7832,2.2765,1.7946,2.6215,2.6298,2.9236,1.2741,0.8828,1 
0.2577,0.2974,2.5066,1.4476,1.5888,4.3593,2.1479,1.9686,2.6061,1 
0.1599,0.2252,1.5098,3.6932,1.8434,1.7907,1.8089,1.7428,1.9036,1 
