Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
-1.4214,2.0688,2.2428,0.2959,0.9334,0.4443,0.8822,2.8704,3.7615,1 
0.7701,-0.0029,1.3443,1.2664,0.6558,2.3783,-0.1811,2.2834,2.4117,1 
0.5146,0.1725,2.6585,1.0182,1.9983,2.186,1.531,4.1567,2.6884,1 
0.556,0.0423,3.1133,1.5455,1.2316,4.0265,2.5749,1.9672,3.2869,1 
-1.7066,0.6399,1.9261,4.1505,1.2195,1.5516,-0.1141,3.3818,3.7117,1 
-3.0641,-0.1429,3.6737,2.2606,2.2436,0.8883,4.6008,0.6376,2.2788,1 
-0.3309,0.0372,2.7091,0.4199,2.1993,2.6712,3.0226,2.3869,2.8624,1 
1.1015,2.8342,1.8055,2.0877,2.5696,1.0863,1.4871,2.4194,-0.0041,1 
-1.143,-0.0741,2.5332,1.0422,1.6005,1.3106,0.7147,0.7576,0.5179,1 
1.688,-1.5452,1.0419,1.7397,3.4675,3.7592,1.5263,1.9814,0.4715,1 
-0.3794,0.156,0.5706,1.2197,3.6701,3.309,0.591,2.5003,2.7914,1 
1.8272,-0.5487,3.4954,2.2173,3.4622,0.717,1.4472,2.019,2.2491,1 
-2.8833,-1.186,1.2213,2.5062,4.2515,2.0138,1.8669,1.6955,-0.8024,1 
-0.8273,0.3354,3.096,2.6671,0.668,2.4351,-0.3811,3.0257,2.0071,1 
0.7252,-0.3778,1.4438,0.428,0.8546,1.6547,2.76,2.0344,1.1917,1 
0.8512,0.5311,1.4006,2.3531,2.4317,1.9164,1.312,0.9749,0.9397,1 
1.5722,2.3798,1.8561,1.5911,1.4789,1.524,3.1333,1.6891,0.874,1 
0.2556,-0.2343,2.0243,2.1173,1.135,1.1925,2.3086,0.6262,1.4431,1 
0.8045,-0.4158,3.2165,2.003,1.0384,2.0408,1.4835,1.5685,0.8556,1 
0.6018,-0.9741,2.5002,3.4629,3.5135,2.7768,1.9163,2.5006,1.639,1 
-0.6294,-0.9368,1.8827,3.4339,1.2932,3.1583,1.2425,2.751,2.1053,1 
0.5502,0.377,1.4116,1.5346,0.9331,1.2103,2.545,2.375,0.6256,1 
-0.035,-0.4012,1.8501,3.4051,1.3377,3.1723,3.2524,3.3893,1.4875,1 
-1.5587,0.9534,1.7498,2.3422,2.9316,3.1642,0.9985,1.744,0.5542,1 
-0.2036,0.3689,1.3512,1.6735,0.8194,2.851,1.4739,1.7602,-0.227,1 
0.9192,-0.7121,3.0105,2.7447,3.3444,3.2856,2.2297,1.2696,2.1323,1 
-0.4316,-1.2317,2.3596,2.4583,0.3504,2.8979,1.7186,0.9322,1.5681,1 
-0.776,1.8641,2.0202,2.3604,1.8188,2.7329,2.8943,2.4242,1.6199,1 
-0.1286,-1.07,3.7291,2.3214,1.4056,2.3727,3.0514,0.9665,1.6708,1 
-0.2511,0.2367,1.4433,2.8722,2.7539,2.341,0.8234,1.0118,2.2109,1 
1.717,0.0312,0.9189,2.2129,2.3491,3.2838,1.3822,2.5808,2.1654,1 
-0.3509,0.1278,3.6465,1.2569,1.4716,1.8933,4.1519,3.1073,1.0474,1 
-0.8684,0.3622,3.0994,3.379,-1.9086,1.8571,3.1867,1.8976,3.4861,1 
0.9926,1.6256,3.4619,2.1784,1.1895,1.4623,2.4303,3.0712,0.4686,1 
-1.1588,0.1769,0.7571,2.5075,1.0041,2.2152,1.5945,2.6758,1.6885,1 
0.9553,0.5053,1.9332,1.3894,1.754,2.8979,1.0956,1.5218,2.3661,1 
-1.537,-0.1883,2.6741,3.6251,2.2886,2.7102,4.3713,2.6643,2.5118,1 
-0.5208,-0.6374,1.5192,2.518,1.3752,1.7556,2.5463,3.0979,0.4267,1 
-0.1183,0.3182,2.6231,2.6183,3.1068,0.7238,2.0938,3.1941,2.2457,1 
-0.0749,0.1592,1.1981,2.3991,3.1614,1.311,1.4635,2.5879,1.6129,1 
-1.736,-1.1231,2.5917,2.2253,3.2144,0.742,2.4185,3.5138,-0.0591,1 
0.8753,0.3417,2.4666,-0.5633,1.173,2.575,2.7128,0.8076,0.8534,1 
-1.6109,0.7522,2.8532,2.9307,2.8106,2.1263,2.126,2.5599,2.3998,1 
-0.5697,-0.6085,3.1348,2.215,1.1114,1.0978,0.6478,1.6375,-0.0683,1 
-0.2054,-0.3029,2.2415,1.5911,1.8706,3.8135,1.5128,0.7439,4.1675,1 
