Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
-0.7382,-0.0928,2.3152,2.4351,0.8117,1.5608,4.2479,2.5283,2.4828,1 
0.7354,0.6319,2.2337,1.646,1.8037,1.7414,2.8516,1.1913,4.5593,1 
-0.693,-1.9165,2.1602,2.2019,1.4681,1.1358,1.9897,1.651,2.2036,1 
1.2792,0.9384,-0.1138,2.2801,1.4208,1.2312,3.0756,-0.8153,2.6912,1 
0.4671,0.4385,1.4595,-0.1572,3.4054,1.5488,1.6653,0.537,2.2038,1 
0.3459,-1.0967,0.5403,0.6741,1.6379,1.9911,2.3598,3.1731,2.0148,1 
1.1249,0.5216,1.9596,2.708,0.9553,2.3531,3.1645,1.5239,1.4694,1 
-0.3072,-0.546,-0.3555,0.9869,0.5099,3.7922,3.5596,1.0664,3.1027,1 
0.3364,0.0607,3.6768,3.0958,2.919,3.8705,1.0933,3.0452,1.4334,1 
-1.0367,0.8651,0.837,3.2179,3.0326,1.2364,2.3456,1.3523,1.6051,1 
-1.4693,0.0542,1.9432,1.1622,4.5249,2.1278,1.456,1.0703,1.7049,1 
-1.1931,0.1823,0.8329,3.0408,2.3943,-0.085,2.4145,2.1661,0.5483,1 
0.9136,0.1623,1.1662,2.0888,0.7427,0.9231,0.616,2.6043,2.3691,1 
1.0816,-2.7465,-0.2766,0.6348,3.1119,2.6333,2.752,2.8419,0.8707,1 
0.319,0.5565,2.82,1.392,1.3581,1.0219,1.1055,0.2789,2.7395,1 
0.5503,1.2739,2.9284,2.4084,2.161,3.933,1.1457,1.1998,2.3753,1 
-2.4145,0.2691,1.7173,2.2102,2.8595,2.0634,2.3047,2.3485,3.2222,1 
-2.0708,-1.6682,-0.072,1.4231,2.6273,1.0906,2.4021,1.4336,1.7819,1 
0.5535,1.5086,1.9707,1.2938,2.0369,3.1279,2.8609,-0.4961,1.7597,1 
-0.609,-0.2852,2.9282,1.1294,2.374,1.8483,2.0219,2.7789,1.6713,1 
1.2034,0.1747,1.4561,2.2575,0.7019,0.9741,3.2415,2.1623,2.4407,1 
0.1931,-1.1156,0.6434,2.4426,2.3244,2.682,1.9326,2.5719,1.7103,1 
1.6784,1.2284,1.4892,-0.0071,2.9353,2.8039,2.877,3.8522,1.9161,1 
1.6983,-0.1194,2.5216,0.4879,2.7782,2.6933,2.4974,1.45,1.9553,1 
-0.3896,-0.0631,1.2791,2.5581,2.6383,1.5256,0.273,0.4217,0.9474,1 
-1.0765,1.8373,1.5367,3.6001,0.4728,1.6394,1.5506,1.7208,1.9125,1 
-0.0336,1.1478,0.9057,1.3156,0.7344,2.0685,4.4065,2.8992,1.0691,1 
-0.3218,1.74,0.6347,2.5754,1.9742,2.2791,0.4611,1.4239,1.6585,1 
0.2465,0.582,2.9101,2.4509,2.3814,3.5355,1.8454,1.8369,3.0697,1 
1.6977,-0.2095,0.8651,2.1008,2.6051,1.1416,0.651,2.2555,1.7142,1 
1.0244,0.4873,0.8667,3.1537,1.3904,3.698,3.0932,1.6694,1.3787,1 
-1.3181,0.3528,3.3266,2.141,0.6725,-0.1323,1.585,0.8432,2.6779,1 
1.4527,0.5149,1.4927,1.6464,2.2494,1.5304,1.8749,1.6851,2.3877,1 
-0.4257,-0.5124,1.3067,3.0709,2.0002,2.7619,2.1427,1.2331,2.0791,1 
-0.0064,-0.2222,0.8441,2.3832,2.3798,1.829,3.4441,2.2441,-0.5872,1 
0.7368,2.5925,1.824,2.4838,2.8279,1.5419,1.7719,1.6275,1.0666,1 
-0.4565,-1.5082,2.0648,2.4872,3.2268,2.2206,2.7873,1.8368,2.7326,1 
-0.7517,1.007,0.6554,3.0906,2.1165,2.3497,2.001,-1.0845,1.8182,1 
1.7409,-0.0775,0.7963,0.7944,3.4942,0.3166,3.0734,3.1424,0.7272,1 
-0.8379,0.9209,1.6371,0.5795,1.301,2.3339,-0.6862,1.4591,2.0975,1 
-1.3287,-0.1366,1.611,3.754,1.9031,0.9016,1.5606,1.7952,0.7398,1 
0.8911,0.6672,0.5968,0.7539,1.6061,2.5619,1.3782,2.0329,1.6884,1 
-0.1429,0.6347,1.4505,1.4433,0.6252,3.1895,1.4969,2.9158,0.6286,1 
0.3419,0.6287,3.7689,0.2203,0.4364,1.956,1.1283,1.104,0.1547,1 
-0.0962,-0.795,3.1726,1.7245,2.4594,4.5583,0.941,2.1088,2.0058,1 
0.4117,0.4606,0.3064,2.356,0.7598,0.5012,2.211,2.8253,2.8305,1 
-1.0642,-0.1319,0.7818,2.2752,3.1856,0.9548,1.2155,1.1771,3.8178,1 
2.0574,0.6682,2.4982,0.8737,2.1362,0.9143,1.255,1.4963,1.2234,1 
-0.5488,-0.3328,3.847,3.3569,1.7824,2.1024,0.5752,1.6158,0.5318,1 
0.5116,-0.6397,1.5412,1.6407,0.0564,2.1162,1.5877,1.3166,4.7813,1 
-0.0945,-0.5431,2.5387,4.1725,3.5664,2.457,0.0101,1.5914,1.4859,1 
-0.0428,0.6812,2.8161,3.0763,1.9675,2.3349,3.6135,1.9762,2.6445,1 
0.6064,-0.2506,0.994,1.7441,0.8457,1.1671,1.7527,2.2658,1.0615,1 
-1.7978,1.9071,2.4888,2.2473,1.9441,2.4101,2.963,0.7921,1.3496,1 
-0.4304,0.4749,2.1075,1.3541,2.133,1.4698,4.0001,2.6829,2.1847,1 
0.3337,2.2341,2.5777,2.2941,2.8466,1.4115,2.2041,0.8071,2.0876,1 
1.1086,0.9634,2.2422,3.5853,0.966,2.4356,2.1351,0.6798,2.0488,1 
1.0071,-0.7376,2.6536,0.525,2.4188,1.2846,2.4721,1.4711,0.8413,1 
-0.6166,0.8638,1.4445,1.1018,3.9403,2.2912,1.6286,1.3052,4.2068,1 
0.0281,-0.6454,0.7997,0.0209,1.3877,2.3631,0.9459,4.1505,2.7219,1 
-1.4211,0.8401,3.8891,0.323,2.6248,1.232,1.1411,1.4937,3.8124,1 
-1.4146,0.4524,2.4307,4.7295,1.969,2.8519,2.2416,2.8122,1.8514,1 
-0.8619,-0.6911,1.4534,0.5997,1.5812,2.5541,2.0667,0.5595,1.2519,1 
-0.8482,1.3153,1.8156,2.4232,2.3535,2.4944,2.0582,1.5463,1.321,1 
-0.3694,-0.4727,1.5595,0.2756,1.9745,1.2052,0.9805,1.9385,1.7834,1 
1.6712,1.1568,0.7641,2.085,1.0172,1.999,2.9932,2.2571,0.9087,1 
-0.43,0.0811,1.814,1.5622,1.339,1.8219,0.9101,1.8213,2.1214,1 
0.6143,-1.7349,2.5345,1.101,1.0895,1.1757,0.807,3.9651,-1.2957,1 
0.1678,-1.1865,2.3486,4.009,0.046,3.0955,2.7515,2.2574,0.7285,1 
0.2482,-0.2548,0.3263,2.1172,0.1106,1.2139,1.2825,2.4043,2.0599,1 
-1.3758,0.2193,4.0991,2.1809,0.6953,1.4966,1.9323,3.5923,3.0051,1 
-1.6882,0.1749,1.5107,3.009,1.7601,2.7925,0.9962,2.4875,0.1163,1 
0.3958,-0.3401,0.1024,2.2133,2.1667,2.2049,3.1489,1.3148,2.2062,1 
-0.1963,0.1047,1.5215,2.7016,1.965,2.0911,1.3198,0.7847,3.0395,1 
-0.259,0.2774,1.4673,3.3354,0.6357,1.7615,2.3417,2.9337,2.7339,1 
-0.0525,1.1555,2.3076,0.1399,1.4457,2.52,3.5087,2.4298,3.5481,1 
1.8519,-0.902,2.0649,4.0337,1.4676,3.0478,1.5575,1.6015,1.9833,1 
-0.1663,0.5741,2.1282,0.7607,1.6244,1.6679,4.1087,0.6252,2.0943,1 
0.0168,-1.1528,0.5051,2.0007,2.4036,2.2676,0.8385,1.9441,3.1406,1 
0.5753,-0.322,1.29,1.013,2.4619,1.884,1.53,2.8028,2.6271,1 
0.8807,0.5912,0.6712,3.6084,1.4989,2.7442,3.0076,2.7055,2.3468,1 
-0.4351,-0.4618,1.2952,2.8704,2.3545,1.326,2.4091,1.0709,2.2087,1 
