Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
1.2713,-2.3204,0.9269,3.3146,4.0434,0.6009,1.2174,2.3085,1.4649,1 
-0.2024,0.9337,0.4428,2.7229,2.2771,1.2643,1.4267,3.6373,1.5956,1 
-1.0284,-0.989,2.3504,1.11,1.9224,1.8417,0.8461,1.3625,1.7686,1 
-1.0149,-0.4072,4.4368,1.9905,1.7981,1.9417,1.0928,0.4915,1.302,1 
0.9784,1.459,2.7938,2.0762,2.5756,0.3163,2.0772,1.5258,2.7375,1 
-0.1423,0.9303,2.4349,2.0284,0.737,1.1524,2.1661,1.4571,0.7951,1 
-0.5021,-0.5904,0.953,3.2634,2.8483,2.463,2.2552,2.2906,3.2056,1 
-3.0285,0.2171,2.3476,2.6876,3.2152,1.1296,0.3015,2.6887,1.8798,1 
-0.3491,-0.8017,2.7628,1.676,2.4923,1.7981,1.7986,-0.8068,3.383,1 
0.5392,-0.3397,1.3885,1.7681,1.2663,2.4893,2.3433,3.0249,3.5513,1 
0.3195,1.2107,2.2321,1.0733,1.755,1.8327,1.7898,1.866,1.4652,1 
0.4964,0.9125,2.2335,1.2652,1.3656,2.396,3.0013,1.5389,2.4155,1 
1.8844,-0.2837,3.4211,2.4935,3.3369,1.732,1.1607,2.3527,1.5987,1 
-0.2312,-0.985,0.832,1.6599,2.5241,1.6288,2.2198,2.1248,2.3301,1 
0.0441,0.0411,2.2357,3.7343,2.5349,0.8712,2.694,0.9926,2.0747,1 
0.0379,0.487,1.0612,1.4247,1.909,2.013,2.0177,2.082,1.9849,1 
-0.7548,1.4475,1.673,3.5539,1.2921,3.9839,1.3483,1.7628,2.0105,1 
0.4499,-1.3862,2.555,1.7118,2.8382,2.848,0.2819,3.5608,2.5313,1 
0.1105,1.5632,1.7525,0.1266,3.0661,2.0678,1.3364,3.0806,1.5007,1 
-0.5909,0.1382,2.5384,1.3371,2.1263,1.5864,2.1997,1.3703,3.0936,1 
0.0914,0.9076,2.1942,2.1017,2.782,0.2601,2.7124,1.4521,3.7926,1 
-0.9915,0.6125,2.2032,1.2333,3.3692,2.1946,4.2008,3.2175,2.2886,1 
0.2489,0.6845,1.1402,1.9088,2.5976,2.7615,2.6117,1.6287,1.3903,1 
1.5793,0.2691,0.6191,0.9349,2.6715,4.2442,2.6709,0.4523,1.729,1 
0.4147,-1.2465,1.5281,1.7695,1.3641,2.4899,0.945,1.5248,1.7225,1 
0.0405,-1.6908,1.7479,2.6521,2.1658,3.1972,1.9841,0.928,2.1592,1 
-0.0971,-1.9154,-0.1605,0.3085,1.4756,0.5379,0.8177,3.1157,0.0934,1 
0.0018,-0.6493,1.4584,1.0644,4.167,1.3211,3.3348,0.9214,1.9856,1 
1.1227,0.126,1.5574,1.9062,0.7731,1.1621,-0.4468,2.2524,2.8991,1 
-0.859,-0.4948,1.8036,2.3118,1.984,2.9834,0.4204,2.0525,3.7536,1 
1.9317,-0.1549,3.2829,0.1941,2.2541,1.4541,2.6898,1.7131,2.2067,1 
-0.4269,-0.4061,3.5148,2.4303,3.5604,0.4909,3.9108,1.965,1.2273,1 
0.1637,0.6048,2.6812,1.9308,1.2423,3.0603,0.3147,2.3524,1.6194,1 
-1.8361,-1.0951,2.318,2.0836,1.0561,0.8081,1.4371,3.8933,2.002,1 
1.0423,1.5159,3.3067,4.4331,2.9554,1.7274,2.0228,2.2713,1.7655,1 
1.3907,0.3717,2.9455,1.9329,2.6682,1.0072,2.9341,2.2171,2.8206,1 
-0.2035,1.4984,3.1962,2.2883,3.3936,1.7733,1.8559,2.1317,2.8388,1 
-0.0015,0.7661,2.4634,1.945,1.7396,1.7707,1.5037,1.4418,3.765,1 
0.7655,-0.3119,2.2523,4.0079,4.1972,2.4569,1.6796,1.7397,0.6999,1 
0.1513,-0.1435,3.2233,1.3312,1.9285,1.07,1.7296,2.3003,2.4045,1 
0.2251,-0.2517,3.5511,1.4336,1.9015,2.4089,-0.3036,0.2527,1.5519,1 
-0.0388,-0.5238,2.7586,3.5534,2.5988,1.7025,0.3094,3.4702,2.104,1 
-1.5204,-2.516,1.8625,1.5699,1.3992,3.5496,1.6185,1.1652,2.7899,1 
0.572,1.018,0.3568,1.6785,2.8377,0.9704,2.6362,2.2313,2.976,1 
-1.3205,-0.6062,0.076,2.7133,1.7313,3.9529,0.064,3.619,3.2581,1 
1.3044,-1.8136,1.1382,3.6782,1.448,2.603,2.6636,1.74,3.3698,1 
-0.3435,0.3277,2.4059,2.2999,1.2238,3.2538,1.5745,2.2092,2.1528,1 
-1.9661,-2.4392,2.4372,0.86,2.6275,2.1958,0.9908,1.5548,2.3194,1 
-0.5219,1.3826,1.8065,3.1616,2.7978,2.4897,2.4229,2.4727,3.4273,1 
0.2983,-0.595,1.5631,2.0286,1.8152,1.7961,0.8857,2.9643,0.2001,1 
1.9316,0.648,1.8826,3.3122,0.5674,1.526,2.6198,2.3266,3.1679,1 
1.1018,0.7376,0.2521,1.276,2.2165,2.125,1.5475,1.0774,3.2451,1 
1.6634,-0.4006,2.4552,2.5054,2.6084,2.0257,3.3748,3.5723,0.0466,1 
0.1401,0.4413,1.9247,2.3442,2.3383,0.1241,2.6224,2.0868,-0.2083,1 
-1.1382,1.0456,2.8937,2.5924,2.5428,1.864,3.9652,0.7178,1.0,1 
0.5645,-1.3399,2.8771,2.0914,2.5594,0.9383,1.3367,2.2966,3.453,1 
-0.3478,0.6246,1.4042,2.1939,2.4455,3.3632,1.5752,2.2347,1.2851,1 
-1.8911,0.2036,3.1734,2.6924,2.3218,4.2192,0.9779,0.3008,3.5057,1 
1.3631,0.9499,-0.1771,0.5417,1.8072,0.8201,1.9316,2.6931,2.0939,1 
-0.5467,-1.1176,0.1434,2.2809,2.1826,2.0403,0.5181,1.5649,3.4971,1 
-0.7693,-2.0659,1.9736,3.1744,2.0387,2.9245,3.6445,1.1991,1.4289,1 
-0.762,0.3961,1.3523,0.0472,3.7297,1.8019,2.1488,1.2965,1.8895,1 
0.9714,0.0799,0.9213,1.7329,1.6174,1.0247,0.3846,2.7593,0.7602,1 
1.6771,-1.2185,2.4509,2.1641,2.6665,2.1235,2.8206,1.9298,1.9453,1 
0.132,0.3326,2.3325,2.4294,2.3586,2.375,2.5452,1.9254,2.9799,1 
-0.7222,-1.0066,1.236,1.9622,2.3592,2.0708,1.2385,1.3282,1.89,1 
1.4707,-0.4072,3.0955,2.1884,1.954,0.0382,1.7226,0.8109,1.1194,1 
0.7325,-1.0078,2.1592,1.0268,3.2159,2.1749,2.5013,3.0384,1.329,1 
0.1028,0.6524,1.6916,2.1286,3.6819,2.2657,1.4955,1.0903,3.2981,1 
-0.1627,-1.0723,3.5424,1.7317,1.6575,2.043,3.3043,1.5925,3.6935,1 
-0.8041,-1.0311,3.7023,1.2526,1.6489,3.2989,1.8462,2.9246,2.8195,1 
1.1211,0.583,2.8711,0.1328,1.1321,2.7021,1.632,-0.0151,3.2565,1 
0.0397,1.5561,3.6716,2.5745,1.6374,-0.1345,1.913,2.0406,1.0193,1 
0.414,0.3537,-0.0075,2.2551,0.4672,1.1166,3.8753,1.4334,0.7528,1 
0.6235,1.196,-0.1883,2.3527,0.953,0.8005,1.8971,1.3044,1.6807,1 
1.4867,1.5617,2.7392,2.8169,1.9437,2.6831,1.8149,1.5324,1.1056,1 
0.225,0.2321,2.6751,0.5491,2.0148,2.366,2.9795,1.3851,0.7297,1 
-2.1499,-0.156,1.8339,1.7071,1.7618,1.0942,1.8853,1.4986,1.5442,1 
-0.1452,-1.0878,2.1823,0.8701,1.4633,0.6861,1.0637,0.8818,0.0271,1 
-0.9173,0.8123,1.4451,0.6266,3.2754,0.9481,0.8024,0.2303,1.7757,1 
1.0239,-0.5428,-0.0252,3.7198,1.4361,1.8675,0.8541,2.2938,3.8676,1 
