Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
3.7636,-0.7798,1.1422,3.2863,0.5668,3.1435,2.4071,1.7874,3.1164,1 
5.7127,-0.8159,1.9153,4.4063,1.6393,2.1976,1.6336,2.2688,1.4821,1 
5.0402,-0.5921,0.9849,0.9264,1.6862,2.8923,0.4922,0.1151,3.1992,1 
5.7009,0.4477,4.3753,2.2236,1.8877,2.3327,-1.9563,3.3194,2.3438,1 
5.2064,0.8854,2.5802,3.8171,2.674,3.2008,2.4769,2.0963,2.1685,1 
4.8,1.5504,3.4377,1.4867,0.701,0.7551,1.1847,2.3426,0.8881,1 
6.4857,0.1637,1.9627,2.8473,3.1036,3.6173,0.9175,1.6482,2.0588,1 
5.8967,-1.566,2.727,4.1359,1.3203,1.651,1.9873,3.2452,1.6678,1 
5.0864,0.3564,1.6125,2.036,1.8135,0.2143,2.7565,1.934,1.3561,1 
5.4965,0.9902,2.1914,2.1174,0.233,2.6656,3.0191,2.8812,2.7885,1 
5.7635,0.2694,0.4228,3.4038,1.2179,0.6501,3.0031,2.4127,1.3801,1 
4.7425,1.5133,2.1407,1.6024,1.3602,0.6224,0.7653,2.7974,2.6902,1 
3.0048,-1.9242,1.9938,0.8045,2.9857,2.1699,0.4455,1.4588,1.6928,1 
4.7368,1.4894,1.9067,2.2365,0.8087,2.852,-0.0455,1.9749,3.0108,1 
4.2741,2.1541,2.7486,1.7158,2.3603,1.8278,3.5898,2.8697,3.7179,1 
4.2257,0.6751,2.0526,3.6047,0.8529,0.5506,1.2907,1.9794,4.1067,1 
7.2821,1.947,1.4856,0.7195,1.4837,-1.0787,1.1922,1.2278,1.1378,1 
6.3303,-0.8717,2.5993,0.2991,2.2084,2.4051,2.6704,2.299,0.0725,1 
5.5472,0.305,3.1219,1.8729,1.1808,-0.0201,0.7076,2.5365,1.2016,1 
6.3447,0.8666,1.9903,3.9079,2.3448,1.7488,0.4542,1.1966,1.1908,1 
4.9716,-0.951,2.7459,1.9431,-0.6112,1.7685,0.6997,1.7445,1.7829,1 
3.7146,0.8808,2.1029,1.5418,2.4914,0.372,3.467,2.7411,1.667,1 
6.152,-1.0589,-0.717,3.3337,2.2882,2.6444,-0.4985,2.0172,4.3345,1 
4.4045,-0.5823,2.431,1.6155,3.4852,2.1707,2.2046,2.6811,2.697,1 
5.7148,1.0927,0.8081,1.4904,2.2265,2.8276,2.2327,1.8903,1.6348,1 
5.4346,1.354,1.8613,2.6936,2.4229,1.5669,0.6138,-0.3505,3.3552,1 
4.2103,0.8996,2.6463,2.6208,0.8418,1.9182,1.9157,3.0437,3.0415,1 
4.467,-1.0557,0.9345,0.6302,1.4028,2.2583,3.5606,1.9925,2.9562,1 
4.7866,-0.0649,0.9887,2.0335,4.5548,1.4747,2.5796,1.1208,0.059,1 
4.4995,0.3352,1.6091,1.7176,0.56,2.0089,2.9308,3.1357,-0.1586,1 
4.6734,1.3116,1.285,3.2145,1.3814,3.2058,2.0809,1.455,3.2107,1 
4.3037,-1.0333,1.8198,0.2298,1.4322,1.0533,1.7368,2.5548,2.3701,1 
4.5841,-0.1461,0.9749,1.4283,-0.1914,2.386,0.1695,2.0357,2.3358,1 
6.1295,-1.4794,2.4778,2.6892,1.0911,2.8443,1.9941,2.7582,2.8306,1 
7.4985,-0.5566,3.0727,-0.1732,2.1654,2.4183,2.9271,-0.4237,2.3335,1 
4.8896,2.2858,3.2603,2.3301,2.2129,2.5273,3.1195,-0.4115,2.8558,1 
3.7355,-0.6616,2.2077,0.5026,2.4936,2.2453,2.4127,2.2208,2.2761,1 
4.3478,0.3495,1.5279,2.1617,3.0878,1.3683,1.7533,2.699,2.952,1 
5.1591,-0.069,3.0471,2.0457,1.4112,2.5846,4.7916,1.0374,2.8006,1 
4.7215,1.4036,2.7402,2.3952,1.8614,1.1948,1.4643,2.6537,0.0935,1 
5.3987,-0.3072,1.3519,3.8982,4.4521,-0.4499,3.7413,1.6826,1.0518,1 
5.8598,2.3344,1.6778,0.6473,3.3268,1.925,1.2964,2.9011,3.6423,1 
4.7506,-0.6337,1.3262,1.6719,2.0157,1.071,2.938,3.5894,1.8367,1 
2.941,0.559,2.7161,1.7346,1.2683,3.3369,1.2875,1.5457,1.2759,1 
6.0857,0.5859,3.0092,1.5351,-0.3269,2.0906,2.3415,1.4305,2.6671,1 
3.9593,1.279,2.9082,2.5671,3.0409,2.2367,0.4702,0.7394,2.7779,1 
4.5558,0.4332,-0.3754,-0.3874,1.9908,2.556,2.466,0.103,2.948,1 
4.2344,-0.584,1.2472,2.7309,3.5084,0.7843,2.8023,1.4639,2.9465,1 
4.4407,-0.8708,1.8682,0.9094,1.7661,2.3779,1.7577,2.2524,1.7298,1 
4.4574,-1.3875,1.133,3.9886,1.8922,1.7793,2.4352,1.6734,1.2545,1 
4.3897,0.6855,0.7686,3.4359,0.8198,3.0176,1.4927,2.445,2.3316,1 
4.7243,0.2342,1.8216,-0.2133,3.8935,2.0244,1.1102,1.1704,1.3347,1 
3.986,1.2225,1.5703,2.373,2.3032,2.008,1.8733,1.7852,1.6457,1 
3.6942,0.5504,3.3594,1.4185,4.0031,0.8268,2.4823,3.468,2.8284,1 
7.2645,-0.6968,1.0065,3.6083,2.7728,3.7094,1.0895,2.7306,2.9476,1 
4.73,-0.1645,4.4414,3.0962,2.5759,2.5552,3.7934,3.0394,1.8625,1 
5.1145,-0.45,1.2235,1.0914,2.1192,1.6685,3.2338,3.781,0.8649,1 
6.6243,1.2167,4.2799,3.1256,3.2786,1.2853,1.8884,2.387,1.5102,1 
5.0438,2.837,0.6263,2.0166,1.6161,2.2035,2.0362,1.1666,1.9929,1 
4.4438,0.4187,-0.6871,0.2198,1.449,1.0181,0.5419,0.6052,1.2523,1 
4.4547,-0.4013,2.6451,1.3058,2.6328,2.848,1.3168,2.3405,3.2219,1 
4.0696,-0.104,1.2506,3.6099,1.9382,2.9285,4.0696,3.7792,-0.1089,1 
4.4555,0.3855,3.0056,2.3085,2.9067,3.2132,1.8631,2.8566,4.1783,1 
3.5522,-0.6072,4.0586,0.7119,1.2132,3.754,0.307,2.4603,2.5515,1 
4.8003,0.1158,1.628,1.8536,0.318,0.9935,3.2136,1.3579,2.2259,1 
5.3019,-0.2979,3.4977,1.6736,1.817,2.3508,1.5121,1.8008,2.106,1 
5.07,1.1006,2.162,2.3976,1.3476,1.2566,2.6468,-0.3889,2.0759,1 
4.1003,1.2447,1.8864,0.8617,1.8203,4.9092,1.7184,2.5877,4.2589,1 
5.7235,0.4535,1.7782,2.9525,1.7706,2.6947,2.7068,3.5874,1.6518,1 
4.5874,0.5463,1.6333,1.6023,2.3743,2.3492,1.7884,0.8709,2.6652,1 
4.8455,-0.4979,0.1206,3.5102,2.9799,0.6196,3.8569,2.2893,1.6112,1 
4.795,-0.5536,1.087,1.5418,0.2868,1.8887,0.3656,1.5138,2.1368,1 
4.7968,-0.6409,2.7958,1.8138,0.5993,1.9607,2.2968,2.7653,-0.2732,1 
6.1531,1.4803,0.6014,1.0337,1.9849,2.514,1.8502,1.4888,2.0973,1 
5.827,-0.341,2.0053,1.5593,2.2794,3.4075,3.6852,1.1112,2.5938,1 
5.1985,-1.6566,0.4103,4.6855,2.4326,1.3659,1.8803,0.7249,1.3038,1 
6.065,0.7708,3.048,2.0927,-1.5199,1.9538,-0.1429,0.2006,1.7388,1 
5.0214,0.8373,1.8918,0.2265,1.3299,2.228,1.9168,1.732,2.8724,1 
6.6157,-0.5138,0.6952,3.6094,1.2313,0.9627,2.3844,3.3068,2.6205,1 
5.0629,2.6604,2.5834,2.3364,1.3249,2.1978,1.0113,1.9807,1.738,1 
4.3464,1.0359,3.9278,0.0637,4.4539,4.1316,2.6572,1.5526,1.0731,1 
6.3263,1.181,1.3241,1.5508,3.099,2.9671,3.4915,2.9132,0.966,1 
5.1529,0.7429,0.4559,2.8137,2.1196,1.566,2.7897,0.786,3.3513,1 
5.041,1.2265,2.4787,2.4922,3.6839,2.5046,0.7136,1.5576,0.5628,1 
5.3433,-0.9224,2.2491,1.6906,2.729,1.9099,3.1966,2.7926,3.7115,1 
6.447,-1.6116,1.6412,2.8112,1.8135,0.8489,1.6469,1.8919,2.4042,1 
5.6297,0.9349,1.1128,2.7353,2.1668,2.4881,1.7294,3.1667,3.4434,1 
5.2844,-2.252,1.8756,1.0555,1.4333,4.2708,3.2614,2.0874,1.5043,1 
4.6638,0.5837,1.6822,4.1192,3.1843,2.5949,2.2689,1.8893,2.8764,1 
5.4978,-0.061,3.1108,3.0286,2.1634,1.3347,1.3058,1.7121,2.5063,1 
4.2849,0.8978,2.0332,3.5597,1.1954,2.8854,2.4626,3.2682,2.958,1 
6.3832,-0.3084,1.3288,2.0913,3.0144,0.7803,3.3454,2.748,4.1961,1 
3.6511,0.5573,0.4722,0.0619,1.84,1.9577,2.4284,1.1909,3.24,1 
4.0171,2.1251,2.2298,1.1493,2.7766,2.8921,2.0659,1.9954,2.3227,1 
4.8675,-0.217,2.638,0.859,2.014,2.4767,2.2427,1.4999,1.8873,1 
3.624,-1.0654,2.0445,3.9549,1.2424,2.787,1.0929,1.6224,1.906,1 
4.8302,-0.3739,1.5616,2.3108,2.271,2.509,1.2574,3.8315,3.2704,1 
4.3477,1.2938,4.9078,1.5606,1.5396,3.1721,2.5388,0.6645,2.163,1 
5.8586,1.0176,2.8353,2.294,2.6888,2.183,0.4851,2.8602,1.3337,1 
4.7711,-1.037,3.135,3.3015,1.3266,2.3765,0.0465,2.7177,2.218,1 
1.5457,1.7502,2.6625,1.8757,2.7599,1.9516,0.6701,1.1763,3.4701,1 
1.5819,3.5183,1.198,1.33,2.3562,2.6721,2.8703,1.817,2.5417,1 
2.344,2.281,0.8854,2.062,0.6135,1.7804,0.687,1.7335,1.6281,1 
3.5678,2.4983,0.2333,1.5322,1.7785,1.2701,2.2093,1.0965,2.8675,1 
1.549,2.2632,3.3459,1.2487,2.2286,1.2883,1.6631,2.4378,1.5298,1 
2.8458,1.3772,3.3808,1.7306,1.3099,2.1585,1.381,2.4183,1.617,1 
