Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
1.9772,8.6033,1.1086,2.0889,2.1117,2.3478,1.93,2.7213,1.954,1 
3.5473,11.0002,2.2352,0.9236,2.6959,2.2038,2.4901,1.7318,1.9827,1 
-0.1716,11.291,3.0983,3.5974,2.8633,1.8105,1.6599,2.6865,1.4896,1 
2.2392,10.6651,1.5547,3.2707,1.4596,2.6042,1.3264,1.3707,1.8463,1 
2.0752,9.2806,2.133,2.0688,2.7545,2.1194,3.6999,1.5481,1.3826,1 
2.4689,11.1234,2.5075,0.4134,1.2951,2.5233,3.3421,1.5145,0.1129,1 
1.5385,10.4451,2.1488,0.584,0.3873,1.8921,1.5655,3.4369,3.0285,1 
2.2788,10.4686,3.0683,3.1206,2.0876,4.3223,0.4577,1.8088,3.2802,1 
1.1756,10.4258,4.404,1.3639,2.7875,0.7903,-0.5802,1.5904,-0.7361,1 
1.0456,9.1167,2.6272,0.9215,2.7375,3.7267,2.5042,2.408,2.0261,1 
0.8093,10.0714,3.8185,0.9043,2.4668,2.6511,0.7415,-0.8627,3.1217,1 
1.1826,6.1939,3.4734,0.76,2.4404,2.8167,2.9257,1.7769,1.3725,1 
0.3811,10.5211,3.027,2.092,1.0928,2.7663,0.916,2.8446,-0.3214,1 
2.2359,9.7232,0.6902,0.9907,2.5922,1.8904,1.252,2.1017,0.9838,1 
2.5364,9.6807,1.6344,2.7256,2.5363,2.5208,3.4558,2.6435,1.809,1 
2.2358,9.6428,3.4611,1.3404,0.7124,1.9092,1.0257,1.1816,1.8768,1 
1.6581,10.1343,1.2159,1.8263,1.6349,3.9186,2.9948,1.087,0.6433,1 
-0.0424,11.4215,2.2652,1.5003,0.9893,0.3737,1.5816,1.8647,2.2151,1 
1.4481,8.5862,0.3872,2.2437,2.3598,2.7841,1.3652,2.8277,1.4804,1 
1.5744,11.8444,1.08,2.4493,1.4783,1.9166,1.3802,1.8735,3.8205,1 
2.0658,11.9523,0.9534,1.6651,4.2898,1.7351,0.5969,1.4179,3.4047,1 
1.898,10.7586,2.7686,2.4824,-1.4493,1.2703,2.4017,3.2706,1.8487,1 
2.5493,10.5481,1.8388,1.4553,2.0365,2.118,2.0008,1.5586,2.8474,1 
2.2011,10.569,1.1361,2.9948,2.8776,2.0233,3.147,1.8739,1.4796,1 
1.1983,8.8446,0.0209,4.7419,1.7134,1.7909,2.685,2.7829,2.0492,1 
0.1638,10.5235,0.8437,1.8217,0.9364,3.8154,-1.5671,0.564,2.8662,1 
2.5124,9.8644,1.1146,2.6777,0.1506,2.5497,2.3323,1.7606,1.4319,1 
2.0179,10.3266,2.228,1.9318,2.0115,0.6553,2.4234,1.042,1.5478,1 
0.9108,10.1975,2.6068,1.4863,2.1076,2.5824,4.3449,3.9195,2.9825,1 
1.225,9.0396,1.3827,1.6176,4.199,2.3624,3.0649,0.2705,3.526,1 
1.9289,10.6477,4.1446,1.8596,2.2201,2.1327,3.1795,1.3673,2.2094,1 
2.7078,11.3523,2.1056,4.3027,3.8635,3.1585,0.6109,0.5036,2.1084,1 
0.8429,8.8318,2.8336,2.0758,3.0564,1.1391,3.4763,1.763,2.4711,1 
2.8733,9.9213,2.7561,0.7358,2.5001,0.3084,0.9607,2.4973,2.12,1 
1.2245,10.5142,2.7703,1.7372,0.6938,1.3977,2.4758,2.4941,2.8448,1 
2.2877,10.5684,1.9334,2.9746,1.0924,1.0723,2.5084,2.9003,2.9327,1 
3.2856,9.5834,1.6556,1.414,3.7073,2.5745,1.224,2.4545,1.2809,1 
3.2172,10.4609,-0.1784,1.421,3.3212,1.9359,3.5955,2.2303,1.6119,1 
3.4049,10.3285,2.0184,1.444,1.2913,1.8258,2.8092,2.2654,2.6235,1 
1.6593,9.2979,2.5172,2.4403,0.5938,2.7559,3.3683,1.3854,2.4038,1 
1.7539,8.0408,2.9433,3.1382,0.6418,1.5245,3.6105,3.0992,2.2852,1 
2.5849,8.8316,1.7509,2.9226,3.3332,1.722,2.659,3.3405,1.1846,1 
1.1258,9.9649,2.3521,0.744,2.4288,1.5234,3.3073,1.9878,0.8047,1 
0.7066,10.9821,0.6274,0.9373,2.1635,4.6037,1.1168,1.988,2.0963,1 
2.2287,8.8798,1.7947,2.2389,3.4349,0.7624,2.2937,2.312,1.9514,1 
0.7686,8.9466,0.4023,2.0348,2.7077,0.7074,0.622,2.7347,2.4033,1 
2.1811,9.8274,3.2579,3.2441,0.1667,0.9163,2.8802,-0.2018,3.5421,1 
2.4685,9.0241,0.9839,3.2532,1.4539,3.1576,1.3685,1.5255,3.456,1 
1.504,8.4684,2.026,2.5464,1.6562,2.194,2.4792,4.5397,2.056,1 
2.6792,9.6456,3.1245,2.567,2.3892,2.5869,2.731,1.8553,2.4479,1 
2.2771,11.3263,2.7962,2.8718,1.5093,1.1581,2.45,3.176,1.2128,1 
3.7313,9.3008,0.8284,1.4379,2.4624,2.3245,3.3328,2.5875,0.3366,1 
1.4805,11.8475,1.1783,3.1239,1.7969,1.1018,2.1215,1.7604,1.9094,1 
2.3777,9.8074,3.3969,2.0147,2.9794,2.508,2.9997,1.9971,1.4945,1 
1.1761,8.9826,0.4571,2.4672,2.4657,2.9724,1.3728,2.2173,2.982,1 
1.1778,10.556,2.3756,1.4431,2.4404,2.7992,4.4339,1.5396,2.3145,1 
1.6253,9.0558,2.5778,0.172,1.8012,1.1755,1.7069,0.8996,2.7362,1 
1.6213,9.6038,1.0511,-0.1729,1.2277,0.5539,2.3667,2.5408,1.5963,1 
2.7252,8.8028,1.8921,1.532,1.9583,3.589,2.0425,1.9399,2.8219,1 
2.3694,8.5648,1.6993,3.0102,2.4814,2.5466,0.6108,2.2476,2.2136,1 
2.6451,11.1958,4.0929,1.9271,1.5705,2.1493,2.1654,2.9847,0.9538,1 
3.025,9.5817,0.6467,2.0109,1.6398,2.1331,1.5506,2.2253,2.456,1 
1.4131,10.652,0.8864,1.715,0.5123,2.4288,1.987,2.1339,0.9325,1 
1.1859,11.2129,1.6325,1.0404,2.7099,2.5118,0.8908,4.0341,2.9803,1 
2.7955,8.8853,1.5688,1.7302,1.7585,0.7362,2.6935,2.2722,-2.0394,1 
1.542,9.318,2.4337,2.978,2.2192,2.5583,1.4391,2.4422,0.7683,1 
3.8433,11.1757,3.1289,3.6189,1.5812,-0.2048,3.1558,2.0119,1.3108,1 
1.5717,10.9369,4.064,1.543,2.3955,2.6761,2.6527,1.9323,0.0625,1 
2.3229,9.6843,2.9086,1.5619,2.7778,2.302,0.6845,1.7529,0.9382,1 
2.7953,9.8196,1.495,3.0476,2.1268,0.9208,0.7874,2.5731,1.594,1 
1.1876,11.0629,1.5881,1.5463,2.9962,2.8166,1.4571,2.1995,1.0952,1 
