Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
1.3492,11.0461,0.6286,0.4977,2.2764,2.213,1.3834,0.8958,4.5386,1 
3.4928,10.5089,2.344,2.9856,2.3426,3.0835,0.6767,-0.172,2.2843,1 
2.6325,8.0296,2.2461,2.0159,4.0867,1.4465,-0.211,2.1634,2.1369,1 
0.3275,10.7256,1.4294,2.7092,2.672,2.1752,0.7588,1.9162,2.7594,1 
1.6689,11.8571,1.2512,2.8669,1.6425,2.0609,2.5999,2.2539,0.979,1 
2.202,9.8178,2.127,1.5708,2.9021,1.8076,1.3849,1.07,3.3366,1 
3.0342,10.5577,3.0584,2.0638,3.2851,1.9496,2.2882,0.3116,2.0046,1 
0.4781,10.1049,2.6815,1.4911,2.3539,1.4526,1.4665,0.4509,1.6594,1 
3.5709,9.3583,0.8437,2.4875,2.5007,1.6684,1.2179,4.199,1.1044,1 
2.0452,11.0766,2.2827,0.9757,0.8089,0.57,3.4245,1.3467,2.464,1 
3.0859,10.853,2.9596,0.8109,2.0336,4.1948,2.8166,0.6966,0.6399,1 
2.8079,9.2583,1.2575,1.697,1.2473,0.834,1.0764,1.5861,-0.0909,1 
1.3243,10.0667,1.9149,1.6471,2.7441,2.1986,2.4249,2.1161,1.9484,1 
5.0287,9.5648,1.7384,1.316,2.121,3.8819,4.0954,1.9271,0.0595,1 
3.5223,7.5538,2.4619,2.7048,2.7714,1.2273,0.9463,2.5367,1.4962,1 
4.2406,9.6118,0.8725,0.5971,0.5653,1.4056,0.1098,2.1476,2.5663,1 
1.5737,8.5952,2.2629,3.1343,1.6058,5.4941,3.147,3.1829,2.7236,1 
1.9806,10.6754,0.7808,1.2416,3.7101,2.4914,0.88,1.9617,2.2685,1 
-0.6187,11.4233,4.5041,0.7855,1.2839,1.3963,2.411,2.1578,1.8767,1 
2.0532,11.9101,2.4302,3.0233,0.2636,0.6929,0.7954,1.6301,3.1117,1 
1.9727,9.2799,1.3845,2.5803,2.2351,0.4868,0.5561,2.6037,0.6254,1 
0.9863,11.5142,1.1626,1.5919,2.5332,1.3521,2.5827,1.6363,1.525,1 
0.7285,10.4185,2.0844,2.6687,0.6114,2.6224,1.5326,2.206,4.5877,1 
2.1541,11.7496,0.0993,0.9692,2.2713,1.1251,2.5208,0.9251,3.6889,1 
1.1107,11.8228,4.6753,2.0079,2.1677,2.2697,2.9956,4.1366,1.0431,1 
0.7512,11.228,3.2824,0.8426,2.1855,2.6174,4.1591,2.4014,-0.1068,1 
2.7991,9.6515,3.3651,2.6824,2.6138,1.726,-0.3227,3.4196,2.3939,1 
2.4894,11.106,1.4065,3.8715,1.1881,3.5663,1.6367,1.9801,1.4469,1 
1.2634,10.915,1.9632,0.9811,1.2658,0.4141,0.5244,2.831,2.2025,1 
1.0923,10.9047,1.2832,1.2616,1.9203,2.295,2.3347,2.5103,-0.4463,1 
1.9363,11.2068,2.5177,2.3501,2.2651,0.8172,3.6878,2.1767,0.4676,1 
2.007,8.4532,2.361,1.798,1.8113,0.0755,1.3296,2.7451,1.3828,1 
3.0339,10.937,1.0439,1.9991,1.5943,3.0049,2.3167,5.0135,1.5951,1 
3.473,8.9654,2.9314,4.3494,3.3158,1.3736,1.3052,0.2131,2.3857,1 
1.44,11.7167,1.6364,2.0219,2.4113,1.0265,2.6944,2.0291,3.9549,1 
2.1531,10.429,2.2165,1.7466,1.7704,2.6636,3.2011,2.4942,0.124,1 
0.1653,9.1081,2.8162,-1.3822,2.7128,3.9294,4.4488,0.8622,3.7374,1 
2.7664,13.0084,0.5217,2.3163,2.5239,1.213,2.3925,1.6475,1.0354,1 
2.2615,11.2634,2.6846,3.3147,3.6239,3.8575,1.5517,1.9856,2.0047,1 
2.8493,10.8455,2.0701,2.609,1.3411,1.8513,2.6765,1.266,-0.298,1 
2.0878,9.7531,1.5226,1.0618,2.2101,2.8823,1.2465,3.3931,2.8596,1 
1.5215,9.211,1.5244,2.2702,2.5476,0.5738,2.3835,0.6087,2.3477,1 
2.0025,10.8778,2.2541,1.63,2.0136,2.8154,0.9666,3.0884,2.622,1 
1.4025,9.774,0.5254,1.3748,3.9006,1.9129,-0.7078,0.305,1.5319,1 
2.1164,10.5039,1.2315,2.9937,1.1289,3.621,1.253,3.5101,2.8291,1 
1.6237,11.8903,3.5185,2.1375,4.038,3.4777,3.8047,0.4467,3.3742,1 
1.8993,11.1083,2.9376,0.4848,1.9164,4.5523,2.3294,-0.5079,1.4655,1 
2.8858,11.1163,1.71,2.2579,3.7817,0.5441,2.7845,0.9234,2.812,1 
2.6236,9.6482,2.1341,1.2871,3.5764,3.0647,1.702,0.7543,2.4177,1 
2.8053,9.4226,2.1671,1.9253,4.9458,2.33,3.0129,0.978,1.3507,1 
2.4927,8.2347,2.6691,2.5025,2.0623,1.9214,2.4914,2.557,3.4118,1 
1.0291,11.6303,1.1797,0.763,2.5838,-0.3582,1.7578,3.8287,2.3016,1 
1.6948,12.3604,2.3602,2.2834,1.2093,2.107,3.5737,3.2608,2.4194,1 
1.886,10.5291,3.6694,2.0927,2.9911,1.4999,2.5537,2.2521,1.1008,1 
2.9704,10.7417,3.4469,0.602,1.5446,1.7371,3.2484,2.9231,0.8431,1 
3.2061,9.793,1.6461,2.4023,2.1584,2.8908,1.8402,2.9254,3.6314,1 
2.7516,10.861,1.9652,2.2552,0.6917,0.5957,3.8527,1.5206,2.0862,1 
1.7832,11.9189,4.3331,0.2788,0.5985,3.253,3.1886,1.3248,2.433,1 
2.3078,9.9939,1.102,0.7044,2.3891,1.1345,1.9442,1.3357,2.3962,1 
4.45,9.995,2.6617,3.4556,1.3788,0.5193,0.9542,0.6431,2.0986,1 
1.4236,10.3029,1.9268,2.1658,2.2517,1.8482,1.025,4.5568,1.6411,1 
2.9765,7.9057,2.1767,2.6692,0.7104,2.3353,1.5573,1.5891,2.1025,1 
2.8322,8.5888,1.8224,2.4303,2.2994,2.3429,0.9707,1.9148,0.4537,1 
1.5064,10.4372,3.0148,2.1554,1.6067,2.4107,1.5856,2.2881,2.4397,1 
3.4053,10.3207,2.7305,2.8543,3.3214,1.1853,3.761,0.77,2.3601,1 
