Feature1,Feature2,Class
-0.1762,0.1889,1 
0.8267,-0.0324,1 
-0.6525,-0.1053,1 
0.2178,0.5873,1 
0.1002,-1.0999,1 
-0.2553,0.4053,1 
0.1627,1.0416,1 
0.2243,0.6993,1 
-0.8655,-1.3935,1 
-0.2367,-0.757,1 
1.3143,-0.9774,1 
-0.359,0.1161,1 
-0.3511,-0.4398,1 
-0.0491,-0.4316,1 
-1.0888,-2.3109,1 
-1.8624,0.2347,1 
-0.8956,-0.5408,1 
-0.4024,0.0231,1 
0.1777,-0.5733,1 
-0.3384,-0.0026,1 
1.4493,1.3661,1 
2.6919,0.6761,1 
-1.061,0.1318,1 
0.1719,0.0888,1 
1.0396,-0.1378,1 
-0.3692,3.1959,1 
1.1146,-0.2595,1 
1.4837,-1.5705,1 
0.9789,1.7607,1 
0.3531,-0.3085,1 
-1.4048,-0.6545,1 
-1.3779,-0.2426,1 
-1.1754,0.6964,1 
0.2841,-1.0195,1 
1.0968,0.2416,1 
-0.367,-2.1989,1 
1.4187,0.2208,1 
0.7925,-0.2238,1 
-0.6967,-0.9177,1 
-1.472,1.8777,1 
1.5103,0.1187,1 
0.6507,-0.7077,1 
1.6986,1.3466,1 
0.5267,-0.6136,1 
-0.1792,-1.2863,1 
1.4168,-0.1814,1 
-0.102,-0.6033,1 
1.2049,0.9623,1 
0.8612,1.9624,1 
-1.1555,0.3453,1 
-0.0771,0.1173,1 
0.2703,-0.5837,1 
-1.5931,-0.965,1 
0.7778,0.5147,1 
1.4315,0.3681,1 
0.4517,0.2936,1 
-1.0827,-0.5801,1 
0.8511,1.171,1 
1.2371,-0.5142,1 
-1.0515,-0.3574,1 
-0.2069,0.2799,1 
-1.4078,0.9835,1 
0.2028,-0.4813,1 
1.4312,0.3366,1 
-0.2537,-0.7143,1 
-1.3184,-0.4898,1 
2.12,-2.1147,1 
-2.6358,1.7235,1 
-0.2256,0.7601,1 
-0.8809,-0.2529,1 
1.412,-1.8093,1 
-0.8544,-1.0402,1 
0.1145,0.3883,1 
0.3475,-0.202,1 
0.2349,-0.4355,1 
0.1023,0.0442,1 
-1.273,0.3976,1 
2.4079,1.3017,1 
-1.3253,1.6876,1 
0.4114,1.5263,1 
0.1458,0.3133,1 
0.1644,0.1365,1 
0.393,0.1706,1 
-0.7663,-0.9515,1 
-1.5013,0.4545,1 
0.6901,-0.9606,1 
-0.8283,0.6674,1 
-1.5559,-1.4045,1 
0.5971,-1.4583,1 
0.2425,-0.4271,1 
0.9015,0.7795,1 
-0.1987,-1.576,1 
-0.0609,-0.1286,1 
0.4568,0.1742,1 
0.5755,0.6707,1 
-0.3511,0.6318,1 
-1.6765,-0.4029,1 
-0.0848,-0.2755,1 
0.0057,0.094,1 
0.0592,-1.1495,1 
2.6196,1.4176,0 
0.1341,1.3607,0 
0.6032,1.0106,0 
1.5691,-0.5067,0 
1.0949,2.3874,0 
2.5218,2.7509,0 
2.8736,1.2264,0 
1.7591,0.8037,0 
1.605,-0.568,0 
2.6476,2.6271,0 
0.7831,1.9818,0 
1.8463,0.7105,0 
1.1509,-0.672,0 
2.0808,1.1708,0 
-0.942,1.3335,0 
-0.7532,1.2963,0 
1.8345,0.9344,0 
0.4276,-0.081,0 
1.1209,3.6792,0 
2.3307,0.0337,0 
1.3807,0.0998,0 
0.9696,1.14,0 
0.8079,1.0796,0 
0.3691,0.1699,0 
0.922,-0.8065,0 
2.2513,0.1083,0 
1.2179,0.1622,0 
0.9093,1.4881,0 
2.13,2.683,0 
0.8641,1.6494,0 
1.361,-0.6354,0 
0.0694,2.2115,0 
0.3539,3.0412,0 
1.6658,1.7783,0 
0.9829,1.0651,0 
0.3346,0.6111,0 
-0.2796,0.7845,0 
0.6321,0.779,0 
2.3048,1.5603,0 
2.8639,1.8727,0 
1.4666,0.3724,0 
1.1415,-0.0579,0 
1.8561,0.2932,0 
2.4774,1.4461,0 
1.7725,1.096,0 
0.2845,-0.9824,0 
1.7647,1.3097,0 
1.5262,-0.5944,0 
0.9523,0.6265,0 
1.2817,-0.0597,0 
1.7825,0.8503,0 
0.7166,0.7191,0 
0.0215,0.2022,0 
1.464,0.9517,0 
0.9158,-0.8737,0 
1.9461,1.4845,0 
2.9432,1.4023,0 
-0.1436,1.3501,0 
1.3662,0.8567,0 
1.4794,2.3748,0 
1.5332,0.2814,0 
-0.0928,0.6196,0 
1.4993,1.9968,0 
-0.361,1.5866,0 
2.056,1.5618,0 
2.8283,1.0657,0 
2.0277,0.4124,0 
2.2335,2.5942,0 
0.7157,0.7286,0 
-1.9698,1.8038,0 
1.9981,-0.3767,0 
0.5118,0.6116,0 
1.8587,1.8647,0 
2.5228,-0.9019,0 
0.5553,0.9987,0 
1.3167,0.2839,0 
0.0304,2.4566,0 
1.4136,1.1942,0 
0.0107,0.6394,0 
0.3932,1.7662,0 
-0.7111,1.2984,0 
1.5008,2.4083,0 
0.3632,0.6455,0 
2.3156,1.7754,0 
1.932,1.4255,0 
2.6261,1.1538,0 
1.071,0.1909,0 
0.5025,1.6622,0 
0.9574,-1.0428,0 
0.8335,2.5932,0 
1.7781,1.7042,0 
1.4969,1.6896,0 
1.4469,1.7369,0 
1.3318,2.3747,0 
0.4055,2.0615,0 
0.5177,0.5895,0 
-0.8146,1.3776,0 
0.8026,0.7983,0 
1.8401,0.9747,0 
1.6458,0.5219,0 
