Feature1,Feature2,Class
-0.3853,-3.8534,1 
-2.1462,-21.4618,1 
-0.6828,-6.828,1 
1.0413,10.4127,1 
0.8624,8.6235,1 
-0.6365,-6.365,1 
0.474,4.7397,1 
-2.1474,-21.4741,1 
-0.78,-7.7997,1 
0.2832,2.8318,1 
-0.1931,-1.9309,1 
-1.8266,-18.2664,1 
1.0197,10.1974,1 
-0.3685,-3.6851,1 
0.3424,3.424,1 
-0.698,-6.9804,1 
-3.1892,-31.8915,1 
-0.6613,-6.6133,1 
0.3141,3.1409,1 
2.0387,20.3868,1 
1.4551,14.5507,1 
-0.3606,-3.6056,1 
-2.2572,-22.572,1 
-0.5836,-5.8361,1 
-0.5536,-5.5363,1 
-0.1033,-1.0327,1 
2.0065,20.0651,1 
0.9445,9.4451,1 
1.1616,11.6157,1 
-0.622,-6.2204,1 
1.233,12.3304,1 
-0.1666,-1.6661,1 
0.3686,3.6865,1 
-1.9743,-19.7434,1 
-0.4501,-4.5005,1 
0.8994,8.9942,1 
-1.1952,-11.9521,1 
-2.1604,-21.6039,1 
-2.0172,-20.1718,1 
0.417,4.1699,1 
-0.6953,-6.9534,1 
0.3521,3.5209,1 
-0.7204,-7.2043,1 
-0.0202,-0.2017,1 
0.4384,4.3838,1 
0.9562,9.5623,1 
-0.4511,-4.5111,1 
-1.1123,-11.1231,1 
0.7323,7.3228,1 
1.25,12.5001,1 
0.0428,0.4279,1 
-0.8444,-8.4436,1 
-0.1166,-1.1664,1 
-1.6895,-16.8948,1 
3.7685,37.6852,1 
0.9593,9.5927,1 
-0.0824,-0.8239,1 
-0.6972,-6.972,1 
-1.1483,-11.4826,1 
0.852,8.5196,1 
-0.1918,-1.9177,1 
-0.0424,-0.4244,1 
1.0759,10.7585,1 
-0.0559,-0.5586,1 
-2.286,-22.8599,1 
0.1959,1.9592,1 
-0.8033,-8.0334,1 
0.1109,1.1087,1 
-2.3057,-23.0569,1 
-0.6467,-6.4665,1 
-1.0672,-10.6718,1 
-2.5936,-25.9358,1 
