Feature1,Feature2,Class
0.8412,8.412,1 
-0.0771,-0.7706,1 
-0.7255,-7.2552,1 
2.2338,22.338,1 
0.3254,3.2542,1 
0.9411,9.4112,1 
-0.2038,-2.038,1 
0.2467,2.4668,1 
-0.0034,-0.0338,1 
3.4137,34.1366,1 
-0.0306,-0.3057,1 
-0.7269,-7.269,1 
1.207,12.0705,1 
-0.842,-8.4204,1 
-1.3213,-13.2129,1 
1.3342,13.342,1 
-0.4317,-4.3169,1 
0.3547,3.5468,1 
-0.8544,-8.5443,1 
-1.3172,-13.1717,1 
0.4949,4.9485,1 
-0.7875,-7.8748,1 
1.0224,10.224,1 
0.8984,8.984,1 
-1.2386,-12.3858,1 
-0.6155,-6.1546,1 
-0.6883,-6.8834,1 
1.0462,10.4618,1 
-0.1563,-1.5628,1 
-0.9787,-9.787,1 
2.3327,23.3271,1 
-0.7763,-7.7627,1 
-0.6581,-6.5806,1 
1.0902,10.9024,1 
1.7025,17.0254,1 
-1.4645,-14.6453,1 
1.8256,18.256,1 
-0.185,-1.8503,1 
-1.0676,-10.6756,1 
0.0035,0.0346,1 
0.6964,6.9641,1 
0.4913,4.9127,1 
-0.1306,-1.3059,1 
2.2158,22.1584,1 
1.9168,19.1684,1 
-0.0263,-0.2631,1 
-3.7867,-37.867,1 
1.0766,10.7656,1 
-2.5252,-25.2518,1 
-2.4107,-24.1065,1 
0.3255,3.2548,1 
-0.9673,-9.6728,1 
1.8976,18.9755,1 
-0.1835,-1.8347,1 
-1.2269,-12.2693,1 
-0.3493,-3.4931,1 
-0.6766,-6.7656,1 
-0.6654,-6.6536,1 
-0.2728,-2.7281,1 
-1.5555,-15.5549,1 
0.2825,2.8246,1 
-0.3335,-3.3354,1 
0.2735,2.7354,1 
-2.9251,-29.2512,1 
2.2219,22.2193,1 
-1.1442,-11.4417,1 
0.6965,6.9647,1 
0.8011,8.0115,1 
-0.5584,-5.5844,1 
1.0301,10.3008,1 
0.2986,2.9861,1 
0.3748,3.7476,1 
-0.4934,-4.9342,1 
-1.2756,-12.7559,1 
0.2221,2.2213,1 
-0.4158,-4.1582,1 
1.8012,18.0125,1 
0.0392,0.3924,1 
-0.7264,-7.2637,1 
0.549,5.4901,1 
0.4719,4.7185,1 
0.9098,9.098,1 
-3.4736,-34.7363,1 
-0.4259,-4.259,1 
-1.8127,-18.1275,1 
1.2731,12.7315,1 
0.3933,3.9326,1 
-1.1125,-11.1252,1 
-0.228,-2.2802,1 
0.4166,4.1658,1 
-0.3115,-3.1154,1 
-0.0126,-0.1258,1 
-1.73,-17.2997,1 
2.5455,25.455,1 
-1.3527,-13.527,1 
0.9744,9.7441,1 
0.7257,7.2565,1 
-0.076,-0.7598,1 
0.8386,8.3859,1 
-1.3026,-13.0255,1 
-0.1691,-1.691,1 
0.4163,4.1629,1 
2.2177,22.1765,1 
1.3946,13.9461,1 
-0.0494,-0.4936,1 
-0.093,-0.9301,1 
-1.5342,-15.3421,1 
-2.3,-23.0002,1 
0.6739,6.7389,1 
0.101,1.0096,1 
-0.7214,-7.2139,1 
-0.1105,-1.1052,1 
-1.2218,-12.2177,1 
-0.3743,-3.7425,1 
0.0285,0.2853,1 
-1.6278,-16.2783,1 
0.3165,3.1653,1 
-0.3197,-3.1966,1 
-2.5842,-25.8416,1 
-0.3146,-3.146,1 
0.149,1.4896,1 
0.9612,9.6119,1 
-0.0098,-0.0978,1 
-2.6348,-26.3481,1 
-0.5863,-5.8628,1 
-0.5132,-5.1321,1 
0.3373,3.3735,1 
1.7947,17.9474,1 
-0.664,-6.6404,1 
-1.0505,-10.5054,1 
-2.0982,-20.9815,1 
-1.056,-10.5603,1 
-0.1082,-1.0819,1 
-0.9863,-9.8632,1 
1.0753,10.7532,1 
-0.4936,-4.9364,1 
0.4781,4.7809,1 
0.269,2.69,1 
-0.0697,-0.6971,1 
-0.3556,-3.5562,1 
-0.262,-2.62,1 
-1.4975,-14.9747,1 
-0.4783,-4.7826,1 
-0.5886,-5.8855,1 
0.8133,8.1332,1 
1.6118,16.1176,1 
-1.1783,-11.7825,1 
-0.6531,-6.5314,1 
0.4387,4.3872,1 
-0.0753,-0.7533,1 
-0.8218,-8.2179,1 
-2.0198,-20.1978,1 
-0.9695,-9.6948,1 
-1.2137,-12.1371,1 
-0.9718,-9.7175,1 
-0.467,-4.6704,1 
-2.7482,-27.4818,1 
-0.1248,-1.2485,1 
0.8847,8.8469,1 
-1.1453,-11.4528,1 
1.226,12.2595,1 
-1.5895,-15.895,1 
1.0171,10.1709,1 
-1.8147,-18.147,1 
3.5058,35.0578,1 
-1.0036,-10.036,1 
-0.2237,-2.2367,1 
-0.1898,-1.8982,1 
-0.9466,-9.4665,1 
-1.494,-14.9404,1 
1.6511,16.5115,1 
-0.2888,-2.8882,1 
-0.6124,-6.1238,1 
0.1889,1.8886,1 
-0.96,-9.6001,1 
1.1125,11.1254,1 
-0.3811,-3.8109,1 
-1.8339,-18.3392,1 
-0.5264,-5.264,1 
-0.1213,-1.2129,1 
0.5891,5.8911,1 
1.7575,17.5748,1 
0.098,0.9805,1 
-0.618,-6.1799,1 
-0.6726,-6.7257,1 
0.274,2.7404,1 
0.9616,9.6159,1 
0.6639,6.6388,1 
-1.3741,-13.7414,1 
-0.2538,-2.538,1 
2.6064,26.0638,1 
-2.2584,-22.584,1 
-0.1665,-1.6645,1 
-1.6161,-16.1605,1 
-3.8098,-38.098,1 
1.0388,10.388,1 
-1.7219,-17.2186,1 
0.8372,8.3724,1 
0.0252,0.252,1 
-1.5783,-15.7829,1 
-0.7838,-7.8384,1 
0.9438,9.4376,1 
0.8656,8.6556,1 
-1.3511,-13.511,1 
0.3654,3.6538,1 
0.3904,3.9036,1 
-0.3595,-3.5948,1 
-0.6967,-6.9673,1 
3.0383,30.3833,1 
-0.317,-3.1698,1 
-0.1255,-1.2547,1 
1.1246,11.2462,1 
-0.5921,-5.9209,1 
-0.4077,-4.0769,1 
0.3295,3.295,1 
-0.081,-0.8098,1 
1.0194,10.1937,1 
-0.8222,-8.2221,1 
0.0539,0.5394,1 
0.3894,3.8943,1 
0.3259,3.2585,1 
-0.3428,-3.428,1 
-1.1537,-11.5371,1 
0.3334,3.3338,1 
-1.2812,-12.8123,1 
-0.1325,-1.3248,1 
0.1086,1.086,1 
-0.6714,-6.7139,1 
-1.3359,-13.3593,1 
-2.4585,-24.5849,1 
2.372,23.7199,1 
-0.1644,-1.6441,1 
0.7413,7.4126,1 
0.0648,0.6479,1 
0.569,5.6898,1 
0.465,4.6501,1 
0.4819,4.8185,1 
-0.5912,-5.9117,1 
-0.5328,-5.3275,1 
-0.0221,-0.2206,1 
0.1557,1.5574,1 
2.073,20.7302,1 
-0.3569,-3.5692,1 
-0.8197,-8.1968,1 
0.175,1.7499,1 
-0.6947,-6.9467,1 
0.6145,6.1445,1 
-0.3688,-3.6878,1 
0.5459,5.4593,1 
-0.7783,-7.7834,1 
1.1673,11.6729,1 
-0.3524,-3.524,1 
0.2753,2.7531,1 
-0.1457,-1.4566,1 
-1.494,-14.9399,1 
0.9085,9.0849,1 
-0.7039,-7.0395,1 
0.5691,5.6912,1 
0.957,9.5695,1 
0.3565,3.5655,1 
1.502,15.0201,1 
-1.675,-16.7497,1 
-0.0207,-0.2067,1 
-1.3481,-13.481,1 
-0.7965,-7.9646,1 
0.5644,5.6439,1 
-0.4638,-4.6378,1 
-1.2102,-12.1021,1 
-2.0464,-20.4635,1 
1.7187,17.1866,1 
1.9908,19.9078,1 
1.5983,15.9827,1 
1.2925,12.9249,1 
0.9343,9.343,1 
0.2429,2.4292,1 
-0.2269,-2.2689,1 
-2.9799,-29.7992,1 
0.0146,0.146,1 
-0.9139,-9.1395,1 
0.3147,3.1471,1 
1.8422,18.4217,1 
-0.97,-9.6998,1 
-0.4739,-4.7391,1 
0.1227,1.2274,1 
-0.2141,-2.1411,1 
0.3013,3.013,1 
1.3667,13.6666,1 
-0.3122,-3.1216,1 
1.195,11.9505,1 
1.6268,16.2682,1 
0.8998,8.998,1 
-2.3786,-23.7864,1 
0.4825,4.8254,1 
-0.8453,-8.4534,1 
-1.9049,-19.0487,1 
-0.2696,-2.6958,1 
-0.011,-0.1096,1 
-0.2697,-2.6974,1 
1.2052,12.0519,1 
-1.4466,-14.4662,1 
-2.6244,-26.2441,1 
0.091,0.9103,1 
1.7607,17.6071,1 
2.0844,20.8441,1 
-0.0743,-0.7435,1 
0.8627,8.6273,1 
-1.8852,-18.852,1 
0.6902,6.9017,1 
0.4411,4.4111,1 
0.4004,4.0037,1 
-1.1635,-11.6348,1 
1.9557,19.5573,1 
0.3114,3.1137,1 
0.6948,6.948,1 
0.8057,8.0567,1 
