Feature1,Feature2,Class
-8.9825,-4.4467,0 
-22.2662,2.6673,0 
18.8144,2.0877,0 
-110.7651,6.3849,0 
-102.972,-3.1926,0 
28.3005,-0.9391,0 
78.4895,2.0048,0 
13.3277,-2.5417,0 
11.4161,-5.0345,0 
-69.6088,2.4998,0 
13.1927,2.7372,0 
53.7149,4.8844,0 
-123.5729,-6.9767,0 
-5.043,5.8079,0 
24.9293,1.3417,0 
-39.5462,-1.5767,0 
120.3861,4.3743,0 
-30.0401,-0.0813,0 
33.2854,-1.4513,0 
-75.3834,-3.804,0 
0.1708,-0.2184,0 
-59.8895,-2.2104,0 
50.0765,1.6755,0 
-42.7693,-1.0352,0 
17.7681,-1.7212,0 
-39.2159,-0.3933,0 
55.7008,-1.8818,0 
-90.8285,0.4568,0 
110.6606,-5.5694,0 
9.343,-2.947,0 
-129.5116,-3.0495,0 
34.4446,-2.8098,0 
81.2424,1.5824,0 
29.1313,-1.31,0 
6.6731,-7.8564,0 
71.7523,-2.6512,0 
-85.8292,-4.9332,0 
31.0028,-3.198,0 
-10.733,-3.4437,0 
-21.5083,-1.5599,0 
4.1589,4.6324,0 
-71.3186,-0.9236,0 
100.8192,-4.3557,0 
-93.7486,-3.6005,0 
-146.3156,0.661,0 
33.7941,-5.6701,0 
63.5102,-0.0434,0 
-43.3265,-0.8926,0 
-7.7027,0.1082,0 
76.3138,-0.4531,0 
-151.0064,0.4239,0 
-5.1575,-2.3321,0 
65.5921,2.3858,0 
1.2631,-5.3738,0 
84.0103,5.4893,0 
-30.9819,-0.6565,0 
110.5728,4.0504,0 
77.8817,1.5072,0 
-33.9664,3.3604,0 
-15.0274,0.7503,0 
-26.5203,2.1965,0 
-3.1835,-2.7203,0 
-97.6258,1.4234,0 
-47.0618,-3.5019,0 
-86.2896,-1.3042,0 
-145.5205,1.3066,0 
-42.5399,-0.1549,0 
26.696,-3.7348,0 
21.7256,-1.6123,0 
115.6618,-0.6558,0 
90.5841,-9.5188,0 
-0.9922,-1.3365,0 
71.1881,2.3756,0 
146.3482,-3.0048,0 
-0.1614,2.7586,0 
-94.9009,2.1236,0 
14.0553,-0.224,0 
-16.0105,2.1549,0 
52.2415,-2.9011,0 
74.7866,3.0779,0 
27.0629,0.6864,0 
11.9027,-0.0204,0 
-48.3461,-1.6137,0 
21.8259,1.6811,0 
-14.941,3.7755,0 
-1.6535,-2.3433,0 
-59.0465,2.1747,0 
91.7966,3.7736,0 
35.0531,-1.8087,0 
30.048,1.894,0 
40.8928,2.5818,0 
-75.5613,1.4299,0 
-63.3415,1.4043,0 
-6.1267,1.5799,0 
-115.8356,-5.3848,0 
-54.6332,-1.0505,0 
-54.0166,5.9019,0 
-56.0144,-1.925,0 
-19.5384,-0.0303,0 
-63.5852,0.6703,0 
224.2845,-3.1326,0 
-9.5936,1.7305,0 
10.8373,2.5591,0 
-10.3905,2.092,0 
-28.5578,-2.5939,0 
67.4558,-0.6666,0 
-12.3016,-1.1517,0 
99.0038,2.9972,0 
103.804,-3.6908,0 
80.6599,9.1419,0 
-40.1516,2.6694,0 
-2.0086,1.8998,0 
-53.6659,-2.1925,0 
-137.598,1.9675,0 
88.0576,5.464,0 
45.9225,1.2577,0 
45.4007,0.1825,0 
97.5825,3.7059,0 
84.5998,3.4639,0 
71.3351,4.6077,0 
-115.5385,-0.2168,0 
37.1291,-0.6707,0 
-130.2574,-4.0999,0 
-97.2839,-1.0616,0 
24.0269,0.5141,0 
-34.7768,-0.8837,0 
60.0968,1.5612,0 
69.2475,0.1367,0 
71.1012,1.8351,0 
-36.5564,7.4129,0 
45.9744,-0.7124,0 
37.967,-2.7364,0 
60.3456,0.7274,0 
-96.5731,1.9567,0 
-27.5883,-0.7208,0 
-27.8449,0.1355,0 
-48.8788,-0.6386,0 
24.9902,-0.6391,0 
-14.6915,2.4772,0 
-8.9796,0.6659,0 
1.4396,-2.6096,0 
44.813,0.1825,0 
42.4167,-3.7161,0 
90.7709,-2.4388,0 
-88.5379,0.513,0 
45.9388,-3.5796,0 
26.8786,1.3271,0 
-38.7391,1.3874,0 
163.5263,1.1549,0 
167.5364,0.1652,0 
93.1802,-2.9544,0 
41.5904,-3.4514,0 
81.1908,2.0058,0 
-53.8015,-2.9966,0 
2.6004,4.3675,0 
-81.9403,2.0614,0 
-184.7908,3.3779,0 
134.181,-1.2432,0 
2.2389,0.0205,0 
-5.1894,-1.2557,0 
67.3495,1.9019,0 
-14.1951,-2.5853,0 
-29.4256,3.405,0 
26.9471,-0.3617,0 
71.4384,0.6738,0 
-44.9285,-1.7536,0 
0.2447,-9.8325,0 
-44.71,10.9913,0 
-4.1411,-4.9195,0 
-90.8073,4.061,0 
-62.578,-3.0286,0 
-50.4274,6.361,0 
-36.7958,0.923,0 
73.3328,-2.4491,0 
-152.4881,-5.3926,0 
32.709,-1.0064,0 
64.7933,4.3697,0 
-37.5789,1.3545,0 
-22.6556,1.4541,0 
-16.8615,0.7191,0 
8.805,-2.4459,0 
113.7103,1.7444,0 
179.548,-1.4299,0 
174.8737,8.7937,0 
41.5938,3.4189,0 
133.5336,-2.1415,0 
-32.7695,3.4381,0 
77.4804,-2.0406,0 
-36.6247,0.6047,0 
74.8235,5.3317,0 
-2.168,-0.2475,0 
33.5449,5.0808,0 
-125.5994,-2.5515,0 
85.7273,-1.1885,0 
70.4238,-3.0274,0 
-17.5171,-0.129,0 
-92.5921,4.9471,0 
95.8894,-3.3861,0 
-149.2579,-0.3051,0 
-53.5673,-1.063,0 
102.3472,-1.0985,0 
49.5597,0.8045,0 
-122.6926,-0.9124,0 
-166.0951,1.9204,0 
51.3814,1.4716,0 
139.8255,0.6941,0 
-21.6163,3.1994,0 
-58.4188,2.1132,0 
64.4804,0.9892,0 
-20.0102,1.4612,0 
134.4965,5.6102,0 
-21.7938,-0.9009,0 
82.6334,-0.3524,0 
142.5383,3.3134,0 
-119.4815,9.585,0 
-106.3711,1.5066,0 
32.5025,-1.3868,0 
70.8977,0.3657,0 
101.7812,0.8485,0 
6.3263,-3.552,0 
79.4862,-0.0993,0 
89.6357,-1.9311,0 
-59.2077,4.1657,0 
94.2976,-1.3646,0 
-0.8727,-0.9566,0 
103.5247,-0.3948,0 
-18.3282,2.8261,0 
173.9397,1.0475,0 
25.7883,-2.5755,0 
58.782,-3.2821,0 
-128.5618,0.6167,0 
-11.9411,-3.8792,0 
-64.5229,5.194,0 
75.1457,3.6015,0 
-78.4474,1.0002,0 
13.6608,0.4632,0 
23.31,0.3252,0 
29.5299,1.9801,0 
37.5412,-0.8528,0 
29.3154,-0.6018,0 
-66.4011,-1.0846,0 
-74.3074,1.7064,0 
-29.4188,3.222,0 
