Feature1,Feature2,Class
-0.8045,0.3209,1 
-0.0255,0.6443,1 
-0.3008,0.3895,1 
-0.1074,-0.48,1 
0.595,-0.4647,1 
0.6673,-0.8061,1 
-1.1961,-0.406,1 
-0.1824,0.1032,1 
-0.1384,0.7057,1 
1.2718,-0.9867,1 
-0.3348,-0.0995,1 
0.4072,0.9194,1 
0.3121,1.5332,1 
-0.5502,-0.3831,1 
-0.8229,1.6001,1 
-0.0693,0.0832,1 
-0.3269,-0.0458,1 
-0.3045,1.923,1 
-0.0787,-0.5821,1 
-1.618,0.8673,1 
-1.0404,0.6504,1 
2.6996,0.802,1 
-1.0969,-0.1781,1 
-0.4229,-0.3304,1 
-1.1112,-0.742,1 
2.5748,1.0732,1 
-1.8661,-0.6472,1 
1.0822,0.1767,1 
-0.8353,-1.695,1 
1.1334,1.0485,1 
-2.1283,-1.4371,1 
0.1779,1.3944,1 
0.2913,-0.082,1 
0.6442,0.3281,1 
0.8574,-0.937,1 
0.1801,-1.4234,1 
-0.3678,-1.5233,1 
-0.6348,0.9874,1 
-1.016,2.0457,1 
0.25,0.6512,1 
-1.266,1.3742,1 
-0.6099,0.0308,1 
0.8197,1.4543,1 
-0.5837,0.4153,1 
0.667,0.8695,1 
-1.2027,2.8618,1 
-2.6816,-1.1688,1 
-0.5842,0.8182,1 
1.5904,-0.2583,1 
0.447,1.9384,1 
-0.3903,-0.5807,1 
1.949,-1.8626,1 
-0.5684,0.9792,1 
0.8954,-0.2363,1 
0.4411,-0.9924,1 
0.2955,0.0422,1 
0.7621,0.628,1 
0.1071,-1.5553,1 
-2.9059,0.7558,1 
-1.2996,-0.865,1 
-1.188,-0.9788,1 
-1.963,-0.4785,1 
1.0822,1.1031,1 
0.69,0.3214,1 
-0.6005,-0.1697,1 
-1.3946,-0.2132,1 
1.2845,0.5856,1 
-0.5683,-0.0438,1 
0.9526,-0.3274,1 
-0.4577,0.3513,1 
-0.3594,-0.5145,1 
-0.9911,-1.2373,1 
-0.6625,0.7571,1 
-1.2598,-0.666,1 
0.3877,1.1483,1 
0.9105,-0.1863,1 
-0.9999,-1.1349,1 
0.6377,-0.2443,1 
0.2357,-0.9475,1 
0.6974,0.8833,1 
0.4229,-0.3985,1 
0.1992,-0.6226,1 
-0.4451,-1.5314,1 
-0.0797,-1.5921,1 
0.1752,-1.7921,1 
-1.9829,-0.5904,1 
-0.2905,0.821,1 
-0.7093,-0.0536,1 
-0.862,0.774,1 
0.6457,-0.8412,1 
1.7628,-0.6041,1 
-0.3859,-0.501,1 
0.5822,-0.4719,1 
-1.1599,0.9221,1 
-0.4119,0.4018,1 
2.279,0.9722,1 
0.12,-2.1621,1 
-0.7944,-0.1748,1 
-0.5291,0.0378,1 
-1.4109,0.8397,1 
-1.1157,-1.3448,1 
0.7533,2.0093,1 
-0.6326,-0.248,1 
0.4129,-0.9242,1 
1.3734,-2.7497,1 
0.0231,-0.3417,1 
-1.1373,1.1344,1 
-1.258,-1.7643,1 
0.1953,-2.8227,1 
-0.8301,0.8739,1 
1.4275,-0.6809,1 
1.9659,0.6577,1 
1.6346,-0.3612,1 
-0.232,1.4893,1 
-0.3253,-1.0351,1 
-1.1055,0.6612,1 
-0.5404,-1.7181,1 
-0.3364,0.7447,1 
-0.4214,0.5316,1 
0.7368,0.3494,1 
0.2792,-0.5445,1 
1.0466,-1.9376,1 
-0.9059,1.5105,1 
-1.3473,-0.3041,1 
-0.005,-0.7542,1 
-0.778,0.0144,1 
-1.3177,0.6757,1 
-0.3952,-0.5512,1 
1.2546,-0.5813,1 
0.2371,1.6713,1 
0.2056,-0.0666,1 
-2.1512,-0.7932,1 
0.6206,-0.28,1 
0.4669,0.4248,1 
-1.243,0.7051,1 
-0.131,-1.5424,1 
-1.1744,-0.2424,1 
-1.4976,1.7569,1 
-1.1016,-2.2994,1 
1.0058,-2.1055,1 
1.3426,0.5245,1 
-0.1181,-0.5944,1 
0.0366,0.9081,1 
0.9967,0.1883,1 
-0.4131,-0.9364,1 
-0.2718,-1.0982,1 
-1.2094,0.2384,1 
-1.0962,0.0605,1 
0.4866,0.9894,1 
1.9094,-0.8296,1 
0.424,-1.5668,1 
0.765,0.3876,1 
1.1379,-0.3091,1 
0.5794,-1.0313,1 
0.028,1.2798,1 
0.4626,0.2355,1 
-0.656,-2.1842,1 
-0.0005,-0.5261,1 
0.8885,-0.9877,1 
0.2191,-0.4303,1 
-0.2168,0.4484,1 
0.6617,0.5035,1 
-0.3659,0.7367,1 
-0.6485,0.3762,1 
0.0131,-1.515,1 
1.9603,1.3719,1 
-1.5742,-1.4558,1 
0.0983,-2.3261,1 
1.3247,0.4119,1 
0.5918,-0.2888,1 
0.3605,0.6288,1 
-0.7289,-0.693,1 
-0.677,0.0033,1 
0.1329,0.9634,1 
0.3844,1.3304,1 
-0.9231,-1.1308,1 
-1.4672,0.2257,1 
0.1642,-0.658,1 
-1.2636,0.8148,1 
-0.6572,1.2566,1 
-0.0936,-1.1818,1 
0.394,0.963,1 
-0.5765,-0.8499,1 
0.2228,0.4077,1 
0.7774,0.0567,1 
0.0126,0.8651,1 
-0.6361,2.0609,1 
1.9817,0.6365,1 
1.1612,-0.6139,1 
-0.0133,-0.2926,1 
-1.025,1.6151,1 
0.6719,-1.1726,1 
-0.2406,-1.2383,1 
0.25,0.2794,1 
1.0301,0.8356,1 
-0.0345,-0.3227,1 
-0.0127,1.9623,1 
0.9131,-0.0885,1 
-0.1578,-0.3373,1 
-0.3196,1.2689,1 
-1.7487,-0.0691,1 
1.5262,0.5312,1 
-0.5729,-0.3079,1 
0.0525,1.7173,1 
1.6694,0.3107,1 
0.2266,-1.1279,1 
1.3501,-1.3383,1 
1.7304,1.9477,1 
0.3374,1.6517,1 
0.3024,-0.888,1 
0.5219,0.0027,1 
0.9995,0.6599,1 
0.4423,-0.9922,1 
0.2155,0.9039,1 
1.932,0.5546,1 
-0.8755,-0.8751,1 
-1.2786,0.7658,1 
0.4401,-0.5623,1 
1.5667,-0.5155,1 
1.9668,1.1434,1 
0.7139,-0.2165,1 
-1.0468,0.8745,1 
-0.227,-0.5824,1 
-0.8254,-0.1091,1 
-0.2631,1.3424,1 
0.034,0.8408,1 
0.2223,1.1851,1 
-1.2809,0.1075,1 
-0.4213,-1.0926,1 
0.9854,-0.2825,1 
-0.483,0.793,1 
-1.5667,0.6936,1 
1.0626,-0.2515,1 
1.0742,1.4876,1 
-0.4679,-1.7468,1 
-0.2706,-0.7489,1 
-0.7826,-0.2267,1 
-2.3966,-0.3867,1 
-0.4504,-0.8534,1 
0.8109,1.0417,1 
-0.8291,0.2845,1 
-0.2934,1.242,1 
0.3435,1.0009,1 
-0.4549,-1.2582,1 
-0.6675,-0.3854,1 
-2.4826,0.2883,1 
-0.1156,0.6883,1 
-0.1473,1.1993,1 
1.0473,0.3959,1 
-0.3617,-0.0041,1 
-0.1474,1.396,1 
0.4376,-1.8757,1 
1.7568,0.6511,1 
2.1046,0.9886,1 
1.5977,-0.4609,1 
-0.4148,1.296,1 
-0.4332,0.4448,1 
1.4383,-1.1236,1 
-0.9397,-1.5524,1 
0.4213,-1.5178,1 
1.6759,-0.9076,1 
-0.7864,-1.3578,1 
-0.839,-1.2172,1 
-0.1777,0.6873,1 
1.0939,1.3877,1 
1.2727,0.3414,1 
1.6951,-0.01,1 
0.523,-1.416,1 
0.5081,0.3414,1 
0.5369,0.1955,1 
1.2547,2.3814,1 
1.0043,-0.2807,1 
-1.3139,-0.3351,1 
-2.5318,-0.1936,1 
1.0146,1.2095,1 
2.577,-0.182,1 
0.191,-0.32,1 
-1.0005,0.7459,1 
-2.4449,-0.3556,1 
-0.4332,1.5553,1 
-0.2895,-1.18,1 
0.8057,-0.6679,1 
-0.2935,-0.2844,1 
0.4112,-0.136,1 
-0.5304,0.4484,1 
1.0124,-0.1822,1 
-1.5344,0.5795,1 
-0.1105,-0.3321,1 
-1.3556,-0.8036,1 
-0.5274,-0.035,1 
0.9569,1.513,1 
-0.4125,0.0977,1 
0.4536,0.0907,1 
-0.5329,0.0564,1 
0.4103,0.2763,1 
1.0569,1.6743,1 
-0.521,-0.4646,1 
0.2072,0.6775,1 
0.6892,0.3571,1 
0.61,-0.1532,1 
1.1796,-0.3052,1 
-0.9755,-0.4524,1 
1.0756,0.2862,1 
0.3365,0.1828,1 
1.192,-0.1602,1 
-0.4062,2.2013,1 
-1.1357,0.8253,1 
0.5131,-0.1992,1 
-2.2502,1.1159,1 
-0.1779,0.6919,1 
0.6806,-0.2686,1 
-0.9742,0.4425,1 
0.6626,0.6439,1 
0.1645,-1.2078,1 
2.1737,-2.6982,1 
1.5115,0.1771,1 
1.8968,-1.3125,1 
-0.3114,0.7617,1 
-1.9916,-0.8589,1 
1.1691,0.5283,1 
0.6218,0.0708,1 
0.3525,1.0346,1 
-0.5723,-1.3828,1 
0.3867,1.9752,1 
-0.2166,-0.9331,1 
-0.2627,1.0101,1 
-1.2612,2.1795,1 
-2.7352,-0.7272,1 
0.1487,0.7731,1 
-0.2183,-0.1718,1 
1.1316,0.2153,1 
-1.9403,0.0663,1 
-0.0803,-1.2512,1 
-0.6428,-1.426,1 
0.3369,-0.5706,1 
-0.803,-0.3786,1 
-0.086,0.3561,1 
-1.1661,-0.3048,1 
0.2904,0.3388,1 
