Feature1,Feature2,Class
0.6401,8.7646,1 
2.0599,8.3454,1 
2.0237,9.9659,1 
0.8061,7.8981,1 
2.3684,11.4954,1 
2.2827,8.4007,1 
1.8363,8.8609,1 
3.7885,9.7155,1 
2.1294,10.4709,1 
2.9126,9.8102,1 
2.4325,10.2152,1 
0.7954,9.1218,1 
2.3525,8.6672,1 
1.1732,8.8145,1 
2.2241,9.5633,1 
2.1556,8.1502,1 
1.4319,8.7514,1 
1.0345,9.5575,1 
1.483,10.7757,1 
2.0444,9.9949,1 
3.0607,10.8744,1 
2.4306,10.5967,1 
1.5368,11.6493,1 
0.9087,9.8206,1 
1.0825,8.9699,1 
3.721,9.8226,1 
-0.1837,11.1602,1 
2.1159,9.6413,1 
2.6451,10.0983,1 
1.182,8.9987,1 
1.8192,9.68,1 
1.5587,9.4506,1 
1.6887,9.5929,1 
2.8562,11.8316,1 
3.4063,10.5464,1 
1.9365,9.3972,1 
2.0683,10.796,1 
3.891,9.7749,1 
3.2003,12.2752,1 
-0.2076,8.7739,1 
1.5998,9.3185,1 
1.6245,11.9404,1 
1.1496,10.7668,1 
1.6225,10.3882,1 
1.2227,10.0721,1 
1.3051,8.7304,1 
1.5837,8.7287,1 
2.4631,12.03,1 
1.3677,10.138,1 
0.6854,10.98,1 
2.3615,9.38,1 
2.0807,8.8791,1 
3.003,10.1755,1 
-0.538,10.6967,1 
0.7886,8.4119,1 
2.3939,10.6247,1 
2.4349,9.6039,1 
2.5365,10.0586,1 
-0.6341,10.8214,1 
-0.0456,10.7964,1 
2.2427,7.6639,1 
2.2886,9.4139,1 
2.0834,9.7436,1 
1.9681,9.8498,1 
2.8162,8.552,1 
2.526,10.2025,1 
2.0757,9.3416,1 
0.7148,9.6179,1 
2.1522,8.7935,1 
3.1376,9.9514,1 
2.5538,10.276,1 
1.4227,9.5771,1 
2.8219,9.5486,1 
2.8687,8.6922,1 
1.3589,10.0946,1 
2.5326,10.6732,1 
2.5571,11.7204,1 
2.1909,8.8797,1 
1.8069,10.5379,1 
1.6891,9.6401,1 
2.7809,9.5272,1 
2.8019,8.3123,1 
2.9271,9.7749,1 
2.7841,10.5818,1 
2.0635,12.1113,1 
3.1992,8.8401,1 
1.4087,11.2833,1 
-0.0781,12.8729,1 
1.7639,9.5086,1 
3.9122,10.462,1 
