Feature1,Feature2,Class
0.2885,-0.463,1 
-1.338,2.317,1 
-1.4674,-0.7485,1 
-1.0175,1.6351,1 
0.9225,-0.7199,1 
-0.9649,0.2536,1 
0.308,-0.0716,1 
-1.1355,-0.1022,1 
0.8082,0.232,1 
-1.4004,0.7159,1 
-2.1246,1.2414,1 
0.2363,-1.0889,1 
0.7178,0.0434,1 
-0.2953,-0.1972,1 
0.8079,-1.0768,1 
0.4913,-0.4511,1 
0.1966,-2.1584,1 
0.5227,0.1943,1 
0.0538,-0.0944,1 
0.7504,-2.3026,1 
0.6834,1.1163,1 
0.8531,1.225,1 
0.2819,-0.2471,1 
2.0452,-0.6634,1 
-0.3135,-1.1358,1 
0.6479,0.845,1 
1.5843,-0.0165,1 
-0.7957,0.3869,1 
-1.2127,0.7559,1 
0.6529,-0.4917,1 
0.3062,-0.5335,1 
0.0596,0.1198,1 
0.3613,-0.439,1 
-0.0,0.429,1 
-1.2681,0.8538,1 
0.9987,0.3759,1 
-0.3835,0.0555,1 
-2.0701,0.8609,1 
-0.1084,0.4587,1 
0.3761,-0.9664,1 
0.0609,-0.1074,1 
2.0537,-1.9768,1 
1.1838,0.6286,1 
1.1539,0.6697,1 
1.1378,-0.5398,1 
0.9097,0.0618,1 
1.9155,2.2451,1 
1.4138,-0.4463,1 
0.1318,0.0913,1 
1.6542,0.1642,1 
-1.6128,1.1258,1 
-2.4745,-0.9469,1 
-0.9229,0.6363,1 
2.1256,0.4266,1 
-0.8081,0.3321,1 
0.6975,-0.3308,1 
0.8589,0.118,1 
-0.5101,-0.2702,1 
0.464,-0.4614,1 
-0.2772,0.0379,1 
0.9364,-1.4123,1 
-0.9361,1.6221,1 
1.2785,-0.9012,1 
1.3524,0.5842,1 
-1.5715,1.8707,1 
-0.3813,0.3034,1 
-0.3254,0.1366,1 
-0.7419,1.1644,1 
-1.2019,0.1641,1 
-0.7684,-0.4739,1 
-0.1826,0.5342,1 
-0.8469,-0.1368,1 
1.6452,-1.708,1 
0.7467,0.4302,1 
-0.2341,-0.4133,1 
-0.5604,0.5503,1 
0.0767,1.2784,1 
0.2196,-0.0449,1 
1.0405,1.1196,1 
-0.2901,-1.2164,1 
0.841,0.6323,1 
0.1721,-1.1002,1 
0.5349,-0.9953,1 
-0.6912,0.6489,1 
-0.6379,0.0275,1 
0.6744,1.4448,1 
-0.6076,-0.0267,1 
1.5218,-0.7837,1 
0.854,0.0867,1 
0.4923,0.1467,1 
-1.5542,0.5354,1 
-1.1591,0.0005,1 
0.2103,1.7085,1 
0.5297,-0.0715,1 
-0.9404,-0.5749,1 
-0.4023,2.0825,1 
-1.2719,0.1104,1 
1.5828,-0.3006,1 
-0.8936,-1.4108,1 
-0.6324,-0.6168,1 
1.7794,-0.6229,1 
-0.8918,1.6605,1 
0.4244,-1.4046,1 
-0.7245,0.3793,1 
-0.5754,-1.9312,1 
1.0527,0.372,1 
-1.0736,0.7664,1 
-1.3165,-0.8697,1 
-0.1748,-0.0003,1 
-0.6308,1.3701,1 
1.9994,0.297,1 
0.8705,0.1941,1 
0.5537,-1.1815,1 
0.0876,1.5465,1 
0.3001,-0.5854,1 
1.5017,0.6231,1 
0.527,-0.6497,1 
0.3734,0.0207,1 
-0.644,1.2429,1 
-0.8697,-0.5715,1 
1.1639,0.2025,1 
0.4438,1.7286,1 
1.0702,1.206,1 
1.2224,-1.1556,1 
-1.7625,-1.0148,1 
-0.6645,-0.2173,1 
-0.1751,0.2616,1 
-1.8977,0.0629,1 
-1.3643,0.1377,1 
1.0219,-0.0568,1 
-0.0485,0.589,1 
1.4616,0.1617,1 
-0.3383,-0.4224,1 
2.0097,0.4082,1 
1.3286,0.6375,1 
0.9166,-0.2535,1 
0.1003,-0.0536,1 
-0.3625,2.8838,1 
1.3141,1.2884,1 
-1.6873,-0.6728,1 
0.841,-1.6405,1 
0.3894,0.3268,1 
-0.9961,-0.4565,1 
-1.2913,1.1353,1 
-1.3055,1.2402,1 
-1.7635,1.2819,1 
0.9403,-1.3936,1 
0.3908,0.8835,1 
-0.2187,-1.0569,1 
-1.4519,0.0875,1 
-1.1873,0.2911,1 
1.5142,1.8319,1 
-0.9567,0.1688,1 
-0.9784,0.2547,1 
-0.1259,0.94,1 
-0.8446,0.1187,1 
0.7903,0.0593,1 
-0.007,0.1828,1 
0.2568,0.2238,1 
-0.3781,-1.3086,1 
0.332,0.8486,1 
-0.4442,-0.0066,1 
0.5782,0.064,1 
1.5593,-1.4446,1 
-0.5507,-0.1616,1 
-0.504,-0.046,1 
-0.4727,-0.5956,1 
0.5192,1.3375,1 
-0.6509,-0.1996,1 
0.1167,1.0107,1 
-1.9259,-0.435,1 
0.1841,-0.6786,1 
0.0051,0.7986,1 
-0.0907,-1.6627,1 
-0.4177,0.3647,1 
0.4532,-0.9619,1 
1.0052,0.5696,1 
0.2223,-0.7784,1 
1.2884,-2.2378,1 
-0.5986,0.0424,1 
0.4053,2.4385,1 
-1.1397,-0.3424,1 
1.2643,-0.385,1 
0.0686,-1.0691,1 
-1.1336,0.4062,1 
-0.4156,-0.8694,1 
-0.9324,-0.8397,1 
0.3628,0.5123,1 
0.1476,-0.6678,1 
-2.7559,-0.5507,1 
-1.9589,0.5904,1 
0.4062,-0.579,1 
-0.8945,-2.6766,1 
1.1326,0.3005,1 
0.0469,-0.8999,1 
1.1375,0.1401,1 
-0.7338,-2.238,1 
-0.1291,-0.0629,1 
-0.3752,-0.5279,1 
1.6098,-0.096,1 
-0.9502,0.9737,1 
-0.1535,-0.0167,1 
1.3248,0.1742,1 
0.5065,-0.068,1 
1.5028,0.9913,1 
1.8516,-0.0906,1 
-2.2336,-0.5725,1 
-0.054,-0.1449,1 
-0.767,-1.4269,1 
0.1608,1.0746,1 
0.3836,-1.5439,1 
-1.4643,-0.0422,1 
0.4607,-0.5203,1 
-0.5627,-1.5974,1 
0.6323,-0.0117,1 
-0.3108,0.1105,1 
-1.4804,-1.6313,1 
-0.7044,0.533,1 
0.0503,-0.3085,1 
0.6469,-1.8846,1 
2.2636,0.5228,1 
-0.2947,-1.2007,1 
0.7119,-0.9769,1 
-1.1061,0.4454,1 
-0.7162,-0.8013,1 
0.4113,-1.4974,1 
0.3885,-0.4115,1 
-1.4919,0.0684,1 
0.5798,0.338,1 
-0.6765,1.5945,1 
-0.3911,0.6686,1 
0.2109,0.8749,1 
-0.021,0.1664,1 
0.3264,0.5578,1 
-1.1877,-0.8014,1 
2.2657,-0.5197,1 
-1.0417,0.9536,1 
-2.1374,-0.6036,1 
0.4628,-3.0476,1 
0.8413,0.3465,1 
-1.1162,-1.2033,1 
-0.1146,-1.3393,1 
-0.8701,1.3796,1 
-0.105,-0.4124,1 
-2.7956,0.6431,1 
-0.6484,-0.678,1 
-0.3803,-1.1525,1 
0.4921,1.4078,1 
0.2313,0.9535,1 
0.7563,0.8333,1 
0.3171,0.7413,1 
0.156,-0.0569,1 
-1.0556,1.509,1 
-0.1878,-1.0497,1 
-0.9569,0.0858,1 
-0.196,0.2303,1 
-0.7114,-0.0275,1 
0.455,0.4454,1 
-0.4153,1.272,1 
1.2162,0.2689,1 
-1.3025,-1.2634,1 
-1.5024,-0.4308,1 
0.1902,0.6371,1 
-1.6079,-0.9842,1 
-0.0037,-1.838,1 
-0.7836,-1.9713,1 
2.719,0.1155,1 
0.1838,-0.678,1 
-0.5992,0.1363,1 
1.1727,1.2161,1 
1.5183,-0.0662,1 
0.3588,-1.3483,1 
2.3613,2.0029,1 
0.5631,-1.9646,1 
-0.1595,-2.0986,1 
2.1164,1.3307,1 
1.2889,-0.5781,1 
0.2388,-1.0848,1 
0.4932,-1.313,1 
-0.9061,-0.5259,1 
1.6442,0.0552,1 
1.3458,1.2036,1 
0.3681,0.3435,1 
-0.2928,0.266,1 
0.7639,-1.5746,1 
0.9682,0.062,1 
1.4612,1.2217,1 
-1.0025,-0.7244,1 
0.1946,-0.3226,1 
0.1265,0.4671,1 
-0.3188,-0.1657,1 
-0.9667,-2.3976,1 
0.4881,-0.8198,1 
-0.3986,-0.146,1 
0.7709,-1.1941,1 
0.7748,0.6637,1 
0.0545,-1.203,1 
-0.2639,-1.1401,1 
0.3072,1.602,1 
0.6788,-1.3771,1 
-0.3263,2.2002,1 
-1.6723,0.2163,1 
0.3819,-0.3265,1 
0.6828,0.2447,1 
-0.5499,-0.8753,1 
1.1801,-1.2911,1 
-0.1755,-0.4971,1 
-1.2495,0.1408,1 
0.2335,0.0229,1 
0.7331,-0.5329,1 
0.1082,-0.0519,1 
-0.3227,1.4096,1 
-1.8585,1.089,1 
0.5771,1.3056,1 
1.2637,0.535,1 
0.0152,-0.6782,1 
-0.5003,-0.3488,1 
0.1042,-1.4443,1 
0.638,-0.3578,1 
-0.3252,-1.8795,1 
-0.1349,-0.8043,1 
-2.7912,1.5554,1 
