Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
* 
-0.1615,0.0179,4.3,1.852,3.5808,1.4173,2.1849,0.5074,4.0032,1.2155,0 
1.2949,-1.7257,2.5319,0.8588,2.8341,3.6505,0.8108,1.8439,2.2228,1.6908,0 
-1.2391,-0.7354,2.8719,2.7965,2.0488,1.0613,0.8565,1.3823,2.1217,2.5564,0 
-0.1108,0.4083,1.9274,2.0016,1.4525,4.4197,0.5393,1.6454,1.8454,1.6603,0 
1.0082,0.2195,1.3576,1.4455,3.3054,2.7636,2.0477,0.9205,2.3654,0.6929,0 
-0.4751,0.2765,2.1218,4.1436,1.4847,0.9498,0.6533,2.6245,2.8975,0.9803,0 
-0.81,-1.2538,1.7392,1.4942,0.245,2.5556,0.3838,-0.1925,2.1953,1.9064,0 
-0.9736,-0.7594,1.8086,3.2613,3.0227,0.7106,2.0794,2.6111,1.4894,2.4668,0 
-1.9617,0.1101,1.6594,3.2878,0.8744,1.7334,3.5607,1.3136,2.24,0.8539,0 
0.9939,1.4078,3.1859,2.6386,1.0928,1.9057,4.0136,2.5053,1.8288,2.215,0 
-1.4588,0.3046,1.8136,3.054,1.7789,3.1282,3.5363,3.6205,4.3192,2.36,0 
1.3539,0.626,0.8909,2.1835,2.5239,4.1354,2.4288,0.6612,1.8024,2.3145,0 
-1.2993,1.1619,1.5613,2.7858,0.608,1.9871,4.1503,2.8752,1.7363,0.7292,0 
0.7588,-0.0696,1.4562,2.3996,0.9152,1.1785,2.438,3.2346,3.7704,2.6925,0 
-0.3488,0.5293,2.2786,1.7857,2.9603,3.1177,2.9091,0.769,0.9461,1.5258,0 
-0.3565,1.2301,2.8795,0.8312,1.5743,2.9766,2.0175,1.498,1.4416,2.0193,0 
-0.6903,0.1948,4.4948,-0.1162,2.3054,0.6288,3.3159,1.9216,0.9238,0.8273,0 
0.3454,0.1056,1.6274,1.0242,1.339,1.2539,2.2752,2.0888,2.177,2.1701,0 
0.485,-0.8048,3.0535,0.656,1.128,3.7365,1.2793,2.9366,-0.1371,0.7196,0 
-1.4525,1.4744,2.2518,2.716,2.0207,0.389,3.3265,0.4361,3.4403,2.399,0 
-0.2563,1.0665,3.9071,2.9595,1.768,0.3263,1.8258,0.1167,2.4227,4.112,0 
0.6802,1.5295,0.8171,0.5323,2.8156,2.8423,2.1256,1.3364,1.2702,2.5657,0 
0.6563,-1.1754,0.6433,2.1025,0.3397,0.9501,1.1256,3.046,2.0104,3.019,0 
0.4705,1.7324,1.8474,1.9086,0.3088,1.5621,2.0505,4.7119,2.1372,2.0009,0 
-1.428,0.439,3.8625,2.6692,2.3519,3.1308,0.9857,2.9932,1.8976,2.7241,0 
-1.1197,0.8866,2.7824,1.8969,2.4506,3.3626,1.4532,1.6063,1.1851,0.9151,0 
-0.7826,1.7369,3.1087,3.1217,1.5948,3.764,3.042,1.8808,1.9637,1.3939,0 
1.0051,0.3963,2.1457,1.244,1.546,0.6163,1.7784,-1.0493,2.7167,1.9887,0 
-0.2695,-0.323,2.7951,0.8746,2.9624,2.7425,3.1281,2.0545,2.9053,1.1155,0 
-0.9661,-0.5282,3.9354,1.0131,1.4856,1.037,2.8695,0.7276,1.5981,2.4513,0 
-1.0841,-0.6226,2.1191,2.204,1.5013,2.6975,2.3172,2.8396,3.0002,1.8634,0 
-0.8475,0.6463,1.3025,1.1528,0.9003,2.3273,1.4461,3.4892,3.3111,2.5562,0 
