Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
* 
-0.2708,-0.4274,1.7745,1.8235,1.7914,2.1411,2.5487,3.6214,1.1081,3.6622,1 
-0.7775,0.5567,0.7196,2.2083,1.3193,2.4439,4.4619,2.5822,2.5092,0.794,1 
0.3061,1.5958,2.0627,2.3889,1.7653,1.2104,1.8389,1.6798,2.7316,0.9182,1 
1.4905,-0.6401,2.892,2.1831,1.2764,2.0164,1.7264,0.8092,0.6369,2.4237,1 
-0.0998,0.6865,0.3922,1.6292,2.095,1.2496,0.7978,2.4848,2.6359,1.2827,1 
1.2469,0.9739,0.4962,2.7915,1.7071,0.8512,1.5228,1.8196,1.9501,1.9515,1 
0.4846,-0.6386,2.1278,1.7536,2.0169,2.418,3.2006,2.8272,1.4211,2.0851,1 
-0.0238,0.1078,3.673,4.0841,1.532,0.3042,0.4043,2.2234,3.1885,2.2367,1 
0.8278,-0.0347,0.8627,2.4542,4.3167,0.4456,0.6063,0.4708,1.4947,0.1763,1 
0.3653,-0.8579,0.2773,2.3083,2.222,1.6277,0.6072,1.7687,0.2826,0.8701,1 
0.4914,-1.2687,1.7736,1.6759,2.4453,0.9287,1.5426,1.4043,1.9206,2.6621,1 
-0.2344,-0.0365,3.2534,4.3255,1.7727,2.4492,1.8861,2.0015,1.0066,2.8745,1 
-0.4182,-0.3693,3.1346,-0.1346,2.7391,4.218,0.9835,2.5732,1.1186,0.6651,1 
0.8179,-1.7644,1.9008,3.7942,1.494,1.4692,2.6056,4.1194,0.9451,2.1598,1 
0.0384,-0.5342,3.5644,2.2127,1.6848,2.1407,0.2901,2.3767,2.1809,3.0274,1 
-1.3278,0.1541,2.4625,1.3443,1.6481,1.1036,4.9499,0.7996,1.3396,3.1141,1 
-1.2332,-1.8201,1.3084,1.8626,1.8889,2.5491,1.7508,0.5883,1.7345,1.2387,1 
-0.7918,-0.672,2.77,-0.3576,1.5112,2.6507,1.1776,1.1446,1.5969,1.9349,1 
1.215,-0.7778,0.8052,3.7966,1.8685,2.877,1.3818,2.3274,2.2577,1.5611,1 
0.6068,0.5223,1.9096,1.6172,1.6663,3.147,1.7804,1.4552,2.2076,1.1457,1 
-1.1932,0.7693,3.2022,2.303,0.6286,3.2677,3.6232,0.6867,2.4312,2.9569,1 
-0.2631,-2.3892,3.5542,1.5605,1.2648,1.6028,2.5925,1.3537,2.8222,2.4341,1 
0.6753,-0.4869,2.3724,2.6565,1.4232,1.8505,1.9213,1.994,1.738,3.8623,1 
