Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
* 
-1.7813,-1.094,2.7715,0.2354,1.8673,1.3048,4.1806,2.6091,3.031,1.9218,1 
2.7497,0.9309,2.4681,1.9794,1.8431,2.0914,2.5891,1.5407,1.3346,2.2516,1 
0.1879,1.318,1.8961,2.6727,0.5898,3.1681,1.0919,0.7743,2.1573,1.1738,1 
-0.8864,-0.1606,3.3803,2.1894,1.7056,3.0585,1.6773,2.6272,1.7655,2.5964,1 
-0.2543,0.3644,1.4572,0.91,3.8639,0.3851,3.9034,3.2356,1.4074,1.5615,1 
-0.834,2.1465,1.22,1.5922,-0.1284,4.1158,1.4527,1.3959,1.2173,2.2852,1 
0.607,0.5718,1.1643,1.7397,2.5386,0.1868,1.5156,2.0383,2.2904,2.2806,1 
-1.1631,0.1142,1.755,1.5713,2.9321,1.3812,2.0948,2.4423,1.5561,2.0119,1 
0.981,0.0315,1.9991,1.2255,2.9981,1.6102,3.4357,2.3481,2.5869,4.155,1 
-2.2518,-0.7124,2.4608,3.0738,1.3664,3.1317,1.7234,2.8254,3.6295,2.577,1 
0.5064,-0.758,2.5629,-0.1927,2.2394,1.4413,1.5373,2.8432,0.4726,1.5774,1 
2.4403,-0.8248,1.6374,1.8193,1.5963,3.2253,2.2845,0.9072,3.7055,2.7988,1 
0.3327,-0.2436,2.0402,3.0981,1.6897,2.3068,1.019,2.5292,1.7471,1.7903,1 
0.5487,-1.7302,1.2879,3.2594,1.7211,1.4147,2.1554,1.8134,2.7401,2.391,1 
1.0749,-0.4627,2.9765,1.3875,1.7785,1.1466,2.0887,1.1683,3.0599,2.498,1 
-0.3482,1.0735,0.3128,2.0418,2.2491,4.2431,0.1851,0.6335,2.1896,0.1536,1 
-0.9293,-1.6008,3.3139,2.4387,1.733,2.8792,4.3539,1.7759,2.7958,1.0875,1 
-0.0647,0.4846,2.2441,1.2904,1.8111,2.5534,1.9379,-0.0632,2.4135,0.8153,1 
2.0107,-1.5035,-0.188,2.6621,2.2078,1.1475,2.2673,1.2519,-0.0783,2.5829,1 
1.0549,-0.2808,2.1706,2.6178,3.3036,3.0529,1.6779,2.6911,2.5601,1.1619,1 
0.3457,-0.443,3.1265,1.4694,3.7061,2.5581,2.2463,2.2454,0.0731,2.3402,1 
-1.0902,0.8658,1.3242,2.2002,2.2347,2.3953,0.7012,2.1749,0.3477,1.5721,1 
-1.3764,-1.4677,1.894,4.6651,1.9084,0.5096,3.0506,1.5576,1.8752,3.2373,1 
-1.5025,0.1657,2.2128,3.5357,1.9534,0.8222,1.2235,4.1396,0.3836,2.9504,1 
0.4001,-1.9021,0.2886,1.0635,0.2629,0.8108,2.1557,0.8417,1.3364,2.623,1 
-0.8291,-0.7456,2.3588,1.3692,2.0193,3.6964,2.3105,3.0467,2.7624,2.8121,1 
2.4853,1.6889,3.6472,1.8871,1.2827,3.4494,2.4936,1.3359,2.2223,1.9698,1 
-0.2046,0.8913,2.8883,1.5766,2.2131,1.0934,1.4255,2.8804,2.4168,0.8576,1 
1.2533,-0.0196,2.3312,1.4948,2.073,1.7613,2.2977,2.2939,2.7336,2.8256,1 
1.5421,0.5556,1.919,0.6389,0.4895,1.7245,1.4808,2.9954,1.7958,0.9619,1 
-0.9386,-0.7292,1.12,1.2925,2.6005,1.963,3.0553,1.9686,1.9227,1.9639,1 
-1.079,0.9022,3.8956,1.2946,1.9103,1.1784,2.4531,2.5454,1.5463,0.2369,1 
-0.2755,0.744,3.3244,2.6516,2.4654,1.3387,1.2514,3.1365,2.0969,0.1682,1 
