Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
* 
0.4447,0.5998,2.8636,0.6753,1.4467,2.6826,0.3899,0.5227,1.9009,2.2562,1 
0.7992,-0.4915,1.9557,0.717,1.8808,1.3533,2.8754,2.7468,2.2054,1.4963,1 
0.025,-0.6865,1.6751,1.7076,0.8187,1.286,0.4122,2.3222,2.9079,0.9312,1 
-1.7863,-2.7884,1.6816,4.6743,1.5711,1.366,1.1678,1.3653,0.4696,1.6133,1 
1.669,-0.871,2.4618,2.3962,2.4171,2.1638,2.5485,1.1253,2.3999,2.7783,1 
0.4185,-0.538,2.8495,1.5305,0.5726,2.3091,2.3189,2.2904,0.9682,2.8276,1 
0.5902,-1.1922,1.8725,1.4894,3.1363,1.4521,0.4668,1.3333,1.0997,2.2352,1 
0.6787,-1.4479,1.5503,1.1367,2.3972,2.7229,1.7888,0.9705,1.8771,1.9294,1 
-1.321,-1.8346,3.0793,1.0498,1.9784,1.2705,0.5703,2.4215,2.2356,2.9526,1 
-0.3056,0.0298,3.1246,3.5427,0.8148,3.8825,-0.0168,2.6504,0.7858,0.1847,1 
0.4246,1.0535,3.5541,-0.2038,0.7263,2.6458,1.5272,1.6372,1.1681,-0.0989,1 
0.7169,-0.4185,2.3846,0.8253,2.63,1.7447,3.3699,4.2446,4.0153,2.2375,1 
-0.8115,-0.6872,0.3759,2.0865,2.6453,1.6279,2.8781,2.7852,2.133,3.1972,1 
1.8209,1.5957,0.6109,1.4173,1.8877,0.7814,2.9066,2.1858,1.3346,2.4081,1 
-0.748,-1.2175,4.5886,1.7147,1.3723,2.5145,0.7323,1.4035,1.6322,0.6772,1 
-2.1929,0.9382,0.5668,3.0454,1.7657,1.8653,3.452,2.1135,2.9351,2.2617,1 
1.4376,-1.8997,2.3342,2.2977,1.7341,1.3746,1.6576,2.3741,2.9933,-0.3439,1 
0.3344,-0.1583,1.8081,1.1737,2.5298,2.7344,3.5082,1.6972,3.0158,0.8656,1 
-0.5423,-0.6477,0.9422,1.6387,2.6825,1.3125,1.7338,1.4576,-0.4956,1.4545,1 
-0.5381,0.9281,0.2595,1.9185,2.2658,4.9829,2.8283,1.9599,1.9457,1.2543,1 
-1.0219,-0.5055,-0.0507,1.0139,1.9325,1.8996,0.1365,2.3148,3.4877,1.6397,1 
1.0222,0.9108,1.8022,2.4452,2.4279,0.5419,2.9117,1.8529,-0.4025,4.8108,1 
1.483,-0.1921,2.311,0.7543,1.8436,3.4418,2.698,1.9518,2.398,2.5472,1 
0.5614,1.4662,3.27,1.065,3.3824,2.084,3.4728,2.0285,1.0195,1.8813,1 
1.0117,-0.4316,2.1992,2.2628,0.3851,-0.256,1.0212,2.1308,3.8102,2.1697,1 
-0.1875,-0.9744,1.5363,3.1315,1.4639,2.0887,0.7187,1.785,1.3479,2.5043,1 
1.4295,-0.4243,3.0771,2.2661,0.7052,-0.1146,2.5278,3.4151,1.3061,2.2061,1 
-1.7247,-1.4427,2.3539,3.7237,2.1285,0.6891,3.0625,0.558,2.2848,1.958,1 
-0.9786,0.1462,2.6295,2.0053,1.9003,2.8769,2.5444,1.5732,0.4111,1.3332,1 
0.5732,-0.4113,3.4506,1.7076,2.2281,1.8106,1.0355,1.683,2.3678,1.6054,1 
-1.4661,0.9173,2.8892,2.3496,0.9722,2.1473,1.209,1.0109,1.3415,3.7267,1 
-1.6331,-0.5546,4.0445,0.6243,2.1515,1.8807,0.9453,2.2343,2.6123,1.4049,1 
0.2322,-0.9409,2.4655,1.2335,2.134,3.4068,2.1395,3.0298,1.8317,2.4065,1 
1.6279,-1.0563,1.5831,1.3614,2.0308,2.5458,1.6552,2.5663,2.3011,0.732,1 
-0.3752,-0.4173,2.9405,1.8123,3.0565,1.3213,2.7404,3.1973,1.8249,1.9172,1 
-0.4562,-0.3879,2.788,2.1347,1.9667,2.5364,1.7172,3.0658,0.9685,3.9708,1 
-0.4432,0.9922,2.3859,2.8164,1.9706,-0.3875,0.9348,1.6998,2.7189,1.1178,1 
0.3821,-0.6699,0.6431,0.9361,2.0858,2.7969,1.1734,1.9326,1.1966,2.5853,1 
0.8936,-1.134,2.3711,2.9409,1.8468,-0.1445,2.438,1.167,0.6504,1.1034,1 
-1.2447,2.8923,3.3198,2.6305,2.4237,1.2182,0.9313,0.6604,1.0557,1.0393,1 
1.0003,-1.3767,3.0406,1.589,2.0056,1.3916,1.7486,2.8715,2.6455,1.9241,1 
-0.4289,0.4218,1.9486,0.1378,0.2209,3.7002,2.9853,1.8766,1.6978,1.7872,1 
0.1685,-2.1642,1.1191,1.4899,1.7722,3.6777,2.7556,1.6776,1.0599,1.625,1 
-0.7932,-0.4165,1.4808,1.7607,1.3438,1.4441,0.4112,0.7266,1.0113,2.9637,1 
-0.2111,1.1756,0.6125,1.7179,3.8006,2.9144,1.8408,0.8933,2.8905,3.4987,1 
1.8574,-0.3101,2.6693,2.1926,2.9202,1.636,2.5291,0.1698,2.015,4.1894,1 
-0.1245,0.604,0.1765,1.6792,3.2278,2.3979,3.9471,1.6428,2.7948,0.9975,1 
0.3412,0.6359,0.4728,2.9395,0.5578,2.4882,3.4642,1.2454,3.7927,3.4493,1 
-0.0321,0.3985,2.3902,1.4696,2.7111,4.5541,2.9907,2.2594,1.91,-0.3244,1 
1.0777,-1.3736,2.2195,1.6816,1.732,1.6858,2.0913,3.5221,1.8318,0.8602,1 
0.5428,0.7757,3.2876,2.2435,1.9936,2.2413,4.1373,2.2319,3.6733,2.239,1 
-1.8685,1.635,2.9083,1.486,1.6127,1.4127,0.9605,2.1722,0.8816,3.4983,1 
-0.3732,-0.5814,2.1734,3.7206,1.1156,3.0928,2.358,1.1377,1.9887,0.3692,1 
-0.1832,1.0192,3.2366,1.4381,2.5945,2.4718,1.5159,1.2999,2.4246,2.7559,1 
-0.7674,-0.749,2.4358,2.676,2.3462,0.7183,1.8702,1.8439,3.4554,0.9034,1 
-0.7005,-0.9424,2.2918,3.141,3.0488,2.6383,1.2991,1.464,3.9276,1.9863,1 
1.2207,0.628,0.664,2.528,1.5864,2.7765,2.8769,0.4955,3.5863,2.7379,1 
0.1002,2.5712,2.3249,1.1648,0.8153,3.2266,-0.1469,2.73,1.7002,2.2386,1 
0.5772,0.5664,0.824,1.6459,2.8358,3.204,0.2856,0.6628,0.0782,2.611,1 
2.0768,2.6827,1.4812,2.3963,3.3377,2.275,4.205,2.0889,2.0479,1.4634,1 
-0.1495,0.4483,1.4387,2.0823,1.9718,0.6868,1.2757,1.7872,0.9471,1.8723,1 
0.1187,0.1994,0.2974,1.191,1.7111,3.7637,2.9012,2.911,4.3171,1.6813,1 
-0.1218,1.7531,0.8261,3.3559,1.9092,2.2354,1.1642,3.1824,0.1093,2.3564,1 
-0.8756,-0.0496,1.1051,3.1527,3.3972,1.1831,3.0372,1.5269,2.7564,-0.6224,1 
0.5468,-0.9918,1.5245,1.6368,1.01,0.6842,0.5219,2.5661,2.1408,1.5017,1 
0.058,0.0542,1.5011,1.8412,1.9863,1.6936,0.5685,1.4048,3.4701,1.2749,1 
-0.6169,-1.6719,1.7455,0.9696,1.9371,1.0112,0.5429,1.9105,2.4339,2.6611,1 
