Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
* 
-0.2746,0.2402,2.4885,-0.1768,0.9687,-0.4273,2.1883,3.3571,1.2316,2.4247,1 
-0.5962,0.2616,2.6346,1.7778,0.0354,2.0406,2.0632,2.0271,3.2278,0.6681,1 
-0.2165,-1.7119,2.7543,2.4941,2.1871,1.1525,3.2255,2.9176,2.3642,1.0152,1 
0.4982,1.0301,2.4288,-0.0893,1.9045,0.2886,0.8296,2.3208,3.9184,1.1172,1 
0.0288,0.5262,1.4731,3.6355,0.4199,1.299,2.7567,2.0679,0.3414,2.4122,1 
0.9278,-0.2104,1.2172,2.2168,1.5752,3.1454,1.875,1.929,3.429,2.6417,1 
0.2568,-0.4658,1.5271,4.134,0.8208,0.7271,1.4495,3.893,2.8299,2.8972,1 
-0.9373,0.2973,0.8526,2.1249,2.6451,2.7246,2.3785,1.076,2.0132,2.0031,1 
-1.4407,-0.1535,2.1379,1.6886,3.433,1.6371,1.934,2.3147,2.3061,2.8446,1 
0.7618,-1.4934,2.7114,3.2969,2.5304,0.6304,1.5424,1.2053,1.443,1.3776,1 
1.6234,-0.1837,2.3891,3.0152,1.3829,3.5332,1.5751,1.8613,2.547,1.7902,1 
0.2052,1.2201,1.6943,1.3293,-0.0277,0.2741,0.9617,3.2578,1.8652,1.7456,1 
-0.3503,-0.4781,2.8323,1.4309,1.3257,2.5016,2.6395,1.8959,2.3475,0.5566,1 
-0.8327,0.7344,2.2896,0.8373,0.8277,2.7765,2.876,0.9228,1.7563,3.0199,1 
0.146,1.0689,2.3461,3.0223,2.0305,0.8358,2.0131,1.9589,2.2087,3.0632,1 
0.0295,0.9125,0.8976,0.3201,2.1486,2.8492,3.0718,0.6336,2.8886,1.7117,1 
0.2908,-0.3086,3.0407,2.5657,2.4406,1.6307,2.3616,3.5127,2.7422,2.5624,1 
-1.248,-0.935,-0.5042,1.9527,2.8047,1.8892,1.2411,2.1655,3.0735,1.5561,1 
0.1944,-2.041,3.0131,-0.228,1.3467,2.264,1.1373,2.5499,1.5035,1.5192,1 
-1.4789,-0.5478,2.1231,1.7588,1.4209,1.1473,2.2553,3.3218,1.2485,3.861,1 
1.6723,0.1887,2.3403,2.3247,-0.6434,2.4282,2.4419,1.3547,2.1541,-0.6545,1 
0.6391,-0.1123,2.8984,1.8892,1.0729,4.0415,2.7526,3.3283,1.1934,1.9159,1 
-0.0433,-2.2625,0.6915,3.4152,2.5947,3.1018,2.3177,3.0266,1.4958,3.311,1 
-0.9018,-0.8435,3.2034,1.1031,2.0735,4.6605,1.3113,0.9029,1.8333,2.2964,1 
2.0175,0.0861,1.7907,2.7903,2.5928,1.918,3.1428,1.9389,1.6125,1.3724,1 
1.4551,-1.0852,2.748,2.0796,2.6157,1.4957,3.414,1.968,3.0046,1.3438,1 
-0.1992,0.1754,2.6283,2.3918,2.2235,2.2533,1.6642,0.7204,2.3049,2.2042,1 
0.6445,-0.5357,2.4069,2.9717,0.7426,0.9749,1.2898,3.892,1.8739,1.4868,1 
0.0575,-1.6471,2.1396,2.4894,1.2756,3.0029,1.2251,3.2623,2.2609,0.4303,1 
-1.4375,-0.1912,2.2835,1.8657,2.8853,1.2099,1.8721,3.0961,2.7945,1.2291,1 
-0.2115,-1.1809,2.548,0.3211,2.54,1.6397,1.4094,2.6316,1.5032,1.9922,1 
-0.1167,0.6008,3.1964,1.0003,2.697,4.2966,2.2978,0.8296,3.5071,2.6263,1 
-0.7485,0.4008,1.6546,1.0876,1.731,1.8285,3.5652,0.9922,0.9085,3.7075,1 
-0.5329,-0.1559,3.4641,3.1641,2.3984,2.2305,1.3663,1.5801,-0.236,2.671,1 
-0.3831,1.8567,1.6632,1.212,1.0991,1.3993,1.7158,3.7519,1.2022,1.8838,1 
-1.5626,-1.1074,2.0751,2.0015,1.2076,1.3598,3.6105,1.6195,2.5006,2.1443,1 
-0.0675,0.3005,-0.5769,2.6469,0.0632,1.1668,0.2604,3.6037,1.6977,3.5495,1 
0.0383,-0.747,3.1277,1.0427,3.6834,1.566,2.2174,2.0929,1.2028,3.1439,1 
-0.5446,-1.3314,1.8338,2.0975,1.3972,1.7819,2.0892,1.1839,3.8241,2.5298,1 
-0.8785,0.3593,1.5308,3.4706,3.125,1.2096,1.9797,0.2341,2.1411,0.9765,1 
0.0787,0.7643,1.9314,5.3934,2.2031,2.0445,1.7569,1.7247,3.0448,2.6498,1 
0.717,-0.217,-0.4199,2.0943,2.8899,3.1851,2.3779,1.1171,0.025,1.7789,1 
1.3887,-2.0069,1.5624,2.7696,2.759,0.8197,2.2832,0.3457,1.8569,2.5777,1 
-1.4618,-0.9426,2.4125,-0.9644,1.7417,2.6694,0.3541,1.6145,3.1184,1.8975,1 
-0.5477,1.1645,2.6224,1.0184,2.8727,1.3015,2.318,1.498,1.7828,0.5773,1 
-0.1229,-2.5262,2.4258,2.2729,2.1426,2.3359,2.23,1.8,2.9548,1.9384,1 
-1.9414,0.8744,2.4786,1.6906,3.5758,1.6592,1.4069,2.1935,0.9674,1.876,1 
-0.0794,-0.463,0.3729,0.3865,-1.0322,2.8168,1.0247,3.1258,2.9154,2.0723,1 
0.3251,-0.6807,0.8064,2.5964,1.9389,2.1961,1.3372,1.7448,2.6539,1.9861,1 
-0.2834,0.8593,2.6032,2.2793,3.0483,0.9736,0.5523,2.818,2.1843,1.4339,1 
-0.5435,-0.0345,2.9305,2.0788,1.9777,1.8918,2.1946,2.3702,1.6377,0.8074,1 
-1.0461,1.9245,0.0042,2.4517,1.3514,3.79,3.9433,2.6358,0.0678,2.2815,1 
0.835,-0.5537,1.4879,0.6449,2.5881,1.45,2.806,2.3194,1.3648,2.3034,1 
-0.2589,0.3351,2.5507,3.0991,3.2287,4.2705,1.5348,1.7541,3.5312,0.7425,1 
0.305,-0.4181,1.1968,1.8633,2.3791,-0.7505,2.2447,1.002,1.8122,3.2011,1 
1.181,-0.2541,2.3101,3.0513,0.365,1.4045,1.3412,1.8304,3.3763,3.9538,1 
-0.1533,-1.658,3.2953,2.8967,1.2294,3.2034,2.706,2.6505,1.965,0.0127,1 
0.7636,1.1906,1.8214,2.6002,2.4147,3.1291,3.4161,0.6946,2.5435,1.4001,1 
-3.5706,0.5411,1.4963,2.5866,2.2614,2.3482,2.5668,3.142,1.7611,2.2978,1 
0.2977,0.1256,2.6762,1.0023,0.4063,0.372,0.4803,2.4152,2.5084,1.2218,1 
0.1854,-1.5796,0.917,2.2395,2.5398,0.3117,3.4406,2.4697,2.3836,3.4623,1 
0.7219,1.0445,3.159,0.9265,4.2288,0.7812,1.66,1.6404,2.2545,3.1526,1 
1.5325,0.5096,1.487,1.072,3.5999,3.683,1.992,1.3068,2.9338,3.1214,1 
0.4039,0.0913,2.0168,3.6608,1.0766,0.4211,2.27,2.847,3.2042,2.0713,1 
-0.3216,0.1381,0.6876,-0.1196,0.9612,1.7477,2.7769,1.5543,1.2836,2.0434,1 
-0.3453,-1.0093,0.7827,2.2193,1.4199,2.2388,2.419,2.1999,2.2285,2.9945,1 
0.6875,0.9739,0.8624,2.1118,2.1793,2.4064,3.0867,3.1083,1.7238,0.7582,1 
0.6237,-0.85,2.6773,2.8362,2.2297,1.0438,2.2926,1.499,0.6986,3.3852,1 
1.2476,-0.3446,2.731,1.5404,3.3684,2.2686,1.5378,2.5363,3.3682,2.7592,1 
-0.3947,0.0951,3.2347,3.6601,3.4848,1.4022,-0.7767,2.3236,1.8957,-0.359,1 
-1.963,-1.5976,0.4886,3.127,2.6274,2.1891,1.9539,2.535,1.195,2.0483,1 
-0.3854,1.303,3.1686,1.5517,1.459,0.7261,1.6818,2.3334,0.6969,0.2844,1 
-0.6036,1.0481,2.2961,0.8168,3.7258,3.3126,3.0977,-0.2274,2.4983,2.697,1 
-1.1704,-0.6195,0.1879,-0.2119,2.668,0.2956,2.5578,2.4135,1.8972,2.3463,1 
1.8214,0.4134,2.3313,-0.4745,3.2124,2.494,2.9589,1.1765,1.7454,2.6673,1 
-0.0421,-0.5353,2.9903,2.2253,2.8682,2.6527,0.3973,1.9306,2.2921,0.0226,1 
0.8941,1.4053,3.6043,3.1408,1.5022,3.7343,3.3492,2.9113,2.5021,2.8882,1 
0.2935,-2.1525,1.7963,2.9557,1.5221,-0.0411,0.8059,1.6223,1.8587,2.3335,1 
-1.0963,0.2856,2.7615,0.6159,0.823,1.5098,0.7654,1.9315,1.9772,2.1279,1 
-0.3325,-0.1075,0.5508,1.6826,1.2162,1.2682,1.7335,1.8302,2.0265,-0.0967,1 
-2.5035,1.2253,2.5011,2.4189,2.2237,-0.499,2.2028,2.2548,2.7869,2.1073,1 
0.5495,-0.1249,2.7024,1.7165,2.1809,2.0771,0.8504,2.4035,1.7239,3.616,1 
0.5111,-0.9124,0.8013,1.332,1.3403,0.5566,2.2163,3.5336,5.1208,1.1419,1 
-0.0299,-1.5706,0.8038,1.2819,0.8132,1.7067,4.6685,2.7229,1.5771,3.6191,1 
0.5953,-0.5631,3.062,2.5038,4.4635,2.0789,1.6623,2.8689,2.4644,3.2032,1 
-0.7464,-0.3366,1.087,-0.0959,2.8992,2.6353,1.5125,2.5891,2.1722,3.2829,1 
-1.3771,-1.1575,2.6585,1.3472,1.7626,0.1836,3.8821,3.067,2.5843,3.1595,1 
-0.6617,0.8903,0.8364,3.5584,2.051,2.0794,1.1057,2.9423,3.3863,3.2721,1 
-0.4299,-1.1066,2.6787,2.1737,2.5797,2.2723,1.3585,2.8931,3.1378,1.976,1 
1.663,1.0022,0.3353,0.8663,2.9909,3.4045,0.9205,1.4249,1.9311,2.357,1 
-0.1673,1.3262,1.7584,1.7596,2.1911,-0.6005,1.8016,1.9311,1.1305,1.5999,1 
-1.0687,1.28,2.1036,3.6243,2.4992,1.5971,1.4667,3.3019,1.3858,2.5954,1 
0.0556,0.7212,0.5643,1.8996,3.6169,0.6649,2.0198,1.3892,2.8986,1.8976,1 
0.1527,0.4801,1.6761,1.2722,2.9788,3.3658,4.0024,2.2946,2.1041,1.6739,1 
