Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
* 
4.4553,1.5593,2.8714,1.5541,0.4356,2.1245,1.8911,1.4652,2.0392,3.1012,1 
5.4903,-0.5326,3.416,1.8965,2.3519,0.855,0.8513,1.1712,3.469,1.609,1 
6.4262,-0.4891,1.4979,1.9729,2.7027,1.6622,2.4454,1.3939,2.4128,4.207,1 
5.6197,-0.1776,2.9235,2.5324,1.745,2.7298,1.5375,2.5877,0.2812,0.993,1 
4.7708,0.7722,1.9642,1.5432,1.8994,2.8514,2.4738,2.4265,1.2091,1.0258,1 
6.0325,0.7861,0.3116,1.4028,1.0539,1.3972,1.1243,0.344,1.333,-0.4697,1 
6.8243,-0.8837,0.8178,1.0792,3.3413,1.7635,3.7551,2.5279,0.9924,3.4792,1 
5.7114,0.0352,3.5716,0.417,1.8671,1.7849,2.8483,2.7715,0.5821,2.1225,1 
5.0217,0.5641,1.4883,1.1411,2.2819,2.8114,1.1298,2.4216,0.5751,2.4328,1 
5.3105,-0.0274,0.5121,1.3832,2.1694,1.5314,2.3567,1.5019,2.7244,3.7948,1 
5.5465,-1.1181,2.7291,3.2117,2.0854,2.0605,4.1304,0.4462,0.9912,1.0472,1 
6.1915,-0.0083,1.2263,2.0569,1.1687,1.3846,0.6652,1.7723,1.7312,2.9004,1 
3.8243,-1.4559,2.2424,1.7596,0.8774,3.288,3.097,1.9154,2.6676,2.3924,1 
4.4545,0.4943,0.1483,1.1587,1.9657,0.4612,1.7557,1.8998,3.0697,-0.2998,1 
4.4826,-1.6366,3.6981,2.9779,2.0354,2.0633,3.0729,0.7615,2.8693,1.4987,1 
3.9753,0.6116,2.9385,2.5235,0.2628,0.8908,2.6212,1.1715,2.4481,2.4619,1 
6.3621,-0.8113,0.8934,-0.8197,2.6992,0.7554,0.8053,0.3186,1.9125,2.5792,1 
4.4357,-1.096,1.535,2.2637,1.6193,0.7018,1.6585,1.0536,1.9422,0.25,1 
6.9513,-0.086,2.54,1.2837,1.8824,0.5529,2.4773,0.9275,2.6411,2.8514,1 
5.9745,-0.0393,2.2535,0.3486,1.5564,3.9098,2.4831,0.3192,0.8732,2.1702,1 
6.8246,-0.1828,3.5442,1.7043,1.8005,2.0369,2.6318,1.991,0.7316,1.3379,1 
7.0164,-0.0751,1.8923,2.7913,1.7424,2.5245,1.3479,3.6067,0.5591,0.718,1 
4.4044,0.0816,2.9294,-0.3865,0.6279,3.3499,1.2417,0.0112,2.1007,3.2572,1 
4.0767,0.5468,3.0006,1.0145,1.1384,3.3762,0.8415,2.7834,2.3109,0.9555,1 
6.319,0.0927,2.7317,1.1816,1.9282,2.2606,1.916,1.9512,1.4367,2.4666,1 
4.8279,0.1838,0.8399,2.3385,0.0346,2.5082,2.6745,1.3369,2.1458,1.358,1 
6.9553,1.2921,1.2473,2.8079,2.1806,3.8514,1.3277,2.3671,0.5753,3.9849,1 
5.0941,0.7074,1.1558,2.2816,1.5271,2.9184,0.2886,2.3488,2.8747,2.1556,1 
6.016,0.5749,3.623,1.9088,3.102,0.3397,2.9572,2.2826,1.7774,1.4466,1 
5.6996,0.4834,1.4126,2.2699,2.7453,2.4822,1.3702,2.5056,1.5539,2.7869,1 
6.3623,-0.1187,1.897,2.3342,3.675,0.5743,3.4047,2.3729,3.4366,3.5287,1 
4.4692,2.9741,2.0402,1.0894,2.0771,1.0136,3.1943,0.7243,2.4189,5.9049,1 
4.6403,-0.5931,3.9209,3.8788,1.3724,2.3781,1.1418,2.4795,2.1928,2.3091,1 
5.3811,0.4627,3.1995,1.9577,2.5787,2.9117,3.425,2.4241,1.2893,2.5447,1 
5.8271,-0.4292,2.5564,2.7191,2.7301,2.6637,2.4078,1.4098,0.4013,2.8008,1 
4.4806,0.8306,1.6878,3.7889,2.7388,2.806,2.1791,0.6668,1.6465,1.8834,1 
5.7583,-1.3178,2.4378,2.2551,3.8764,2.8145,1.855,1.6425,-0.632,2.2764,1 
4.7488,-0.7464,2.4608,4.0815,2.5377,2.2654,2.0789,-0.2699,1.7016,1.9237,1 
5.1686,0.3721,3.0205,2.3546,2.805,1.4415,2.8438,3.0532,2.3748,2.9511,1 
4.8939,-0.6941,3.8932,1.7197,3.7421,0.4972,3.3731,1.128,1.8528,1.2257,1 
4.6468,0.3152,1.0821,1.9924,2.9832,2.483,3.3359,2.3918,2.5637,1.2513,1 
5.8438,-0.1612,1.5616,2.7373,1.1318,1.2339,2.4067,3.6936,1.2325,1.7372,1 
5.3848,0.2985,0.1582,2.8427,3.2165,1.2337,4.031,0.9049,2.1465,2.6283,1 
4.2939,0.8442,0.779,2.3134,1.905,1.8835,1.2981,2.4373,2.2229,2.2306,1 
4.0499,-0.2319,0.6981,2.7007,3.7789,1.9593,1.8861,2.9299,2.3475,-0.4226,1 
1.9632,0.3571,1.3473,2.3535,1.5471,1.4838,2.9204,3.8257,1.7966,0.4334,1 
5.0395,0.6082,1.6633,1.8362,2.3474,1.8062,0.6945,2.0343,3.8309,1.1087,1 
5.2186,-0.0276,2.8958,3.0269,2.1508,3.1831,3.0547,5.3595,0.745,2.2156,1 
5.265,-0.9401,0.7001,2.0253,2.3613,3.541,2.9855,1.9545,1.6864,2.5825,1 
4.9712,0.6073,-0.1036,2.0106,1.8641,1.7434,2.6023,1.7378,2.3081,2.9981,1 
6.2822,0.7401,2.6903,0.9181,1.8526,0.6925,2.4142,3.8545,1.9451,2.3822,1 
6.4733,-0.1831,2.7286,2.3259,4.09,2.0841,1.067,0.3379,1.0783,1.5515,1 
4.9672,0.2212,2.585,3.4904,1.4509,2.9341,3.0352,2.216,3.4221,1.6533,1 
7.4195,0.1229,2.1847,3.7828,2.4542,1.9762,0.9743,2.5827,-0.1442,1.7483,1 
5.343,-1.2975,3.6766,4.3237,2.145,0.9034,1.6532,2.4016,2.7069,1.6206,1 
3.9613,-2.0407,-0.0782,3.2141,0.1872,-0.1611,1.9638,1.6117,2.993,3.3444,1 
3.7397,-1.13,1.1902,2.1009,1.1168,3.2296,0.9088,2.4521,1.0274,1.6773,1 
4.5806,0.1795,1.3894,1.1488,2.9109,1.7337,1.6768,2.2994,0.6433,-0.7269,1 
5.163,0.6484,1.3938,2.0269,2.1584,1.5792,3.1091,1.8466,2.7908,1.7856,1 
3.759,1.0366,1.3231,2.201,2.9019,0.3915,2.2344,0.6708,1.3559,2.9355,1 
3.3338,0.2529,2.1088,1.9279,1.4366,1.828,3.0325,1.0601,1.7828,-0.0945,1 
5.3322,-0.666,1.9039,2.1124,1.6426,1.3216,1.7448,2.8819,2.9802,2.1086,1 
5.8696,0.9295,0.8471,1.4102,2.528,1.6673,3.3256,0.4829,2.9957,4.431,1 
4.7688,1.0556,2.4634,2.9181,1.717,3.3283,0.4027,1.8444,1.5319,2.7813,1 
5.3132,1.3402,2.1645,2.1279,2.2575,1.8588,3.0168,3.6051,2.0174,2.1966,1 
4.266,-0.2568,1.9969,3.9898,3.4926,2.5946,1.1922,1.5403,1.6481,2.1647,1 
6.4365,-0.7832,2.4327,1.2921,3.0293,2.61,1.3981,1.7515,1.2467,1.7653,1 
5.3787,-2.0288,0.0386,0.8662,1.77,2.2905,0.1988,1.0434,0.9974,0.6798,1 
5.6594,-0.3869,1.5329,1.1412,2.2228,3.8875,1.2062,1.0956,2.2279,1.2743,1 
5.1985,-0.045,2.2577,2.85,3.2706,2.5788,4.3535,1.0897,1.6317,1.7784,1 
4.4814,1.1515,0.6907,2.4797,1.8966,2.7451,2.4417,1.422,1.7191,1.1754,1 
5.615,-2.0488,1.9093,0.2386,3.3032,-0.0456,0.8175,1.2547,0.4091,2.4914,1 
6.4337,-0.0857,3.7481,2.2494,-0.7756,1.2125,1.0176,1.3206,2.3055,2.2458,1 
5.5113,-0.774,2.2467,2.2308,2.6528,4.3789,1.6186,1.8966,2.6634,2.0041,1 
6.0855,0.7054,2.306,3.4968,0.7517,2.9267,3.0963,2.3892,2.8365,2.1162,1 
2.8703,-1.8973,1.4562,3.1103,2.9667,2.3343,3.1221,2.5053,1.1075,1.0873,1 
6.1379,0.2351,1.523,2.31,1.9941,3.1573,2.624,-0.4564,2.0009,2.1721,1 
6.1999,0.9377,-0.0045,3.2998,1.7793,0.3191,1.681,0.5207,2.3049,2.8128,1 
4.7726,-0.4537,0.1373,4.7137,0.8843,1.6696,3.4308,5.2539,0.9936,1.0404,1 
3.0805,-0.0024,1.3351,2.3367,1.244,2.2325,2.5203,3.0883,1.405,1.129,1 
5.4332,-1.4119,2.0308,0.9632,1.7168,1.6786,2.035,0.6341,1.1654,2.6355,1 
4.7186,0.848,3.2854,1.5017,2.089,1.3611,3.2965,0.7172,3.8323,2.7192,1 
6.8701,1.6952,1.2111,1.3103,2.0529,0.7486,2.6663,3.2242,2.792,0.818,1 
5.1696,-0.4875,1.9198,1.3192,2.1227,1.3682,3.9257,0.9037,3.7066,2.7198,1 
4.4059,0.8043,2.2972,0.8617,0.3185,1.7799,3.1332,2.065,2.8576,1.8891,1 
5.6879,-0.4234,1.252,1.1345,1.4967,2.4376,-0.6811,4.063,1.5331,0.9977,1 
5.9571,0.5891,2.35,2.0219,0.9126,0.2082,2.344,3.0597,0.8159,1.0375,1 
4.216,-0.4944,2.4907,1.832,1.6091,2.1753,1.4873,1.8426,2.1969,1.4229,1 
4.8973,-0.4825,0.4033,3.8015,3.8068,1.6292,1.1795,2.3842,2.291,2.4979,1 
3.3924,-0.1002,1.4487,0.8734,2.9676,2.7113,2.6118,3.3179,4.5797,2.2607,1 
4.3324,-0.1895,3.2857,3.9011,3.7246,0.8337,3.5574,2.1528,3.4997,2.2292,1 
6.2999,-1.5527,1.8337,0.7419,1.3549,1.8936,0.9423,1.9628,2.116,0.792,1 
5.855,-0.2315,1.6751,1.2896,0.705,2.0788,2.1227,1.7635,-0.1383,2.1478,1 
6.1887,-1.0985,1.6814,0.8606,1.219,2.6214,2.0818,2.6621,3.669,2.3529,1 
5.8143,0.7663,2.7139,1.7573,-0.2778,1.0761,2.641,1.6506,3.1305,2.7496,1 
4.9193,-1.2887,-0.2308,1.1103,3.1791,1.6068,1.6573,3.995,2.8129,3.0688,1 
5.6176,-1.9632,0.4315,0.4433,1.4688,1.3358,0.455,1.8213,1.5199,2.1459,1 
4.2618,0.9298,1.4087,1.0039,0.9553,2.7114,2.2853,2.9801,1.7847,1.1378,1 
3.8338,0.7461,2.027,3.477,2.7225,0.1962,1.3872,1.9071,3.332,1.2009,1 
5.6793,-1.355,2.4221,2.3305,0.8075,1.3085,2.1026,0.475,1.1034,0.7104,1 
* 
2.2384,3.728,2.9024,2.6411,2.3648,3.3285,1.9928,2.6226,0.2417,1.956,1 
0.7709,0.7887,3.0238,1.3019,2.6648,3.4921,0.5012,2.2789,3.2743,3.316,1 
1.3002,1.8535,1.8937,0.2177,2.0345,2.8642,0.0109,1.7554,2.9535,0.4634,1 
3.2965,1.2629,1.0934,1.2368,2.4644,2.4851,1.9004,1.8986,2.2594,2.5536,1 
1.0633,1.2137,2.2347,1.7516,1.1936,1.2739,1.8801,2.5809,3.042,3.7252,1 
1.6047,2.5411,2.9107,1.387,0.3861,1.7689,2.8567,3.5853,1.5546,3.1865,1 
1.2385,1.81,1.6344,2.1215,2.6843,3.2329,1.7654,1.1332,-0.027,2.0939,1 
1.3698,2.5765,1.8859,1.2057,2.4077,2.4079,1.0,0.9381,0.9209,2.3679,1 
2.3643,1.6405,0.934,2.8021,3.1491,1.5523,2.5327,0.8511,2.1235,2.6995,1 
1.0494,3.7839,2.8919,1.9273,1.7325,3.4661,2.9475,2.2473,2.5806,1.8852,1 
2.3502,1.5215,1.4065,2.4498,3.3933,1.426,2.0435,0.1441,2.689,2.1689,1 
2.0099,2.9699,2.9931,0.9934,3.2251,2.8746,3.39,2.2156,1.4769,0.324,1 
3.6922,2.5924,1.5892,2.6609,0.9878,2.2552,2.4672,0.1588,2.5346,1.43,1 
-0.6358,2.2483,0.9588,1.8138,1.9051,0.9728,1.6701,1.169,1.0567,2.2206,1 
2.7644,2.7936,0.0261,4.6026,3.6273,3.6436,2.753,1.669,1.5627,1.3212,1 
2.0916,1.032,1.9103,2.5169,1.5476,2.893,2.4342,2.2144,1.3556,1.7807,1 
3.1038,0.9616,2.0921,3.2247,1.97,1.6236,4.3225,1.8326,3.0467,1.5971,1 
1.8915,2.0731,2.2729,2.0499,1.7262,3.2696,1.7631,1.7342,2.5802,2.0939,1 
2.9558,1.1202,1.6249,1.5914,0.9224,2.4057,2.2409,1.365,2.2616,2.4464,1 
1.7162,2.1963,2.377,1.1475,1.3541,1.1716,1.9885,1.7268,2.7698,2.4539,1 
0.4206,1.3275,3.6106,1.8545,3.0271,1.8514,1.7482,2.885,1.2434,2.2694,1 
4.5884,2.3995,1.3807,2.8591,2.5237,0.1892,2.6423,-0.7907,1.8569,2.7101,1 
2.075,2.6217,2.101,1.9224,0.8171,1.6318,1.259,0.0379,3.6065,2.9844,1 
5.1945,0.3102,2.808,4.1138,1.0249,1.3316,2.6743,1.6385,3.7104,1.6277,1 
2.6942,3.2012,0.6489,3.0046,1.4473,1.2928,1.8244,3.1183,3.4929,0.7404,1 
2.3016,3.3692,2.0733,2.6954,0.7525,4.2279,3.5123,1.2196,1.6034,0.3816,1 
0.7423,2.0511,1.6673,2.6139,2.2613,2.6956,2.7194,1.2173,2.4088,2.7142,1 
3.4157,0.8065,1.2484,2.0055,0.7497,1.0887,2.2301,3.1354,0.8286,2.1689,1 
4.5476,1.7821,1.6721,0.6546,2.0992,1.8298,2.3763,1.4388,0.9735,2.7326,1 
1.2639,3.5882,0.7011,0.5442,2.6784,3.9697,2.2773,0.9073,0.9377,0.9397,1 
2.9635,1.5158,3.0618,3.0783,3.3315,0.6908,2.5763,0.5936,1.3696,1.9936,1 
1.9505,1.2386,1.381,2.8626,3.0703,2.1749,2.9783,1.6736,1.5238,2.4066,1 
2.6158,1.783,2.5939,3.2182,1.203,0.6169,1.086,2.4798,1.0341,2.9251,1 
-0.3327,3.0546,1.8822,1.4661,0.8884,1.8659,1.8239,2.2407,-0.039,2.3867,1 
1.0879,1.0281,1.938,1.094,0.6678,1.331,0.6609,2.6031,1.5291,3.7545,1 
2.9398,1.7723,1.8763,3.9019,-0.1049,1.5954,2.4964,2.6431,1.8832,2.1789,1 
2.8243,1.1273,1.7533,2.0923,2.6551,2.7421,2.8147,2.4296,1.5981,2.0591,1 
2.5715,0.9234,3.1275,0.9026,1.9063,2.4229,2.0773,0.6811,2.5993,-0.2065,1 
1.2873,2.2059,2.4123,2.1334,1.0273,1.7517,4.8337,3.2711,0.1099,2.0588,1 
2.5585,0.6245,1.2216,1.5805,3.2916,0.0831,1.512,2.4882,3.0557,0.6874,1 
-0.1384,1.1448,2.0696,2.5707,1.7101,0.6551,1.8273,5.1586,1.0683,2.1788,1 
1.6264,0.6983,3.0325,1.228,1.5331,-0.0541,3.0176,1.6574,1.5874,0.9462,1 
2.3445,1.2125,1.1145,3.5269,0.8471,2.2035,3.7932,2.9745,1.7376,2.042,1 
1.3347,2.0186,1.0926,1.4199,1.8547,1.593,0.766,0.4275,1.9527,0.2745,1 
2.4871,2.5577,2.6775,2.0453,0.7084,-0.7363,1.5046,1.5249,0.1092,2.878,1 
3.2585,2.9624,2.477,3.7453,3.175,2.184,1.5293,0.543,1.4,1.1306,1 
3.0416,1.0395,2.6941,1.9783,0.3015,2.5625,2.8709,3.3125,2.5805,3.2956,1 
3.621,2.5009,1.9069,2.1889,3.2289,0.3525,2.3992,2.8117,3.5711,2.621,1 
1.7249,2.2061,-1.1285,1.2857,1.5965,0.7218,2.033,3.768,1.226,1.1702,1 
0.9517,2.2548,1.1332,2.1768,1.6811,0.5328,1.1065,3.4246,-0.6804,3.4194,1 
1.6426,1.3799,1.6451,1.5213,2.5256,2.1757,3.138,0.0608,3.9676,2.2493,1 
0.7472,2.2042,1.6479,0.2775,0.9131,1.5189,2.7073,3.3855,3.3148,1.5734,1 
2.6991,2.0936,2.8764,2.3088,1.3482,2.3316,2.3326,0.7937,4.4299,0.1236,1 
3.2102,1.7419,2.4081,1.7281,2.8007,2.9464,1.4855,1.3071,2.3915,1.9371,1 
2.5866,1.7107,2.1282,3.435,1.3366,3.9858,3.6434,1.137,2.4088,3.3409,1 
2.7704,3.3909,2.2156,1.7564,2.2783,-0.3038,2.7815,3.3137,0.2552,3.663,1 
4.7112,2.047,2.0113,2.2625,1.3431,2.0788,2.8005,3.8268,3.1085,-0.3787,1 
2.9111,2.3787,1.0526,2.4213,2.0099,0.5079,2.0117,3.0427,2.0454,0.8183,1 
2.4853,1.7051,2.6923,2.1342,3.0784,5.254,1.8155,-0.9454,0.5861,0.7779,1 
1.6291,1.4309,0.7498,2.6801,3.6817,1.0213,2.7295,3.2005,3.7737,2.8796,1 
2.1427,4.3292,2.7711,1.0833,1.5732,1.9802,1.9879,2.2802,1.885,2.2067,1 
1.7752,2.5203,4.1292,2.6598,3.6673,3.0342,1.7456,2.5799,1.8232,2.8698,1 
2.5444,2.3275,1.3454,2.8392,3.2221,1.3831,2.1521,1.74,0.9733,1.682,1 
1.3477,1.7771,3.1763,2.5843,1.7907,2.7949,2.4054,1.7113,1.9565,3.067,1 
2.3417,2.2215,2.3691,2.2576,0.0415,3.943,3.6183,1.5588,2.0409,2.6263,1 
3.2129,1.6253,2.0173,2.5683,1.5849,0.8642,1.9648,1.4397,2.3203,2.5194,1 
2.094,2.9426,5.2622,3.0829,3.1178,1.3189,2.451,0.9207,0.9345,2.4707,1 
1.4811,2.9665,2.4294,1.9727,1.2746,0.7406,1.6763,1.6993,2.0143,1.5715,1 
2.399,2.7153,0.7857,1.4011,1.4208,1.9394,3.3594,1.0571,2.9942,3.0586,1 
1.5946,0.9679,1.5812,1.6044,1.3598,1.8245,3.1827,0.8024,4.0324,3.521,1 
1.6345,1.3353,2.5803,0.8794,1.6665,1.013,2.4112,1.423,3.9284,1.0434,1 
2.1903,-0.0222,1.0263,1.286,1.1091,3.1063,1.7425,2.5446,2.0784,2.6996,1 
2.3281,1.4654,2.8363,2.4215,1.6035,4.3214,3.1058,1.3462,5.2814,1.9828,1 
2.9017,1.8313,1.0296,1.7774,0.5185,3.0216,2.7942,0.4782,1.6663,3.3688,1 
1.1474,2.039,3.5129,3.9535,1.4872,3.8313,0.9105,0.6463,0.3286,2.2149,1 
2.0999,0.0587,0.8419,1.3925,1.4284,2.6223,1.8746,2.887,2.0375,1.3627,1 
0.9508,1.9235,2.7337,3.928,1.4054,0.7317,3.2026,0.812,3.2645,2.0567,1 
2.1493,2.3874,2.4829,1.9417,-0.6307,0.2857,3.3485,1.7644,1.9314,2.4074,1 
1.4584,3.715,1.5601,1.0019,3.0962,2.9477,0.9879,0.925,1.0845,2.5453,1 
1.2829,2.0773,2.0842,3.7219,1.1824,2.6169,1.7573,1.1772,2.2649,1.9793,1 
1.2726,4.075,1.8284,0.5342,0.8397,0.1215,3.8673,2.1639,2.7609,2.569,1 
1.7545,3.5316,2.1483,3.1548,1.2216,2.8604,1.8649,0.6612,1.8711,1.2832,1 
3.203,2.3236,1.62,1.7971,1.4704,1.3816,1.5084,3.1419,3.3503,1.9185,1 
1.2367,1.5264,1.2235,1.7972,3.2824,1.5843,1.9282,1.6391,3.3072,3.5869,1 
1.569,1.4244,0.5699,3.3024,2.9009,-0.0791,1.274,0.9323,1.4181,2.2993,1 
0.7606,0.8415,3.1816,2.9743,2.2463,1.5097,1.7689,3.9837,2.1578,3.9229,1 
0.3506,-0.8025,2.5995,0.2352,1.3794,2.5701,2.5802,2.0066,3.0799,3.5964,1 
1.2489,2.6427,1.4648,1.3559,2.5421,1.473,-0.7123,2.053,0.6298,1.6875,1 
1.9483,0.2468,1.5723,1.9573,2.1073,1.4093,2.8587,0.5836,0.392,2.341,1 
2.3324,3.2971,0.7455,1.0773,1.7791,0.9297,3.1974,4.0241,4.3683,0.7462,1 
2.613,2.174,1.4689,0.6065,0.5256,-0.0984,3.3588,1.1843,3.032,1.2518,1 
0.0995,2.5334,0.7728,3.568,2.3231,2.4061,1.8083,3.4012,3.5439,2.5013,1 
1.9011,2.7816,3.4319,3.023,1.1301,1.1199,3.5152,2.3787,0.8835,2.8797,1 
1.0661,1.5014,2.8919,2.183,3.3096,2.7459,3.037,2.392,3.9708,2.5599,1 
0.5717,0.0776,3.9167,1.1843,0.5856,2.5987,3.8171,4.2913,5.6667,2.6561,1 
3.0818,2.1709,1.8664,2.8131,1.1799,1.947,2.3925,-0.3071,3.3495,2.9916,1 
2.6246,2.9233,2.4055,2.1868,2.865,1.4592,1.3294,1.7264,2.652,3.0664,1 
2.0677,3.4661,2.1497,2.6057,1.3811,1.0397,2.0895,0.3037,1.622,-0.595,1 
2.0906,1.6528,1.1603,4.8321,1.1148,1.5711,0.283,0.4341,2.9786,3.7376,1 
3.5552,2.2984,1.1488,1.5966,2.4497,2.0683,1.5298,0.1209,1.9805,0.0181,1 
* 
7.9187,2.3696,2.4073,2.3732,0.9136,1.2827,1.8018,1.1531,1.6113,3.5827,1 
9.1205,1.9931,2.8853,2.6732,2.187,1.0966,1.2249,2.211,3.8438,0.8095,1 
8.8576,2.987,2.559,0.4822,2.8425,1.8139,1.4123,0.4853,2.2377,2.9186,1 
7.9024,1.2295,1.5921,2.8809,2.3212,1.2079,0.96,0.8101,2.9323,2.5411,1 
8.516,3.6907,2.4543,0.0987,2.3206,3.0952,3.2341,2.1957,3.8077,1.12,1 
8.1802,1.366,2.5012,2.9123,2.5448,1.6522,0.9609,2.104,1.0973,3.1956,1 
6.1725,1.5305,0.6795,2.7595,-0.9345,-0.2254,2.7039,0.4162,1.3656,1.74,1 
7.8519,1.6549,1.9707,1.4569,1.0753,1.6833,0.4231,1.7549,2.9732,0.9848,1 
8.3671,2.1052,2.3233,3.0338,1.8612,1.1571,-0.0838,1.3571,2.6353,2.0825,1 
6.9598,2.9722,1.6168,2.1542,0.3934,1.1427,2.276,2.1139,1.0506,1.7347,1 
9.4299,1.3878,1.5706,2.9659,2.587,1.5853,1.9915,2.4582,1.0053,2.1585,1 
9.429,1.8722,0.5825,3.2836,2.0968,2.396,2.0024,2.207,2.1891,2.6879,1 
9.6444,2.4075,2.5155,2.9017,0.4997,2.2327,1.2588,-0.1089,2.2075,2.4273,1 
8.2001,0.735,2.3166,1.6278,1.3216,1.7031,0.9071,2.3059,0.9287,0.4626,1 
