Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
* 
0.8412,8.8733,1.3882,0.8737,4.1447,1.11,1.4688,0.9736,2.4051,2.0215,1 
0.5849,9.5614,1.8429,1.3195,1.4066,0.1978,1.044,2.8836,-0.0158,2.5604,1 
2.797,10.194,1.883,1.2795,0.5473,2.6998,0.7683,1.1245,3.2445,3.1916,1 
1.1571,10.1023,1.0859,1.9079,0.8176,2.9357,2.786,2.352,1.3894,3.8115,1 
0.128,10.4959,1.8754,2.0532,2.5305,0.6732,2.2536,3.375,1.4721,2.9654,1 
1.5497,9.6501,2.7463,3.5414,2.9456,0.8986,0.6407,-0.8459,2.8087,1.503,1 
1.3123,9.2183,2.8611,2.5112,-0.03,1.9002,1.1026,3.4949,1.9132,0.6167,1 
0.7388,8.7298,1.1224,2.0504,1.6426,2.5465,1.8865,1.9747,1.6172,-0.0526,1 
0.0266,10.365,1.9259,2.6582,2.4881,1.4831,2.7482,1.9529,2.8694,2.0774,1 
2.9429,11.8538,2.3326,2.5122,1.7871,1.8199,4.1876,3.0573,2.3841,2.9045,1 
2.041,10.357,3.1455,2.4935,2.3946,1.9684,1.9532,2.495,1.4864,1.6656,1 
3.3662,9.4048,1.2591,2.2507,1.0684,1.4592,2.2077,0.8696,2.3534,2.0234,1 
1.3129,10.0725,2.5533,2.2796,3.3697,3.547,3.7418,2.8622,2.5235,2.4225,1 
1.6323,8.3967,2.4209,2.2704,3.0146,1.0786,0.6983,2.6077,2.1815,2.8549,1 
2.5832,9.9049,0.7865,2.356,2.0527,1.9074,1.6533,2.0409,1.4575,1.0573,1 
1.0985,10.1973,2.8517,3.6265,0.3163,1.5924,2.9736,1.5536,1.8303,1.9744,1 
3.2389,10.601,2.2559,2.9772,2.9321,1.2296,1.8319,1.7844,1.1587,2.9484,1 
1.9066,8.9648,2.4186,1.1049,3.066,1.0807,1.5068,3.0636,2.9956,2.917,1 
4.0087,10.0587,1.8862,1.6438,1.5794,1.6719,3.1199,1.2344,2.1948,1.3855,1 
1.3941,9.1694,4.0247,2.4635,-1.2913,1.1302,4.383,0.8239,2.8786,1.7807,1 
1.7409,9.0688,3.093,1.7389,1.0497,1.7008,1.7863,2.4623,0.4713,2.0606,1 
3.5076,9.4512,2.5335,2.0988,1.2641,1.0107,3.6986,1.6408,0.6963,1.8758,1 
2.8059,10.4313,2.5246,2.4394,1.0601,1.5447,0.6604,1.8213,1.7412,2.2031,1 
2.4695,9.8222,2.1578,1.9389,1.3765,2.7279,2.1119,1.6978,2.2592,2.968,1 
1.6074,11.3982,2.5604,1.1911,2.4186,0.2696,2.2913,3.6114,0.2624,2.4985,1 
2.6814,9.6003,1.9355,2.7178,1.639,2.4146,2.1853,2.3961,1.9237,1.6838,1 
2.1281,10.6594,2.3907,2.8586,1.9068,2.0284,2.0675,1.3569,2.2645,1.8008,1 
3.2784,8.4678,0.7041,0.572,2.968,4.5551,4.2045,1.7531,3.0409,2.2767,1 
1.0426,10.7906,3.9553,2.1685,2.0899,1.8781,2.6396,-0.4689,1.5018,2.3931,1 
2.3279,9.9948,2.5559,3.0587,2.1782,2.4761,0.2507,1.8858,1.3726,2.1333,1 
2.9555,10.4592,2.3046,4.8229,0.9319,1.1651,2.3425,2.4013,2.3302,1.4964,1 
2.6129,7.9018,1.8392,-0.2058,1.1426,3.4455,0.0262,0.5575,-0.3071,3.0781,1 
1.6755,9.4698,2.5072,1.5546,1.841,-0.0012,-0.0417,3.0829,2.7528,1.7263,1 
2.2796,10.3886,0.9017,1.8016,2.2308,4.8249,2.1352,0.6893,3.1661,1.3575,1 
1.5549,8.7303,3.6996,2.7939,2.2397,3.8227,1.6578,-0.411,1.8515,2.2543,1 
2.878,9.9628,2.1725,1.7292,-0.0078,1.3167,1.7367,1.4138,0.4921,1.7017,1 
1.4369,10.02,3.0256,1.3865,1.087,2.0477,3.2414,1.3406,2.1156,2.5767,1 
