Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
* 
1.7686,10.3906,2.3583,2.5662,2.1662,3.9134,2.3029,1.1692,1.9399,1.9057,1 
0.6323,9.4075,1.6275,3.7278,4.6929,0.6241,3.9573,0.5336,1.8651,0.0503,1 
2.5224,8.7389,1.9266,-0.1409,1.2668,0.2852,3.3702,1.9994,-0.6742,2.7943,1 
2.884,10.8688,1.8164,1.8736,1.7266,0.9134,2.2335,1.9298,3.2896,3.1808,1 
2.7633,11.337,1.6949,2.6705,1.7018,1.5784,0.5299,1.8116,1.7753,1.657,1 
2.4093,9.3337,1.3359,1.747,3.2373,2.0018,3.46,1.795,1.4445,1.42,1 
2.2512,10.7877,1.4786,-0.0801,0.8837,2.3485,1.25,2.498,0.1024,1.2873,1 
2.8541,7.909,1.4261,1.0585,2.1335,1.8027,0.9929,3.6643,2.7317,0.6205,1 
1.8827,11.1506,1.1808,1.519,0.3819,1.8119,1.76,-0.2057,1.6572,1.4245,1 
2.3382,8.9633,3.2151,1.2546,2.718,0.7484,1.8029,0.3604,3.3819,2.6311,1 
1.4181,9.1847,3.5281,1.1385,2.4415,2.5022,1.3475,1.879,3.2715,1.4384,1 
0.8597,11.7735,2.1931,1.4113,1.9036,3.2002,0.718,3.8989,1.2338,3.5953,1 
1.6083,10.1993,2.7689,1.5507,2.0524,-0.2295,3.7963,3.9916,0.5328,2.6514,1 
2.0234,8.9062,-0.237,0.4972,3.7372,2.7447,2.125,0.2342,0.1409,1.1147,1 
0.8335,9.3075,2.0839,2.3755,0.6706,2.0566,1.9072,2.0822,1.4364,3.636,1 
2.901,10.6901,2.8178,1.4621,2.4146,-0.1086,1.3915,1.1805,0.7566,3.092,1 
2.4216,10.601,2.8246,3.4524,2.2364,0.6741,3.5612,2.7721,2.6696,2.4074,1 
2.9637,10.8358,2.6873,1.2204,3.1425,2.0553,2.462,2.9047,1.6444,2.9043,1 
1.5741,10.4141,-0.8255,1.95,2.8847,3.788,1.8765,1.7058,2.4394,4.2494,1 
3.3489,10.0515,2.6867,2.7022,2.3898,2.0436,2.2784,1.8072,1.4112,0.1915,1 
1.9632,9.3784,2.0518,0.6287,2.2114,1.5327,1.3473,1.4859,0.2576,3.3019,1 
0.4593,12.7134,1.7837,2.6495,1.1231,2.5152,1.7048,3.0849,-0.2196,4.722,1 
0.8362,11.4489,1.6166,2.2858,2.0331,2.7933,0.6965,1.7879,-0.5623,0.584,1 
2.4169,10.4309,2.3208,2.2679,3.2203,3.4915,3.1205,1.3686,3.1264,0.8029,1 
-0.4305,10.8588,3.8053,2.8821,3.1582,2.2573,2.1754,2.4783,0.1606,2.7615,1 
2.0599,10.7589,2.9347,1.1613,1.2601,3.0847,1.7688,3.0381,2.1911,2.3554,1 
2.3475,9.4646,0.7258,2.4073,0.7994,1.7195,1.0954,3.3832,2.4004,1.1715,1 
2.8339,12.2149,0.9044,1.5741,1.2772,2.4519,4.1746,0.1839,0.8508,2.8686,1 
