Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Class
* 
1.3076,-0.4222,1.0069,3.1859,2.387,3.5213,0.9929,3.2993,2.3098,2.6612,2.2659,2.0702,1 
0.7497,-0.7168,2.1111,0.6421,2.8173,2.0567,2.5553,2.0689,2.1896,4.38,0.888,2.7648,1 
1.2012,0.2369,2.1535,4.027,0.5041,1.6575,-0.3114,2.9861,1.2669,3.4177,1.0503,3.259,1 
-1.6123,-0.1298,2.3293,2.0023,0.9898,2.2654,2.1665,1.7927,1.3681,3.4999,0.4735,0.7377,1 
0.3095,-0.2202,0.3355,2.2893,1.9193,1.7482,1.6434,3.806,3.1076,2.734,3.4526,1.2888,1 
-1.4284,0.3938,1.9182,0.7818,1.0121,2.201,2.8178,1.9286,1.4,3.5073,1.8674,0.6057,1 
0.0719,-0.1788,3.619,3.354,1.6745,0.2321,1.7626,1.771,2.1179,1.3436,2.591,-0.5065,1 
-0.5954,-1.121,2.5959,3.2512,2.0646,3.0647,2.8811,2.9921,3.0284,2.4055,1.4489,2.6986,1 
-0.4301,0.5186,2.0302,2.3719,2.6799,2.7116,2.5236,1.3545,1.4949,1.3121,2.9393,1.8534,1 
-1.7337,0.0758,1.9734,2.1942,0.5997,0.5206,1.6824,1.764,3.6454,0.0842,2.8092,0.6312,1 
0.5241,0.8208,3.9195,3.0506,2.2739,1.7766,3.921,2.2462,2.6528,2.3604,2.5807,1.9551,1 
-0.8702,1.3677,0.7215,1.1302,2.5468,2.3383,3.2324,0.7286,1.797,1.5934,0.4995,1.7973,1 
-1.0877,-2.1893,-0.0849,2.582,0.8968,1.9733,0.2638,-0.0904,0.655,0.485,3.0479,1.2556,1 
-0.1937,1.5516,1.2327,1.2199,3.3799,-0.4883,2.9887,1.986,1.7029,2.9478,2.0385,1.0563,1 
0.7571,-0.0032,2.4259,2.701,2.9674,1.5319,1.4627,2.4688,1.9707,3.7842,3.5255,2.5895,1 
0.0357,-1.6305,0.1104,2.2922,2.3169,1.2057,3.4378,2.0531,0.9151,2.1675,2.137,1.0278,1 
-0.4639,0.9614,2.0183,2.9966,-1.026,1.5843,1.6591,0.518,0.43,1.3707,2.0246,0.3731,1 
-0.5161,-1.3484,1.8787,3.3834,1.86,2.3773,2.0913,2.0231,-0.0071,2.3336,3.5173,1.4911,1 
-0.3187,0.8753,1.2274,1.539,2.4183,1.6083,2.3729,1.9977,1.5455,3.2548,3.5708,2.2512,1 
-0.9926,0.4654,1.0964,2.6086,2.9915,1.3983,2.7653,0.7125,1.5832,1.4699,2.05,2.412,1 
-0.2501,-0.6153,2.4812,2.7311,2.7428,1.6776,2.1861,1.3515,-0.4606,0.6808,1.3667,2.1726,1 
-0.2498,-1.8973,4.0982,0.7809,2.4661,3.7499,3.2383,0.9137,2.7488,2.5287,1.5644,3.2751,1 
-0.7842,0.7718,1.327,1.9199,1.9723,0.2577,2.4247,1.4964,3.5406,1.718,2.4351,1.9971,1 
0.8498,0.1456,2.1361,0.6011,2.2377,1.773,2.1918,0.7251,0.5897,2.312,3.7676,2.5209,1 
0.755,0.7669,3.1661,-0.208,1.8494,2.7857,3.5211,2.5074,1.5921,2.3827,1.7627,1.4236,1 
0.1485,0.7377,1.4703,1.2653,1.4356,2.7408,1.6712,0.4774,1.9062,0.5688,2.3505,-0.4312,1 
-0.2089,-1.0864,2.3915,1.3446,3.5764,2.5514,2.3343,2.0891,1.6408,2.9535,3.1587,-0.53,1 
0.1001,0.2063,0.9412,0.0444,1.0961,1.5592,1.9824,2.4374,2.9327,1.3905,2.0806,1.2513,1 
2.1898,-0.6251,1.4727,2.4406,1.504,2.4992,2.3978,2.8243,2.077,2.6201,2.5175,0.5931,1 
0.7061,0.6408,2.7366,1.1512,1.3627,3.0373,1.1998,2.6919,4.2845,1.6318,0.9728,2.33,1 
0.4996,0.1188,2.31,1.2294,3.9742,1.5658,3.4838,1.5193,-0.2765,3.3089,0.7288,2.0394,1 
-0.7568,0.3238,2.047,1.3189,1.2635,1.2538,4.6143,2.6793,2.9716,1.0452,2.234,2.4227,1 
-0.5131,0.3459,2.5615,3.2712,0.6581,1.1852,1.5154,3.0736,3.5015,2.653,1.1683,2.5671,1 
-0.6553,0.1042,2.6469,2.0706,1.8795,0.917,1.2487,0.9745,0.7925,4.0131,4.2588,1.7466,1 
-0.4151,-1.1398,2.4185,3.0601,1.6678,2.4768,1.7136,2.4229,2.5437,2.429,3.4593,1.7045,1 
-0.3011,0.942,3.8138,1.5079,3.3296,1.1619,-0.312,1.5577,2.1036,1.4423,0.2575,1.5825,1 
-0.1342,0.3146,1.1266,2.5975,1.719,2.6506,1.6666,2.5521,1.8964,0.9335,0.7344,1.1779,1 
-0.369,-0.1062,1.4293,3.5637,2.1162,3.7668,1.8789,1.8888,2.8313,1.1568,1.046,2.524,1 
0.4901,-0.5796,1.0443,3.3219,0.8101,2.587,2.7548,0.6543,1.3432,0.6226,1.2167,2.4803,1 
1.3588,-0.4087,3.532,1.2171,1.7538,2.4078,1.8356,0.626,1.9263,0.8549,2.7979,0.0638,1 
-1.2959,-0.8791,4.5116,2.885,1.8371,2.2586,1.6266,1.6914,0.4872,3.3076,3.7639,2.3778,1 
-0.2167,0.7279,0.1429,2.8853,2.7431,2.0966,1.846,2.6154,1.4575,2.4814,2.5033,1.751,1 
0.8661,0.2082,1.5647,2.5547,3.0451,0.4919,0.6208,2.2424,1.6093,3.9716,-0.3436,-0.0053,1 
0.2071,-0.5193,2.9132,2.0821,1.1517,2.0586,1.525,2.1417,0.9447,2.1507,4.068,1.6297,1 
-0.7485,-0.6884,0.9204,2.0461,2.3021,2.4534,2.7177,2.6407,-0.5486,2.4303,0.944,1.8655,1 
-1.0287,0.4009,3.0825,2.4209,3.0602,1.4796,1.1896,2.4105,-0.8928,1.9272,0.7795,0.7265,1 
-0.0887,0.5518,2.1804,3.4177,0.1387,2.2679,0.5783,1.9131,2.1575,4.0996,2.8585,1.0306,1 
-0.2939,-0.8415,1.7866,1.2607,2.5895,2.1431,1.205,1.5149,3.2718,2.047,0.0572,2.483,1 
0.2708,-0.1746,1.6278,1.0024,2.4126,1.1105,2.3464,3.4414,2.8899,-0.177,1.2425,1.9549,1 
