Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Class
* 
1.446,0.6173,2.0618,2.9837,2.325,2.2983,2.5354,1.6846,0.0929,2.4692,1.6434,1.8581,1 
0.4188,-1.3408,0.1687,2.947,2.0545,0.8816,1.1,3.7729,3.9942,2.2077,1.3273,0.7659,1 
-0.2766,-0.1521,3.3081,2.0989,3.4797,2.1428,1.0364,1.3986,0.5953,1.0314,1.9062,0.2405,1 
-0.6827,-0.6662,1.5195,1.9629,2.3697,0.5329,1.9464,2.3816,1.7919,3.4675,2.0321,2.253,1 
-1.3502,-0.6082,1.1581,2.6437,1.2349,1.758,1.2694,2.0514,1.1772,0.8285,0.2289,2.746,1 
0.3487,-0.2951,1.7165,0.1476,1.4971,3.3986,3.8828,2.0221,2.6217,2.7976,1.1356,1.3616,1 
1.4074,-0.1204,1.0323,1.467,2.1584,1.4487,2.82,2.0753,1.8055,2.5858,1.2098,-0.6121,1 
-1.2098,0.8763,0.7177,1.2904,3.0162,1.8621,1.1266,0.5693,0.6165,2.5243,2.4111,0.8886,1 
1.3099,-0.1838,2.0766,3.6428,1.8565,1.9689,4.0568,2.339,1.1589,1.2255,2.7815,0.6428,1 
-0.1901,0.767,1.8028,2.6264,2.7399,4.3901,2.3945,1.1683,3.3141,2.0884,1.9084,-0.0012,1 
-0.1348,-1.1965,3.2405,2.3016,2.0865,1.4432,2.6699,2.1759,2.1788,2.012,2.1576,2.1555,1 
-2.1531,2.0563,0.6549,1.2595,-0.4386,2.2174,3.3311,0.6218,0.2929,2.8203,2.7537,3.3076,1 
0.8283,-0.2665,1.1185,1.7777,3.2036,3.3511,2.0524,2.2475,3.5595,3.1129,1.6334,1.2472,1 
1.8088,-0.7259,2.9241,2.3793,2.3669,1.4291,1.2473,2.2448,0.6621,1.1587,1.6058,1.0768,1 
0.2606,0.5515,2.8834,2.8854,2.5075,2.9846,1.7918,1.8533,1.5134,4.1509,1.3821,1.0617,1 
1.6423,0.2333,2.1217,1.3628,1.0048,2.14,3.5555,0.4389,2.3938,2.2442,1.6085,2.2194,1 
-0.0955,-0.5101,1.378,2.0468,1.193,0.3644,0.4789,-0.729,3.4862,1.657,3.8866,2.5489,1 
-0.2203,-1.3109,3.3252,3.0213,3.7656,2.6094,1.4074,0.2797,1.9194,0.1088,3.3939,1.2002,1 
0.1202,-0.9536,0.8388,0.7816,1.2672,2.3972,0.7623,2.8786,2.3041,3.4433,2.0847,3.9118,1 
-0.196,-0.7093,2.3219,0.5413,2.4523,2.4125,2.8132,2.5013,0.7991,3.2597,-0.2551,2.2864,1 
0.3101,1.5433,1.2875,1.3576,0.2027,3.5317,1.4646,-0.3717,1.8141,3.0366,1.337,2.8424,1 
1.7615,0.0511,1.6027,1.1135,-0.4867,2.5859,0.9517,2.8546,1.0069,0.3322,1.9825,-0.1985,1 
0.4352,0.1609,2.2318,2.5585,2.7277,0.9206,-0.2463,0.6946,3.2747,0.6527,1.9543,2.247,1 
0.4079,-0.1007,0.9828,2.8739,2.3185,2.7412,2.6692,2.1668,1.0574,2.633,2.772,2.1503,1 
0.3053,-1.6908,2.5708,2.5018,1.4189,1.2586,1.978,1.6643,5.2913,1.9646,3.8458,2.342,1 
0.4033,-1.4197,2.1902,2.931,3.1822,2.1549,0.1744,2.5128,1.5552,3.292,1.9358,3.1397,1 
0.1208,1.1863,1.6522,1.4891,2.288,4.2949,2.8057,1.2444,2.9075,2.7983,2.621,2.7533,1 
0.281,0.954,0.889,1.6619,2.0696,3.8834,0.2107,2.0003,1.3172,1.8187,2.6064,1.3259,1 
-0.1277,-0.7312,4.3517,2.139,2.6388,0.9035,1.5444,0.967,1.9737,2.2011,3.2466,2.0931,1 
-0.4311,-2.0057,0.4132,0.358,3.3825,1.3745,1.6022,3.2749,0.2624,1.7224,0.8912,2.2594,1 
-0.4604,-0.3062,2.1993,2.4073,3.0581,2.1695,1.6512,-0.4952,1.3091,1.4814,3.094,1.2105,1 
0.767,0.1288,2.193,1.4885,4.0878,1.4661,2.857,3.9147,0.2888,1.7523,1.7267,1.6843,1 
0.8473,-1.3559,1.9099,2.0281,2.1288,2.6911,0.561,2.6847,2.8171,0.6591,2.1143,0.1465,1 
0.0076,0.6346,2.1367,1.1811,1.7159,1.7137,3.4665,1.8862,1.4737,2.5902,2.7715,1.7556,1 
0.1828,1.0064,1.3826,1.5325,1.92,1.4916,1.5402,2.9672,2.6541,1.9926,1.3884,1.841,1 
0.6072,1.0695,1.9543,3.8182,1.1938,4.747,2.2037,0.9059,1.5674,3.4754,1.9114,2.4061,1 
0.6205,1.1344,1.5831,0.3144,1.5316,0.7748,0.4467,3.4843,2.1199,2.0347,2.0132,1.8654,1 
-0.645,-2.3518,0.6318,2.2705,2.6265,1.5275,0.9325,3.3798,1.0142,2.6469,1.575,2.0966,1 
0.6699,1.2384,3.1588,1.5745,2.1164,-0.5952,2.8045,0.2725,0.7247,1.0585,2.9429,1.0935,1 
0.4002,-1.6669,0.0328,2.6367,4.394,2.1642,2.4536,-0.2676,1.9286,1.7468,1.3045,2.7213,1 
-0.5752,-1.5631,0.9828,2.6329,3.2421,1.7386,2.1078,1.4541,1.6677,3.6177,2.9461,2.6276,1 
-0.4391,-0.3676,2.289,0.5194,2.8016,1.0288,1.1066,2.3366,0.7765,2.5324,1.6245,1.5601,1 
-0.01,-0.7105,3.0695,2.3948,2.8058,2.1266,1.7123,1.3538,1.7698,3.7492,1.8788,1.4042,1 
-0.6215,-0.8936,1.681,2.7223,1.6913,0.1423,3.289,1.5481,2.5108,2.2163,1.7044,1.8194,1 
1.319,-0.1095,2.6086,3.3011,2.5399,3.3546,1.2205,2.9129,2.1823,2.2498,1.9319,-0.0189,1 
-0.6205,-0.1987,2.7192,3.5161,1.7899,0.9987,0.7199,1.8155,0.7816,1.9637,2.2614,2.0752,1 
-1.2213,-0.3924,2.9217,-0.5854,3.2045,2.0051,4.1968,1.1922,0.2796,1.577,2.8807,1.9689,1 
-0.9875,2.007,3.7737,1.6077,3.2467,1.9609,0.7051,1.9185,2.1754,4.2728,2.4058,0.7746,1 
-0.8334,-2.266,2.5543,3.2149,1.5333,2.5438,1.3131,0.839,1.3388,1.9897,3.5216,2.4264,1 
0.872,-1.5716,2.4976,3.1615,1.066,1.0425,3.1375,1.1404,0.442,1.4445,1.9392,0.7348,1 
1.8171,-1.5877,1.4675,1.6395,2.1309,3.5842,2.6756,4.0058,2.4236,3.1245,1.9108,1.4273,1 
-0.5249,1.9972,2.2447,0.4399,1.9982,2.8576,1.8194,2.2884,1.6689,1.1269,2.6607,1.8365,1 
0.5547,0.8642,2.0037,0.671,2.47,2.6651,0.4664,1.8709,1.0796,3.6783,0.9337,1.6712,1 
