Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Class
* 
-1.0856,-1.0557,0.8377,1.3682,1.0486,1.0971,1.0049,1.2799,2.3012,1.454,2.9546,2.8186,1 
-0.7551,-0.4787,3.4834,1.0116,2.7592,2.5044,1.5636,2.5636,3.1199,2.8908,0.3822,1.0269,1 
2.604,0.6113,0.892,1.8515,0.8099,1.3966,1.5214,2.4235,2.158,3.1057,2.0952,2.5701,1 
1.0144,0.6639,1.176,2.8057,-0.1746,3.207,2.2623,1.2276,2.2458,2.6319,1.6993,0.7282,1 
-0.239,1.2494,2.3627,3.9481,2.9007,1.9684,1.7175,2.5638,1.1885,3.337,1.6387,2.9293,1 
1.1506,0.2897,3.5515,1.9564,2.7795,2.2664,1.7091,1.955,0.4222,1.6884,2.3649,1.3335,1 
0.1449,-1.1798,2.0995,2.0257,2.8344,1.4541,1.4011,2.2789,3.3728,2.2143,2.0062,0.544,1 
-0.1291,-1.2548,3.4705,1.3124,0.3138,1.743,2.9857,2.8007,2.0952,4.715,2.4979,0.7618,1 
0.6244,2.3632,1.4958,2.1075,1.73,1.9105,1.5977,2.167,3.4271,1.5959,1.4821,2.2329,1 
0.522,-0.7397,3.4727,3.3188,3.01,2.6176,1.7588,3.6153,3.0017,2.9623,2.3492,1.2781,1 
-0.1797,-0.6049,1.8087,1.9367,1.2439,1.7726,3.5677,2.2755,2.5821,2.3764,1.6216,0.6451,1 
-0.1591,-0.1559,-0.5834,1.2911,3.9073,2.7861,3.8297,1.5289,1.9748,2.9407,2.9083,0.6333,1 
-1.7561,0.8274,0.444,2.0396,2.2438,2.5813,1.0718,3.722,1.748,1.5588,2.819,3.3642,1 
0.5196,-0.3718,2.9608,4.188,2.2507,0.1217,3.0302,1.4039,3.4356,2.1629,2.3573,2.4575,1 
-0.5509,1.3089,0.5923,2.5964,1.0289,1.437,1.4528,2.6307,1.3037,1.0384,3.9146,1.1786,1 
-0.3019,0.2952,1.961,0.683,2.8641,0.8903,2.4164,1.3452,3.8196,2.1642,0.7263,2.6647,1 
0.7284,-1.9643,1.8438,0.6346,2.5369,3.4681,1.6799,1.3428,3.1737,-0.0987,2.7726,1.2818,1 
1.0084,0.6598,1.9066,2.202,2.99,1.6793,2.3269,3.6351,0.8238,2.5962,0.8297,0.9449,1 
-0.2753,0.2181,0.2261,1.4944,1.4541,0.1945,2.7692,2.6852,3.0978,2.7732,2.7955,1.8103,1 
1.0092,-0.7359,0.5611,2.4603,3.5061,2.6851,1.5911,3.0052,3.5908,2.775,-0.2159,1.7717,1 
-0.6705,-0.8905,3.273,1.4187,2.9609,2.5857,2.0078,1.4744,1.7328,1.5829,1.7382,0.8422,1 
0.7962,0.5532,1.4664,2.0302,2.0026,2.8797,-0.9881,3.1742,2.2341,2.3525,1.8009,3.0058,1 
0.2578,-1.2179,3.1383,1.2255,3.0451,3.3039,1.7507,2.7137,2.8475,1.4234,1.926,1.2833,1 
1.0483,1.5039,1.5438,1.3652,2.5983,1.0747,2.879,4.2052,1.3689,3.1358,1.5667,0.6738,1 
0.8958,0.2352,1.5026,3.5803,0.5473,-0.1872,2.6375,2.2801,0.976,2.1636,3.1065,3.1315,1 
-0.4027,-0.1418,2.176,2.5513,0.3071,1.5699,-0.0399,3.0999,2.9763,1.9831,1.0192,1.641,1 
-0.7743,1.1378,2.9469,1.7961,1.8782,2.9018,0.6879,3.4319,3.9769,2.3982,0.9498,2.0774,1 
-0.22,-0.9378,2.4946,2.2309,1.5288,1.6114,1.0963,1.9693,1.9279,3.5334,3.0039,0.9784,1 
-1.4178,0.8744,3.0727,3.0171,3.8072,0.7056,3.3147,3.754,1.8233,1.8546,2.3764,2.5896,1 
-1.4758,-1.8413,2.6759,0.2186,1.2441,2.8546,2.5381,3.1733,2.76,0.6889,1.1056,1.6182,1 
-1.5203,0.9974,1.433,2.3833,2.4486,1.2953,2.8111,1.123,1.2428,3.851,1.1424,2.2153,1 
-1.9728,1.0926,1.563,3.5696,2.3895,1.5005,2.0195,2.3572,1.4412,1.7121,3.737,1.2033,1 
-0.7876,0.6519,1.2205,1.2162,2.2869,2.6575,1.7357,2.8447,2.1422,3.6868,1.5118,1.9569,1 
1.1481,-2.2831,2.3126,1.7778,1.2709,1.9645,2.6775,1.213,1.5969,1.7381,2.5252,1.0884,1 
1.0184,0.1608,1.4197,1.8134,1.8665,2.2631,2.5972,1.8654,1.8906,-0.0416,2.2051,2.1738,1 
0.0218,-0.1046,0.891,1.9966,2.8014,1.7044,2.4725,1.7763,0.4932,2.013,2.3982,4.0261,1 
0.4626,-0.0778,3.1396,-0.1337,3.6899,1.862,1.506,2.9272,4.3283,2.8033,2.1995,1.8602,1 
0.0543,-0.5136,1.6081,2.1065,3.7745,2.3258,1.4047,1.9832,2.3051,1.8914,4.9737,2.6699,1 
1.1197,-0.7806,4.685,1.6299,2.905,1.7212,2.0762,0.0125,0.7542,2.5746,2.4873,-0.4316,1 
0.5072,0.8637,0.966,0.2474,2.0181,1.7212,0.6019,3.1784,1.0775,0.4615,0.2161,3.9836,1 
1.3336,-0.3509,1.9036,0.8065,2.2723,1.1091,1.1339,4.0009,1.4119,0.8494,2.0723,2.6271,1 
0.3792,-0.4701,1.4391,1.207,2.9656,2.278,2.9328,2.1743,-0.4024,3.3036,1.4386,0.5814,1 
1.8208,-0.2231,3.5405,1.5106,1.8039,-0.4379,2.0726,0.9458,2.218,0.8198,1.2836,1.0391,1 
0.2906,0.7741,1.0077,1.6449,1.9766,1.3008,2.7549,2.2819,1.571,2.5821,2.6222,2.1042,1 
-2.3962,-0.2502,2.8648,1.0888,2.1073,3.0889,4.5301,0.8295,0.9989,4.2441,2.5612,0.3192,1 
1.2732,-0.165,1.9175,0.8991,2.2314,2.5531,1.7231,2.1407,3.4577,2.669,2.9901,3.2108,1 
-0.8001,-0.7549,1.7695,1.672,0.5538,1.8637,2.2093,1.4077,1.7753,1.6734,1.597,0.3844,1 
-0.0019,1.6468,0.553,1.8833,1.8615,1.6399,2.7594,2.4375,1.4372,2.874,1.5811,2.753,1 
-0.3112,1.3479,3.7059,2.9435,0.74,0.5737,2.3496,1.2779,2.34,0.8565,2.913,1.6121,1 
-0.3442,-0.9673,2.2119,1.7177,1.7472,2.7605,0.611,3.003,2.4859,0.7959,-0.6267,1.4975,1 
0.4919,1.1151,3.2157,2.4735,3.4759,0.2142,3.5682,2.557,1.9774,1.7957,2.075,2.6857,1 
-0.9921,1.1138,0.9934,1.9465,2.4916,2.5047,1.6464,1.1427,1.773,1.9975,1.8179,3.288,1 
1.6956,0.5086,0.1936,1.0009,2.7669,2.7841,1.9062,1.9635,1.6677,3.5362,1.815,3.3008,1 
0.0086,0.5867,2.3232,1.6624,0.8057,1.027,2.9064,4.4019,0.9548,2.7054,2.8318,3.9655,1 
