Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Class
* 
-0.5899,-1.0573,1.4991,2.6251,1.4171,1.9115,0.926,2.519,1.79,1.1557,1.8031,3.728,1 
0.2064,0.5391,2.6205,3.572,2.3754,2.7263,3.1346,2.9651,2.3999,0.8337,2.5358,2.0241,1 
-0.7282,-0.1242,3.3462,2.7819,2.5924,0.8737,2.9407,3.3373,1.4918,2.9381,1.0435,0.1744,1 
-1.2096,-1.8129,2.8376,0.0399,1.4208,1.1126,2.7919,1.448,1.7951,1.9025,0.2871,1.3489,1 
-1.4126,1.3223,0.182,2.9847,4.146,3.6494,0.9309,2.0761,1.2868,3.0457,1.2883,1.5482,1 
0.1568,-1.3941,1.3474,0.9831,1.4982,1.386,3.5813,2.294,0.6111,2.0432,3.4481,3.0883,1 
-0.3607,0.721,0.4109,2.4138,0.9634,3.2379,1.7637,1.5484,2.5445,2.3065,3.5832,2.1984,1 
-0.567,0.1712,2.1849,3.3128,2.5055,2.0107,3.5169,2.997,2.275,1.3905,2.6967,2.9827,1 
-0.6555,1.2394,2.2311,0.5328,1.0385,1.8675,2.3072,1.9329,0.8736,2.8705,2.0467,4.3781,1 
-1.8477,0.1555,1.3879,2.9871,2.5841,1.9325,2.2682,1.0863,1.5339,2.5147,2.2182,1.3424,1 
-0.1755,-0.3582,2.8892,2.7033,2.0851,2.885,2.2146,1.0512,1.6708,2.9177,1.8032,2.3727,1 
2.0533,0.1131,1.7715,2.405,1.6018,2.5767,2.9468,1.6676,2.2154,3.5154,3.0902,2.5012,1 
1.8321,-0.5307,1.75,2.2663,1.3028,1.6858,1.6392,-0.1235,1.3555,1.5097,1.8361,0.2716,1 
-1.2372,-1.3859,1.4354,1.6627,2.8382,3.9965,0.9119,1.3662,1.3442,1.8693,0.8558,2.647,1 
-1.3404,0.4884,0.6927,2.4875,0.9684,2.7943,1.4664,1.8393,2.5414,2.9212,0.8811,1.9133,1 
-1.7679,-0.2172,0.8577,2.8858,1.2429,3.1101,1.6236,1.0716,1.9746,1.7496,3.8171,0.4905,1 
-0.3191,2.656,1.8958,1.3042,0.8877,1.169,2.507,4.5323,3.3024,1.196,3.3489,2.1598,1 
1.1749,0.6374,2.4255,2.8064,2.2925,1.7095,1.4611,1.2157,2.088,1.525,1.2899,3.3078,1 
0.337,0.0571,0.075,1.3904,1.6725,1.9356,1.2965,2.1806,1.1501,0.9356,0.4539,2.5808,1 
0.451,-0.9161,1.404,2.5393,1.7861,1.167,2.737,3.7589,2.0319,2.0064,0.9889,1.7024,1 
1.4439,0.6832,3.6891,0.8252,2.5779,2.9409,2.6783,1.6876,1.515,2.7786,2.6965,0.8689,1 
-0.0722,0.005,0.8682,1.0865,2.5752,-0.0971,4.8999,1.1637,1.3099,1.6031,3.3801,1.7391,1 
