Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Class
* 
4.7074,1.5494,2.2559,1.5451,3.7854,2.2468,3.9057,2.4364,-0.1371,0.3967,-1.692,3.9996,1 
4.6478,0.0619,1.8135,0.9739,1.6642,3.1714,2.1546,3.7298,1.8528,3.247,2.2783,1.7052,1 
4.4946,1.7176,1.4339,3.2457,1.3423,3.0606,2.2815,2.3696,0.9405,0.7488,2.0235,3.3955,1 
5.3053,0.7544,1.5587,2.9916,3.5969,2.7372,2.8539,1.9831,3.1783,0.7539,2.5101,2.89,1 
3.4885,1.6365,3.3564,1.1439,2.2864,2.212,1.5531,3.2464,0.9179,1.7138,0.5963,0.7063,1 
6.1222,-0.512,0.0204,2.311,1.7808,0.5224,1.6712,1.3076,0.4548,1.4581,2.3225,2.5955,1 
5.4571,1.5442,2.1167,0.676,0.7483,1.3576,2.0267,3.2983,4.053,1.3151,4.2378,2.2284,1 
4.8623,0.6761,3.1105,0.9205,2.1275,2.2671,0.9316,1.5253,-0.4902,0.73,2.0808,1.571,1 
5.8144,-0.6733,3.3785,4.2274,2.3894,-0.168,2.703,3.1403,2.5218,0.4746,0.4846,1.7726,1 
4.5926,1.0781,1.5367,-0.3296,3.9633,1.5674,1.8605,2.7186,1.9054,0.6067,1.8226,3.4351,1 
4.6094,-1.4935,1.2846,3.2467,2.9637,2.8795,1.7687,1.2389,3.2209,1.3015,0.9611,1.7748,1 
6.992,0.4895,2.342,2.2029,0.6248,2.0929,3.2795,1.9172,1.7512,2.146,2.0497,2.2936,1 
4.2256,-1.0767,1.9109,0.0001,2.5614,2.7635,1.8476,4.2324,2.2908,2.7156,2.6286,1.4679,1 
3.8554,-0.6455,0.9296,0.8712,2.5509,2.3517,1.6279,1.6434,2.7635,1.4465,1.8831,-0.5032,1 
6.3878,-0.3974,3.0799,3.3333,2.1617,1.227,2.4625,1.8968,3.2427,1.6239,1.3068,2.5081,1 
4.6248,-0.5289,3.7527,2.6801,2.8078,1.9202,2.2715,0.7459,0.3884,2.915,1.4933,1.1407,1 
4.3601,-0.3478,1.063,2.1797,3.9684,1.0861,2.0129,1.6609,1.6592,1.1824,0.3809,1.052,1 
5.0984,-0.2992,2.3929,-0.0383,1.7038,3.0617,1.2372,4.0013,3.2039,2.0584,1.696,2.5888,1 
6.6418,1.7413,2.0019,3.0851,1.0774,1.1555,1.3242,0.8394,1.817,2.3322,2.7315,0.737,1 
4.8017,0.3918,2.4501,2.1116,2.1407,1.463,1.9058,0.9872,1.6697,1.6861,2.7045,1.5503,1 
4.7437,-1.4205,2.7566,1.3443,3.1819,1.1639,2.2981,3.4544,2.2068,3.5571,3.6185,1.5168,1 
5.9969,0.9418,1.7304,-0.0523,1.5933,2.6568,1.9465,2.2679,1.3263,3.0977,2.7604,2.3733,1 
4.0976,-0.7381,2.62,1.0093,1.8509,0.741,0.95,1.7019,0.3563,1.7316,1.4665,0.5815,1 
4.2306,-0.0206,1.8174,0.7181,1.6093,0.8106,3.5815,1.6064,1.105,1.4489,3.5067,2.1822,1 
4.6576,-0.7061,1.8732,1.2689,0.6767,1.9262,2.308,2.0748,1.208,2.7579,1.8851,5.3529,1 
4.3156,-1.1552,3.2469,3.5047,0.8598,1.9622,3.4273,3.4047,1.6061,1.6987,1.1344,2.379,1 
5.1918,0.2753,1.9816,4.0641,0.7517,4.0516,2.3911,1.5754,1.628,2.0522,1.6409,1.844,1 
5.2132,-0.2836,1.6178,4.1602,3.1953,0.965,2.0755,1.8365,1.836,0.4244,4.1557,1.8759,1 
6.1581,-0.9586,1.6595,1.8546,-0.0634,1.9193,2.8951,4.0686,1.7815,4.0695,2.5376,2.23,1 
4.28,-1.151,0.5214,2.5017,1.8057,2.2718,2.6211,2.43,1.6131,0.5641,1.2237,3.2796,1 
6.3617,0.88,1.295,2.5878,3.1857,2.81,1.6987,2.7193,3.607,2.8203,2.3445,0.6929,1 
3.1034,-2.6579,0.9684,2.932,0.6753,2.3812,1.4817,2.4091,0.1311,0.6815,1.7579,1.4451,1 
3.5347,0.1865,-0.1588,2.325,2.6749,1.2893,1.6576,2.0343,1.3452,-0.8121,1.5991,2.8349,1 
4.2481,2.4603,1.3301,2.1044,1.2602,1.3938,2.1707,3.2555,3.0333,3.9796,2.9687,3.9031,1 
4.004,-1.5786,1.7372,1.2633,3.2746,3.5926,3.4269,3.3985,2.2642,1.3756,3.1727,2.5843,1 
5.335,0.5318,1.0716,1.0065,1.092,2.2403,2.3357,2.8069,0.8463,2.4654,1.4344,3.1253,1 
3.7588,-0.1092,2.5752,1.184,2.4451,0.5883,3.07,2.017,2.9972,0.9801,3.1009,-0.1295,1 
4.1152,-0.9016,3.7293,2.6958,2.7837,0.1901,1.8356,0.9882,1.9577,2.9757,1.1158,1.7642,1 
5.6276,1.6871,0.7659,3.8018,3.3616,1.4191,1.4212,2.9087,1.0823,2.1423,2.6592,1.0039,1 
4.7195,-2.3886,1.0456,1.4044,2.0,2.3521,1.9667,3.3401,2.8281,1.8844,1.9608,2.7931,1 
6.4985,1.0469,0.7798,3.8084,1.1581,3.3123,0.8454,0.9212,2.6359,1.6747,2.226,1.8952,1 
5.5833,-0.4917,1.1415,0.0878,2.0776,1.7219,1.1505,2.2263,1.8946,1.0018,0.0131,2.3606,1 
3.8062,0.8053,2.3001,0.4935,2.7898,1.434,1.2679,3.6261,-0.09,2.6672,1.5367,1.5933,1 
3.1392,-1.8881,1.7752,2.543,2.811,2.396,3.4207,1.0842,2.446,1.5013,1.9718,2.4503,1 
6.0945,-0.9831,-0.8544,2.1435,1.3548,1.7941,1.8289,0.2165,1.9177,2.149,4.1798,4.7198,1 
3.2237,-0.3496,2.9671,2.6783,2.6881,2.5744,1.8599,4.4398,3.0302,2.4113,-1.3673,1.4288,1 
6.4296,-0.7564,3.4532,1.6113,2.6861,3.6066,2.6342,0.8493,1.2933,2.7631,1.1279,2.5525,1 
3.9367,-0.521,0.2249,3.0293,0.7516,2.7648,3.4829,1.4409,1.8236,2.5976,0.8912,3.417,1 
3.8603,-0.5955,0.732,2.4061,1.4782,2.3969,3.0271,2.3755,1.1825,2.7797,2.9837,0.8424,1 
4.3324,-1.1268,1.0166,2.0874,1.3997,1.1562,0.3002,2.6004,3.6408,1.8931,1.5556,0.6439,1 
5.6468,-0.6429,0.6487,0.9711,2.3537,-0.194,2.4326,2.3024,2.2515,2.877,3.6866,1.9978,1 
4.1994,-3.5214,1.2632,2.2037,0.3387,1.5687,1.3501,-0.2055,3.2801,0.506,2.2192,1.5547,1 
4.3777,-2.3965,3.0862,1.6687,1.8022,2.6225,0.9885,2.5344,0.4994,4.3805,2.9513,1.2467,1 
4.0495,-0.968,1.7472,2.5384,1.7757,1.0015,3.1908,0.9553,1.9589,2.8834,1.9943,1.4694,1 
4.2477,-1.0946,3.7097,2.7965,2.9174,2.8088,0.7029,3.3839,2.7252,1.1854,0.9889,1.4494,1 
5.6391,0.5654,2.3403,2.1563,1.6313,1.8835,1.3634,2.2705,2.3877,2.4982,1.799,2.7316,1 
3.6993,-0.4796,-0.8747,2.159,1.9641,1.8436,2.08,3.6019,1.3385,1.7009,3.5609,4.2086,1 
4.0773,0.018,1.6633,1.0644,3.0123,2.1109,0.703,0.8413,1.7636,2.2148,2.5282,3.2096,1 
5.3205,-0.0869,1.8681,2.4449,2.1597,-0.3073,3.8651,3.5353,1.9472,1.489,2.3948,2.5815,1 
5.4119,-1.7754,2.3868,-0.1286,2.9494,1.0441,1.8622,2.9534,2.009,2.2193,1.5677,2.0464,1 
4.0446,1.7311,0.0331,2.4928,2.4966,0.5062,1.9697,3.6169,1.4102,0.78,2.2092,1.3542,1 
4.4158,-0.6736,2.4118,2.6546,4.5884,0.9018,3.0889,2.5093,2.027,2.7439,1.2749,0.7671,1 
5.5272,-0.7423,2.0326,1.7986,2.658,1.5496,4.8102,1.4106,1.9064,2.0697,1.3504,1.4519,1 
5.1852,0.3411,3.0827,2.8225,2.571,1.544,1.2859,1.9281,3.3346,2.1935,3.3935,1.9116,1 
4.9319,0.8296,4.0138,2.67,1.5735,2.2738,2.1114,1.5745,2.4011,2.1294,3.1061,1.1628,1 
2.2133,-1.5857,0.1147,1.6229,1.7033,2.4889,0.3376,1.8814,1.7516,1.9436,0.5558,1.4356,1 
5.5953,-0.6647,2.2385,2.957,1.6634,2.8277,2.0092,1.7214,2.881,2.0415,2.9095,0.4499,1 
5.5715,-1.0784,2.4963,0.587,1.2674,2.3172,2.5306,2.3254,2.3839,2.1788,0.5982,2.4519,1 
5.64,-0.1494,0.6621,4.3101,2.6173,1.5915,1.9847,2.5235,4.3592,3.3848,2.1746,-0.547,1 
5.5197,1.6373,1.7446,0.7961,1.9017,-0.0285,1.6691,1.6447,2.9499,1.607,3.1031,2.0454,1 
4.0551,-0.7296,1.9728,1.5953,0.3157,1.9312,2.4999,1.8623,1.3291,2.6264,0.9906,1.8518,1 
6.287,-1.4789,1.7417,0.8429,1.7019,2.383,3.5278,4.06,3.0334,0.8393,1.9188,-0.455,1 
5.8517,-0.4088,2.3617,2.0971,0.3427,1.177,0.1416,3.889,1.6837,1.9706,2.5668,3.4398,1 
5.1332,0.1177,2.4624,2.2211,1.2151,2.0883,1.7943,1.0003,1.0985,0.9947,0.3626,3.1989,1 
5.2916,0.2885,1.2689,1.3966,0.7867,0.5091,1.3231,1.13,2.6161,2.0776,1.4297,1.9074,1 
5.5562,-0.883,1.508,2.8577,2.8924,2.5636,1.173,1.7122,0.3062,0.9764,2.0452,3.3448,1 
5.9814,-0.655,1.0205,2.8543,0.2781,-0.3412,2.0752,0.133,1.1464,1.1267,3.7571,3.3464,1 
