Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Class
* 
3.6243,9.3882,1.4718,0.927,2.8654,-0.3015,3.7448,1.2388,2.319,1.7506,3.4621,-0.0601,1 
1.6776,9.6159,3.1338,0.9001,1.8276,1.1221,2.0422,2.5828,0.8994,3.1447,2.9016,2.5025,1 
2.9009,9.3163,1.8771,1.0642,1.7321,2.5304,1.3083,1.6032,1.3128,1.1548,1.3288,1.9873,1 
0.8827,10.2344,3.6598,2.742,1.8082,1.1124,1.2528,3.6925,2.0508,1.363,2.1909,4.1003,1 
2.1202,10.6172,2.3002,1.6478,0.8575,1.6507,1.7911,2.5866,2.839,2.9311,2.2856,2.8851,1 
1.2456,11.2529,2.5129,1.7019,2.4885,1.9244,3.1316,3.5198,4.1856,0.6035,0.5559,1.4955,1 
2.16,10.8762,2.3156,-0.0222,1.6938,2.828,2.2301,2.762,1.7777,1.7992,2.1866,2.4101,1 
2.1983,10.119,1.3293,2.3776,2.1218,3.1295,3.1989,2.1852,1.6247,1.3613,2.4235,2.0773,1 
1.6561,10.0436,1.38,2.698,1.5529,3.2245,2.4035,2.5936,0.9051,2.1694,2.7406,1.0463,1 
1.7338,10.0326,0.6269,2.3152,2.8462,1.1405,2.3505,0.6877,1.9613,0.3842,3.1214,2.4089,1 
1.9754,9.2248,3.2738,3.9671,0.142,3.2362,3.6277,2.338,0.8007,2.8633,1.8191,1.3961,1 
0.7699,10.5505,2.7928,1.3765,2.5206,0.8557,2.8019,2.0466,1.8134,1.8983,2.8689,2.7504,1 
2.5295,10.1377,2.0778,2.6184,2.2325,2.6826,1.6899,-0.4348,3.0388,4.187,2.4414,1.8998,1 
1.8636,9.8809,2.0174,0.878,1.4829,1.003,2.2488,1.7034,2.4952,1.8253,2.9863,2.2135,1 
4.1907,8.1036,1.3531,2.9015,4.5283,1.7514,2.0437,1.7737,3.3315,1.7127,2.6801,1.6802,1 
0.7274,10.3135,2.5032,3.2932,1.8896,1.3826,2.5628,2.2407,2.2807,1.9269,3.1603,2.3695,1 
3.9047,11.1111,2.659,0.3726,2.6023,2.4203,2.811,3.0444,1.5991,2.824,1.4377,3.9549,1 
0.668,8.2393,0.3493,1.1094,0.8809,3.9561,1.6735,0.6573,3.1144,1.4135,0.7631,2.8758,1 
2.6234,9.565,3.4075,2.1291,3.6169,2.5027,3.5588,2.1094,0.7803,4.4494,1.4542,1.8012,1 
1.2996,9.7966,2.2427,2.2018,2.661,3.7922,1.8795,0.7669,0.8177,1.3342,0.3258,2.825,1 
1.5018,9.689,1.9981,0.6034,1.1387,2.6747,2.6185,1.5568,3.8105,0.6943,1.655,1.7692,1 
-0.7931,11.9375,2.3663,0.9554,4.0512,2.5857,2.4295,1.393,2.1062,0.4743,2.795,1.6256,1 
2.134,11.2021,2.2847,2.2625,2.2765,1.2667,2.836,3.5434,2.7588,2.8849,1.1227,1.1322,1 
0.5591,11.2323,1.7458,3.3998,1.2181,1.5625,2.0954,2.9215,2.0608,2.2111,2.0165,2.1772,1 
0.8835,10.0809,1.8134,1.9432,2.4923,1.3193,1.9155,1.7026,2.4173,2.7848,1.0446,2.5859,1 
4.0658,8.5288,1.1698,1.1194,1.7209,3.6228,2.0134,1.3053,2.6218,1.4002,3.1234,2.3053,1 
3.3888,9.3387,5.0309,2.8246,2.6546,1.9488,1.2744,1.1322,1.864,1.2027,2.2827,1.1739,1 
2.6211,10.9561,1.2942,3.1927,1.7621,3.1553,2.4382,3.1223,1.003,1.8932,3.4514,1.382,1 
-0.0372,8.0574,-0.5064,-0.1142,1.5884,3.2785,1.5578,2.3235,1.89,2.0085,1.8318,1.8258,1 
2.4612,8.824,3.0101,2.92,1.8049,2.8054,1.2987,1.4628,2.1563,1.8098,1.5513,1.3276,1 
1.4425,10.9392,0.0567,2.3525,1.7636,2.7278,2.5151,-0.7825,2.5846,2.3243,2.0219,1.5313,1 
2.8533,9.587,3.8347,2.5644,4.1378,1.2145,0.2441,2.7148,2.8527,2.0354,0.4612,1.5521,1 
2.618,9.8158,1.884,1.8245,1.0661,1.467,0.5734,3.768,1.5246,2.4776,0.9781,2.7945,1 
0.1268,10.9206,1.9646,4.1106,0.6935,2.0764,2.3672,3.2329,1.5771,2.0865,-0.1425,1.1698,1 
2.4516,11.1042,1.7183,4.0564,3.7602,1.9393,-0.4135,0.2224,1.2221,3.1158,2.3103,-0.0942,1 
1.7712,11.6134,1.6252,1.25,4.0546,2.0534,1.5208,2.3502,2.0172,1.5709,3.2085,3.1157,1 
2.8409,9.8971,3.1469,1.9503,2.4666,3.0337,2.8088,3.7898,2.4513,0.3159,0.8398,3.3501,1 
1.6687,10.3865,1.1485,3.0009,1.6152,3.4581,1.4678,3.1181,2.6744,1.2776,3.099,1.0984,1 
1.1775,10.7217,1.3747,1.4062,1.6561,0.9998,3.045,2.6085,1.9307,1.8916,2.4502,3.7653,1 
2.871,9.4915,2.7774,1.8812,1.801,3.8665,1.5811,1.5208,0.0479,0.5977,2.4511,1.3051,1 
2.5154,8.8851,1.2327,2.6746,3.4609,2.5925,3.1978,3.7046,3.0401,1.0816,1.8947,2.6302,1 
1.5852,10.4519,0.4208,1.1714,2.5289,-0.2371,0.8923,1.9823,0.2806,2.0571,1.2005,1.7084,1 
1.741,10.1893,1.4362,2.0897,1.3988,2.5561,3.6938,2.1969,2.1699,0.836,2.6934,1.2419,1 
1.1912,10.5574,2.181,3.1072,3.4429,1.4603,2.1284,3.7604,2.9665,2.713,3.3062,1.3954,1 
2.6366,11.4093,3.6209,1.1938,1.7483,2.3827,1.711,1.6082,2.684,1.6466,0.2121,2.3618,1 
1.5755,9.2685,0.4343,3.0138,-0.2271,0.3007,1.7242,3.229,3.3097,0.845,1.8224,0.4895,1 
3.0112,8.5234,1.8568,3.033,1.7776,3.4702,1.13,2.3692,2.8533,1.8603,3.3863,2.5481,1 
0.3626,13.9586,2.6486,2.1073,0.6012,2.0818,1.5401,2.6444,2.3717,3.853,2.1423,2.5135,1 
2.3725,9.8515,1.8166,3.101,2.78,1.3706,0.8866,1.9326,3.1614,1.9725,3.7464,1.2249,1 
