Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Class
* 
2.1279,9.5278,0.4825,2.1828,3.0447,3.4659,1.3083,1.5184,2.9293,1.5602,1.0777,3.0375,1 
3.1829,9.4203,3.1017,1.8568,1.8906,2.2981,2.222,2.4273,2.0217,4.5522,2.3197,0.9093,1 
0.1865,11.2899,0.8077,-0.4056,2.7817,4.597,2.2128,1.9418,1.7189,1.3259,3.2454,2.3889,1 
2.4699,11.9221,1.3724,0.493,1.5305,0.9191,2.518,2.0119,2.9433,0.2734,2.9534,2.1188,1 
0.0525,10.0432,2.8546,1.2109,2.5715,1.8136,1.4533,1.3528,0.4397,2.5271,2.4628,1.7868,1 
0.3434,9.3566,1.0358,2.4484,1.5948,2.1389,1.5734,1.7432,2.3517,4.1096,3.3166,1.6802,1 
0.429,10.1526,1.1899,2.7508,1.7603,2.632,1.7407,1.9473,2.7656,1.0639,2.3768,3.4382,1 
2.9338,12.0178,1.825,1.5397,1.8418,1.038,1.4265,1.0746,1.7238,2.32,1.9715,0.1742,1 
2.4078,10.5155,2.5988,1.5577,2.809,0.3786,1.9853,1.6422,2.2336,2.154,1.1295,2.1523,1 
0.4969,11.1844,1.3113,0.9092,1.7762,1.8434,2.5589,0.6075,2.5859,2.7669,4.2241,2.162,1 
4.0556,8.6477,2.6965,1.1298,1.8472,1.6298,0.9179,1.6325,1.7807,0.0142,0.407,2.2455,1 
1.7418,10.9057,0.7008,2.0454,1.9395,3.6188,0.5012,2.4315,1.7493,2.2405,1.801,1.4302,1 
1.0879,10.6387,2.0606,2.784,3.0891,1.5056,1.0396,1.0546,3.7335,2.1413,2.5692,-0.7656,1 
1.1211,10.4689,2.5824,2.3601,2.1857,2.55,2.2429,3.677,2.6706,1.8977,1.7569,3.6726,1 
2.2852,11.8817,0.9917,2.4291,2.2183,2.0057,1.5226,0.9927,0.2233,2.1738,0.4332,1.8666,1 
2.7504,9.7373,2.2602,2.9297,3.527,0.795,2.731,1.3696,0.9317,2.2012,2.7586,1.6889,1 
1.8077,10.5038,2.2983,3.6247,0.7099,1.1682,2.772,3.4937,3.2644,1.9344,1.0883,2.6893,1 
-0.0439,11.4382,3.1786,0.3392,2.1654,0.2576,2.023,1.8542,2.2212,1.9483,2.1813,3.4256,1 
2.5719,9.6464,1.7353,3.5535,2.1265,3.1941,3.9354,0.5945,0.9369,2.5063,0.5897,2.1074,1 
2.9804,10.3995,1.5098,3.6153,1.4122,2.5747,2.8304,0.3555,1.7309,1.6867,1.6718,1.6472,1 
1.9187,9.2577,-0.601,2.4125,2.7566,1.7239,1.3759,3.1921,3.8867,3.3012,2.9326,1.9212,1 
1.8328,9.9549,2.5003,1.64,0.6722,0.4747,1.7334,0.4995,2.4043,2.2064,2.5908,2.9317,1 
-0.3883,10.3248,2.0596,1.011,3.0671,2.3372,2.0571,1.1872,1.6582,3.2656,1.2251,1.5639,1 
-1.3484,11.7101,1.5102,4.27,1.3633,3.1677,3.7414,4.069,1.8485,0.2176,1.8675,2.1801,1 
1.9514,10.7289,1.5661,0.5772,1.9358,2.7739,1.7631,2.4866,2.1061,2.1626,2.7607,2.3168,1 
0.5108,7.8951,2.5691,1.6591,1.3444,1.2606,2.5533,1.0355,1.7694,2.2701,2.0027,3.8635,1 
0.3256,10.3356,2.2806,2.9466,1.7356,1.8791,0.3804,1.2765,3.515,1.5446,3.0617,3.2291,1 
1.8421,8.0477,0.6114,4.1603,1.8071,0.7012,3.7996,1.3949,1.57,1.7001,1.6101,2.2181,1 
1.3118,9.362,0.7662,2.1497,3.3639,0.8371,1.8046,2.8041,2.5668,1.6348,3.4166,2.4312,1 
1.4523,9.2644,3.3426,2.7099,1.9139,1.8392,1.2365,2.1736,2.6043,3.7715,1.4316,2.5376,1 
2.23,11.1768,-0.5068,1.6497,1.7513,2.1543,1.272,3.405,2.2232,2.1802,1.4221,1.5923,1 
0.3534,9.1871,1.921,-0.3966,2.7395,1.5788,3.1342,1.0514,2.2794,1.6816,1.2589,1.5913,1 
1.2782,10.4551,3.2052,2.727,1.0773,1.9083,1.9932,2.1466,-0.3203,1.1746,2.8738,2.3434,1 
2.1506,9.5634,2.1902,2.246,3.0781,2.3291,-1.1141,0.125,2.1533,-0.2956,1.5988,1.5966,1 
2.8262,8.6651,0.7567,1.6024,1.4708,1.6245,2.5212,0.9331,3.4957,1.6635,0.3324,1.9792,1 
-0.5955,11.1429,2.776,2.3799,-0.6905,1.3842,1.5933,3.177,2.2184,1.4745,2.0305,3.4616,1 
3.1974,10.7912,2.416,2.1569,1.9729,0.7855,1.0433,2.7916,2.1381,1.258,1.5344,1.5665,1 
1.4384,10.5494,2.6895,2.2349,2.5041,-0.1513,1.7966,0.2146,1.8061,1.5535,1.1428,1.8989,1 
3.1227,10.5186,2.6106,1.4349,2.8313,3.8019,2.1711,1.7023,2.842,1.8635,2.0366,1.9864,1 
