Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Class
* 
-3.3164,0.0694,0.8095,2.0027,1.4576,2.9725,2.6209,2.5502,2.8552,2.5639,1.9762,3.4602,2.6905,0 
2.8015,-0.8748,1.4026,0.7511,1.1503,1.5914,0.6848,1.7463,2.011,2.6732,2.7743,2.0672,1.1461,0 
-0.7999,1.079,1.0298,2.6107,1.8023,3.1312,0.6135,2.8445,0.9714,3.5519,1.4514,1.5241,2.7809,0 
-0.1068,-0.6466,3.0568,0.8347,3.6821,2.5088,1.6055,2.6487,2.8315,2.1645,2.986,1.505,2.1748,0 
0.5796,0.6195,1.9659,2.5973,2.9196,3.1581,1.5998,2.1507,0.392,3.0518,1.8408,5.1684,3.2055,0 
0.6993,-0.4927,2.746,3.8389,1.8235,2.7445,0.7461,2.5833,2.9296,2.7733,2.2662,0.6129,1.8925,0 
-0.2012,-0.0005,1.2702,3.3011,2.8329,3.4912,1.3594,2.73,2.056,2.6604,3.5241,0.5584,3.4544,0 
1.2635,1.6194,2.8436,3.2226,1.8721,1.2002,0.6893,1.1233,5.3371,2.2002,1.7778,2.866,1.9723,0 
-0.3025,-1.6072,2.1347,3.4026,1.3262,3.9252,2.1697,3.4305,2.5347,1.4796,1.004,2.3034,1.0749,0 
-0.264,-0.5676,1.6635,1.8347,2.6659,1.1579,2.8291,2.0108,2.4447,3.7149,2.884,1.0253,2.4948,0 
0.7226,-0.3975,1.6,1.7274,2.7452,2.3612,0.5721,2.4884,1.2561,2.5755,0.7003,2.9803,1.1971,0 
-0.0158,-1.3651,1.7233,2.005,1.8195,1.258,2.4763,1.1821,2.1152,2.1818,0.7212,1.6764,3.4636,0 
-1.4509,0.4325,0.5487,1.5831,1.5484,-0.1783,0.3187,3.218,0.9813,0.9824,0.5957,3.7776,0.9472,0 
-0.6646,-0.7485,1.781,0.9657,1.4344,1.1344,2.2323,1.5844,1.5174,3.2007,0.7571,1.9922,1.1495,0 
