Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Class
* 
0.0453,-0.4993,0.7284,1.482,2.5101,1.7118,1.7624,1.5012,1.2659,3.2411,2.0745,2.2142,2.21,1 
-1.5706,-0.8637,3.809,2.6695,1.702,1.8323,-0.0316,3.0597,-0.2588,1.0704,1.0441,3.0051,2.1647,1 
0.9747,0.319,2.8841,3.3237,1.4097,2.2758,0.4487,1.4708,2.1832,2.2744,2.3378,2.2847,3.3446,1 
-0.1995,0.4942,1.1418,3.6242,0.7538,2.1705,-0.1414,2.3249,1.5245,0.6761,1.0038,0.1581,2.422,1 
1.4215,2.4003,2.3105,1.8693,2.336,1.4595,0.3001,2.3692,-0.0959,1.8802,1.9097,1.7802,0.8389,1 
0.5946,-0.284,1.3282,3.3149,1.6935,2.2052,1.9102,1.664,1.0256,1.0166,2.9526,1.5879,1.6756,1 
-0.9003,0.1932,0.932,3.4704,3.2049,0.6566,2.97,0.5843,1.9504,0.6877,1.0206,1.9654,2.619,1 
-1.905,1.3462,1.9934,2.7038,2.0868,1.4633,0.1169,1.8866,2.9842,2.8178,1.1286,2.1929,3.2807,1 
-1.4161,0.4359,-0.0898,1.3664,0.9807,2.8821,3.583,2.5406,2.7556,1.9961,1.2886,0.6891,2.7553,1 
1.4763,-1.3722,3.2144,2.6921,3.407,1.8259,2.5505,2.1167,1.857,2.1379,2.2633,2.1171,1.6378,1 
0.3221,0.4659,2.0703,1.5867,2.3313,1.9448,2.3756,2.858,2.693,1.8073,1.649,1.2321,2.2007,1 
0.5289,-0.3437,2.442,3.0466,4.4014,0.8573,2.0446,1.7515,0.562,1.4988,1.4785,1.2458,1.2318,1 
-0.3667,0.4752,2.1388,1.0947,1.5671,2.1043,1.3528,2.7071,2.7403,1.74,1.9563,2.1628,3.1793,1 
-0.4189,-1.4842,1.1465,1.1094,1.1092,1.0707,1.178,1.9627,2.7402,1.3802,2.8899,2.454,3.6259,1 
-0.613,-0.9898,3.3565,3.9249,1.9339,2.16,3.422,2.577,1.901,1.4393,3.4876,1.7326,1.6576,1 
0.0295,0.0002,2.6185,1.2517,1.4138,1.6627,2.5595,2.5603,3.0131,1.9018,1.524,1.7183,2.9795,1 
