Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Class
* 
0.4966,-0.5036,1.717,0.9232,2.7249,0.8806,0.4228,-0.6749,1.1904,2.1065,2.2024,3.0303,3.649,1 
0.6551,0.4922,3.2288,3.9417,2.2072,2.531,2.014,2.5944,0.9918,2.3606,2.7092,3.5513,3.9376,1 
-1.8069,-0.3134,0.8549,1.3052,1.9267,0.2365,0.4155,2.4109,1.4897,2.1391,1.1222,2.0399,1.8512,1 
1.2297,-0.035,1.1083,2.5352,3.0611,0.1505,2.3351,2.6445,3.3838,2.6647,0.7732,-0.5413,2.9255,1 
1.9386,-0.3826,3.8595,1.0635,3.7153,2.6751,1.9991,1.6328,2.4616,4.3027,3.6732,2.4657,3.1927,1 
0.4941,0.2696,1.4215,0.525,3.0552,0.4091,1.9,3.2928,1.8573,2.113,1.427,3.1459,3.0674,1 
-0.8697,-0.6633,0.816,1.0891,0.9679,3.1633,1.1607,1.531,0.2785,2.1526,1.0372,1.1902,1.6321,1 
1.1209,0.1411,3.4843,1.628,-0.1952,1.7698,3.2433,3.3982,2.8473,2.5808,1.9234,1.9271,2.3333,1 
0.4142,-0.699,3.5035,3.0985,1.6926,1.4328,3.0512,1.5036,3.1645,3.7275,3.6591,1.7195,1.6529,1 
-0.6011,0.594,2.2485,1.441,2.2471,2.7346,1.9553,3.6441,2.5078,1.8966,1.3711,2.6943,1.1669,1 
-1.0522,-0.9989,2.8892,2.6033,2.5156,1.7225,2.3737,2.6045,3.3321,1.891,2.645,2.2058,2.6275,1 
-0.2286,0.2057,2.8543,2.0615,0.7185,2.1045,1.431,2.5082,2.4879,1.1412,1.8516,1.6687,2.1242,1 
0.3237,-0.2859,1.6012,0.3594,3.4065,3.3709,2.5242,2.4039,1.2449,2.4728,0.8194,1.3363,0.8744,1 
0.5332,-0.1508,2.7499,2.2723,1.7538,4.1809,3.2361,3.1198,1.0719,3.5714,0.9352,0.3034,2.4315,1 
-0.0156,0.1704,3.0688,0.8372,0.6563,3.5743,2.0475,1.7813,2.4602,1.187,0.9622,-0.3984,0.5252,1 
-0.0555,-1.6134,2.1315,3.4153,1.832,0.9095,1.2957,1.6925,2.6328,2.2944,3.0184,1.3984,3.4733,1 
-1.0795,0.186,0.6761,0.2618,2.1592,2.2423,1.6471,0.3116,1.8591,0.6359,1.3132,1.3598,1.6915,1 
-1.3313,-0.5801,2.1524,0.7539,2.4438,2.7122,2.6448,2.8122,3.3765,1.6711,1.2051,4.0984,2.7835,1 
1.2331,0.909,0.5681,3.2819,3.3769,1.7589,1.0721,2.9626,2.2742,3.9203,1.5956,2.5777,0.653,1 
-1.0702,-1.5839,2.7123,0.448,1.7137,1.121,4.0254,1.8235,0.76,0.5828,3.1009,2.5317,2.1153,1 
-0.2032,0.6685,3.4897,0.3957,3.8832,1.4312,0.7308,1.6137,2.1701,2.5929,1.7922,2.5125,2.1133,1 
0.5582,-0.1486,1.355,1.6456,2.3531,2.2073,3.0561,2.7699,2.1852,2.8148,1.1118,2.3275,0.5709,1 
-1.9215,-2.5931,1.7725,2.0908,0.7764,3.1539,3.0275,4.0221,0.975,1.8846,2.3827,3.1279,1.932,1 
-0.5637,0.6101,2.3842,1.6596,1.9653,3.2614,0.3966,2.1951,2.349,0.1898,3.2912,2.8595,0.2115,1 
-0.2871,-1.0894,0.8222,3.9291,1.8664,2.4375,3.3266,-0.819,0.4254,1.3293,3.1459,2.0548,3.2271,1 
1.7656,1.3591,2.1224,2.4357,2.1855,1.5003,-0.7915,1.6423,2.2995,1.5595,4.5391,1.8764,2.0535,1 
1.9192,0.5023,0.342,-0.3193,1.1351,0.1455,0.596,3.9594,2.3095,3.0243,3.0629,4.3755,-0.2796,1 
0.8817,-0.7021,3.2012,2.0394,3.4292,2.5679,1.6569,0.761,1.0585,2.1776,1.6144,2.0933,3.8012,1 
-1.2506,-0.4032,0.9833,2.1894,1.7172,3.0078,1.969,0.3048,1.8169,1.1838,0.3722,1.7279,2.0382,1 
-0.1107,-0.2724,1.0496,1.6645,2.0089,1.9555,2.3786,2.6157,1.2402,3.3804,2.3244,2.9497,1.7326,1 
-0.0516,1.2266,1.948,2.064,2.1213,2.0985,-0.3039,2.5687,0.4488,1.4852,1.9038,1.8362,1.644,1 
0.6604,1.074,1.2282,1.8123,1.7266,3.1402,2.6846,1.8411,2.3738,0.4148,0.8246,0.4941,3.8501,1 
1.0252,1.2422,2.5668,1.9398,2.2466,1.5726,2.2827,2.379,2.2535,3.3868,3.8583,1.1189,2.6125,1 
-1.3164,-0.9734,2.8786,2.6146,0.6398,1.6316,1.68,1.1745,2.812,1.2695,1.0007,2.2134,1.3237,1 
2.7512,1.4802,2.4229,1.6924,1.69,3.7365,1.5832,1.0775,2.4158,1.8387,3.0813,1.7539,2.3904,1 
0.0784,0.8807,2.785,0.9665,1.5629,2.6816,2.2368,2.2274,3.2102,3.5707,3.5554,-0.8882,1.4845,1 
1.154,-0.0988,1.7156,2.2689,2.9032,3.8283,0.7276,1.8728,2.7816,4.4248,1.5359,2.8573,3.7628,1 
0.5935,-2.7803,3.1378,0.8611,1.967,3.4715,2.4696,1.3577,2.1645,0.3162,2.0777,2.6648,0.5701,1 
0.3246,0.1295,2.1357,2.658,4.7138,0.5194,4.3292,0.5066,3.1495,3.063,2.1714,2.4071,4.1953,1 
-0.9939,-1.5542,2.0008,2.3718,1.3389,1.4563,2.7388,1.6195,1.8293,3.0928,0.7591,1.2926,0.4628,1 
