Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Class
* 
-1.7464,0.2792,3.0073,2.6787,3.1927,0.9103,1.3239,1.8399,3.0497,1.6903,0.6192,1.6825,2.203,1 
-0.3336,-2.1038,3.3401,2.4582,0.5573,3.2815,0.9479,1.6074,2.3592,2.4819,2.8222,1.741,3.3695,1 
1.4139,0.5911,2.4228,2.8571,3.1952,1.2846,0.2731,2.0865,1.736,2.8642,2.9338,3.3654,2.4829,1 
1.1658,-0.2799,1.4455,3.3176,1.6974,1.8608,2.492,1.9781,1.7686,2.366,0.9062,1.4034,2.1954,1 
-1.1769,0.3284,1.3369,2.472,3.8998,1.8412,1.2979,1.5358,3.7146,2.8372,2.42,2.6785,3.0755,1 
-0.6504,-0.299,1.7393,1.2746,1.9991,1.6679,-0.1092,1.6532,2.745,3.019,1.2017,2.3231,1.3262,1 
-1.2901,0.8156,3.997,3.0552,1.9337,3.1069,0.1715,0.0448,2.0669,1.4187,5.0188,2.778,2.185,1 
-1.5297,-1.332,3.2622,1.8441,1.3766,1.3945,3.3594,2.7666,2.4324,0.1813,3.2599,2.612,3.1137,1 
-1.2841,-0.3828,2.3438,2.2826,3.3217,1.399,3.4031,3.3757,0.3674,0.1912,1.5847,1.7878,1.5739,1 
-0.2877,-0.927,0.7289,1.4529,2.4018,1.6749,2.8125,2.8335,1.9336,1.9309,2.1147,0.919,3.0476,1 
0.1398,-0.7928,1.4423,1.9085,4.2855,1.6881,1.7407,0.528,2.5019,0.5926,3.3665,3.5626,3.4766,1 
-0.0429,-1.2776,2.0908,1.394,2.2419,2.5985,2.4368,1.8628,2.8994,1.7607,3.6505,1.5409,1.9717,1 
-0.0064,0.256,1.2851,0.9955,0.2974,0.9069,0.4115,1.0103,2.3185,1.2952,1.5678,3.4931,1.985,1 
-0.9006,-0.9776,2.4874,2.2439,0.7907,2.5592,2.4884,1.4168,1.1573,1.5063,1.7261,3.1127,2.3281,1 
-0.344,1.337,2.1945,1.848,1.7052,2.9999,2.3551,2.4057,-0.1899,1.5221,1.9888,1.5741,2.0474,1 
-0.0872,0.3354,1.7377,1.1439,1.6523,2.4045,0.8732,1.6814,2.3207,-0.1119,0.7499,3.2956,3.0377,1 
1.5466,-0.8314,2.7269,3.0191,1.216,2.6343,2.3399,1.0588,1.5608,1.8257,1.117,3.4856,2.5359,1 
-1.2046,0.413,2.6708,1.3076,1.5553,2.9469,3.8238,1.2484,2.4946,2.6047,0.8196,1.7786,3.8547,1 
0.3165,1.3048,2.1271,2.7788,1.269,0.9088,2.3337,1.7395,1.8626,1.9005,2.1852,2.1736,1.2661,1 
1.2773,0.6589,2.5676,1.7812,0.586,2.2812,1.5745,3.4089,1.9382,1.4459,0.6261,2.7936,1.4555,1 
