Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Class
* 
5.2133,-0.0919,1.9107,2.2658,2.3761,2.688,2.51,3.9141,2.7248,2.1246,3.0234,4.2216,3.1309,1 
4.3485,-1.18,2.4371,1.3929,3.311,1.3331,1.6173,0.9671,2.574,0.8142,1.2258,0.8018,3.5006,1 
4.2488,-1.6517,2.9178,3.0166,1.1901,2.8953,1.8015,1.9282,1.3106,2.0958,1.3237,1.3496,2.7845,1 
3.8804,0.4806,3.5662,1.1536,1.5319,1.9373,1.2539,3.2763,1.1425,0.9521,3.1755,3.0015,0.9139,1 
4.6336,1.0351,2.8772,1.9761,1.1561,2.0343,2.3467,3.7993,1.5287,2.1317,2.9349,1.252,1.9646,1 
5.3962,-1.1248,2.0743,3.4291,1.8648,0.7081,1.1718,1.1697,1.2235,2.7359,2.1476,3.7614,1.9514,1 
5.6319,1.7141,2.292,3.1555,1.2207,1.5301,2.2874,1.81,1.6663,-0.3765,1.8605,4.2959,2.6687,1 
4.7629,-0.0302,1.5474,2.5178,0.845,1.9241,2.6911,1.9608,1.1054,1.9407,2.2377,-0.1842,2.1491,1 
5.5001,0.0483,0.7431,1.4868,2.7791,1.3366,1.3928,1.925,1.2225,0.1501,3.1803,3.089,0.1478,1 
4.8107,0.8471,1.05,2.2383,1.7181,2.3591,3.5438,3.2776,0.6627,1.6631,2.115,2.535,1.7553,1 
4.5806,-2.2519,2.1419,1.805,2.7651,2.2119,1.9755,2.1489,1.3457,1.9272,0.8316,1.9311,2.7628,1 
6.6432,-0.7579,2.3029,1.2404,0.9209,3.923,2.6953,1.3176,3.0634,-0.3027,1.4939,2.5015,2.6025,1 
5.0093,-0.3258,1.5246,2.8376,0.9467,1.9755,2.6842,1.5747,2.0802,2.9593,2.9144,1.4233,3.86,1 
3.9557,-0.5455,1.8553,0.8361,0.5766,0.2468,0.4057,1.5573,2.0469,1.3821,0.8973,2.711,1.9715,1 
6.7555,-0.8321,1.6025,1.9544,1.8375,1.2183,3.1324,2.1956,1.279,0.7069,1.541,3.4492,1.7181,1 
6.5588,0.9478,0.8414,3.5322,0.923,2.4732,2.1075,1.3219,1.3141,0.1811,0.8542,2.4285,1.6068,1 
5.6949,0.9784,5.1305,1.2354,2.1855,2.2116,1.5923,0.7368,2.1126,2.5581,0.9172,4.3993,3.3723,1 
6.3749,1.3768,1.5106,0.6221,1.7239,2.3265,0.9952,2.8854,2.6783,1.7698,2.991,3.3231,1.9942,1 
3.2624,-1.2649,2.2361,2.365,2.7178,2.8993,1.6943,2.5842,2.7071,0.926,0.8748,1.1179,1.7776,1 
5.1475,0.1405,3.1342,1.2645,1.4244,1.5037,2.1359,0.2175,0.5656,3.3812,3.2222,1.6693,1.5121,1 
5.0626,-1.2872,-1.4019,1.9505,1.4037,3.3227,4.3358,2.6667,2.1291,3.4058,0.4431,2.8351,2.8723,1 
5.3683,-0.8844,3.2068,2.6388,0.6624,3.7021,0.6742,2.463,2.5182,2.8603,4.7004,2.4927,2.6715,1 
4.8641,2.0947,2.5657,0.7875,1.7859,1.6717,2.733,1.4884,3.6328,2.0209,2.0232,1.4496,2.76,1 
4.5295,-1.0853,3.4789,2.0883,1.7101,1.7633,2.6813,0.5848,2.6656,1.4065,2.0196,1.8083,2.5722,1 
3.8534,-0.6692,0.4709,2.6594,2.5656,3.0521,1.2788,1.3264,0.8753,1.6727,3.6028,3.2358,1.0489,1 
5.5532,-1.3662,3.6387,4.5842,2.1779,1.9857,0.5437,1.5079,0.5215,1.9706,2.9651,2.5838,2.9846,1 
5.6081,-0.1618,-0.2504,-0.3452,2.0784,1.6798,2.1088,0.1823,2.5434,2.4911,1.2255,2.7607,1.908,1 
4.6416,-0.4812,2.4784,1.3836,1.6229,1.6766,0.6442,4.4643,1.1563,0.5946,1.6837,0.1191,2.0293,1 
3.0452,0.6367,1.4031,2.2202,3.2669,1.814,1.9811,2.7432,1.2342,0.7852,1.3306,0.9648,1.8417,1 
4.1952,1.5536,1.8794,3.0844,1.7679,1.1715,1.1797,1.2811,2.4486,2.3812,2.6269,0.3424,-0.2066,1 
6.3838,-0.4025,3.8992,3.0431,0.8962,1.3794,2.0304,2.7037,1.6578,3.591,3.1052,3.2468,1.4859,1 
4.4875,1.0462,2.7006,1.7378,2.0665,2.9812,2.0127,3.3179,2.454,0.9351,2.5972,2.0254,0.6572,1 
3.1583,-1.1324,2.1158,1.9115,3.6124,2.2305,1.1773,0.6685,2.4768,0.6503,0.9522,2.0661,0.9971,1 
4.7783,-1.2505,0.692,1.927,2.9466,2.7377,1.9887,1.1662,2.2379,1.1484,2.435,2.6572,2.6698,1 
5.2671,-0.1234,2.1745,1.9971,1.8013,2.0992,1.5762,2.8123,1.7863,3.7847,1.7937,2.3518,3.7577,1 
5.5424,-0.2398,0.9858,2.8618,2.7662,3.7744,4.3736,2.3339,2.7092,2.2558,2.6921,0.7086,1.6798,1 
6.7572,-1.3343,2.2329,2.595,2.8951,3.6568,2.8955,0.7825,1.7483,3.0117,2.5651,4.8211,3.7866,1 
5.5998,-1.3466,2.627,1.3356,0.9825,1.6134,1.7551,2.9152,3.9897,2.4017,1.279,0.9312,1.6921,1 
4.3896,-0.2317,0.1949,1.6651,2.292,2.7388,0.2362,1.6877,2.4532,2.0612,1.0866,5.3944,1.2254,1 
4.2143,0.1005,1.6835,1.3262,2.3365,3.5047,-0.9305,0.4539,2.8827,2.8242,1.8444,1.2251,1.6181,1 
5.6349,-0.0383,2.2238,2.9449,1.6475,3.5301,1.2941,1.6627,2.4132,1.1859,1.1353,1.2671,1.9843,1 
3.7934,2.7338,2.9604,1.6479,2.328,0.7582,2.3525,2.6122,2.1458,2.1851,1.186,1.764,1.6694,1 
5.9143,0.7971,1.8897,1.8825,2.6774,1.6589,1.9189,1.6356,1.4289,1.9702,1.2329,2.6058,0.4842,1 
5.8591,-1.5118,2.6074,1.744,2.6721,3.215,2.2335,2.0805,2.1344,2.1285,3.3951,1.3711,1.8166,1 
3.5211,1.1167,1.9345,3.4791,1.2812,2.0493,2.5975,2.0198,0.2597,0.3074,2.974,4.4854,2.0916,1 
4.4234,0.3354,3.7963,0.8064,2.7333,3.3141,1.0411,1.1974,3.8413,2.6898,1.8395,2.2626,1.8044,1 
4.396,2.7781,1.284,2.1203,1.8645,2.8937,1.1849,2.3904,1.044,1.439,1.8781,2.1632,2.4978,1 
6.1328,-0.5167,1.7647,3.688,2.7521,0.7627,1.373,2.3528,0.0106,3.5186,1.6488,2.5463,0.4616,1 
5.6305,-0.7308,3.3677,2.486,1.6066,1.4058,0.8567,2.4391,2.1906,0.6834,1.1005,2.1886,2.9545,1 
3.9193,-1.4455,4.3812,2.5817,2.4522,0.2993,1.3309,1.9655,1.2176,2.7488,2.3574,1.0464,3.0944,1 
4.2241,-1.8803,2.287,3.8867,1.716,1.7026,1.1046,0.5405,0.9005,2.4239,1.5318,3.3325,2.2647,1 
4.8881,-1.3294,0.7962,1.734,1.2283,0.717,3.2659,0.8801,0.571,0.4178,1.3068,1.1262,0.8621,1 
4.5342,-3.1777,1.1298,3.1806,1.9056,3.3319,1.9824,1.3136,3.6182,3.2112,1.7996,0.4213,2.5683,1 
5.7912,0.4467,1.7537,3.0461,1.2027,0.9316,0.9824,3.165,2.0495,3.0778,2.4267,1.4991,2.9629,1 
