Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Class
* 
2.034,11.0413,2.1878,3.9673,1.4438,1.7569,1.6184,2.9271,1.8492,2.0937,1.1785,2.4507,3.2574,1 
0.9496,9.735,2.2546,2.7595,0.9937,2.3943,3.6882,1.9743,2.6961,1.0481,1.9525,2.3262,2.8608,1 
3.3947,10.8632,2.7745,2.615,1.6944,2.544,3.0496,1.5054,1.0644,0.6336,2.5542,1.222,2.9793,1 
0.8866,10.1164,1.5258,1.8571,2.4428,2.1359,2.583,1.3366,1.7074,3.3858,2.3475,1.8468,3.3614,1 
4.1568,11.1202,3.0336,2.4013,3.0885,2.7351,1.237,-0.3684,2.3465,1.241,2.6926,2.5274,1.8585,1 
0.888,11.0763,2.5544,1.1736,1.0639,2.684,0.4624,0.2629,2.8321,2.5157,1.7414,-0.0846,2.2409,1 
2.7957,12.803,3.0793,0.7644,2.083,1.9702,1.1748,2.3293,0.7574,3.4267,1.6035,3.064,1.9045,1 
2.2374,8.1438,1.4424,3.1257,2.4306,1.5208,0.7088,2.6803,2.172,1.7424,2.4072,1.9828,1.2834,1 
1.2154,10.2197,2.7594,3.1272,1.4682,1.5663,0.7486,1.6183,3.4168,2.5642,1.0549,2.9249,2.0291,1 
1.6077,8.9228,-0.1012,1.0857,1.9455,3.0559,1.5862,1.8269,1.8413,3.9628,1.6894,1.2166,2.0642,1 
2.3606,9.2862,3.876,0.979,1.2102,3.1113,2.116,2.2064,2.017,1.1079,0.7992,2.524,2.4788,1 
2.6572,10.2333,1.144,0.551,2.4775,3.5294,3.4728,0.9271,1.0292,1.8729,1.0211,1.7741,2.0151,1 
1.1679,9.7454,3.0726,2.1943,1.6006,2.0387,1.2507,1.3694,4.4312,1.9605,1.4935,0.6806,1.9397,1 
4.0095,10.4133,2.3319,0.2518,1.6781,2.7927,2.8827,0.9202,2.5766,1.9527,0.0599,3.6676,0.2495,1 
2.0834,9.7566,2.6069,1.9591,2.4344,2.1834,2.1826,1.0699,1.3222,2.1569,1.282,1.1093,2.9223,1 
3.3977,11.2526,2.129,3.1061,2.0579,1.1325,-0.0777,0.6447,3.5046,1.6556,2.8653,1.7138,2.3993,1 
1.7391,8.8825,3.3874,1.3269,1.2208,1.8148,2.945,2.2083,1.3113,2.539,1.6677,3.7438,1.81,1 
1.7407,10.0854,2.3912,1.7152,3.0792,1.0124,1.3725,1.0195,1.1395,2.5423,0.83,4.0188,2.5907,1 
1.9552,10.9359,2.6501,3.0504,1.2105,1.0737,0.1267,1.2965,2.7369,0.6972,2.224,0.3567,2.1614,1 
2.8989,9.1408,1.3094,2.5566,1.36,2.8506,1.3092,0.9377,3.7695,0.0988,0.1971,1.9467,0.138,1 
0.58,9.788,0.6794,1.8054,3.2601,2.5606,2.8967,3.1821,0.9895,0.5004,1.3015,0.2289,1.8958,1 
2.708,11.0413,0.9626,3.922,2.2324,2.9449,3.7969,2.377,1.066,-0.5459,2.1203,2.7334,3.3437,1 
1.6671,11.5744,1.7598,2.1406,1.8967,2.1969,2.8218,1.2846,3.1695,2.9854,-0.0526,4.598,2.3222,1 
3.425,10.1621,1.5385,1.8053,1.7077,1.7036,2.0223,3.2553,4.3949,2.9039,3.1521,1.8266,0.9932,1 
1.6691,10.5278,1.8074,1.1814,2.1468,3.3118,1.5813,2.8278,1.3858,2.9849,0.4735,2.8043,1.9918,1 
1.099,11.1569,1.6358,2.6014,2.131,1.4857,3.1838,3.4998,2.8249,1.5782,2.0154,2.6166,1.6363,1 
2.5914,9.669,2.1088,2.0135,0.0228,1.5488,2.3871,3.5044,1.2876,2.4513,3.1165,2.1383,1.5498,1 
2.9537,9.5076,2.1674,1.2201,2.4878,2.9935,3.8757,4.0419,1.7135,1.3597,2.7857,1.1326,2.1614,1 
0.4204,8.1806,0.7517,1.77,2.415,0.5954,3.0216,1.9647,2.7935,2.0989,3.4119,2.0832,2.8835,1 
3.3512,10.5015,1.4574,1.967,3.5604,0.8568,0.6552,2.6854,2.6761,3.975,2.6312,0.6508,1.2248,1 
2.0083,9.8402,2.3959,2.5751,1.6211,1.7864,1.1471,2.5681,1.3757,1.9175,1.197,3.0733,1.9068,1 
2.714,8.9292,2.9624,4.6371,3.6005,2.1281,2.3479,2.1959,1.6012,0.1816,3.2399,3.0565,1.4472,1 
2.4154,9.7509,3.0438,1.4116,2.7034,2.5217,2.3671,3.213,3.01,1.5842,3.3738,2.2107,1.0409,1 
1.306,9.4855,2.9388,1.5789,2.0562,2.0064,3.7921,1.5351,1.6802,2.5576,1.7244,2.5807,-0.239,1 
1.7143,11.0922,3.1169,1.9091,1.5688,3.7228,1.6808,3.7649,2.1094,1.3292,1.5114,1.7222,2.4539,1 
2.3968,10.9569,2.5785,1.0347,2.2475,3.0457,1.4455,3.3405,2.0878,2.9959,0.7822,1.2074,1.285,1 
3.4046,11.4478,3.9951,2.8268,1.5437,1.4026,2.1379,1.4627,2.0388,2.1665,2.2069,2.3685,0.2489,1 
0.0931,11.0214,3.066,3.2813,3.2999,1.9571,0.0809,2.7661,1.0384,2.1933,2.3613,3.3735,1.9527,1 
0.5101,9.7638,0.8296,1.4209,2.8311,1.206,1.656,1.7589,2.8153,2.3215,3.5852,2.4008,2.299,1 
2.5091,10.0916,1.0754,2.5701,3.5188,1.6985,2.7411,1.4806,2.4988,0.9303,1.0713,0.7538,3.0749,1 
0.0598,9.7716,1.382,-0.4178,5.0989,1.4064,2.0587,1.5535,2.9717,0.5307,2.0762,3.6792,0.4883,1 
0.9696,9.082,2.2677,1.3196,2.923,3.6329,3.93,1.3184,0.3281,-0.0499,2.9488,0.7498,3.9067,1 
1.8846,8.6262,-0.5049,2.5718,3.2553,3.8559,1.9583,1.3618,3.1748,2.2643,3.3611,2.7901,2.4092,1 
3.4402,9.5458,3.3138,2.7643,2.1453,1.5226,1.2499,0.332,2.2483,3.7765,2.1348,1.5998,1.1401,1 
1.3917,10.4645,0.021,2.3878,2.2845,-1.0808,1.4455,1.6025,2.0972,0.9595,1.6917,3.2203,1.5604,1 
