Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Class
* 
3.2856,9.6964,2.6191,2.396,2.2234,1.9457,1.8207,2.2428,2.8211,3.2171,2.5594,2.3767,1.4389,1 
0.9923,11.2262,1.4695,1.7245,1.7088,1.7626,1.4897,1.4541,2.4587,2.1956,1.5823,2.3762,0.7866,1 
2.4199,7.3783,2.7231,1.1046,1.8294,3.7191,4.5719,1.8066,2.0815,2.4563,1.1568,3.5268,2.4425,1 
2.215,10.9968,0.8524,3.0567,2.0568,1.9794,2.8117,0.4788,2.6209,3.8093,3.0131,3.1399,2.7867,1 
1.8144,10.295,2.8163,2.3824,0.6812,4.4855,1.9641,1.837,1.37,1.3718,2.2494,1.9458,2.4082,1 
1.6429,8.6292,1.8201,1.8469,0.7251,2.0786,0.4748,1.234,2.5788,2.0418,3.286,3.0189,2.9382,1 
1.8556,10.5914,1.9628,2.7152,2.2082,2.3189,1.2993,1.8379,3.2629,-0.0895,0.573,2.2711,2.1547,1 
2.5628,11.0331,2.9616,1.8651,2.3202,2.3256,1.4439,0.8849,0.7663,0.7321,2.6032,3.1026,3.5081,1 
2.7611,10.5198,2.7224,1.9132,1.773,2.2278,2.4712,-0.1661,0.7522,2.2857,2.4029,2.078,0.8909,1 
2.669,9.4078,2.7997,3.0604,2.8268,0.1665,3.5011,2.1959,3.9019,2.0383,2.6044,2.094,1.7084,1 
2.3659,10.278,0.9616,2.1195,4.3701,3.9981,2.1297,2.6059,0.2603,1.6998,2.9819,2.4947,2.1816,1 
2.5693,11.4547,1.9678,0.8669,1.917,2.4222,1.9043,1.4702,3.5422,0.1264,0.8711,1.2004,2.9939,1 
2.1053,8.881,2.3959,-0.5639,2.8883,1.8956,2.4224,0.8274,1.6808,2.6093,2.1566,2.3158,1.7375,1 
3.3047,10.2992,2.3748,3.1006,2.1701,2.1161,0.2037,-1.3415,1.5454,2.2483,1.6046,0.2801,1.2375,1 
2.8349,9.8483,0.563,1.5143,3.8331,2.4194,2.6172,1.1569,1.693,1.4746,2.9656,1.4771,0.4912,1 
