Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Class
* 
0.466,1.0475,3.7196,1.6544,1.7478,3.4461,2.81,2.8286,2.0978,2.5811,3.537,2.1876,2.4786,1.9347,0 
-0.7849,0.4785,2.799,1.3012,3.6953,3.6068,1.8563,1.8237,1.9601,0.4585,1.4569,1.5437,0.683,0.6349,0 
-1.2427,0.1952,2.1543,3.45,0.4684,2.9342,1.2394,3.6861,2.7397,1.1341,1.2611,2.1015,1.8428,0.8583,0 
-1.2121,0.1941,1.7419,2.9137,1.3016,1.848,0.1048,0.7527,0.9914,2.8945,2.284,1.2872,2.0981,3.2127,0 
0.0716,0.3752,2.1652,4.1926,1.7138,2.1762,1.6806,2.233,1.6077,1.4507,1.6732,1.0602,1.9849,1.6891,0 
-0.671,-1.1723,0.5431,3.3092,4.4662,1.5216,1.3974,1.9684,1.1039,3.0371,1.462,2.3204,2.4606,3.9272,0 
0.0912,2.5161,2.3099,1.2472,4.4623,1.4949,0.4414,2.0594,-0.3025,1.6888,2.2624,2.3115,1.8381,3.5222,0 
0.4388,-1.7003,2.0158,1.7998,2.528,3.1919,2.1067,1.4017,1.8579,1.2968,2.3149,1.9621,0.354,2.326,0 
-0.9786,0.6671,0.8407,1.9399,2.3766,2.7243,0.6802,0.2046,4.1388,2.79,2.8059,-1.2039,0.8408,1.3834,0 
-0.5601,-0.015,2.1467,2.433,0.7375,2.5718,2.2028,3.656,2.7272,2.0771,2.8765,2.8319,1.0421,1.203,0 
-0.3107,-2.6637,3.2791,1.8072,2.4967,3.6438,3.5856,2.0683,2.7002,1.7987,3.1076,-0.0084,1.4323,3.1419,0 
-0.4638,-0.5113,2.871,2.3153,1.9835,3.0426,2.581,1.5589,2.0157,1.5473,1.6924,0.555,0.8828,2.2172,0 
-0.2694,-1.1465,2.4667,1.6777,1.6932,1.4149,0.176,2.5414,1.9961,0.889,1.3633,0.6553,2.8038,0.5647,0 
-0.5045,-1.349,1.4232,2.0126,1.6764,2.2883,4.1952,2.0885,1.3086,1.3184,1.6836,2.2242,1.6906,3.3065,0 
-0.0188,-1.2671,1.9786,2.1059,1.3725,2.9492,-0.015,1.532,1.431,2.5696,3.1665,1.1893,2.1835,1.5125,0 
-2.0311,-0.393,2.4883,1.5293,2.5967,1.8583,1.5746,2.5578,3.6912,0.3042,2.1555,0.5953,2.013,2.7546,0 
0.4113,0.6504,1.9674,0.9494,0.9815,1.9506,1.4853,2.64,1.2328,2.0761,1.3715,3.3306,1.7402,1.9517,0 
-1.5769,0.8802,0.4278,2.0561,4.523,2.2395,0.8278,2.3248,3.187,0.3987,2.2159,1.2853,3.0465,2.2724,0 
1.0217,0.8241,1.7047,2.3105,0.6417,1.6562,1.356,1.3244,0.0509,2.7853,3.2267,2.0933,1.6351,2.7297,0 
0.2439,-1.1928,3.0942,1.8143,3.6758,2.7722,0.4751,1.9895,2.6899,3.7095,0.9415,4.0412,2.9401,3.3441,0 
-0.1569,0.1298,3.1541,0.3216,2.9399,2.0338,0.9538,0.3303,1.1329,3.221,1.3261,1.8768,2.1321,2.1331,0 
0.7618,-0.9856,2.5967,1.2096,2.5344,1.4398,3.1687,0.2184,3.2522,1.1382,2.3711,1.0364,2.7405,1.4056,0 
-1.8329,0.2376,2.8478,2.0941,0.4208,1.5182,3.6659,2.6561,0.3879,2.1502,0.5122,2.1989,2.0136,3.3334,0 
1.4317,-0.388,0.8906,2.5487,1.8419,2.0721,2.8551,1.6414,1.8081,1.9198,1.478,3.297,2.3169,1.9941,0 
0.2297,0.6334,0.9044,2.4296,2.6199,1.2753,1.9364,1.8773,2.3266,0.2424,2.1384,3.1486,3.6098,3.5423,0 
-1.1185,-0.4355,0.9753,0.8129,1.4782,2.8295,1.4116,0.7335,2.5691,2.0762,2.6521,2.86,2.4517,2.7595,0 
0.2798,-1.238,0.1456,1.5423,1.433,1.6746,1.1088,1.0962,1.359,3.0926,2.2322,1.9393,1.9226,2.4388,0 
0.0651,-0.4462,2.6806,0.8445,1.9903,1.401,0.6634,2.1292,2.6751,1.1792,1.9689,1.3531,2.3143,2.3817,0 
-0.7159,0.6919,1.4789,4.3406,0.9107,0.6661,1.8748,1.033,1.8155,3.2587,1.4555,2.8938,2.009,0.1719,0 
-0.1382,-1.9795,2.9902,3.0214,1.9269,1.6664,1.1625,2.2686,2.2143,2.959,3.4506,1.2622,1.7652,2.902,0 
0.2015,-0.9918,1.5361,1.9094,-0.2656,2.268,3.973,0.6463,2.8299,3.2671,1.8966,2.833,0.3542,4.7804,0 
-0.1542,-0.9917,2.2217,2.8932,3.7403,1.2801,1.4216,2.4264,0.9758,1.2167,1.1439,2.6479,2.3867,2.0221,0 
0.6014,-0.7278,1.7368,2.3491,1.2225,2.4628,-0.1595,1.7437,0.695,1.9121,2.2268,2.1592,1.5101,0.9894,0 
-0.3208,0.7138,1.2184,3.4581,2.8011,2.3628,2.1341,1.7271,2.834,0.522,2.2256,2.2886,0.4505,2.553,0 
0.2327,-0.5091,1.2721,2.7982,2.4305,1.9586,1.5147,2.5672,1.54,2.8115,2.2637,1.7151,1.0002,3.1541,0 
-1.0266,1.3896,2.2183,2.3968,0.0869,1.0461,2.0633,4.5608,5.4007,2.766,1.9966,2.0303,2.7478,2.84,0 
