Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Class
* 
1.2043,-0.3042,1.8668,2.6455,0.9622,0.2512,2.8955,2.2352,1.8426,2.1861,3.7431,1.8787,1.5756,2.1624,1 
0.7913,-1.0392,0.134,3.3952,2.6397,2.68,2.6675,2.0618,1.0607,2.2363,0.6649,0.1559,1.5432,0.763,1 
-0.6451,-1.2693,0.8698,1.1783,2.8534,3.4836,2.1007,2.4911,2.303,1.6142,0.6687,2.2626,2.7601,2.5294,1 
-1.2134,-1.7898,3.1229,0.9046,2.1306,-0.8253,0.1303,3.0843,1.6763,4.6121,-0.1287,1.6045,0.2248,1.6194,1 
-0.4186,0.6259,2.009,2.6983,1.1498,2.1416,0.9495,0.7835,1.5554,3.3906,1.0573,2.919,1.8639,2.6586,1 
0.0822,-0.0911,3.2439,3.3221,3.1012,1.4662,3.8796,1.3997,0.7596,1.7272,3.6936,2.4487,2.8402,0.1443,1 
0.5067,0.5337,1.6292,1.1926,1.7464,0.5777,0.7906,1.886,2.8984,1.9097,1.7971,1.9893,1.5194,2.3159,1 
-0.072,0.1938,-0.0724,0.6684,2.2346,4.1838,1.6776,1.8637,0.1839,1.1175,0.7837,0.9971,3.9398,1.0461,1 
-0.4573,-0.1783,-0.4108,1.9218,1.4001,2.0695,2.3589,3.5467,3.4358,0.7646,3.7071,1.6814,0.0383,3.6874,1 
-0.2948,-0.5079,1.8573,1.7276,2.8635,2.8065,2.0821,1.7163,2.5223,1.9073,2.044,0.8574,1.1238,1.6483,1 
0.4779,1.1317,2.0227,1.6889,3.2263,2.364,2.3549,1.5229,1.393,2.4407,0.5362,2.0696,1.5729,2.4063,1 
-0.8338,-0.2067,1.3885,2.9889,1.527,2.7327,3.1225,2.0225,1.7224,2.7162,0.4579,1.1042,4.5373,3.0414,1 
0.3812,0.6414,2.6522,1.9591,2.8198,2.5961,2.8927,2.319,1.3895,0.5048,2.8993,1.9596,3.6141,2.8489,1 
-0.1386,1.6285,2.7738,2.0155,2.8897,1.1222,2.7463,1.6786,1.9611,1.6503,2.0027,2.3655,1.1415,1.6944,1 
-1.3767,1.1703,2.6434,0.3874,1.7182,3.1706,1.9241,1.8664,1.9193,1.9905,2.606,1.6007,-0.4283,1.8523,1 
