Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Class
* 
-0.4182,-0.5419,1.3921,2.9276,2.5624,1.3505,4.1724,1.7966,1.6832,2.0668,2.9963,1.4664,0.4666,1.6582,1 
0.7121,-0.1355,2.506,1.3512,2.3578,1.2015,3.0099,3.2881,0.3836,1.5138,1.3532,1.3502,1.0342,2.0563,1 
1.2321,1.6215,1.8428,2.304,3.5662,3.1669,1.4851,1.781,2.7709,2.4445,0.9708,1.2581,2.9638,1.2818,1 
-0.714,-0.1239,1.6929,1.1206,1.4229,1.7737,1.2964,2.4106,-0.2438,2.5519,2.9073,2.5625,-0.2019,1.3196,1 
0.0535,0.961,2.185,1.9291,1.4626,2.1883,2.302,0.6681,1.5259,3.4645,1.1679,2.9251,3.401,2.7169,1 
-0.549,0.7988,1.7528,1.6379,1.326,1.0243,2.2929,1.7851,2.1996,1.9154,2.4541,1.1355,3.0039,0.9864,1 
0.3641,-0.2642,1.397,1.6001,2.2095,1.1259,1.2495,3.0353,1.913,1.9146,0.4337,1.0725,2.2311,1.3376,1 
0.8533,0.1304,0.444,2.5599,1.817,-0.2913,2.8223,3.3859,2.8551,2.5232,1.6413,2.649,2.2408,3.2242,1 
0.5049,0.2349,2.4066,1.6802,2.0055,5.3506,2.4363,0.0836,0.6638,2.9906,1.7809,1.7746,1.5888,1.2104,1 
-1.297,1.5577,2.8112,1.4818,3.3448,3.4321,0.9227,0.2007,1.3897,2.0691,3.5003,2.8831,2.2937,2.8198,1 
1.056,-0.7125,1.3717,2.1959,1.0435,1.2358,2.3873,3.1501,2.0995,1.1578,2.0257,2.6738,0.4362,1.5683,1 
1.9684,-0.8226,1.3937,-0.1997,0.6633,3.613,1.353,0.9364,1.1304,0.186,2.4763,1.2172,0.9123,0.5706,1 
-0.6468,-0.8682,3.0431,2.5898,2.45,2.7592,2.5611,2.0789,2.6954,1.9323,3.4689,2.9452,2.1683,0.1565,1 
-0.9678,0.1459,0.6276,1.9906,2.8108,1.1262,0.6013,2.8506,1.8012,2.3374,1.1596,3.7528,3.2095,1.8861,1 
1.7087,-0.0901,2.9281,2.6579,0.3847,1.8431,1.6328,1.1587,1.5011,2.7711,2.1829,1.3692,0.7862,2.7852,1 
-0.2084,0.1103,2.7938,2.8816,2.0535,1.925,0.8515,0.1902,2.5749,2.7279,2.5816,1.5901,1.8243,1.6819,1 
-1.7344,-0.0366,4.3311,0.8127,1.2627,1.8794,1.8694,0.4304,1.6032,1.7458,0.2054,0.1959,2.8054,1.7628,1 
-0.2198,0.031,1.237,0.5494,1.1388,2.9357,2.0855,0.7577,4.1898,1.1542,1.2658,2.6699,2.5075,4.6858,1 
0.5288,0.7207,0.7332,2.1048,1.7613,1.0956,1.9541,2.2091,3.9565,3.461,2.5347,1.7168,2.4864,3.5064,1 
-1.1315,-0.13,0.027,2.9826,2.3647,3.0952,1.9476,2.119,1.5785,1.409,1.6529,2.8546,-0.0899,1.2511,1 
0.2604,0.349,0.5031,2.0903,1.099,2.2261,4.7045,1.569,-0.358,2.4252,2.0981,1.3905,2.719,0.7772,1 
-0.7005,2.5888,2.2515,3.2994,3.1248,3.5963,0.3226,0.7296,1.8922,1.6427,2.5651,2.1923,1.5103,0.3701,1 
0.1163,0.6031,2.263,0.297,1.3457,2.9771,0.2733,1.6458,2.9416,1.6401,0.6952,2.3271,1.5463,1.6334,1 
-0.3826,1.3958,1.5246,3.5091,2.5762,2.3874,2.1118,2.4552,2.0187,3.1191,2.1075,3.6101,3.1088,2.5325,1 
0.4766,1.4287,2.0861,2.2121,0.1528,2.2727,2.3165,0.5416,3.8258,2.1949,1.0342,1.4204,0.6935,3.5514,1 
2.2502,0.1759,0.6569,1.5416,2.8599,2.3521,2.1339,3.1617,0.8044,2.0602,2.209,1.3012,1.8465,2.6284,1 
0.103,0.5391,2.6109,2.0459,1.8403,3.2559,1.6422,1.1192,2.2469,2.2119,0.3879,2.1986,2.7752,2.9341,1 
