Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Class
* 
4.1835,-0.5014,0.9034,2.4581,2.1993,1.1199,2.7235,1.6429,2.7862,3.146,1.3399,1.498,1.5445,3.4204,1 
4.2416,0.0931,2.7058,2.4139,2.6101,4.3155,1.3739,3.8482,2.4786,1.4977,3.1955,2.2448,2.0943,2.0096,1 
4.859,-0.4457,3.0496,1.1418,1.9254,4.0706,3.4382,0.6198,2.412,2.9232,1.9364,4.5046,2.5289,-0.6479,1 
4.3979,-0.0485,1.6722,2.8827,3.0001,1.5636,2.9579,2.4663,3.3267,1.6166,2.2742,1.3075,1.8369,1.3574,1 
5.9095,0.9256,2.8853,1.6808,2.8991,2.1246,3.3194,0.6189,2.7405,1.9282,3.3653,2.4562,2.2083,1.8284,1 
5.3458,-2.4342,1.7624,-0.3413,1.6341,2.5313,1.0939,2.9012,2.585,-0.7367,2.667,3.0022,2.6561,2.8761,1 
4.5665,0.1896,1.4947,2.1365,1.9841,3.1317,0.9073,3.0178,2.7467,2.6674,1.9409,2.0011,1.3502,2.2271,1 
5.6945,-0.3734,2.3459,1.9831,3.2287,3.1669,2.4577,-0.068,2.0874,3.1105,0.5098,0.6353,3.8465,3.0499,1 
4.9162,1.3844,1.3004,-0.8032,2.4473,2.6207,1.5808,-0.1784,0.7579,1.3918,2.567,1.6951,1.5608,0.9929,1 
5.6205,0.075,1.6575,2.6863,0.0526,4.0632,-0.69,0.3473,2.1691,1.4178,2.4371,1.4994,2.1078,1.593,1 
5.3159,0.6339,0.9309,3.0212,2.7831,1.2442,1.5809,2.6723,1.9098,1.2976,5.145,1.0314,2.9507,2.1304,1 
5.9133,0.0983,2.2094,2.1113,3.9151,3.6185,2.4553,0.4105,1.718,0.1035,0.7132,2.9106,1.1146,0.1172,1 
4.5467,2.1998,2.6007,1.9414,2.7653,2.2276,3.1484,2.2478,0.9592,0.2182,1.4743,1.6792,3.4042,1.4311,1 
5.1457,0.1804,2.3069,1.3169,1.3891,3.9508,2.6555,4.5943,2.6411,1.7754,2.6231,1.3198,1.3849,1.3984,1 
5.2511,-1.6202,1.8332,0.0448,0.0768,2.0009,2.7954,0.8138,2.6383,1.3109,0.8934,2.0751,3.223,2.6095,1 
3.7082,-0.7625,3.3693,1.1851,1.1361,3.4944,2.0986,2.0443,1.9324,2.4186,1.5688,1.1917,3.7276,-0.3416,1 
5.616,2.5545,3.1163,2.5493,3.1729,1.2239,2.3287,2.4733,0.7896,1.2094,0.42,2.1309,1.4893,0.001,1 
6.9496,0.5816,1.7928,2.8269,0.556,0.8365,1.8237,3.4018,1.6547,0.7635,0.867,1.2969,1.9412,3.3729,1 
5.0594,0.3164,4.6302,2.482,2.0567,1.977,2.3821,1.3594,1.9166,1.5141,1.7071,2.1802,2.2147,2.6454,1 
4.7044,0.4627,3.8614,1.2328,1.8569,1.3711,1.3139,2.2352,1.2546,3.295,1.7909,1.9412,1.7041,1.8442,1 
4.6034,-0.8491,2.9967,1.0105,0.1692,1.8915,2.3857,2.6126,2.2146,0.678,1.4448,2.0907,3.7244,3.3388,1 
4.8553,0.9748,1.4418,1.6451,1.6013,0.4277,1.6117,0.2807,2.7834,1.3562,2.4762,0.5223,1.6747,2.6062,1 
5.3362,0.1823,1.9149,3.6327,1.963,1.1232,3.9944,2.3798,1.2249,1.0786,1.5936,0.6243,2.6826,0.3888,1 
5.8655,0.5889,1.8605,1.3169,1.2785,2.3856,2.0683,2.1444,1.7866,3.2054,3.1284,2.2323,1.6205,3.2676,1 
4.7439,-0.9078,1.8017,3.6492,0.4074,1.8566,2.3736,2.7375,1.9348,2.2939,2.7907,3.0948,3.3808,2.3334,1 
3.9769,0.314,3.4602,1.994,2.9099,0.9319,2.7686,2.7322,2.3393,3.3988,1.1345,4.1114,1.5817,1.2113,1 
5.3663,0.014,0.4768,3.1777,1.4522,1.5813,2.4644,2.738,0.1929,3.1852,1.0015,2.259,0.9854,3.7524,1 
6.1324,0.5674,3.3821,-0.0034,2.7871,1.6884,1.9982,1.9584,1.5495,2.1152,5.3398,1.8288,1.1893,2.6231,1 
6.1057,-0.3326,1.5203,0.3358,1.0439,0.8848,0.1221,1.621,3.027,1.1149,3.6301,2.2581,4.145,1.4377,1 
6.519,0.9988,-0.4127,0.584,2.8102,2.6259,1.8013,3.4506,2.2362,1.7245,2.171,2.5974,3.5977,0.2141,1 
6.7835,-0.3302,2.0737,1.2293,2.5123,3.5334,3.5301,3.4021,2.0062,1.6259,3.2433,0.9414,-0.4539,1.6639,1 
4.7774,-0.4686,2.2217,2.9594,1.4971,3.4603,1.4568,1.838,-0.4735,3.4269,2.0397,3.6949,1.7638,2.7789,1 
4.5395,0.2901,2.7124,2.7522,2.7178,1.8019,0.6186,1.8531,1.3315,1.1272,1.8562,1.3422,2.5902,3.6294,1 
3.0749,0.3634,2.8503,2.3214,1.4605,3.2693,1.4542,2.5962,1.1069,3.1256,1.8671,2.5843,1.4731,1.4546,1 
6.008,2.3387,1.9992,3.3527,2.8573,0.934,2.011,2.0479,0.3088,2.3139,2.1896,2.4056,1.5361,1.3039,1 
5.8624,0.2564,1.2964,2.5077,3.1862,2.1721,1.2728,0.9548,3.0672,1.9655,2.418,-0.7607,3.1619,1.3341,1 
5.5795,0.1604,2.5855,0.8824,3.168,0.6191,1.0535,2.0508,1.942,1.727,2.7143,2.4689,2.3626,4.266,1 
5.9943,0.6517,1.8814,3.4939,1.9802,1.3109,1.0915,2.0374,1.1238,2.8152,2.7857,2.5188,2.9578,1.2904,1 
3.7628,3.0492,2.8999,1.2866,4.053,2.5567,1.627,2.7937,2.6236,0.9431,2.2803,2.542,3.7853,2.085,1 
6.5663,-0.9216,1.712,1.2302,0.9917,2.8643,-0.214,0.8414,2.3503,1.5115,1.3368,3.6455,2.1185,2.6357,1 
6.7021,-0.6087,1.6454,2.1061,3.9205,1.7887,2.376,2.5905,0.4778,4.4626,0.2316,2.65,1.1988,1.4995,1 
4.5772,-0.1902,1.3924,0.7109,2.183,0.9801,1.2506,1.3034,2.2163,1.9083,0.6288,1.7367,2.3206,1.8535,1 
5.1737,0.8943,0.7955,2.8102,1.7331,2.5198,2.9768,2.8221,3.1319,0.1214,0.1066,2.0568,3.3493,3.2937,1 
5.6413,-1.2489,2.4528,2.3566,2.6387,0.7597,0.9694,2.8586,0.6022,3.3759,2.6933,2.2623,1.7864,2.8323,1 
4.8279,-0.6584,1.9357,2.8258,1.4469,1.4801,3.7453,2.1734,1.199,2.8735,1.563,1.6695,2.06,3.0284,1 
4.403,2.5599,3.8827,2.0955,2.4743,3.278,2.2708,3.1866,4.1387,2.596,1.7346,1.0686,2.3344,0.7309,1 
5.3644,1.0386,2.4557,3.6339,3.3558,1.777,4.0871,3.3042,3.3035,1.2033,2.6958,2.6639,0.3358,3.2606,1 
4.5445,-0.0886,2.3528,1.8049,1.7635,2.1209,-0.4559,2.8671,1.7292,3.0021,2.5201,1.228,0.6287,0.9556,1 
4.781,1.4489,1.9081,2.1431,2.1408,2.5499,1.6899,2.1711,1.1381,2.6311,3.6664,2.5305,3.6128,2.7158,1 
4.5137,1.0073,3.3305,0.4147,1.9953,2.3433,0.8599,1.9287,2.4805,1.966,-0.2011,2.3742,1.9091,1.7109,1 
5.5149,1.4407,0.7273,3.0968,2.0368,2.7905,0.1667,3.1175,0.0953,0.3246,0.8746,2.9918,2.4316,2.2692,1 
6.2681,1.0956,2.6115,2.4915,2.0087,1.2145,3.3932,2.7322,2.1583,1.6628,1.9492,0.8722,2.9836,1.8033,1 
5.8791,-0.4186,1.6999,3.6605,1.502,0.6815,3.7166,2.9797,1.7471,1.3992,2.5728,1.6317,0.9321,0.5584,1 
6.1494,-0.1795,1.3852,2.0413,1.0336,1.9359,3.8259,2.8963,1.4422,2.4022,1.8262,1.7545,1.2781,3.0841,1 
4.2463,-0.7634,3.5968,1.6613,1.4526,2.4966,3.1227,3.2643,1.0737,1.6135,3.0265,0.4467,1.5065,2.0299,1 
4.6194,0.3876,0.9961,3.6256,3.1514,1.21,2.9475,2.7167,1.1078,1.7455,2.0179,2.3183,1.0175,1.7959,1 
4.139,0.8632,3.0198,1.7427,1.7524,3.8211,3.2882,3.8677,1.964,1.2677,0.1902,2.4455,1.9349,2.8864,1 
4.1584,0.7119,2.2795,2.3207,1.4501,2.7945,2.7493,2.6487,1.3695,2.0141,2.6526,2.2327,3.2429,2.9805,1 
4.7329,-0.1986,2.0643,0.6461,2.173,3.2246,0.3473,1.9367,1.1983,0.5616,2.5503,0.1282,1.5841,2.7821,1 
5.718,0.8548,0.7586,2.3963,2.8161,0.8709,3.8716,1.9326,1.2705,2.7503,0.9571,1.5222,2.4865,2.446,1 
5.047,-0.6954,1.3323,2.7819,3.0409,2.0882,1.8452,3.8172,0.7845,1.7098,2.826,1.2078,2.3774,1.4636,1 
5.0054,-0.2922,2.2792,1.6534,0.7182,1.1805,2.3869,1.9425,3.069,0.2503,0.7927,1.6293,2.7295,0.5159,1 
4.4141,1.1632,1.7196,0.6231,2.0275,2.3272,1.7843,2.9969,1.6357,1.0344,2.1435,1.7682,0.9805,2.0968,1 
5.5064,-0.9803,0.3692,1.4987,2.2544,3.9227,1.2853,2.8131,0.9393,-0.2152,2.3128,1.4764,1.6345,1.7852,1 
4.4176,-0.1455,-0.2839,2.4595,1.2165,-0.1601,3.4564,1.6728,2.1035,1.7122,1.4761,1.8626,2.845,2.1375,1 
5.1585,0.1149,2.2184,3.4364,2.839,1.5709,1.7826,3.2039,0.8268,2.9174,-0.3142,1.1219,1.4383,3.385,1 
3.5803,-0.0158,1.8271,2.5402,2.0633,3.1054,3.0536,3.4641,1.1834,1.2918,1.3933,-0.4346,2.5238,1.9559,1 
5.8431,0.6463,-0.5103,0.8329,2.5508,1.5468,1.9706,2.6756,2.627,1.4395,2.1988,1.0714,1.7409,3.8966,1 
5.711,0.0685,1.3219,2.9329,1.6764,2.3479,2.0093,4.3719,1.3153,1.7547,2.6467,2.8815,1.6548,2.4401,1 
5.6837,0.0627,2.2518,1.2893,3.9334,2.5601,-0.723,1.2938,3.8744,1.3595,1.8386,2.4325,2.0225,2.666,1 
5.8468,-0.3317,0.8109,1.392,2.2565,1.624,1.1881,2.1832,1.1798,2.4128,2.9781,0.1968,0.8945,3.2617,1 
6.0456,-0.5035,1.0213,3.0728,1.6524,1.3634,1.3674,1.7951,1.2696,3.002,2.9666,1.6815,1.3192,-0.5198,1 
4.5679,0.296,2.5627,1.4895,-0.247,2.3679,3.1516,1.577,2.1146,2.3181,1.6871,1.4602,2.3977,1.4081,1 
5.198,1.0322,3.0657,4.9241,1.8153,0.9429,2.6687,1.9071,0.5582,3.8766,2.8534,0.8278,2.1055,2.0705,1 
4.5547,0.022,1.4521,1.1024,3.3093,3.0265,-0.046,-0.7621,2.1982,3.0638,1.9452,1.2535,1.5282,2.0934,1 
3.1555,0.0928,3.9739,2.8339,3.0672,1.7441,0.3638,2.8739,0.7651,2.4115,1.5528,1.0,1.5093,2.2405,1 
5.8675,0.7128,2.0889,2.9961,2.8236,1.5718,1.2175,1.4658,0.3975,1.9757,2.3929,0.7927,2.1227,2.1757,1 
4.6943,1.0412,2.0497,2.3221,1.07,2.1087,0.5962,3.3137,1.7646,2.5981,1.1506,2.4724,2.1603,1.7083,1 
3.9136,-0.0902,3.088,2.7833,2.815,2.2349,1.8192,2.4785,2.581,3.0534,0.9146,1.6011,2.3406,0.8368,1 
3.6666,-0.8587,1.8277,1.5364,1.7167,2.6151,2.7245,1.8331,1.3342,0.578,1.6407,3.3034,1.8889,3.2851,1 
5.3195,0.1924,1.7018,2.3295,1.1451,3.6265,1.7182,2.1833,1.3836,2.3658,2.4638,0.8061,1.3707,1.044,1 
4.3605,0.0196,2.4971,3.1539,2.2316,0.1722,3.4278,3.4596,2.8247,2.0803,1.2596,1.3677,1.3588,1.7111,1 
