Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Class
* 
0.9099,9.6137,0.8103,2.9045,1.2068,2.7048,0.9574,0.9708,3.04,4.0573,3.091,1.3222,3.1328,1.7545,1 
2.7967,11.3894,0.4997,3.4672,1.656,3.5667,1.4873,2.1728,1.1222,2.3637,1.6242,4.1172,0.4286,0.9729,1 
2.2668,10.3432,1.465,1.8009,3.4738,1.1546,2.9719,1.7707,2.4173,2.2203,3.6177,1.5451,3.5171,1.6449,1 
1.7742,8.6366,2.7155,2.3905,1.8911,1.4972,0.4035,1.7968,2.314,1.5504,2.639,1.2947,2.652,3.6965,1 
2.1558,9.5101,2.9975,1.3369,1.133,0.4162,1.2782,1.5246,2.814,1.3025,3.1437,3.8165,0.0888,0.8937,1 
2.9274,10.0745,3.836,1.2774,1.9778,3.3462,2.5419,1.3636,1.9427,0.6739,2.5626,0.7872,3.5751,2.8918,1 
4.8209,9.6586,0.9231,1.2472,1.3568,1.2908,4.2101,2.0888,3.2432,2.8886,0.6628,2.9497,3.8119,0.6217,1 
1.5208,9.2624,3.5343,2.4646,-0.604,2.8465,1.6419,1.7358,2.7497,1.8971,1.9094,3.0844,1.9141,2.3892,1 
2.8948,10.5539,3.0127,1.7479,2.431,0.6796,3.5013,1.9572,1.7954,1.506,0.4441,2.8735,3.8452,1.69,1 
1.5241,9.8065,1.2008,3.633,2.9615,0.7372,2.1993,2.6922,0.3531,1.3764,2.7125,3.7039,1.291,2.4779,1 
3.9631,11.1172,2.0761,0.882,2.6706,1.5337,0.9941,1.8678,1.2071,0.9311,2.3225,0.1928,1.4087,1.9538,1 
2.4506,8.4489,1.6252,2.097,2.8201,2.0976,1.4633,-0.0246,-0.14,-0.6128,1.2673,1.9658,3.2959,2.1094,1 
2.8741,11.1235,0.9844,1.9493,2.1157,-0.0829,3.5982,2.1907,3.0446,1.4103,2.8882,2.1922,2.0247,1.2512,1 
1.8716,9.1339,1.195,2.6469,1.7691,1.2506,1.7392,4.0041,2.9914,3.4789,1.9227,3.4546,3.4584,0.9152,1 
3.8064,8.7388,0.6086,-1.0986,2.1617,-0.0175,1.9445,0.3093,1.5942,1.9314,-0.3886,2.6193,1.1823,0.8893,1 
2.2359,10.9945,1.2379,2.0974,1.1026,2.0647,2.3597,1.5526,-0.1654,3.2386,2.3491,1.5625,0.1508,2.4565,1 
1.4813,8.2403,1.672,3.9696,3.0793,2.2012,2.2689,0.8453,1.5274,1.8706,2.8789,1.4309,2.749,2.3307,1 
2.7033,10.7326,0.2982,0.2515,3.0002,1.1417,1.8321,2.26,2.2595,2.6099,1.2721,2.5791,-0.1027,1.6568,1 
2.6029,12.7107,1.5376,3.2506,0.7299,2.3718,3.6948,1.3695,2.0926,3.3362,0.8952,2.2192,1.2198,0.3245,1 
3.0506,10.1944,2.1568,1.8365,0.95,1.7219,2.0042,1.2418,0.6603,1.0541,1.8572,2.3369,2.2424,1.5903,1 
2.6653,9.7284,1.9609,2.0797,2.663,1.7313,2.773,1.7244,1.8159,2.0643,0.3017,2.651,1.0839,4.0869,1 
3.4317,9.8585,2.8983,1.8406,3.2375,1.413,2.0899,2.4716,3.3958,1.1473,0.8523,1.5476,1.5712,2.1111,1 
2.5979,9.9169,2.1431,1.3901,2.2167,2.4059,1.6154,2.8763,1.9997,3.1256,1.8899,3.4165,2.5515,0.0789,1 
2.5065,9.5843,0.9935,2.0894,1.4245,1.7701,0.8731,1.3968,1.1731,0.4465,3.2545,3.7838,1.455,2.1883,1 
-0.1065,11.5976,1.9603,5.4937,3.1958,2.8674,0.4724,1.7903,2.2881,2.0196,2.8954,1.6197,1.6675,3.1236,1 
