Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Class
* 
1.2788,11.0184,1.4477,2.0879,1.1818,2.2461,1.5985,4.9193,2.8719,3.0072,1.5826,3.5289,1.7475,2.7461,1 
2.0375,11.177,2.1856,1.9903,1.6705,1.6235,3.7209,2.1565,3.3512,2.5535,2.5146,0.5665,3.6586,2.0186,1 
0.0302,10.8475,1.1998,0.0582,1.2845,3.4405,0.531,1.5686,2.5212,4.6168,0.0189,0.3868,2.0079,1.3928,1 
1.5799,9.1476,0.5087,3.4081,2.4755,1.527,1.761,4.071,1.9948,1.3733,3.0938,1.8355,2.3464,0.0362,1 
1.6122,10.6617,1.9662,1.5407,1.8174,1.4494,4.2167,2.8562,2.8341,2.8468,1.9005,2.6089,1.0553,2.8309,1 
1.1822,9.5705,2.1566,2.1579,3.0941,1.2674,3.1148,3.1407,1.4212,1.9775,1.2019,1.7522,2.8503,2.4633,1 
1.4961,9.5938,0.5526,1.6733,1.3054,3.2865,1.6719,1.3044,2.4529,1.864,2.029,2.4098,2.1052,0.5698,1 
1.0103,7.9709,2.8455,1.7019,2.9263,2.831,1.6208,1.1817,1.6794,1.6231,2.4112,1.8839,1.4894,1.5338,1 
-0.1938,11.1059,2.8445,2.1373,0.3347,2.383,3.4431,2.6064,1.7103,1.4811,2.1361,1.3774,3.4713,2.2134,1 
2.8193,9.2575,3.161,0.4645,1.4696,0.6917,2.0409,2.9944,1.4648,1.8025,2.1245,3.0593,1.881,0.4078,1 
2.042,9.8614,2.5407,2.3832,2.1084,1.9394,0.2002,3.0177,1.6211,1.5558,1.6759,1.5868,2.8225,1.9726,1 
2.2047,8.7034,1.8071,1.7864,2.7118,3.0416,0.5074,0.1217,3.1283,0.1289,2.0114,1.9772,2.2799,2.2631,1 
1.786,12.3258,4.6604,3.1785,2.6586,1.739,2.0282,2.7572,3.868,1.9676,1.1409,2.7772,2.5702,2.0829,1 
1.778,8.6963,4.2841,2.4102,1.9313,2.7105,3.1123,2.6749,3.0613,1.3866,2.19,1.5158,2.4445,0.4721,1 
1.4229,10.352,0.7797,1.4757,3.3354,2.6514,2.3681,2.2707,2.9781,2.9021,2.7443,3.9441,2.2214,2.4216,1 
1.8036,9.4596,2.4275,0.828,1.9922,2.6074,1.8482,3.3191,2.3093,1.6898,1.3944,0.7131,3.6753,1.9809,1 
2.6531,9.0901,2.8032,-0.3179,2.1859,2.8202,1.4131,1.9223,3.3035,2.4776,2.6611,1.6136,3.1476,2.2166,1 
3.0105,9.8537,1.2758,1.6094,3.5704,2.3726,1.7935,1.7066,2.4559,1.1316,1.1136,1.1957,1.699,2.1766,1 
1.3878,10.677,3.5399,5.0341,3.1517,2.2008,2.2503,1.9167,2.3209,3.2252,3.2314,2.2977,2.2061,1.8372,1 
2.7032,10.4954,2.1026,2.3366,3.6501,1.3577,1.7703,1.4024,2.1092,1.8502,1.1716,2.1324,2.1308,1.9691,1 
2.5392,9.6523,1.5576,1.6845,3.5943,1.1177,2.0356,3.2093,3.5175,0.4201,1.3999,1.8845,0.6254,3.4812,1 
2.3781,8.4797,2.4375,2.8242,3.5339,0.5337,1.9558,3.8602,2.445,0.6253,0.2233,4.0407,2.3805,1.9856,1 
2.8666,9.1416,2.1051,-0.5904,2.6796,2.8584,1.6517,0.5254,2.1504,2.6779,2.1977,1.7922,1.8972,1.7595,1 
0.2421,8.0417,-0.0745,1.2554,2.0565,1.2845,2.3149,2.7836,1.7894,1.0012,1.9988,0.909,2.8467,2.603,1 
2.2147,8.9993,1.6808,3.6625,2.006,1.9676,0.2927,1.8198,3.0535,3.0504,2.5069,1.3999,1.4287,1.5405,1 
1.8759,9.2473,1.2062,3.2251,1.0161,2.2188,0.3219,4.3448,2.3245,2.1236,2.4411,2.7935,1.2558,1.6153,1 
1.8174,10.3616,2.1125,0.3845,2.2607,1.9849,2.4516,1.2485,1.3822,2.3807,1.1222,2.2936,1.4583,1.0599,1 
1.8184,9.6504,1.7114,2.06,2.1092,3.4688,2.5919,2.223,2.2179,0.7991,3.4966,4.1612,2.1914,-0.23,1 
2.1509,10.7998,2.3369,2.2843,0.7149,-0.9772,0.7762,1.5885,1.2478,1.6503,2.9706,1.394,1.8077,1.5353,1 
2.429,9.8086,1.7427,1.8935,2.7376,2.6087,3.6537,2.5174,4.2855,0.8976,1.8889,2.0242,1.7697,1.565,1 
3.9612,11.9355,4.9377,1.9547,4.0942,2.3739,3.4524,2.2835,1.886,2.0453,0.9784,2.0554,1.4451,1.5341,1 
1.3421,11.1033,2.1445,-0.7242,1.1642,1.8324,2.8628,2.8543,1.5796,2.3123,3.1642,1.3196,3.08,2.0936,1 
3.3821,8.9741,2.2186,0.3046,2.8389,1.3316,5.6515,1.2227,2.1467,1.9976,3.1046,1.8725,0.675,1.7586,1 
1.8896,9.2972,4.6412,2.6816,2.35,0.9594,3.4405,0.2167,3.2399,1.7696,2.2558,1.3356,1.5248,3.6708,1 
1.7489,11.1755,2.5331,0.3362,0.7532,0.0153,2.2437,-0.1993,2.8288,1.1564,3.7755,2.4113,2.1924,0.9746,1 
0.9611,9.3339,1.8566,1.6175,1.3304,1.7799,-0.0177,-0.138,2.7401,1.8514,1.2873,3.585,0.5238,3.2333,1 
1.6402,11.0421,1.2372,1.8041,0.5135,2.6711,1.7534,2.1385,3.3072,3.4126,2.6726,2.2473,3.126,1.2527,1 
0.6819,11.0621,3.6755,2.7661,3.0021,2.6838,1.7705,1.6505,-0.064,0.6814,3.3988,2.7539,1.0052,0.1628,1 
3.5679,10.1979,1.5855,1.6967,3.5182,2.4496,2.8612,2.0512,2.6199,4.9516,3.13,0.8439,2.4093,2.144,1 
1.352,9.7489,0.7446,-0.5533,2.8301,2.5713,3.46,0.5347,2.2313,2.7857,1.3682,2.0293,2.8412,2.4207,1 
2.3441,12.0991,1.1955,3.8598,2.6254,2.4787,0.9252,1.1476,1.9684,3.1569,1.6572,-0.5136,0.0201,2.4304,1 
2.301,8.9745,2.8002,2.0748,2.2611,2.7066,1.6678,1.785,2.2294,2.4452,1.0111,1.3927,-0.6529,2.4004,1 
4.3634,9.8869,2.8605,0.8618,0.575,0.8858,2.6975,3.0207,0.8769,1.0089,2.1035,1.9603,2.7758,3.0014,1 
0.6985,10.0847,1.0186,1.363,3.6613,2.1739,2.3887,2.0088,2.0551,1.6238,2.4638,3.4313,0.782,1.1907,1 
1.4321,9.8735,0.8539,3.3469,0.8589,3.1034,2.6814,2.6339,1.7752,0.988,-0.0157,3.3762,0.7882,1.7084,1 
3.016,10.2859,0.8858,2.1838,1.5731,0.7471,1.6723,-0.0246,2.2173,0.5232,1.1851,1.3287,2.985,1.7786,1 
0.7691,10.2597,2.1557,1.1734,3.2321,1.6463,2.6597,2.1855,3.7535,1.4764,3.7885,2.6888,3.5405,1.2892,1 
1.72,8.833,2.4064,2.5666,1.6795,1.6954,0.5864,1.5109,1.7911,3.0165,2.2331,2.4883,3.8018,0.9847,1 
0.7432,8.4895,1.8878,1.0084,3.3576,2.0244,3.6017,2.8331,4.0172,1.5598,3.3632,1.4624,2.2764,0.5337,1 
0.6049,9.6886,2.7515,0.5052,2.0671,2.6314,1.235,1.8092,3.0484,0.7801,3.3793,1.715,1.6055,0.1566,1 
1.7851,9.4726,1.4751,0.8311,1.3276,2.5889,1.68,1.6029,3.0988,3.8861,3.9687,1.2835,0.999,0.7965,1 
1.6384,9.307,1.3487,3.46,1.1482,1.1446,1.0789,0.7538,0.283,0.7503,1.5491,2.5667,1.9927,2.3636,1 
4.6892,10.306,1.4837,1.4885,1.8767,2.5339,2.4793,1.5878,3.2017,-0.0574,2.6746,2.0217,3.7677,2.597,1 
2.2331,10.3416,2.7409,3.1622,2.0905,2.4845,1.9894,2.4637,3.0331,1.9367,2.3134,3.7137,0.6445,2.0721,1 
2.7896,9.9898,1.5062,1.5601,0.9866,1.3219,2.1073,1.3198,2.2132,2.5282,3.7125,2.3481,2.4258,3.96,1 
2.2873,10.9131,1.6502,3.2839,2.9446,0.1279,1.4733,2.0235,1.1926,0.4386,0.7843,2.0511,1.759,1.7873,1 
2.5354,9.0039,1.7567,1.8124,1.5836,0.6534,0.271,1.6572,0.6155,1.9962,2.1078,2.2546,4.1411,2.5741,1 
1.1177,11.2368,2.0241,2.2814,1.6402,0.6974,3.0711,2.5414,2.7809,2.5298,1.9044,1.3066,0.2243,0.8117,1 
-0.143,8.4269,2.265,1.3323,1.9839,3.6247,2.9071,2.1849,1.6598,0.7639,1.0025,2.3775,2.7365,1.6452,1 
1.4664,10.4683,1.2605,2.2956,2.8424,2.4417,2.9556,3.9776,1.8561,2.8045,2.9069,1.2611,0.6489,1.9871,1 
1.9,11.593,3.4696,1.7084,2.1779,3.2022,3.018,1.6979,2.6652,4.1061,2.472,2.6188,1.1481,3.297,1 
-0.0385,10.427,2.4864,3.9727,1.5772,2.0589,1.3852,3.1408,2.1513,1.622,2.3295,3.1152,3.1177,2.0679,1 
1.9877,11.1146,2.4896,1.005,1.3673,2.7622,3.5117,1.1649,1.9382,-0.1438,3.5366,2.2938,0.8588,0.9198,1 
2.3698,10.3529,1.1289,1.2604,3.0145,0.4517,2.2274,1.4617,2.657,1.974,1.863,2.33,1.8223,2.3846,1 
2.4436,10.1683,1.8716,0.5379,3.0189,2.851,2.5619,0.814,1.0569,2.5341,1.1344,2.9575,-0.2776,2.3965,1 
1.9472,11.0674,1.1464,1.8861,1.1138,0.8568,2.571,2.4723,1.4014,1.7443,2.1455,0.7648,1.7855,2.3573,1 
3.7877,10.3774,2.2493,3.4901,1.3407,2.6858,0.8021,2.521,0.7522,0.6681,1.5003,3.4707,1.4832,2.656,1 
