Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Class
* 
0.1769,2.3778,2.9987,0.6898,2.1802,0.2352,0.5569,0.6007,2.8204,3.2953,2.9422,1.7681,1.3686,1.3578,1.6183,0 
-1.7634,1.6117,1.1219,1.5014,2.9072,2.0413,3.8155,0.8699,1.5277,1.5025,2.0389,3.3762,2.4914,2.5869,0.7159,0 
1.7799,-1.289,1.2163,0.9411,1.5928,1.7577,3.1071,2.0729,0.5875,1.5947,0.5059,2.9799,2.4118,2.7555,2.1646,0 
0.0719,0.1192,3.0141,1.0005,2.5912,0.9904,2.3048,0.7193,1.4229,2.1742,3.491,1.3311,1.7917,1.0047,2.0976,0 
-1.5956,1.6575,3.8867,2.6286,2.3755,1.9279,2.8458,1.6451,1.9329,1.2975,1.5126,2.9848,2.6497,3.7146,2.795,0 
-0.7725,2.0358,0.9549,0.5382,0.966,1.3702,1.1192,1.5991,3.3883,0.5402,1.414,4.0863,0.383,1.0461,2.2618,0 
-0.0984,0.1773,0.6456,2.27,0.7224,0.6764,2.2379,1.2457,0.7308,3.1194,0.6769,1.6463,1.5599,2.1139,2.661,0 
-0.5224,-1.2587,1.2351,0.9254,1.8266,4.6126,0.0834,1.2714,2.5391,1.4197,2.1334,2.8837,4.0028,1.7031,1.1433,0 
-0.0898,-0.5237,2.1002,3.0571,3.0535,1.6729,2.7382,1.4175,1.2074,0.8886,1.7795,0.573,0.4222,1.5394,3.5508,0 
1.3832,-0.5673,1.4491,1.1473,3.1968,1.5958,1.6569,0.9797,0.894,1.6029,3.752,1.1652,0.4548,1.736,1.9953,0 
-0.6272,0.6881,2.4793,1.1745,1.2879,2.9961,0.8791,1.327,3.4621,3.731,1.0001,2.93,1.7524,2.8019,2.289,0 
-0.8133,-0.3441,0.6268,2.2816,1.1524,3.6356,0.7316,-0.4876,3.7305,2.4382,3.2428,1.9562,1.6541,0.9964,1.4205,0 
0.0245,1.03,3.2125,1.7989,-0.289,2.3213,1.9985,2.2869,1.1423,2.7936,2.647,-0.1279,2.8484,2.5934,3.0869,0 
0.194,0.8133,3.0306,1.4526,0.8953,1.8379,1.5201,0.431,4.3872,2.7766,3.0054,1.1736,1.049,3.7675,-0.0047,0 
1.0475,-0.3159,1.6956,2.4146,2.313,2.2882,0.7522,3.8562,2.0493,3.4116,2.1399,-0.8716,0.9833,2.434,0.6338,0 
-0.2076,-0.4644,1.6576,0.8973,2.8365,2.023,3.6748,3.3721,2.8466,2.547,3.9335,2.7239,0.9767,0.6724,0.7292,0 
0.3527,0.0583,1.7482,3.2249,1.7463,2.5688,2.3406,-0.585,2.4794,0.3069,3.9416,0.1108,2.6912,3.541,1.8881,0 
1.3497,0.0819,0.4114,2.1253,3.209,0.653,3.0515,2.5121,0.5941,1.7776,0.6086,2.1305,1.0643,1.7543,2.6009,0 
0.3306,1.1638,0.6882,0.7958,1.7018,2.3441,1.9509,-0.4367,2.1229,2.0074,1.9369,2.2716,2.117,1.6734,4.8717,0 
0.3902,1.8636,0.9471,2.2692,0.9739,0.5043,1.622,1.2577,2.8481,2.7146,0.9375,5.1228,1.5521,1.3943,2.8475,0 
0.6041,-0.8103,0.7333,1.5579,1.8535,3.5685,1.5535,2.1634,2.5101,3.4978,3.7751,0.7641,2.5229,1.0563,2.4524,0 
0.881,-0.4138,1.9456,1.1688,1.5784,1.7993,2.2547,1.1469,3.4108,1.8989,2.3516,1.6278,3.3883,2.5545,3.1562,0 
-1.1909,-0.6336,3.4085,2.5526,0.5814,2.2116,3.7162,2.8175,2.9342,-0.0396,2.2173,-0.2691,0.574,1.6464,2.5875,0 
0.3459,-0.2233,2.7606,1.8147,1.7859,1.6223,2.2449,-0.17,1.0552,2.3791,2.6834,0.5784,3.2914,1.7985,0.9666,0 
-1.5637,-1.0187,0.9172,2.6927,0.8742,2.498,2.2739,1.5681,0.7745,3.6063,0.5233,-0.0888,-0.1807,3.2327,1.2365,0 
0.752,-0.6341,2.4187,1.4845,0.1571,1.5216,2.2348,2.1017,2.5961,0.4614,2.3073,2.4858,1.3267,3.2176,1.8598,0 
-0.5789,0.9221,3.0529,-0.6396,3.3399,2.8027,1.7019,2.3744,1.0634,0.7869,2.323,0.5483,1.3678,1.4487,0.1107,0 
-0.2581,0.0693,1.9419,2.3995,1.9819,3.3108,3.0308,3.4605,3.7307,2.446,1.8936,2.779,1.8181,2.633,3.2215,0 
-0.9917,0.2388,2.7844,3.2731,1.7093,2.8029,1.3809,3.4847,2.7418,2.4224,2.3405,0.832,1.6353,2.0836,2.5511,0 
-0.0501,-0.2899,1.2056,2.5048,2.3692,1.987,1.9707,3.4819,2.9901,1.9484,2.6648,0.6533,3.1395,2.4141,2.7857,0 
0.8443,-0.4754,3.3908,2.1109,0.0778,2.787,2.4874,2.6593,2.2605,0.9161,0.6716,1.368,2.6495,2.5635,0.2753,0 
0.0409,0.8304,3.3124,1.2664,2.32,2.3009,2.2185,2.445,3.7556,3.0291,2.4249,1.672,2.4654,1.811,1.2044,0 
-0.4143,-1.791,2.6934,2.1515,1.3403,3.1299,2.0224,1.0828,1.1842,0.9133,1.1899,0.3982,1.7129,2.1384,2.6118,0 
0.5463,0.5298,0.164,-0.0703,3.1286,2.8401,2.147,3.0974,2.4822,3.161,0.1899,1.8292,1.5352,1.9554,1.8889,0 
1.0267,0.8218,1.4308,2.4737,2.3928,2.131,1.3426,-0.8091,1.726,2.6158,2.7156,1.8932,1.0543,3.4534,2.3417,0 
-0.5811,-1.3496,1.8193,2.4736,2.6655,1.1078,3.3844,0.6323,2.4748,0.9624,2.8096,1.9924,0.9856,3.0544,3.1612,0 
-0.0437,-0.896,2.433,0.6214,1.4444,1.3897,2.2855,1.9044,1.8886,2.3531,3.0255,2.3665,2.7297,0.7827,2.03,0 
0.3828,0.579,2.9156,1.3701,3.5045,2.3446,3.3093,3.4894,1.988,1.9376,2.6198,1.2561,1.8661,0.6289,-0.2161,0 
-1.4397,0.0751,2.9023,4.3613,2.0085,2.9492,2.2992,1.8878,1.1478,0.6208,3.4489,2.0961,2.1388,1.3063,2.128,0 
0.7553,0.334,2.5659,0.0263,3.1368,1.7981,1.849,0.9747,3.457,2.6032,2.8414,2.2233,2.3469,2.7754,2.5965,0 
-1.3526,0.2706,2.8612,2.3371,2.0941,0.8838,2.8519,2.5526,3.4581,0.9888,1.8887,2.1382,1.6002,2.0026,0.9781,0 
0.3916,-1.4376,-0.0676,2.7307,2.8418,2.734,2.0074,2.6521,1.8151,2.1969,1.6008,1.9776,1.4998,2.2146,1.3484,0 
0.4569,0.4458,3.4971,4.7787,1.6996,0.3011,1.001,2.5434,0.8154,3.5999,1.8488,2.4731,1.7348,2.4982,1.1577,0 
-0.2619,-0.6278,1.6768,2.0533,0.9554,1.4532,1.9031,1.6369,2.0591,2.2421,2.4669,-0.4025,3.0534,2.2851,2.2092,0 
0.1243,0.9262,3.1235,-0.1782,3.1979,1.8336,0.4771,2.0934,2.6177,2.0151,1.3424,-0.6017,2.6559,3.3509,3.3101,0 
0.3026,0.2409,1.3713,1.6551,1.4755,1.8764,1.4261,0.5284,3.292,1.1989,1.5526,1.5852,0.9574,2.5998,0.8368,0 
3.1434,2.5836,4.3693,2.7109,3.0736,1.7112,0.8326,2.5868,2.7339,2.5659,2.1783,4.5112,2.3713,3.5443,1.6436,0 
0.1373,-1.0485,-0.6365,2.7369,0.8382,1.1386,4.6663,0.7186,1.7314,3.5785,2.8477,1.1612,3.6325,2.5176,1.1157,0 
0.552,-1.0283,1.9373,1.6227,1.2046,1.785,1.9859,2.4928,1.7196,3.2497,-0.402,1.1069,2.3926,1.8588,2.707,0 
-0.7165,0.3323,1.8643,1.6537,4.7125,2.4124,2.0693,1.2154,3.142,1.3441,0.9655,1.4844,2.2196,1.0919,2.9519,0 
0.69,0.8784,3.3528,1.8953,1.8982,0.9948,1.8878,1.3508,1.0238,2.7175,3.2905,1.9751,1.1375,2.4804,2.5953,0 
0.616,-0.2037,2.7121,1.2129,0.7313,0.3503,2.3068,1.3268,2.0406,1.4367,1.6806,3.873,1.9403,2.1257,1.6659,0 
-0.0666,-0.0868,2.5043,0.6719,1.3113,1.3655,2.0005,2.3389,1.7606,5.0519,2.1078,2.158,0.9807,2.2506,1.0647,0 
-0.6533,-0.2037,1.2908,2.6218,1.7415,3.2963,1.9461,3.8775,1.0459,1.1502,3.5954,1.9102,2.5556,2.5781,2.8639,0 
0.187,0.0747,-0.7799,1.5541,2.513,3.4185,2.8458,4.29,2.3526,1.8186,0.8615,2.3421,1.6612,1.0494,2.0812,0 
1.3865,-0.0306,-0.5903,0.7989,1.4285,3.7336,1.6895,1.8849,2.6247,1.737,1.324,3.4397,2.6655,1.4034,1.5184,0 
0.5565,-0.2826,1.9677,1.2857,2.9691,3.1167,-0.0539,3.2708,1.9845,0.9525,2.3608,1.5333,2.1695,1.6182,2.4028,0 
0.5078,-1.2754,3.2095,1.1953,1.0178,3.2833,0.2531,0.2001,2.45,2.8188,2.4208,1.7306,1.873,2.0492,4.493,0 
-1.4746,0.216,-0.1921,2.1352,1.2868,2.5478,3.8045,3.81,0.9118,2.0292,2.7676,1.1413,3.2998,2.036,0.6786,0 
-0.7694,0.3181,4.191,-0.2116,2.438,2.7273,2.2777,3.5192,2.3237,2.1731,3.911,0.6281,1.7599,1.2717,3.059,0 
-1.072,-0.4842,1.0712,1.4335,1.708,2.4702,0.9477,0.9765,0.8898,1.8018,0.3114,1.308,1.2406,3.0153,3.2741,0 
-1.3599,-1.531,1.6813,1.5791,0.6395,2.0635,1.7306,2.3524,2.4897,3.34,-0.2247,2.4351,2.578,2.4223,1.3505,0 
1.5992,-0.9451,1.5944,1.4346,2.8184,2.5038,3.1458,1.3393,2.1304,1.042,0.8036,2.0591,1.6438,2.4328,1.4367,0 
-0.0761,-0.8668,1.8139,1.96,3.3722,0.7304,1.0164,2.9504,3.0394,2.1357,1.3255,2.4917,0.7559,1.8795,2.8532,0 
0.3469,-0.1947,2.2483,0.3856,3.3506,1.5417,1.5014,2.6318,1.9589,0.675,1.8846,2.2058,3.7968,2.6111,2.0297,0 
1.0237,0.828,2.7221,0.7464,2.2719,1.7919,2.9613,2.1212,1.8529,2.2936,0.6894,1.7817,4.2776,2.9161,3.2725,0 
-0.3187,0.1852,3.483,1.2517,2.4846,3.0935,1.5384,2.8015,0.6069,2.9315,1.9396,3.0433,1.2285,2.264,0.7281,0 
0.3028,1.4523,1.9338,3.2218,1.0946,4.7005,2.0776,2.1705,3.3264,1.5604,2.3924,2.704,1.5416,1.5267,2.2734,0 
0.1048,0.4578,4.0665,2.5232,3.3412,3.0047,0.6183,2.6043,2.8256,1.0121,3.0942,2.7939,3.4773,3.3098,0.06,0 
0.1064,-0.5189,1.0167,1.1792,2.6768,0.5944,1.4681,2.7285,2.3805,1.68,2.6286,2.7221,1.5175,0.0498,1.3579,0 
0.3759,-0.8983,1.8067,1.5086,3.3547,2.5732,2.0919,2.9843,2.7045,1.745,2.7506,1.2769,3.2528,0.3774,1.9469,0 
0.1993,1.2885,1.1085,2.6653,3.5578,2.2335,2.116,2.413,1.1403,4.1954,1.3127,1.7617,1.6148,2.876,2.1878,0 
1.5391,0.1289,1.4053,1.4389,2.7954,0.0127,0.9023,2.6529,1.2121,2.7348,2.0436,1.2434,3.3863,3.2924,2.168,0 
0.7208,0.422,0.5989,1.6452,-0.7459,-0.1344,4.0248,2.9195,2.4178,1.2946,2.2909,3.2209,1.1583,0.7556,2.7727,0 
-0.0215,0.8442,1.8748,1.6858,3.4427,2.4512,1.6025,-0.9114,1.7887,1.6062,2.1876,0.3544,2.5731,1.3108,2.6717,0 
-0.3914,0.0872,-0.0943,1.185,2.5816,1.3949,0.9995,2.4877,2.246,3.2394,2.0689,2.3458,1.3915,1.244,2.8005,0 
-0.1371,-1.7162,4.2788,2.1674,2.3202,1.5126,2.2053,0.573,0.8156,1.9643,1.5884,1.8866,0.9123,1.1634,2.4371,0 
0.6059,0.777,2.0295,-0.0981,2.4109,1.54,3.1342,1.601,0.8532,0.4052,2.5531,3.3638,1.9163,2.2043,0.6803,0 
0.0988,0.33,0.696,0.4663,1.4706,1.8874,2.9014,1.1055,1.1807,3.2985,4.6255,2.1633,3.383,4.0417,3.0963,0 
0.8067,0.0052,1.9978,0.8693,2.5493,3.3825,3.1739,0.5529,3.8349,2.0005,1.8901,4.2141,3.4225,1.8009,2.4023,0 
1.0856,-0.7429,0.9765,0.1063,1.3761,3.0527,2.8394,2.2035,1.489,3.8035,1.7935,2.3071,1.1073,2.3879,0.4533,0 
-0.4561,0.9224,2.8371,0.7885,2.1095,3.6619,4.0115,2.9543,1.3329,3.1904,1.739,2.8341,1.2509,2.2485,2.9426,0 
0.955,-0.5838,2.9438,1.0878,3.1644,2.719,1.7433,2.1373,2.4203,1.9549,4.0585,3.0105,3.3026,2.4439,2.0951,0 
0.1668,-1.5125,3.1773,2.2021,1.1756,3.6923,2.664,1.7508,3.1519,0.7659,3.8043,2.4037,0.9758,1.5083,-0.2233,0 
0.695,-0.8865,1.854,0.2946,1.4257,1.4156,1.5883,3.4602,1.3133,2.3092,3.432,1.7213,0.8973,3.6148,2.5898,0 
-1.0765,1.8096,2.5892,1.9656,2.7281,3.0152,3.7265,-0.0163,1.1877,0.5678,3.2921,2.3603,2.4272,0.7376,0.2246,0 
-2.9711,-0.195,0.6046,1.4991,1.8209,0.6903,3.2572,0.2808,2.3386,2.6854,2.4117,1.3445,2.08,0.3534,1.1306,0 
-0.5574,0.6323,0.591,1.3856,3.5383,0.7483,1.014,1.1485,2.2647,2.9889,2.2271,1.0242,1.8784,2.7073,1.5707,0 
0.4468,-1.0464,2.465,2.2216,1.5583,0.2527,0.9085,2.2705,2.4607,1.7761,3.2344,1.9863,3.0576,2.1246,1.5218,0 
0.5087,0.3571,3.0167,1.8901,2.0782,2.2317,1.2907,3.0742,2.3372,2.8367,2.304,2.4642,2.5451,1.3215,2.3819,0 
1.224,0.4543,4.6421,2.6597,2.5887,-0.4748,1.4093,1.8386,2.4528,2.4541,2.9534,1.0883,2.0604,3.8107,3.1107,0 
0.8661,-0.6926,-0.376,1.4211,1.6036,2.1738,3.8748,1.2003,3.0956,1.4948,0.7595,3.6201,2.0154,0.9613,3.1825,0 
0.8949,-1.5392,2.5688,2.825,1.8125,2.1426,0.5579,3.0815,1.6069,3.0889,1.7125,2.2764,3.8383,2.6271,2.6009,0 
-0.5326,0.7109,1.8756,1.2865,1.9963,1.3752,1.5184,2.9228,4.2754,1.9774,1.358,2.3066,2.0261,3.5735,1.5158,0 
-0.6319,0.7222,0.0797,2.5874,2.361,1.6857,2.3435,1.1799,2.3379,1.7655,1.3986,2.6892,2.754,1.5624,2.3943,0 
-0.8825,0.2332,1.2166,1.1512,2.751,1.4795,1.2095,1.8974,1.6095,2.1652,2.6675,1.3156,2.7243,1.7124,2.5195,0 
-1.8813,-0.8415,3.0269,3.0265,3.91,1.5599,2.0298,2.0275,0.8637,2.183,-0.0935,0.7813,2.1857,0.9214,1.9876,0 
0.0697,0.5036,3.6995,0.2091,2.1037,1.1371,1.2603,2.5976,2.9487,2.6941,1.8901,2.8045,-0.1128,1.3704,3.2566,0 
-0.9639,-1.1019,3.0118,0.4763,2.1776,2.9621,3.0795,-0.3057,2.5301,0.938,1.3054,3.0155,0.5678,2.839,3.903,0 
0.2761,1.3359,1.469,0.3316,1.2233,2.5419,1.5722,2.9485,2.795,2.2488,1.2951,1.8575,1.6113,1.4904,3.2703,0 
0.1303,0.7614,2.4871,1.4916,2.0961,0.015,1.1634,2.2237,1.8327,1.9176,1.845,1.5991,2.0298,2.2484,2.1016,0 
1.0974,-0.6325,4.9233,2.887,4.4967,2.1029,3.3645,2.4586,0.3132,3.3842,2.2028,2.303,2.1552,3.311,1.9664,0 
1.3449,-0.1487,2.6918,2.2676,2.5774,2.7826,3.9227,2.5833,0.9733,1.3472,1.9927,3.281,2.3391,1.1451,1.268,0 
-0.3736,-0.3221,1.8026,0.9221,1.1712,1.917,2.5204,2.4531,0.8224,3.0619,2.4296,2.3743,2.3657,2.3839,1.8207,0 
-0.7536,2.2887,1.4015,1.5569,2.5621,1.4162,0.6728,2.2847,2.337,1.9504,0.5512,4.3393,1.4512,2.305,2.1558,0 
1.1494,0.4543,1.1538,1.4651,1.194,0.6074,0.5358,1.9631,2.5637,2.1177,1.4404,2.1054,1.3162,1.4428,1.2876,0 
0.0006,0.6378,1.903,2.4178,2.4795,1.1913,2.4411,0.5022,1.4996,-0.2832,1.4256,2.0409,3.7698,0.999,4.1321,0 
0.095,0.9678,2.9594,0.825,1.2457,0.1099,0.6723,1.9295,0.858,1.5953,2.3333,2.6812,3.1092,2.8897,1.7037,0 
0.9128,-0.1054,-0.1064,3.3174,3.7681,1.0398,2.9977,2.4929,1.3561,1.7488,2.142,1.723,4.1632,3.3113,0.868,0 
-1.1942,-0.289,2.0896,2.6442,3.0445,1.0681,1.148,3.1293,3.6084,3.2553,3.78,2.3654,1.7974,3.0107,1.8799,0 
0.5411,-0.0985,1.4025,1.8407,2.0269,1.8549,3.7911,2.8948,3.0481,2.6278,1.4623,1.293,1.1152,2.2984,1.4624,0 
0.5957,-0.1373,2.5508,3.2077,1.69,1.3437,1.7296,1.2725,3.6549,2.0295,4.3577,1.08,1.4421,2.0352,2.4772,0 
0.3557,1.745,1.5868,2.7789,1.9609,1.8606,3.0038,1.075,3.3891,1.4282,1.9566,1.9291,0.7973,3.0484,1.516,0 
0.6054,0.656,0.7234,1.6361,0.7496,1.882,3.3219,2.2719,2.5302,2.7933,1.6306,1.253,2.4133,2.5882,1.9177,0 
0.5909,-1.2848,1.9056,1.6593,0.4424,3.1312,2.5171,1.6773,2.0378,3.3873,2.6654,2.3622,3.7509,1.9966,2.4552,0 
-1.0351,0.8747,1.9528,3.1629,1.9086,1.8114,2.0387,2.5057,4.105,1.9276,2.2726,1.8548,1.8533,0.6348,0.9131,0 
-0.1552,-0.7788,4.4988,2.1016,1.8333,1.8318,2.1828,2.0374,2.05,3.3315,2.5565,1.9615,0.9079,4.5774,1.7295,0 
1.572,-0.7212,0.9372,0.903,0.7076,3.7298,1.1501,3.9083,0.3307,1.7355,1.7716,3.784,2.0919,2.0648,2.8659,0 
-0.0093,-0.6474,0.357,3.0841,2.1118,1.8269,4.3117,3.9596,0.8722,3.0886,1.0315,1.533,2.2555,0.2314,1.1197,0 
-1.664,0.4325,2.0783,2.3757,2.4493,2.3698,0.2856,0.9854,2.6641,2.2279,2.6072,4.2721,2.4882,1.9879,2.4115,0 
1.1582,-0.339,2.3162,1.6827,1.1497,1.509,2.2149,0.719,0.4189,1.8928,0.8247,3.3992,2.3939,0.8791,2.0779,0 
-0.2021,-1.0587,0.6221,1.6333,1.2682,2.3712,1.4171,1.3228,2.405,2.2778,3.1509,2.8488,1.82,1.1601,1.917,0 
-0.031,0.7505,2.829,0.6653,0.9354,1.1014,0.9209,0.5313,1.965,3.2799,4.4772,3.5832,1.7132,2.2711,1.9202,0 
0.5479,0.1381,0.9098,1.2076,1.8252,1.5258,2.5205,1.4299,1.9631,1.4559,1.4582,1.3342,1.1757,-0.1438,2.7827,0 
2.127,1.2299,1.8857,1.8427,1.7387,1.9569,1.9743,3.0542,4.6935,-0.489,1.451,2.2715,1.7825,1.3663,2.0842,0 
-0.6507,-2.3086,-0.56,1.2276,1.3506,3.2183,1.265,0.839,2.0334,2.6284,1.0932,2.3778,1.2608,0.3229,1.6401,0 
1.3663,-2.0106,1.5111,1.5505,2.7709,1.0976,1.7936,1.7413,1.6682,1.0369,-0.7504,2.4079,2.433,2.4462,2.612,0 
-0.167,-1.8621,2.618,3.1281,1.938,2.5051,-0.2671,1.118,2.3599,2.811,2.9806,1.205,0.8902,0.7273,2.4598,0 
-0.3292,-0.8678,1.1999,2.5266,3.6482,2.9521,4.2738,1.4195,3.0651,2.5496,1.5384,1.124,1.4383,0.5955,0.328,0 
-0.8751,-0.1415,2.4279,0.7598,2.5653,2.2019,2.1817,1.9669,2.5675,0.5292,2.8081,1.7265,2.1359,2.6491,1.1321,0 
0.0736,1.9768,2.1797,1.5342,1.9446,0.3071,1.64,2.4995,3.1051,2.3177,2.4117,1.8535,0.5405,1.6273,3.3271,0 
0.1008,-1.6005,2.7867,1.9753,4.0547,2.171,1.8486,2.0294,3.1658,3.8909,2.0325,3.674,2.5538,1.9225,4.1114,0 
-0.0953,0.6468,1.5918,1.6007,1.9453,2.2051,1.9485,2.663,1.7522,2.2789,2.0932,2.6638,2.6467,2.1189,2.0355,0 
0.8189,0.0797,1.7081,1.6836,1.2805,1.0158,2.355,3.3706,3.9331,1.6043,-0.3469,2.2786,2.015,1.7259,0.9202,0 
-1.0017,0.5871,1.427,1.7311,0.9651,1.0629,1.8451,0.8069,1.8271,3.4099,2.3359,2.8561,2.4376,1.8045,2.0027,0 
0.7478,-1.3243,3.0451,1.9013,2.6461,2.1047,2.1501,3.422,1.3408,5.0252,1.8181,3.7027,0.2563,2.0968,1.0325,0 
0.0257,-0.8321,2.017,2.087,2.9601,1.7008,1.8068,3.2757,2.5391,1.2569,1.8274,1.7343,2.5844,1.8086,1.5916,0 
-1.1125,0.2154,3.1401,2.2504,1.5222,3.2771,3.2448,2.1194,1.8308,2.125,1.0159,2.6664,1.3364,1.5116,3.4972,0 
-0.874,0.0836,3.0993,2.5161,2.8745,1.3915,1.9135,2.5702,1.8535,2.2729,2.5707,1.474,2.0057,3.6416,2.4322,0 
0.7077,0.3249,2.8039,2.2493,2.544,1.6608,2.1816,1.1849,0.7854,2.5139,3.837,2.9195,1.6023,0.9648,0.51,0 
-0.5601,-0.8947,1.2361,3.335,2.3115,1.823,2.0115,1.1625,1.9611,0.9963,1.9333,1.979,3.288,3.3238,1.9347,0 
0.5296,-0.7415,1.1268,2.5918,2.25,3.1267,4.8318,2.5052,2.8233,2.1811,1.062,2.2664,1.2401,3.1859,1.198,0 
0.2773,-0.8921,0.7839,1.4613,3.1702,1.1968,0.5905,3.487,1.9897,1.6325,2.7448,1.7481,2.6528,3.5094,3.4187,0 
1.3833,-1.5122,2.6428,1.9747,1.237,2.2034,1.3382,3.4742,3.2777,2.6435,1.0615,1.447,0.7987,3.0157,0.8723,0 
0.829,2.2898,3.3823,0.3379,0.3234,3.5628,0.8462,3.5612,3.1036,2.6559,2.2744,1.8599,1.9335,2.5651,1.4596,0 
-0.0361,-0.9598,2.7487,2.408,1.9318,3.1295,3.2007,0.609,0.3008,2.4424,1.923,1.9722,2.1983,0.726,1.7989,0 
0.1837,-2.0923,1.2398,1.9112,3.812,2.3579,2.7875,2.5667,1.3716,0.6776,0.775,2.7363,2.0294,0.5161,2.9016,0 
1.5644,0.3095,0.9801,-0.402,1.7707,2.3096,0.505,1.2835,0.8823,3.7687,0.1435,1.1554,1.7622,2.219,2.0797,0 
-0.9892,0.3755,0.877,3.3535,0.7258,3.1447,2.8797,3.1432,2.807,1.9689,2.0964,1.8363,3.2629,2.7721,2.0157,0 
0.6718,-0.0388,1.0062,2.1257,1.406,3.354,1.8501,1.2015,1.5128,2.7328,2.0942,2.1532,1.7017,1.8502,2.2497,0 
-0.9531,0.336,2.5202,3.0648,1.5924,1.2037,3.1758,1.8153,1.5805,1.7883,2.2681,2.0416,2.5775,1.0937,2.9267,0 
-1.7539,-1.2346,0.7293,2.7059,0.023,1.2812,2.7201,0.9941,2.2211,1.7266,2.8345,1.6831,3.3099,0.9205,1.1068,0 
-0.589,0.169,2.4417,1.2135,1.8042,1.3894,-0.1045,2.787,3.6216,0.9493,2.1039,1.292,1.3933,3.6819,1.4448,0 
-1.7574,-0.6902,0.9905,1.8352,0.5751,3.3713,2.2262,2.2521,2.4476,1.7059,0.9688,1.6007,2.9886,0.8368,2.3503,0 
-1.913,-0.099,2.498,1.2417,1.2687,2.6278,0.7254,0.4504,1.3098,3.1579,1.0271,3.6647,2.2123,0.9317,0.8847,0 
-0.8891,-0.9089,1.8713,1.5922,2.3773,1.3359,0.4319,3.201,1.9212,1.2673,0.9521,1.9054,1.2841,2.5662,2.2881,0 
0.6421,-1.0474,1.8295,2.7785,1.7999,2.5261,0.2149,2.4685,2.1878,1.7561,2.5857,1.8221,2.7832,3.0412,2.7778,0 
