Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Class
* 
-0.806,-0.8484,2.7044,2.5207,1.2779,2.0874,1.8658,3.2604,1.8386,0.9519,2.6155,0.2586,2.5873,3.1817,1.0513,1 
0.1651,-0.3444,2.4949,1.9729,4.1686,3.1817,1.222,1.8493,0.3981,2.0339,0.61,2.5631,1.1577,-0.0165,2.1848,1 
-0.0221,0.5897,1.7574,0.8081,1.2713,3.4257,1.3985,3.1319,0.1195,1.1924,2.3698,2.6672,1.0863,3.8154,1.7065,1 
-0.2451,-2.2468,1.9117,3.6786,4.021,0.9696,2.9777,2.7527,3.0359,1.3143,1.175,3.1652,0.8199,3.6813,2.8526,1 
0.0511,1.0097,3.4193,2.5369,2.1741,2.2741,1.6539,2.9537,2.2906,1.9975,0.656,2.26,1.5726,1.9467,3.5457,1 
-0.0606,0.5895,3.1206,1.1337,3.4314,2.0708,1.6932,1.6628,2.916,1.4869,3.1992,3.9691,4.0437,1.216,1.2582,1 
-1.2373,1.0719,2.4734,3.8237,3.1054,2.2217,2.3703,0.8335,-0.2078,1.8215,2.3373,3.0802,2.6066,1.5653,0.9844,1 
-0.2305,-0.5801,4.0009,2.7165,0.523,1.2454,0.9164,3.042,1.6745,2.6163,2.4409,0.583,0.2094,2.4017,2.9452,1 
-1.2257,-1.3707,2.415,2.5166,1.8686,3.8336,2.2193,0.5971,3.281,2.7744,4.2894,0.216,2.8448,2.1454,4.3419,1 
0.8435,0.3656,2.9781,1.4624,3.8868,1.481,1.8417,1.3087,2.4885,2.6945,1.081,1.8289,2.5328,2.1832,1.7555,1 
-0.1673,0.3586,3.8863,2.1892,0.3274,2.8599,1.2263,0.9823,0.4889,2.0334,2.0328,2.3427,2.6256,3.3932,3.3931,1 
-0.2671,0.9307,1.7335,3.3619,1.7139,2.1313,2.4958,3.1093,3.6079,2.4684,2.6142,3.8674,2.4471,0.5831,1.0327,1 
-0.5289,1.1516,2.1152,2.7683,-0.1313,3.1181,1.3427,1.1658,3.7643,2.3624,3.0556,2.6096,0.9894,2.4758,3.409,1 
