Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Class
* 
-0.633,0.3017,2.5944,1.6297,2.7297,2.4189,2.4154,3.2294,1.6302,2.6397,1.0192,3.0325,3.1546,1.9203,0.7407,1 
-0.7681,-1.4638,2.7609,4.1341,1.8978,1.4331,2.3434,1.4053,1.4785,1.9496,2.5723,1.8568,2.4926,3.0608,0.7961,1 
-1.1717,-0.954,1.4554,0.5063,1.0529,1.2366,1.4346,3.1669,2.9795,1.2351,2.177,3.0278,1.0724,3.4003,1.5836,1 
-0.3871,0.4674,2.8775,1.3941,1.7884,2.8696,2.8503,3.5083,1.4892,3.7632,0.4117,0.4847,1.8057,2.5097,3.1099,1 
0.1909,-1.9117,2.4305,3.3936,0.4929,1.9626,1.7492,-0.0067,3.1188,0.494,4.2396,0.0915,1.2409,3.2706,3.1319,1 
-1.0202,1.0381,1.2905,1.3262,2.0371,1.0467,3.8556,1.2078,2.6649,2.4907,2.0969,2.4098,-0.2448,2.103,2.9347,1 
0.9046,0.7436,2.5519,1.8003,2.2288,1.7918,1.306,1.8353,3.9492,2.1069,1.6845,2.7681,2.7181,1.3827,0.8218,1 
0.05,0.7834,1.7832,0.4145,2.2636,2.8142,2.3682,1.3705,0.8891,2.2506,3.2958,2.4402,3.1876,0.5277,0.1527,1 
-1.1364,0.4556,1.7448,1.7215,2.1266,2.4468,2.1939,0.6726,2.5238,3.219,2.5943,-0.8879,2.001,3.6156,1.8485,1 
0.2421,0.1596,1.9528,3.2623,-1.189,2.6441,1.9794,0.9785,3.1826,2.6539,0.8013,1.6199,0.0978,1.3375,2.293,1 
0.0198,-0.4073,2.1194,2.8852,1.8571,2.4153,3.1148,2.852,1.8292,2.8387,1.9012,1.8854,1.7699,2.8376,2.255,1 
-0.7118,-1.0447,2.6743,2.3782,2.2059,1.0432,2.7605,3.4441,0.9066,4.243,4.4752,2.9029,1.2753,2.2061,0.6549,1 
-1.0344,0.8562,2.8189,1.2748,2.4136,1.5819,1.1456,3.3546,1.9109,3.0421,2.891,1.8009,0.8324,0.932,2.2919,1 
-1.2531,0.6201,2.2466,0.7884,3.1935,0.2454,2.1791,3.0227,1.525,2.4737,1.1994,3.3684,1.3595,1.3014,3.4806,1 
2.0893,-0.1588,3.3908,1.5999,0.7678,3.2696,3.422,3.1075,2.0638,2.5503,1.1096,1.1565,1.2968,2.5489,-0.3594,1 
-1.1302,-0.9941,2.4687,2.6613,1.3167,2.5868,2.739,0.0949,2.6163,2.239,1.2123,0.2891,1.8987,2.4684,3.7638,1 
1.2673,0.557,1.2076,2.0328,1.1537,2.7135,3.3328,1.5233,1.9437,0.9864,2.0109,1.199,2.3581,0.0629,0.1104,1 
0.8402,-1.5711,3.1704,0.3863,2.7955,3.4222,2.7228,0.7358,0.5373,2.3478,3.0905,1.5804,1.8857,2.7029,1.4664,1 
0.5276,-0.7236,2.3361,2.723,2.0426,0.7071,2.2149,2.6732,1.7482,1.078,1.3617,1.4805,1.1906,1.8197,0.875,1 
-0.5709,-0.2265,0.9354,1.1149,3.2066,2.0932,1.3582,1.149,1.8684,2.1026,1.7753,2.7428,1.7565,1.9908,1.9812,1 
0.0478,-0.809,0.8238,2.053,2.7385,1.4685,4.0485,1.9719,1.7709,1.0742,0.8635,1.9912,2.2392,2.764,1.6715,1 
-0.3221,-1.1185,2.4721,-0.1257,2.3886,3.3871,0.7746,2.6082,1.954,1.6676,1.9779,1.5263,2.0801,2.7045,1.8943,1 
-0.7243,-0.2535,0.1075,0.4087,1.1416,1.9168,3.9657,1.004,1.2269,1.5625,2.3545,-0.0013,1.9078,3.1939,0.9633,1 
0.632,-0.3243,1.4823,3.2279,1.7603,1.4701,2.1651,0.6854,1.9523,2.7513,1.9944,2.3423,1.8014,2.2713,1.1243,1 
-0.0613,1.2092,0.9738,2.828,0.6855,1.9127,0.9347,2.6589,2.3985,2.5641,0.4101,2.5748,0.9855,0.4256,1.2764,1 
1.3055,1.3959,-0.2426,1.3076,1.2149,3.6464,2.9544,1.6677,2.9897,2.8236,2.117,1.4102,2.381,1.7272,1.47,1 
0.2011,0.3823,2.1411,1.8313,1.6699,3.2876,1.8477,1.4176,2.8603,2.5738,3.842,2.4419,2.4291,1.9018,2.3832,1 
0.6328,-0.6405,1.1101,1.5655,1.7032,1.66,1.4376,3.8383,1.4818,2.0578,1.5085,1.7769,2.128,-0.0707,0.9911,1 
1.2955,-0.4077,2.6875,1.2814,2.9317,1.5352,2.3497,3.1111,3.5976,1.3418,2.3867,1.837,0.801,1.2187,1.8509,1 
-1.1882,1.5982,1.9829,3.9311,1.5137,3.1025,3.3884,1.0814,2.0913,-0.7611,1.5236,5.3097,1.8809,1.3714,2.6299,1 
-0.7017,0.1483,1.2575,-0.1358,2.7296,3.8136,3.1894,2.5122,2.7409,3.2195,2.545,2.8845,1.3612,2.2433,1.6097,1 
0.5612,2.8507,1.8197,3.4175,0.6805,2.6266,0.856,2.2167,2.6355,3.1122,0.0018,1.041,0.9428,1.9885,-0.9503,1 
