Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Class
* 
7.3729,-1.274,0.7458,0.5804,0.6343,2.8572,2.1851,1.4567,1.0465,2.2455,2.0599,-0.9046,1.2514,1.5755,1.8378,1 
5.0677,0.1737,3.2172,2.5317,0.8054,1.0456,1.7154,0.5274,2.1454,2.6057,0.6374,2.2546,1.9135,3.1363,2.0289,1 
3.4587,0.0506,1.4582,1.6451,2.6858,1.6787,1.5644,3.0901,2.1781,1.8251,0.7152,1.1547,1.3576,3.3252,1.0945,1 
5.5937,-0.2498,1.3137,2.3086,3.0367,2.0397,2.6208,2.0548,1.4328,1.8837,2.0677,2.4231,2.419,3.7288,2.6241,1 
3.909,0.2571,2.0108,0.5445,2.4051,2.4191,2.4576,2.3802,1.6542,0.4211,4.4942,1.6794,1.6314,3.0719,2.2745,1 
4.2698,0.6238,-0.4423,1.5769,2.2734,2.4046,1.4268,2.507,2.2954,3.0529,1.4866,2.6298,2.4879,0.6756,2.8667,1 
5.9257,0.4357,0.8338,0.4367,2.3041,1.3795,3.1182,0.6146,3.795,0.9075,1.1301,2.1456,-0.2525,2.5506,3.8667,1 
7.0324,-0.6189,0.2924,1.4074,1.4947,0.3614,-0.0918,2.4313,4.2195,2.9619,1.3622,1.7376,2.7831,0.7552,1.8476,1 
4.4138,0.1163,1.9844,2.774,2.9389,3.2441,3.0593,0.7922,1.8619,0.9702,2.8115,1.4319,2.4581,3.3686,3.9268,1 
3.9576,0.066,1.4235,3.2007,0.774,0.8291,1.1057,0.3836,2.109,2.2631,2.0885,1.681,2.2581,-1.0056,1.7301,1 
5.2019,-0.3753,2.1032,4.7687,3.4802,2.4536,1.0864,2.62,1.4972,1.9756,2.9363,1.7269,1.0838,1.39,1.8461,1 
4.3742,-1.1557,2.752,1.1331,2.0543,1.3318,4.1578,3.5705,1.5446,2.3055,1.781,2.7264,1.2824,0.108,4.1966,1 
4.9082,0.3445,1.7639,2.4637,-0.5985,4.2887,3.721,1.6258,3.0051,1.5624,0.854,1.2164,1.7856,2.058,2.5807,1 
5.1006,0.2246,2.0889,1.9878,4.4262,1.3979,1.849,1.4852,2.9689,1.9139,0.6674,3.8413,2.7124,1.8084,3.0245,1 
5.4583,0.4721,3.2301,1.932,2.0385,1.5291,1.3045,3.0616,3.034,2.2179,3.4897,1.2245,1.8477,2.2421,1.9022,1 
5.2787,0.0011,2.7862,4.0578,0.8742,2.2455,1.2893,2.8399,1.6727,1.9699,1.4665,1.1887,2.398,1.5983,1.8074,1 
4.4834,-2.1031,2.8852,1.1259,2.9615,0.8441,1.7978,2.1624,1.8303,0.6034,2.1984,2.9125,1.9488,2.7497,1.5276,1 
3.7459,-0.9993,0.9761,0.9027,1.8487,0.9817,2.6114,3.0435,3.1449,2.0403,0.944,1.2334,1.5075,2.6854,2.4694,1 
5.9023,-1.1772,1.1858,1.931,1.5029,0.1023,1.3753,1.0657,2.2726,3.523,0.5727,2.8025,0.5082,1.7233,3.9361,1 
3.6594,-1.3563,0.0209,1.7843,1.4043,3.8355,3.0099,4.5155,2.1886,1.1874,3.5889,3.2168,2.2137,-0.263,1.2538,1 
6.2215,1.3485,1.8598,1.1119,2.8162,0.6707,1.6483,2.058,1.0986,2.7568,3.6987,3.0233,-0.411,1.7636,1.8556,1 
5.992,-0.1804,1.1377,1.5942,0.705,1.0784,3.2189,3.4351,2.3256,3.2975,2.4524,3.1452,0.5734,0.8557,2.9056,1 
3.8485,1.0772,1.6695,0.9489,1.0178,2.2296,4.2903,0.9887,2.7134,1.6556,1.9534,2.665,3.798,1.6795,2.3459,1 
4.0273,0.321,1.9281,3.064,1.4488,1.897,2.2574,1.3796,0.9667,3.0588,1.4163,1.4414,2.526,2.5321,2.5996,1 
4.3085,-1.1889,2.7745,2.9167,2.3744,0.5016,1.2174,4.1567,-0.6003,1.3419,2.7578,0.2542,0.1512,3.5892,0.8003,1 
3.7606,-1.1608,1.7535,2.6452,3.3048,0.72,1.8879,2.8765,1.5636,3.497,0.6922,0.8104,3.5995,0.6868,2.9549,1 
4.581,-0.2487,2.6251,1.9192,1.6126,2.7086,1.7442,1.3975,2.245,1.625,1.9098,0.7509,0.9677,2.9318,0.5369,1 
5.0271,0.301,2.5001,0.2318,2.3668,1.9157,3.5555,0.8741,2.3377,4.3615,2.8851,1.9239,2.0742,3.2043,2.4436,1 
3.8905,0.6503,1.8122,-0.1379,1.866,1.7255,0.5288,1.3055,1.5683,3.4497,0.8611,4.0596,1.8062,3.6108,3.8815,1 
